frequency,raw,smoothed,error,equalization
20.0000,-0.4800,-0.1901,-0.1901,0.1901
20.1998,-0.3901,-0.1598,-0.1598,0.1598
20.4015,-0.2993,-0.1254,-0.1254,0.1254
20.6053,-0.2120,-0.0885,-0.0885,0.0885
20.8112,-0.1396,-0.0498,-0.0498,0.0498
21.0190,-0.0703,-0.0094,-0.0094,0.0094
21.2290,0.0096,0.0325,0.0325,-0.0325
21.4410,0.0803,0.0758,0.0758,-0.0758
21.6552,0.1387,0.1204,0.1204,-0.1204
21.8715,0.1903,0.1667,0.1667,-0.1667
22.0900,0.2400,0.2148,0.2148,-0.2148
22.3106,0.2901,0.2652,0.2652,-0.2652
22.5335,0.3386,0.3159,0.3159,-0.3159
22.7586,0.3897,0.3634,0.3634,-0.3634
22.9859,0.4391,0.4076,0.4076,-0.4076
23.2155,0.4792,0.4486,0.4486,-0.4486
23.4474,0.5294,0.4864,0.4864,-0.4864
23.6816,0.5686,0.5209,0.5209,-0.5209
23.9182,0.5998,0.5521,0.5521,-0.5521
24.1571,0.6296,0.5801,0.5801,-0.5801
24.3984,0.6598,0.6049,0.6049,-0.6049
24.6421,0.6697,0.6265,0.6265,-0.6265
24.8882,0.6799,0.6452,0.6452,-0.6452
25.1368,0.6800,0.6612,0.6612,-0.6612
25.3879,0.6800,0.6748,0.6748,-0.6748
25.6415,0.6993,0.6864,0.6864,-0.6864
25.8976,0.7095,0.6962,0.6962,-0.6962
26.1563,0.7199,0.7044,0.7044,-0.7044
26.4176,0.7295,0.7112,0.7112,-0.7112
26.6815,0.7300,0.7168,0.7168,-0.7168
26.9480,0.7300,0.7214,0.7214,-0.7214
27.2172,0.7300,0.7252,0.7252,-0.7252
27.4890,0.7300,0.7285,0.7285,-0.7285
27.7636,0.7300,0.7315,0.7315,-0.7315
28.0409,0.7300,0.7343,0.7343,-0.7343
28.3210,0.7300,0.7370,0.7370,-0.7370
28.6039,0.7394,0.7399,0.7399,-0.7399
28.8896,0.7496,0.7428,0.7428,-0.7428
29.1782,0.7500,0.7459,0.7459,-0.7459
29.4697,0.7500,0.7494,0.7494,-0.7494
29.7640,0.7500,0.7536,0.7536,-0.7536
30.0613,0.7500,0.7587,0.7587,-0.7587
30.3616,0.7406,0.7649,0.7649,-0.7649
30.6649,0.7495,0.7724,0.7724,-0.7724
30.9712,0.7500,0.7813,0.7813,-0.7813
31.2806,0.7687,0.7919,0.7919,-0.7919
31.5930,0.7795,0.8041,0.8041,-0.8041
31.9086,0.7987,0.8177,0.8177,-0.8177
32.2273,0.8096,0.8328,0.8328,-0.8328
32.5492,0.8287,0.8496,0.8496,-0.8496
32.8744,0.8490,0.8681,0.8681,-0.8681
33.2027,0.8784,0.8881,0.8881,-0.8881
33.5344,0.8991,0.9098,0.9098,-0.9098
33.8694,0.9188,0.9329,0.9329,-0.9329
34.2077,0.9480,0.9574,0.9574,-0.9574
34.5494,0.9782,0.9833,0.9833,-0.9833
34.8945,0.9985,1.0102,1.0102,-1.0102
35.2430,1.0185,1.0384,1.0384,-1.0384
35.5951,1.0479,1.0679,1.0679,-1.0679
35.9506,1.0783,1.0986,1.0986,-1.0986
36.3097,1.1083,1.1306,1.1306,-1.1306
36.6724,1.1470,1.1638,1.1638,-1.1638
37.0387,1.1876,1.1981,1.1981,-1.1981
37.4087,1.2277,1.2332,1.2332,-1.2332
37.7824,1.2671,1.2691,1.2691,-1.2691
38.1598,1.2976,1.3055,1.3055,-1.3055
38.5409,1.3369,1.3423,1.3423,-1.3423
38.9259,1.3775,1.3794,1.3794,-1.3794
39.3147,1.4174,1.4166,1.4166,-1.4166
39.7074,1.4567,1.4537,1.4537,-1.4537
40.1041,1.4964,1.4904,1.4904,-1.4904
40.5046,1.5365,1.5264,1.5264,-1.5264
40.9092,1.5769,1.5616,1.5616,-1.5616
41.3179,1.6169,1.5958,1.5958,-1.5958
41.7306,1.6478,1.6287,1.6287,-1.6287
42.1474,1.6777,1.6603,1.6603,-1.6603
42.5684,1.7077,1.6906,1.6906,-1.6906
42.9936,1.7375,1.7195,1.7195,-1.7195
43.4231,1.7674,1.7468,1.7468,-1.7468
43.8568,1.7880,1.7726,1.7726,-1.7726
44.2949,1.8176,1.7967,1.7967,-1.7967
44.7374,1.8381,1.8193,1.8193,-1.8193
45.1842,1.8580,1.8404,1.8404,-1.8404
45.6356,1.8780,1.8599,1.8599,-1.8599
46.0914,1.8983,1.8779,1.8779,-1.8779
46.5518,1.9090,1.8945,1.8945,-1.8945
47.0168,1.9191,1.9099,1.9099,-1.9099
47.4864,1.9381,1.9240,1.9240,-1.9240
47.9608,1.9490,1.9369,1.9369,-1.9369
48.4398,1.9590,1.9487,1.9487,-1.9487
48.9237,1.9690,1.9593,1.9593,-1.9593
49.4124,1.9790,1.9689,1.9689,-1.9689
49.9059,1.9889,1.9775,1.9775,-1.9775
50.4044,1.9989,1.9851,1.9851,-1.9851
50.9079,2.0000,1.9919,1.9919,-1.9919
51.4164,2.0089,1.9979,1.9979,-1.9979
51.9300,2.0100,2.0032,2.0032,-2.0032
52.4487,2.0188,2.0078,2.0078,-2.0078
52.9726,2.0200,2.0116,2.0116,-2.0116
53.5018,2.0200,2.0148,2.0148,-2.0148
54.0362,2.0200,2.0174,2.0174,-2.0174
54.5759,2.0200,2.0195,2.0195,-2.0195
55.1211,2.0200,2.0211,2.0211,-2.0211
55.6717,2.0288,2.0224,2.0224,-2.0224
56.2278,2.0300,2.0230,2.0230,-2.0230
56.7894,2.0300,2.0231,2.0231,-2.0231
57.3567,2.0300,2.0225,2.0225,-2.0225
57.9296,2.0300,2.0212,2.0212,-2.0212
58.5082,2.0300,2.0191,2.0191,-2.0191
59.0927,2.0212,2.0161,2.0161,-2.0161
59.6829,2.0200,2.0121,2.0121,-2.0121
60.2791,2.0200,2.0073,2.0073,-2.0073
60.8812,2.0200,2.0013,2.0013,-2.0013
61.4893,2.0113,1.9941,1.9941,-1.9941
62.1035,2.0100,1.9855,1.9855,-1.9855
62.7239,1.9925,1.9757,1.9757,-1.9757
63.3504,1.9813,1.9645,1.9645,-1.9645
63.9832,1.9714,1.9521,1.9521,-1.9521
64.6223,1.9527,1.9384,1.9384,-1.9384
65.2678,1.9326,1.9234,1.9234,-1.9234
65.9198,1.9127,1.9074,1.9074,-1.9074
66.5782,1.9014,1.8905,1.8905,-1.8905
67.2433,1.8826,1.8725,1.8725,-1.8725
67.9149,1.8628,1.8537,1.8537,-1.8537
68.5933,1.8428,1.8343,1.8343,-1.8343
69.2785,1.8227,1.8142,1.8142,-1.8142
69.9705,1.8028,1.7937,1.7937,-1.7937
70.6694,1.7743,1.7728,1.7728,-1.7728
71.3753,1.7529,1.7518,1.7518,-1.7518
