frequency,raw,smoothed,error,equalization
20.0000,1.5200,1.6558,1.6558,-1.6558
20.1998,1.5300,1.6747,1.6747,-1.6747
20.4015,1.5803,1.6969,1.6969,-1.6969
20.6053,1.6191,1.7216,1.7216,-1.7216
20.8112,1.6703,1.7485,1.7485,-1.7485
21.0190,1.7198,1.7775,1.7775,-1.7775
21.2290,1.7598,1.8084,1.8084,-1.8084
21.4410,1.8102,1.8413,1.8413,-1.8413
21.6552,1.8589,1.8766,1.8766,-1.8766
21.8715,1.9202,1.9143,1.9143,-1.9143
22.0900,1.9500,1.9546,1.9546,-1.9546
22.3106,2.0002,1.9981,1.9981,-1.9981
22.5335,2.0583,2.0438,2.0438,-2.0438
22.7586,2.0898,2.0892,2.0892,-2.0892
22.9859,2.1391,2.1342,2.1342,-2.1342
23.2155,2.1792,2.1789,2.1789,-2.1789
23.4474,2.2294,2.2232,2.2232,-2.2232
23.6816,2.2686,2.2671,2.2671,-2.2671
23.9182,2.3097,2.3106,2.3106,-2.3106
24.1571,2.3693,2.3536,2.3536,-2.3536
24.3984,2.3998,2.3959,2.3959,-2.3959
24.6421,2.4484,2.4378,2.4378,-2.4378
24.8882,2.4897,2.4791,2.4791,-2.4791
25.1368,2.5196,2.5198,2.5198,-2.5198
25.3879,2.5696,2.5600,2.5600,-2.5600
25.6415,2.5990,2.5997,2.5997,-2.5997
25.8976,2.6476,2.6389,2.6389,-2.6389
26.1563,2.6894,2.6775,2.6775,-2.6775
26.4176,2.7186,2.7155,2.7155,-2.7155
26.6815,2.7587,2.7530,2.7530,-2.7530
26.9480,2.7982,2.7900,2.7900,-2.7900
27.2172,2.8286,2.8263,2.8263,-2.8263
27.4890,2.8684,2.8623,2.8623,-2.8623
27.7636,2.8993,2.8977,2.8977,-2.8977
28.0409,2.9484,2.9326,2.9326,-2.9326
28.3210,2.9694,2.9667,2.9667,-2.9667
28.6039,2.9983,3.0004,3.0004,-3.0004
28.8896,3.0385,3.0336,3.0336,-3.0336
29.1782,3.0784,3.0664,3.0664,-3.0664
29.4697,3.1089,3.0985,3.0985,-3.0985
29.7640,3.1384,3.1300,3.1300,-3.1300
30.0613,3.1681,3.1609,3.1609,-3.1609
30.3616,3.1982,3.1913,3.1913,-3.1913
30.6649,3.2285,3.2212,3.2212,-3.2212
30.9712,3.2582,3.2506,3.2506,-3.2506
31.2806,3.2694,3.2794,3.2794,-3.2794
31.5930,3.3173,3.3079,3.3079,-3.3079
31.9086,3.3387,3.3359,3.3359,-3.3359
32.2273,3.3688,3.3634,3.3634,-3.3634
32.5492,3.4075,3.3904,3.3904,-3.3904
32.8744,3.4100,3.4167,3.4167,-3.4167
33.2027,3.4574,3.4428,3.4428,-3.4428
33.5344,3.4600,3.4682,3.4682,-3.4682
33.8694,3.5070,3.4934,3.4934,-3.4934
34.2077,3.5287,3.5180,3.5180,-3.5180
34.5494,3.5488,3.5420,3.5420,-3.5420
34.8945,3.5685,3.5656,3.5656,-3.5656
35.2430,3.5977,3.5886,3.5886,-3.5886
35.5951,3.6093,3.6110,3.6110,-3.6110
35.9506,3.6478,3.6329,3.6329,-3.6329
36.3097,3.6500,3.6542,3.6542,-3.6542
36.6724,3.6870,3.6752,3.6752,-3.6752
37.0387,3.6900,3.6956,3.6956,-3.6956
37.4087,3.7371,3.7155,3.7155,-3.7155
37.7824,3.7400,3.7347,3.7347,-3.7347
38.1598,3.7492,3.7533,3.7533,-3.7533
38.5409,3.7869,3.7716,3.7716,-3.7716
38.9259,3.7900,3.7892,3.7892,-3.7892
39.3147,3.8181,3.8064,3.8064,-3.8064
39.7074,3.8292,3.8230,3.8230,-3.8230
40.1041,3.8300,3.8390,3.8390,-3.8390
40.5046,3.8756,3.8545,3.8545,-3.8545
40.9092,3.8800,3.8694,3.8694,-3.8694
