frequency,raw,smoothed,error,equalization
20.0000,9.3100,9.3229,9.3229,-9.3229
20.1998,9.3100,9.3240,9.3240,-9.3240
20.4015,9.3200,9.3250,9.3250,-9.3250
20.6053,9.3200,9.3257,9.3257,-9.3257
20.8112,9.3201,9.3261,9.3261,-9.3261
21.0190,9.3300,9.3263,9.3263,-9.3263
21.2290,9.3400,9.3261,9.3261,-9.3261
21.4410,9.3400,9.3253,9.3253,-9.3253
21.6552,9.3400,9.3240,9.3240,-9.3240
21.8715,9.3400,9.3221,9.3221,-9.3221
22.0900,9.3400,9.3197,9.3197,-9.3197
22.3106,9.3300,9.3166,9.3166,-9.3166
22.5335,9.3203,9.3130,9.3130,-9.3130
22.7586,9.3101,9.3087,9.3087,-9.3087
22.9859,9.3002,9.3040,9.3040,-9.3040
23.2155,9.2902,9.2991,9.2991,-9.2991
23.4474,9.2900,9.2942,9.2942,-9.2942
23.6816,9.2803,9.2893,9.2893,-9.2893
23.9182,9.2800,9.2848,9.2848,-9.2848
24.1571,9.2800,9.2806,9.2806,-9.2806
24.3984,9.2800,9.2768,9.2768,-9.2768
24.6421,9.2703,9.2731,9.2731,-9.2731
24.8882,9.2601,9.2696,9.2696,-9.2696
25.1368,9.2600,9.2662,9.2662,-9.2662
25.3879,9.2501,9.2623,9.2623,-9.2623
25.6415,9.2500,9.2578,9.2578,-9.2578
25.8976,9.2500,9.2523,9.2523,-9.2523
26.1563,9.2599,9.2454,9.2454,-9.2454
26.4176,9.2695,9.2367,9.2367,-9.2367
26.6815,9.2700,9.2259,9.2259,-9.2259
26.9480,9.2700,9.2129,9.2129,-9.2129
27.2172,9.2605,9.1977,9.1977,-9.1977
27.4890,9.2408,9.1805,9.1805,-9.1805
27.7636,9.2107,9.1615,9.1615,-9.1615
28.0409,9.1713,9.1411,9.1411,-9.1411
28.3210,9.1216,9.1198,9.1198,-9.1198
28.6039,9.0822,9.0983,9.0983,-9.0983
28.8896,9.0415,9.0768,9.0768,-9.0768
29.1782,9.0016,9.0559,9.0559,-9.0559
29.4697,8.9711,9.0362,9.0362,-9.0362
29.7640,8.9700,9.0178,9.0178,-9.0178
30.0613,8.9606,9.0008,9.0008,-9.0008
30.3616,8.9600,8.9851,8.9851,-8.9851
30.6649,8.9695,8.9704,8.9704,-8.9704
30.9712,8.9700,8.9564,8.9564,-8.9564
31.2806,8.9606,8.9426,8.9426,-8.9426
31.5930,8.9600,8.9287,8.9287,-8.9287
31.9086,8.9413,8.9143,8.9143,-8.9143
32.2273,8.9208,8.8990,8.8990,-8.8990
32.5492,8.9106,8.8826,8.8826,-8.8826
32.8744,8.8910,8.8649,8.8649,-8.8649
33.2027,8.8616,8.8455,8.8455,-8.8455
33.5344,8.8409,8.8246,8.8246,-8.8246
33.8694,8.8118,8.8022,8.8022,-8.8022
34.2077,8.7913,8.7785,8.7785,-8.7785
34.5494,8.7618,8.7535,8.7535,-8.7535
34.8945,8.7322,8.7276,8.7276,-8.7276
35.2430,8.7023,8.7009,8.7009,-8.7009
35.5951,8.6814,8.6736,8.6736,-8.6736
35.9506,8.6517,8.6456,8.6456,-8.6456
36.3097,8.6217,8.6169,8.6169,-8.6169
36.6724,8.5922,8.5876,8.5876,-8.5876
37.0387,8.5618,8.5577,8.5577,-8.5577
37.4087,8.5317,8.5272,8.5272,-8.5272
37.7824,8.5022,8.4961,8.4961,-8.4961
38.1598,8.4724,8.4645,8.4645,-8.4645
38.5409,8.4423,8.4322,8.4322,-8.4322
38.9259,8.4119,8.3994,8.3994,-8.3994
39.3147,8.3819,8.3661,8.3661,-8.3661
39.7074,8.3433,8.3321,8.3321,-8.3321
40.1041,8.3036,8.2975,8.2975,-8.2975
40.5046,8.2635,8.2626,8.2626,-8.2626
40.9092,8.2231,8.2272,8.2272,-8.2272
41.3179,8.1924,8.1916,8.1916,-8.1916
41.7306,8.1529,8.1557,8.1557,-8.1557
42.1474,8.1131,8.1195,8.1195,-8.1195
42.5684,8.0823,8.0831,8.0831,-8.0831
42.9936,8.0525,8.0463,8.0463,-8.0463
43.4231,8.0134,8.0091,8.0091,-8.0091
43.8568,7.9829,7.9714,7.9714,-7.9714
44.2949,7.9433,7.9332,7.9332,-7.9332
44.7374,7.9038,7.8943,7.8943,-7.8943
45.1842,7.8641,7.8547,7.8547,-7.8547
45.6356,7.8240,7.8143,7.8143,-7.8143
46.0914,7.7834,7.7732,7.7732,-7.7732
46.5518,7.7441,7.7313,7.7313,-7.7313
47.0168,7.7038,7.6886,7.6886,-7.6886
47.4864,7.6546,7.6451,7.6451,-7.6451
47.9608,7.6141,7.6008,7.6008,-7.6008
48.4398,7.5652,7.5557,7.5557,-7.5557
48.9237,7.5148,7.5099,7.5099,-7.5099
49.4124,7.4649,7.4635,7.4635,-7.4635
49.9059,7.4154,7.4167,7.4167,-7.4167
50.4044,7.3656,7.3697,7.3697,-7.3697
50.9079,7.3242,7.3227,7.3227,-7.3227
51.4164,7.2753,7.2759,7.2759,-7.2759
51.9300,7.2346,7.2295,7.2295,-7.2295
52.4487,7.1859,7.1836,7.1836,-7.1836
52.9726,7.1355,7.1385,7.1385,-7.1385
