frequency,raw,smoothed,error,equalization
20.0000,9.9300,9.8972,9.8972,-9.8972
20.1998,9.9200,9.8929,9.8929,-9.8929
20.4015,9.9099,9.8879,9.8879,-9.8879
20.6053,9.9002,9.8823,9.8823,-9.8823
20.8112,9.8999,9.8761,9.8761,-9.8761
21.0190,9.8900,9.8691,9.8691,-9.8691
21.2290,9.8800,9.8614,9.8614,-9.8614
21.4410,9.8600,9.8529,9.8529,-9.8529
21.6552,9.8502,9.8437,9.8437,-9.8437
21.8715,9.8399,9.8337,9.8337,-9.8337
22.0900,9.8300,9.8226,9.8226,-9.8226
22.3106,9.8199,9.8105,9.8105,-9.8105
22.5335,9.8006,9.7973,9.7973,-9.7973
22.7586,9.7901,9.7837,9.7837,-9.7837
22.9859,9.7704,9.7696,9.7696,-9.7696
23.2155,9.7602,9.7551,9.7551,-9.7551
23.4474,9.7402,9.7401,9.7401,-9.7401
23.6816,9.7303,9.7248,9.7248,-9.7248
23.9182,9.7102,9.7091,9.7091,-9.7091
24.1571,9.7001,9.6930,9.6930,-9.6930
24.3984,9.6801,9.6764,9.6764,-9.6764
24.6421,9.6703,9.6594,9.6594,-9.6594
24.8882,9.6501,9.6420,9.6420,-9.6420
25.1368,9.6303,9.6241,9.6241,-9.6241
25.3879,9.6102,9.6058,9.6058,-9.6058
25.6415,9.5907,9.5872,9.5872,-9.5872
25.8976,9.5710,9.5682,9.5682,-9.5682
26.1563,9.5503,9.5488,9.5488,-9.5488
26.4176,9.5309,9.5290,9.5290,-9.5290
26.6815,9.5107,9.5089,9.5089,-9.5089
26.9480,9.4909,9.4884,9.4884,-9.4884
27.2172,9.4710,9.4675,9.4675,-9.4675
27.4890,9.4508,9.4463,9.4463,-9.4463
27.7636,9.4305,9.4247,9.4247,-9.4247
28.0409,9.4106,9.4028,9.4028,-9.4028
28.3210,9.3906,9.3804,9.3804,-9.3804
28.6039,9.3617,9.3575,9.3575,-9.3575
28.8896,9.3407,9.3343,9.3343,-9.3343
29.1782,9.3112,9.3105,9.3105,-9.3105
29.4697,9.2907,9.2864,9.2864,-9.2864
29.7640,9.2616,9.2618,9.2618,-9.2618
30.0613,9.2412,9.2369,9.2369,-9.2369
30.3616,9.2212,9.2115,9.2115,-9.2115
30.6649,9.1915,9.1855,9.1855,-9.1855
30.9712,9.1618,9.1590,9.1590,-9.1590
31.2806,9.1413,9.1321,9.1321,-9.1321
31.5930,9.1116,9.1047,9.1047,-9.1047
31.9086,9.0820,9.0769,9.0769,-9.0769
32.2273,9.0512,9.0487,9.0487,-9.0487
32.5492,9.0219,9.0201,9.0201,-9.0201
32.8744,9.0010,8.9911,8.9911,-8.9911
33.2027,8.9716,8.9615,8.9615,-8.9615
33.5344,8.9319,8.9315,8.9315,-8.9315
33.8694,8.9018,8.9010,8.9010,-8.9010
34.2077,8.8720,8.8702,8.8702,-8.8702
34.5494,8.8418,8.8391,8.8391,-8.8391
34.8945,8.8122,8.8076,8.8076,-8.8076
35.2430,8.7823,8.7756,8.7756,-8.7756
35.5951,8.7521,8.7433,8.7433,-8.7433
35.9506,8.7122,8.7105,8.7105,-8.7105
36.3097,8.6817,8.6773,8.6773,-8.6773
36.6724,8.6522,8.6438,8.6438,-8.6438
37.0387,8.6124,8.6098,8.6098,-8.6098
37.4087,8.5817,8.5755,8.5755,-8.5755
37.7824,8.5429,8.5409,8.5409,-8.5409
38.1598,8.5124,8.5060,8.5060,-8.5060
38.5409,8.4731,8.4706,8.4706,-8.4706
38.9259,8.4325,8.4349,8.4349,-8.4349
39.3147,8.4019,8.3989,8.3989,-8.3989
39.7074,8.3633,8.3626,8.3626,-8.3626
40.1041,8.3327,8.3260,8.3260,-8.3260
40.5046,8.2935,8.2891,8.2891,-8.2891
40.9092,8.2531,8.2518,8.2518,-8.2518
41.3179,8.2224,8.2142,8.2142,-8.2142
41.7306,8.1829,8.1763,8.1763,-8.1763
42.1474,8.1431,8.1379,8.1379,-8.1379
42.5684,8.1030,8.0991,8.0991,-8.0991
42.9936,8.0634,8.0601,8.0601,-8.0601
43.4231,8.0234,8.0206,8.0206,-8.0206
43.8568,7.9839,7.9808,7.9808,-7.9808
44.2949,7.9433,7.9407,7.9407,-7.9407
44.7374,7.9038,7.9002,7.9002,-7.9002
45.1842,7.8641,7.8594,7.8594,-7.8594
45.6356,7.8240,7.8182,7.8182,-7.8182
46.0914,7.7834,7.7767,7.7767,-7.7767
46.5518,7.7351,7.7348,7.7348,-7.7348
47.0168,7.6938,7.6928,7.6928,-7.6928
47.4864,7.6537,7.6504,7.6504,-7.6504
47.9608,7.6141,7.6078,7.6078,-7.6078
48.4398,7.5652,7.5647,7.5647,-7.5647
48.9237,7.5239,7.5213,7.5213,-7.5213
49.4124,7.4839,7.4776,7.4776,-7.4776
49.9059,7.4354,7.4336,7.4336,-7.4336
50.4044,7.3944,7.3893,7.3893,-7.3893
50.9079,7.3452,7.3447,7.3447,-7.3447
51.4164,7.3042,7.2998,7.2998,-7.2998
51.9300,7.2646,7.2547,7.2547,-7.2547
52.4487,7.2159,7.2092,7.2092,-7.2092
52.9726,7.1655,7.1634,7.1634,-7.1634
53.5018,7.1155,7.1173,7.1173,-7.1173
54.0362,7.0659,7.0710,7.0710,-7.0710
54.5759,7.0247,7.0246,7.0246,-7.0246
55.1211,6.9844,6.9781,6.9781,-6.9781
55.6717,6.9361,6.9313,6.9313,-6.9313
56.2278,6.8857,6.8843,6.8843,-6.8843
56.7894,6.8362,6.8371,6.8371,-6.8371
57.3567,6.7945,6.7897,6.7897,-6.7897
57.9296,6.7461,6.7421,6.7421,-6.7421
58.5082,6.6962,6.6942,6.6942,-6.6942
59.0927,6.6458,6.6463,6.6463,-6.6463
59.6829,6.5964,6.5981,6.5981,-6.5981
60.2791,6.5548,6.5499,6.5499,-6.5499
60.8812,6.5065,6.5013,6.5013,-6.5013
61.4893,6.4566,6.4525,6.4525,-6.4525
62.1035,6.4063,6.4035,6.4035,-6.4035
62.7239,6.3561,6.3543,6.3543,-6.3543
63.3504,6.3063,6.3050,6.3050,-6.3050
63.9832,6.2568,6.2554,6.2554,-6.2554
64.6223,6.2069,6.2056,6.2056,-6.2056
65.2678,6.1564,6.1557,6.1557,-6.1557
65.9198,6.1068,6.1056,6.1056,-6.1056
66.5782,6.0570,6.0554,6.0554,-6.0554
67.2433,6.0066,6.0049,6.0049,-6.0049
67.9149,5.9570,5.9542,5.9542,-5.9542
68.5933,5.9071,5.9033,5.9033,-5.9033
69.2785,5.8567,5.8522,5.8522,-5.8522
69.9705,5.8071,5.8009,5.8009,-5.8009
70.6694,5.7486,5.7494,5.7494,-5.7494
71.3753,5.6974,5.6978,5.6978,-5.6978
72.0883,5.6472,5.6460,5.6460,-5.6460
72.8083,5.5971,5.5941,5.5941,-5.5941
73.5356,5.5472,5.5421,5.5421,-5.5421
74.2701,5.4889,5.4899,5.4899,-5.4899
75.0120,5.4373,5.4376,5.4376,-5.4376
75.7613,5.3872,5.3853,5.3853,-5.3853
76.5180,5.3288,5.3329,5.3329,-5.3329
77.2824,5.2776,5.2806,5.2806,-5.2806
78.0543,5.2275,5.2282,5.2282,-5.2282
78.8340,5.1774,5.1759,5.1759,-5.1759
79.6214,5.1275,5.1235,5.1235,-5.1235
80.4168,5.0692,5.0709,5.0709,-5.0709
81.2200,5.0180,5.0183,5.0183,-5.0183
82.0313,4.9679,4.9658,4.9658,-4.9658
82.8507,4.9179,4.9132,4.9132,-4.9132
83.6783,4.8595,4.8605,4.8605,-4.8605
84.5141,4.8081,4.8078,4.8078,-4.8078
85.3583,4.7583,4.7550,4.7550,-4.7550
86.2109,4.6998,4.7022,4.7022,-4.7022
87.0721,4.6485,4.6493,4.6493,-4.6493
87.9418,4.5985,4.5964,4.5964,-4.5964
88.8203,4.5402,4.5434,4.5434,-4.5434
89.7075,4.4886,4.4905,4.4905,-4.4905
90.6035,4.4387,4.4376,4.4376,-4.4376
91.5085,4.3884,4.3846,4.3846,-4.3846
92.4226,4.3303,4.3315,4.3315,-4.3315
93.3458,4.2788,4.2785,4.2785,-4.2785
94.2782,4.2287,4.2254,4.2254,-4.2254
95.2199,4.1707,4.1723,4.1723,-4.1723
96.1711,4.1189,4.1192,4.1192,-4.1192
97.1317,4.0688,4.0661,4.0661,-4.0661
98.1019,4.0109,4.0130,4.0130,-4.0130
99.0818,3.9591,3.9599,3.9599,-3.9599
100.0715,3.9090,3.9068,3.9068,-3.9068
101.0711,3.8507,3.8538,3.8538,-3.8538
102.0807,3.7993,3.8009,3.8009,-3.8009
103.1004,3.7493,3.7480,3.7480,-3.7480
104.1302,3.6911,3.6952,3.6952,-3.6952
105.1703,3.6395,3.6425,3.6425,-3.6425
106.2209,3.5895,3.5899,3.5899,-3.5899
107.2819,3.5393,3.5374,3.5374,-3.5374
108.3535,3.4815,3.4849,3.4849,-3.4849
109.4358,3.4295,3.4325,3.4325,-3.4325
110.5289,3.3796,3.3803,3.3803,-3.3803
111.6330,3.3298,3.3281,3.3281,-3.3281
112.7481,3.2799,3.2760,3.2760,-3.2760
113.8743,3.2220,3.2240,3.2240,-3.2240
115.0118,3.1700,3.1720,3.1720,-3.1720
116.1606,3.1200,3.1203,3.1203,-3.1203
117.3209,3.0699,3.0686,3.0686,-3.0686
118.4928,3.0121,3.0170,3.0170,-3.0170
119.6764,2.9602,2.9656,2.9656,-2.9656
120.8718,2.9103,2.9145,2.9145,-2.9145
122.0792,2.8604,2.8635,2.8635,-2.8635
123.2986,2.8103,2.8127,2.8127,-2.8127
124.5302,2.7605,2.7621,2.7621,-2.7621
125.7741,2.7103,2.7115,2.7115,-2.7115
127.0304,2.6603,2.6612,2.6612,-2.6612
128.2993,2.6106,2.6110,2.6110,-2.6110
129.5808,2.5605,2.5609,2.5609,-2.5609
130.8752,2.5106,2.5110,2.5110,-2.5110
132.1825,2.4606,2.4612,2.4612,-2.4612
133.5028,2.4108,2.4116,2.4116,-2.4116
134.8363,2.3607,2.3621,2.3621,-2.3621
136.1832,2.3109,2.3127,2.3127,-2.3127
137.5435,2.2609,2.2635,2.2635,-2.2635
138.9174,2.2110,2.2144,2.2144,-2.2144
140.3050,2.1610,2.1655,2.1655,-2.1655
141.7065,2.1111,2.1169,2.1169,-2.1169
143.1220,2.0690,2.0684,2.0684,-2.0684
144.5516,2.0211,2.0202,2.0202,-2.0202
145.9955,1.9712,1.9721,1.9721,-1.9721
147.4538,1.9212,1.9243,1.9243,-1.9243
148.9267,1.8713,1.8767,1.8767,-1.8767
150.4143,1.8290,1.8294,1.8294,-1.8294
151.9167,1.7814,1.7823,1.7823,-1.7823
153.4342,1.7314,1.7354,1.7354,-1.7354
154.9668,1.6815,1.6888,1.6888,-1.6888
156.5147,1.6394,1.6425,1.6425,-1.6425
158.0781,1.5916,1.5965,1.5965,-1.5965
159.6571,1.5494,1.5507,1.5507,-1.5507
161.2519,1.5018,1.5051,1.5051,-1.5051
162.8626,1.4594,1.4598,1.4598,-1.4598
164.4894,1.4119,1.4147,1.4147,-1.4147
166.1324,1.3696,1.3698,1.3698,-1.3698
167.7919,1.3220,1.3251,1.3251,-1.3251
169.4679,1.2796,1.2807,1.2807,-1.2807
171.1607,1.2320,1.2365,1.2365,-1.2365
172.8704,1.1898,1.1925,1.1925,-1.1925
174.5972,1.1498,1.1487,1.1487,-1.1487
176.3412,1.1023,1.1051,1.1051,-1.1051
178.1026,1.0599,1.0618,1.0618,-1.0618
179.8816,1.0123,1.0186,1.0186,-1.0186
181.6784,0.9700,0.9758,0.9758,-0.9758
183.4932,0.9300,0.9333,0.9333,-0.9333
185.3261,0.8901,0.8912,0.8912,-0.8912
187.1772,0.8502,0.8493,0.8493,-0.8493
189.0469,0.8026,0.8078,0.8078,-0.8078
190.9352,0.7602,0.7666,0.7666,-0.7666
192.8425,0.7202,0.7257,0.7257,-0.7257
194.7687,0.6803,0.6852,0.6852,-0.6852
196.7142,0.6404,0.6450,0.6450,-0.6450
198.6792,0.6004,0.6052,0.6052,-0.6052
200.6637,0.5604,0.5657,0.5657,-0.5657
202.6681,0.5204,0.5265,0.5265,-0.5265
204.6925,0.4879,0.4877,0.4877,-0.4877
206.7371,0.4506,0.4492,0.4492,-0.4492
208.8022,0.4106,0.4109,0.4109,-0.4109
210.8879,0.3706,0.3729,0.3729,-0.3729
212.9944,0.3307,0.3352,0.3352,-0.3352
215.1219,0.2907,0.2978,0.2978,-0.2978
217.2707,0.2580,0.2608,0.2608,-0.2608
219.4410,0.2208,0.2241,0.2241,-0.2241
221.6329,0.1809,0.1877,0.1877,-0.1877
223.8468,0.1482,0.1517,0.1517,-0.1517
226.0827,0.1110,0.1161,0.1161,-0.1161
228.3410,0.0782,0.0807,0.0807,-0.0807
230.6219,0.0410,0.0457,0.0457,-0.0457
232.9255,0.0083,0.0111,0.0111,-0.0111
235.2521,-0.0289,-0.0232,-0.0232,0.0232
237.6020,-0.0616,-0.0571,-0.0571,0.0571
239.9754,-0.0916,-0.0906,-0.0906,0.0906
242.3724,-0.1288,-0.1239,-0.1239,0.1239
244.7934,-0.1615,-0.1568,-0.1568,0.1568
247.2386,-0.1915,-0.1893,-0.1893,0.1893
249.7082,-0.2215,-0.2216,-0.2216,0.2216
252.2025,-0.2586,-0.2536,-0.2536,0.2536
254.7217,-0.2914,-0.2853,-0.2853,0.2853
257.2661,-0.3214,-0.3166,-0.3166,0.3166
259.8358,-0.3513,-0.3476,-0.3476,0.3476
262.4313,-0.3813,-0.3782,-0.3782,0.3782
265.0527,-0.4112,-0.4085,-0.4085,0.4085
267.7002,-0.4412,-0.4385,-0.4385,0.4385
270.3742,-0.4712,-0.4682,-0.4682,0.4682
273.0749,-0.5012,-0.4975,-0.4975,0.4975
275.8026,-0.5312,-0.5264,-0.5264,0.5264
278.5575,-0.5611,-0.5550,-0.5550,0.5550
281.3400,-0.5911,-0.5833,-0.5833,0.5833
284.1502,-0.6140,-0.6111,-0.6111,0.6111
286.9885,-0.6410,-0.6385,-0.6385,0.6385
289.8552,-0.6710,-0.6657,-0.6657,0.6657
292.7505,-0.6940,-0.6925,-0.6925,0.6925
295.6747,-0.7209,-0.7189,-0.7189,0.7189
298.6281,-0.7509,-0.7450,-0.7450,0.7450
301.6111,-0.7739,-0.7707,-0.7707,0.7707
304.6238,-0.8008,-0.7961,-0.7961,0.7961
307.6666,-0.8238,-0.8211,-0.8211,0.8211
310.7398,-0.8507,-0.8457,-0.8457,0.8457
313.8437,-0.8738,-0.8699,-0.8699,0.8699
316.9786,-0.9007,-0.8937,-0.8937,0.8937
320.1449,-0.9237,-0.9172,-0.9172,0.9172
323.3427,-0.9437,-0.9402,-0.9402,0.9402
326.5725,-0.9637,-0.9628,-0.9628,0.9628
329.8346,-0.9905,-0.9852,-0.9852,0.9852
333.1292,-1.0137,-1.0071,-1.0071,1.0071
336.4568,-1.0336,-1.0286,-1.0286,1.0286
339.8176,-1.0536,-1.0497,-1.0497,1.0497
343.2119,-1.0736,-1.0705,-1.0705,1.0705
346.6402,-1.0936,-1.0909,-1.0909,1.0909
350.1027,-1.1135,-1.1110,-1.1110,1.1110
353.5998,-1.1335,-1.1307,-1.1307,1.1307
357.1318,-1.1535,-1.1501,-1.1501,1.1501
360.6991,-1.1735,-1.1692,-1.1692,1.1692
364.3021,-1.1934,-1.1879,-1.1879,1.1879
367.9410,-1.2134,-1.2062,-1.2062,1.2062
371.6163,-1.2267,-1.2241,-1.2241,1.2241
375.3283,-1.2434,-1.2417,-1.2417,1.2417
379.0774,-1.2634,-1.2589,-1.2589,1.2589
382.8639,-1.2833,-1.2758,-1.2758,1.2758
386.6882,-1.2967,-1.2923,-1.2923,1.2923
390.5508,-1.3133,-1.3085,-1.3085,1.3085
394.4519,-1.3266,-1.3242,-1.3242,1.3242
398.3920,-1.3432,-1.3396,-1.3396,1.3396
402.3714,-1.3566,-1.3546,-1.3546,1.3546
406.3906,-1.3732,-1.3692,-1.3692,1.3692
410.4500,-1.3866,-1.3834,-1.3834,1.3834
414.5498,-1.4032,-1.3973,-1.3973,1.3973
418.6907,-1.4166,-1.4108,-1.4108,1.4108
422.8729,-1.4266,-1.4238,-1.4238,1.4238
427.0969,-1.4431,-1.4365,-1.4365,1.4365
431.3631,-1.4565,-1.4488,-1.4488,1.4488
435.6718,-1.4665,-1.4606,-1.4606,1.4606
440.0237,-1.4765,-1.4721,-1.4721,1.4721
444.4190,-1.4865,-1.4832,-1.4832,1.4832
448.8582,-1.4965,-1.4938,-1.4938,1.4938
453.3417,-1.5065,-1.5042,-1.5042,1.5042
457.8700,-1.5165,-1.5141,-1.5141,1.5141
462.4436,-1.5265,-1.5236,-1.5236,1.5236
467.0628,-1.5365,-1.5328,-1.5328,1.5328
471.7282,-1.5464,-1.5416,-1.5416,1.5416
476.4402,-1.5564,-1.5500,-1.5500,1.5500
481.1993,-1.5664,-1.5580,-1.5580,1.5580
486.0059,-1.5700,-1.5655,-1.5655,1.5655
490.8605,-1.5764,-1.5726,-1.5726,1.5726
495.7636,-1.5864,-1.5794,-1.5794,1.5794
500.7156,-1.5900,-1.5857,-1.5857,1.5857
505.7172,-1.5964,-1.5915,-1.5915,1.5915
510.7687,-1.6000,-1.5969,-1.5969,1.5969
515.8706,-1.6063,-1.6018,-1.6018,1.6018
521.0235,-1.6100,-1.6063,-1.6063,1.6063
526.2279,-1.6163,-1.6103,-1.6103,1.6103
531.4843,-1.6200,-1.6138,-1.6138,1.6138
536.7932,-1.6200,-1.6167,-1.6167,1.6167
542.1551,-1.6263,-1.6192,-1.6192,1.6192
547.5705,-1.6300,-1.6212,-1.6212,1.6212
553.0401,-1.6300,-1.6225,-1.6225,1.6225
558.5643,-1.6300,-1.6233,-1.6233,1.6233
564.1437,-1.6300,-1.6234,-1.6234,1.6234
569.7788,-1.6300,-1.6230,-1.6230,1.6230
575.4701,-1.6300,-1.6219,-1.6219,1.6219
581.2184,-1.6300,-1.6202,-1.6202,1.6202
587.0241,-1.6238,-1.6177,-1.6177,1.6177
592.8877,-1.6200,-1.6146,-1.6146,1.6146
598.8099,-1.6200,-1.6109,-1.6109,1.6109
604.7913,-1.6138,-1.6064,-1.6064,1.6064
610.8324,-1.6100,-1.6012,-1.6012,1.6012
616.9339,-1.6039,-1.5953,-1.5953,1.5953
623.0963,-1.5939,-1.5886,-1.5886,1.5886
629.3203,-1.5900,-1.5812,-1.5812,1.5812
635.6064,-1.5839,-1.5730,-1.5730,1.5730
641.9553,-1.5739,-1.5639,-1.5639,1.5639
648.3677,-1.5639,-1.5541,-1.5541,1.5541
