frequency,raw,smoothed,error,equalization
20.0000,8.7200,8.7458,8.7458,-8.7458
20.1998,8.7300,8.7477,8.7477,-8.7477
20.4015,8.7400,8.7496,8.7496,-8.7496
20.6053,8.7400,8.7514,8.7514,-8.7514
20.8112,8.7501,8.7530,8.7530,-8.7530
21.0190,8.7600,8.7543,8.7543,-8.7543
21.2290,8.7700,8.7553,8.7553,-8.7553
21.4410,8.7700,8.7558,8.7558,-8.7558
21.6552,8.7700,8.7559,8.7559,-8.7559
21.8715,8.7700,8.7557,8.7557,-8.7557
22.0900,8.7700,8.7549,8.7549,-8.7549
22.3106,8.7600,8.7537,8.7537,-8.7537
22.5335,8.7600,8.7517,8.7517,-8.7517
22.7586,8.7501,8.7490,8.7490,-8.7490
22.9859,8.7402,8.7454,8.7454,-8.7454
23.2155,8.7400,8.7411,8.7411,-8.7411
23.4474,8.7400,8.7358,8.7358,-8.7358
23.6816,8.7400,8.7297,8.7297,-8.7297
23.9182,8.7400,8.7226,8.7226,-8.7226
24.1571,8.7301,8.7144,8.7144,-8.7144
24.3984,8.7300,8.7052,8.7052,-8.7052
24.6421,8.7203,8.6949,8.6949,-8.6949
24.8882,8.7001,8.6836,8.6836,-8.6836
25.1368,8.6901,8.6714,8.6714,-8.6714
25.3879,8.6702,8.6584,8.6584,-8.6584
25.6415,8.6507,8.6446,8.6446,-8.6446
25.8976,8.6310,8.6303,8.6303,-8.6303
26.1563,8.6103,8.6154,8.6154,-8.6154
26.4176,8.5909,8.6003,8.6003,-8.6003
26.6815,8.5803,8.5850,8.5850,-8.5850
26.9480,8.5609,8.5697,8.5697,-8.5697
27.2172,8.5505,8.5546,8.5546,-8.5546
27.4890,8.5404,8.5398,8.5398,-8.5398
27.7636,8.5205,8.5255,8.5255,-8.5255
28.0409,8.5103,8.5118,8.5118,-8.5118
28.3210,8.5003,8.4988,8.4988,-8.4988
28.6039,8.4811,8.4863,8.4863,-8.4863
28.8896,8.4704,8.4741,8.4741,-8.4741
29.1782,8.4508,8.4621,8.4621,-8.4621
29.4697,8.4307,8.4503,8.4503,-8.4503
29.7640,8.4205,8.4387,8.4387,-8.4387
30.0613,8.4106,8.4273,8.4273,-8.4273
30.3616,8.4100,8.4160,8.4160,-8.4160
30.6649,8.4195,8.4046,8.4046,-8.4046
30.9712,8.4200,8.3928,8.3928,-8.3928
31.2806,8.4200,8.3803,8.3803,-8.3803
31.5930,8.4011,8.3666,8.3666,-8.3666
31.9086,8.3720,8.3517,8.3517,-8.3517
32.2273,8.3412,8.3356,8.3356,-8.3356
32.5492,8.3119,8.3186,8.3186,-8.3186
32.8744,8.2910,8.3007,8.3007,-8.3007
33.2027,8.2805,8.2819,8.2819,-8.2819
33.5344,8.2705,8.2619,8.2619,-8.2619
33.8694,8.2700,8.2405,8.2405,-8.2405
34.2077,8.2513,8.2172,8.2172,-8.2172
34.5494,8.2218,8.1922,8.1922,-8.1922
34.8945,8.1922,8.1654,8.1654,-8.1654
35.2430,8.1531,8.1373,8.1373,-8.1373
35.5951,8.1129,8.1081,8.1081,-8.1081
35.9506,8.0911,8.0779,8.0779,-8.0779
36.3097,8.0617,8.0464,8.0464,-8.0464
36.6724,8.0322,8.0136,8.0136,-8.0136
37.0387,8.0018,7.9796,7.9796,-7.9796
37.4087,7.9623,7.9444,7.9444,-7.9444
37.7824,7.9136,7.9084,7.9084,-7.9084
38.1598,7.8640,7.8723,7.8723,-7.8723
38.5409,7.8231,7.8363,7.8363,-7.8363
38.9259,7.7919,7.8007,7.8007,-7.8007
39.3147,7.7619,7.7652,7.7652,-7.7652
39.7074,7.7324,7.7298,7.7298,-7.7298
40.1041,7.6845,7.6944,7.6944,-7.6944
40.5046,7.6344,7.6590,7.6590,-7.6590
40.9092,7.6023,7.6240,7.6240,-7.6240
41.3179,7.5724,7.5892,7.5892,-7.5892
41.7306,7.5607,7.5546,7.5546,-7.5546
42.1474,7.5416,7.5198,7.5198,-7.5198
42.5684,7.5215,7.4848,7.4848,-7.4848
42.9936,7.4742,7.4492,7.4492,-7.4492
43.4231,7.4243,7.4132,7.4132,-7.4132
43.8568,7.3839,7.3768,7.3768,-7.3768
