frequency,raw,smoothed,error,equalization
20.0000,9.2300,9.2585,9.2585,-9.2585
20.1998,9.2400,9.2624,9.2624,-9.2624
20.4015,9.2401,9.2668,9.2668,-9.2668
20.6053,9.2498,9.2718,9.2718,-9.2718
20.8112,9.2601,9.2771,9.2771,-9.2771
21.0190,9.2700,9.2829,9.2829,-9.2829
21.2290,9.2800,9.2891,9.2891,-9.2891
21.4410,9.2900,9.2955,9.2955,-9.2955
21.6552,9.2998,9.3024,9.3024,-9.3024
21.8715,9.3101,9.3096,9.3096,-9.3096
22.0900,9.3200,9.3172,9.3172,-9.3172
22.3106,9.3300,9.3252,9.3252,-9.3252
22.5335,9.3397,9.3335,9.3335,-9.3335
22.7586,9.3499,9.3414,9.3414,-9.3414
22.9859,9.3500,9.3490,9.3490,-9.3490
23.2155,9.3598,9.3563,9.3563,-9.3563
23.4474,9.3699,9.3632,9.3632,-9.3632
23.6816,9.3700,9.3697,9.3697,-9.3697
23.9182,9.3799,9.3760,9.3760,-9.3760
24.1571,9.3899,9.3819,9.3819,-9.3819
24.3984,9.3900,9.3873,9.3873,-9.3873
24.6421,9.3997,9.3925,9.3925,-9.3925
24.8882,9.4000,9.3972,9.3972,-9.3972
25.1368,9.4000,9.4016,9.4016,-9.4016
25.3879,9.4099,9.4057,9.4057,-9.4057
25.6415,9.4100,9.4094,9.4094,-9.4094
25.8976,9.4195,9.4129,9.4129,-9.4129
26.1563,9.4200,9.4160,9.4160,-9.4160
26.4176,9.4200,9.4187,9.4187,-9.4187
26.6815,9.4297,9.4211,9.4211,-9.4211
26.9480,9.4300,9.4230,9.4230,-9.4230
27.2172,9.4300,9.4245,9.4245,-9.4245
27.4890,9.4300,9.4256,9.4256,-9.4256
27.7636,9.4300,9.4263,9.4263,-9.4263
28.0409,9.4300,9.4268,9.4268,-9.4268
28.3210,9.4300,9.4268,9.4268,-9.4268
28.6039,9.4300,9.4265,9.4265,-9.4265
28.8896,9.4300,9.4258,9.4258,-9.4258
29.1782,9.4300,9.4247,9.4247,-9.4247
29.4697,9.4300,9.4233,9.4233,-9.4233
29.7640,9.4205,9.4214,9.4214,-9.4214
30.0613,9.4200,9.4193,9.4193,-9.4193
30.3616,9.4200,9.4169,9.4169,-9.4169
30.6649,9.4200,9.4142,9.4142,-9.4142
30.9712,9.4200,9.4111,9.4111,-9.4111
31.2806,9.4106,9.4075,9.4075,-9.4075
31.5930,9.4100,9.4037,9.4037,-9.4037
31.9086,9.4007,9.3994,9.3994,-9.3994
32.2273,9.4000,9.3949,9.3949,-9.3949
32.5492,9.3906,9.3901,9.3901,-9.3901
32.8744,9.3900,9.3850,9.3850,-9.3850
33.2027,9.3805,9.3795,9.3795,-9.3795
33.5344,9.3800,9.3738,9.3738,-9.3738
33.8694,9.3706,9.3676,9.3676,-9.3676
34.2077,9.3607,9.3611,9.3611,-9.3611
34.5494,9.3600,9.3544,9.3544,-9.3544
34.8945,9.3507,9.3474,9.3474,-9.3474
35.2430,9.3408,9.3401,9.3401,-9.3401
35.5951,9.3400,9.3325,9.3325,-9.3325
35.9506,9.3306,9.3245,9.3245,-9.3245
36.3097,9.3206,9.3161,9.3161,-9.3161
36.6724,9.3107,9.3074,9.3074,-9.3074
37.0387,9.3006,9.2984,9.2984,-9.2984
37.4087,9.2906,9.2890,9.2890,-9.2890
37.7824,9.2807,9.2793,9.2793,-9.2793
38.1598,9.2800,9.2694,9.2694,-9.2694
38.5409,9.2615,9.2590,9.2590,-9.2590
38.9259,9.2506,9.2482,9.2482,-9.2482
39.3147,9.2406,9.2372,9.2372,-9.2372
39.7074,9.2308,9.2259,9.2259,-9.2259
40.1041,9.2209,9.2141,9.2141,-9.2141
40.5046,9.2018,9.2020,9.2020,-9.2020
40.9092,9.1908,9.1896,9.1896,-9.1896
41.3179,9.1808,9.1769,9.1769,-9.1769
41.7306,9.1707,9.1638,9.1638,-9.1638
42.1474,9.1516,9.1503,9.1503,-9.1503
42.5684,9.1408,9.1365,9.1365,-9.1365
42.9936,9.1308,9.1223,9.1223,-9.1223
43.4231,9.1117,9.1076,9.1076,-9.1076
43.8568,9.1010,9.0927,9.0927,-9.0927
44.2949,9.0816,9.0773,9.0773,-9.0773
44.7374,9.0619,9.0616,9.0616,-9.0616
45.1842,9.0510,9.0456,9.0456,-9.0456
45.6356,9.0320,9.0292,9.0292,-9.0292
46.0914,9.0117,9.0125,9.0125,-9.0125
46.5518,9.0010,8.9955,8.9955,-8.9955
47.0168,8.9819,8.9781,8.9781,-8.9781
47.4864,8.9619,8.9603,8.9603,-8.9603
47.9608,8.9421,8.9422,8.9422,-8.9422
48.4398,8.9310,8.9238,8.9238,-8.9238
48.9237,8.9119,8.9050,8.9050,-8.9050
49.4124,8.8919,8.8858,8.8858,-8.8858
49.9059,8.8722,8.8662,8.8662,-8.8662
50.4044,8.8522,8.8462,8.8462,-8.8462
50.9079,8.8321,8.8259,8.8259,-8.8259
51.4164,8.8121,8.8051,8.8051,-8.8051
51.9300,8.7835,8.7840,8.7840,-8.7840
52.4487,8.7624,8.7626,8.7626,-8.7626
52.9726,8.7422,8.7409,8.7409,-8.7409
53.5018,8.7222,8.7189,8.7189,-8.7189
54.0362,8.7024,8.6965,8.6965,-8.6965
54.5759,8.6736,8.6737,8.6737,-8.6737
55.1211,8.6522,8.6507,8.6507,-8.6507
55.6717,8.6324,8.6273,8.6273,-8.6273
56.2278,8.6123,8.6035,8.6035,-8.6035
56.7894,8.5837,8.5793,8.5793,-8.5793
57.3567,8.5623,8.5546,8.5546,-8.5546
57.9296,8.5336,8.5294,8.5294,-8.5294
58.5082,8.5125,8.5039,8.5039,-8.5039
59.0927,8.4835,8.4779,8.4779,-8.4779
59.6829,8.4539,8.4515,8.4515,-8.4515
60.2791,8.4324,8.4248,8.4248,-8.4248
60.8812,8.4039,8.3976,8.3976,-8.3976
61.4893,8.3740,8.3701,8.3701,-8.3701
62.1035,8.3438,8.3422,8.3422,-8.3422
62.7239,8.3137,8.3139,8.3139,-8.3139
63.3504,8.2838,8.2854,8.2854,-8.2854
63.9832,8.2541,8.2566,8.2566,-8.2566
64.6223,8.2327,8.2276,8.2276,-8.2276
65.2678,8.2039,8.1982,8.1982,-8.1982
65.9198,8.1741,8.1685,8.1685,-8.1685
66.5782,8.1442,8.1385,8.1385,-8.1385
67.2433,8.1139,8.1081,8.1081,-8.1081
67.9149,8.0842,8.0773,8.0773,-8.0773
68.5933,8.0543,8.0461,8.0461,-8.0461
69.2785,8.0154,8.0146,8.0146,-8.0146
69.9705,7.9843,7.9827,7.9827,-7.9827
70.6694,7.9543,7.9505,7.9505,-7.9505
71.3753,7.9244,7.9178,7.9178,-7.9178
72.0883,7.8857,7.8848,7.8848,-7.8848
72.8083,7.8542,7.8514,7.8514,-7.8514
73.5356,7.8243,7.8176,7.8176,-7.8176
74.2701,7.7859,7.7835,7.7835,-7.7835
75.0120,7.7544,7.7490,7.7490,-7.7490
75.7613,7.7158,7.7143,7.7143,-7.7143
76.5180,7.6844,7.6792,7.6792,-7.6792
77.2824,7.6461,7.6438,7.6438,-7.6438
78.0543,7.6145,7.6081,7.6081,-7.6081
78.8340,7.5759,7.5721,7.5721,-7.5721
79.6214,7.5360,7.5356,7.5356,-7.5356
80.4168,7.5046,7.4989,7.4989,-7.4989
81.2200,7.4664,7.4619,7.4619,-7.4619
82.0313,7.4264,7.4245,7.4245,-7.4245
82.8507,7.3863,7.3868,7.3868,-7.3868
83.6783,7.3548,7.3487,7.3487,-7.3487
84.5141,7.3165,7.3103,7.3103,-7.3103
85.3583,7.2767,7.2715,7.2715,-7.2715
86.2109,7.2365,7.2324,7.2324,-7.2324
87.0721,7.1968,7.1929,7.1929,-7.1929
87.9418,7.1568,7.1531,7.1531,-7.1531
88.8203,7.1168,7.1130,7.1130,-7.1130
89.7075,7.0769,7.0725,7.0725,-7.0725
90.6035,7.0370,7.0317,7.0317,-7.0317
91.5085,6.9967,6.9906,6.9906,-6.9906
92.4226,6.9486,6.9491,6.9491,-6.9491
93.3458,6.9071,6.9073,6.9073,-6.9073
94.2782,6.8670,6.8652,6.8652,-6.8652
95.2199,6.8272,6.8229,6.8229,-6.8229
96.1711,6.7871,6.7803,6.7803,-6.7803
97.1317,6.7388,6.7373,6.7373,-6.7373
98.1019,6.6973,6.6941,6.6941,-6.6941
99.0818,6.6573,6.6506,6.6506,-6.6506
100.0715,6.6090,6.6067,6.6067,-6.6067
101.0711,6.5672,6.5626,6.5626,-6.5626
102.0807,6.5193,6.5182,6.5182,-6.5182
103.1004,6.4774,6.4735,6.4735,-6.4735
104.1302,6.4292,6.4286,6.4286,-6.4286
105.1703,6.3876,6.3835,6.3835,-6.3835
106.2209,6.3395,6.3380,6.3380,-6.3380
107.2819,6.2975,6.2923,6.2923,-6.2923
108.3535,6.2496,6.2464,6.2464,-6.2464
109.4358,6.1995,6.2002,6.2002,-6.2002
110.5289,6.1577,6.1539,6.1539,-6.1539
111.6330,6.1098,6.1072,6.1072,-6.1072
112.7481,6.0599,6.0604,6.0604,-6.0604
113.8743,6.0180,6.0134,6.0134,-6.0134
115.0118,5.9700,5.9660,5.9660,-5.9660
116.1606,5.9200,5.9185,5.9185,-5.9185
117.3209,5.8699,5.8706,5.8706,-5.8706
118.4928,5.8280,5.8226,5.8226,-5.8226
119.6764,5.7802,5.7743,5.7743,-5.7743
120.8718,5.7303,5.7257,5.7257,-5.7257
122.0792,5.6804,5.6769,5.6769,-5.6769
123.2986,5.6303,5.6279,5.6279,-5.6279
124.5302,5.5805,5.5787,5.5787,-5.5787
125.7741,5.5303,5.5293,5.5293,-5.5293
127.0304,5.4803,5.4798,5.4798,-5.4798
128.2993,5.4306,5.4301,5.4301,-5.4301
129.5808,5.3805,5.3802,5.3802,-5.3802
130.8752,5.3306,5.3302,5.3302,-5.3302
132.1825,5.2806,5.2801,5.2801,-5.2801
133.5028,5.2308,5.2298,5.2298,-5.2298
134.8363,5.1807,5.1795,5.1795,-5.1795
136.1832,5.1309,5.1291,5.1291,-5.1291
137.5435,5.0809,5.0785,5.0785,-5.0785
138.9174,5.0310,5.0279,5.0279,-5.0279
140.3050,4.9810,4.9770,4.9770,-4.9770
141.7065,4.9311,4.9261,4.9261,-4.9261
143.1220,4.8734,4.8749,4.8749,-4.8749
144.5516,4.8211,4.8237,4.8237,-4.8237
145.9955,4.7712,4.7724,4.7724,-4.7724
147.4538,4.7212,4.7210,4.7210,-4.7210
148.9267,4.6713,4.6694,4.6694,-4.6694
150.4143,4.6213,4.6178,4.6178,-4.6178
151.9167,4.5714,4.5660,4.5660,-4.5660
153.4342,4.5137,4.5141,4.5141,-4.5141
154.9668,4.4615,4.4621,4.4621,-4.4621
156.5147,4.4117,4.4100,4.4100,-4.4100
158.0781,4.3616,4.3578,4.3578,-4.3578
159.6571,4.3041,4.3056,4.3056,-4.3056
161.2519,4.2518,4.2534,4.2534,-4.2534
162.8626,4.2017,4.2011,4.2011,-4.2011
164.4894,4.1519,4.1487,4.1487,-4.1487
166.1324,4.0945,4.0963,4.0963,-4.0963
167.7919,4.0420,4.0438,4.0438,-4.0438
169.4679,3.9920,3.9914,3.9914,-3.9914
171.1607,3.9420,3.9390,3.9390,-3.9390
172.8704,3.8846,3.8865,3.8865,-3.8865
174.5972,3.8322,3.8341,3.8341,-3.8341
176.3412,3.7823,3.7816,3.7816,-3.7816
178.1026,3.7324,3.7292,3.7292,-3.7292
179.8816,3.6748,3.6768,3.6768,-3.6768
181.6784,3.6225,3.6244,3.6244,-3.6244
183.4932,3.5726,3.5720,3.5720,-3.5720
185.3261,3.5226,3.5196,3.5196,-3.5196
187.1772,3.4653,3.4673,3.4673,-3.4673
189.0469,3.4126,3.4149,3.4149,-3.4149
190.9352,3.3628,3.3627,3.3627,-3.3627
192.8425,3.3128,3.3104,3.3104,-3.3104
194.7687,3.2555,3.2582,3.2582,-3.2582
196.7142,3.2030,3.2060,3.2060,-3.2060
198.6792,3.1530,3.1539,3.1539,-3.1539
200.6637,3.1030,3.1019,3.1019,-3.1019
202.6681,3.0530,3.0499,3.0499,-3.0499
204.6925,2.9958,2.9979,2.9979,-2.9979
206.7371,2.9432,2.9460,2.9460,-2.9460
208.8022,2.8932,2.8943,2.8943,-2.8943
210.8879,2.8432,2.8427,2.8427,-2.8427
212.9944,2.7933,2.7912,2.7912,-2.7912
215.1219,2.7360,2.7398,2.7398,-2.7398
217.2707,2.6834,2.6885,2.6885,-2.6885
219.4410,2.6335,2.6375,2.6375,-2.6375
221.6329,2.5836,2.5866,2.5866,-2.5866
223.8468,2.5336,2.5358,2.5358,-2.5358
226.0827,2.4837,2.4853,2.4853,-2.4853
228.3410,2.4337,2.4348,2.4348,-2.4348
230.6219,2.3837,2.3845,2.3845,-2.3845
232.9255,2.3339,2.3343,2.3343,-2.3343
235.2521,2.2839,2.2842,2.2842,-2.2842
237.6020,2.2339,2.2343,2.2343,-2.2343
239.9754,2.1840,2.1846,2.1846,-2.1846
242.3724,2.1341,2.1350,2.1350,-2.1350
244.7934,2.0841,2.0855,2.0855,-2.0855
247.2386,2.0341,2.0362,2.0362,-2.0362
249.7082,1.9841,1.9870,1.9870,-1.9870
252.2025,1.9343,1.9381,1.9381,-1.9381
