frequency,raw,smoothed,error,equalization
20.0000,7.1200,7.2727,7.2727,-7.2727
20.1998,7.1400,7.2961,7.2961,-7.2961
20.4015,7.1603,7.3226,7.3226,-7.3226
20.6053,7.1991,7.3522,7.3522,-7.3522
20.8112,7.2604,7.3844,7.3844,-7.3844
21.0190,7.3297,7.4190,7.4190,-7.4190
21.2290,7.4096,7.4557,7.4557,-7.4557
21.4410,7.4903,7.4940,7.4940,-7.4940
21.6552,7.5585,7.5338,7.5338,-7.5338
21.8715,7.6203,7.5749,7.5749,-7.5749
22.0900,7.6600,7.6176,7.6176,-7.6176
22.3106,7.7001,7.6622,7.6622,-7.6622
22.5335,7.7292,7.7076,7.7076,-7.7076
22.7586,7.7697,7.7512,7.7512,-7.7512
22.9859,7.7995,7.7928,7.7928,-7.7928
23.2155,7.8392,7.8322,7.8322,-7.8322
23.4474,7.8894,7.8692,7.8692,-7.8692
23.6816,7.9286,7.9038,7.9038,-7.9038
23.9182,7.9697,7.9359,7.9359,-7.9359
24.1571,7.9996,7.9658,7.9658,-7.9658
24.3984,8.0298,7.9935,7.9935,-7.9935
24.6421,8.0494,8.0192,8.0192,-8.0192
24.8882,8.0699,8.0430,8.0430,-8.0430
25.1368,8.0799,8.0652,8.0652,-8.0652
25.3879,8.0998,8.0859,8.0859,-8.0859
25.6415,8.1193,8.1052,8.1052,-8.1052
25.8976,8.1295,8.1232,8.1232,-8.1232
26.1563,8.1497,8.1401,8.1401,-8.1401
26.4176,8.1595,8.1562,8.1562,-8.1562
26.6815,8.1793,8.1718,8.1718,-8.1718
26.9480,8.1896,8.1872,8.1872,-8.1872
27.2172,8.1995,8.2025,8.2025,-8.2025
27.4890,8.2096,8.2180,8.2180,-8.2180
27.7636,8.2198,8.2340,8.2340,-8.2340
28.0409,8.2394,8.2506,8.2506,-8.2506
28.3210,8.2594,8.2677,8.2677,-8.2677
28.6039,8.2694,8.2853,8.2853,-8.2853
28.8896,8.2893,8.3036,8.3036,-8.3036
29.1782,8.3092,8.3226,8.3226,-8.3226
29.4697,8.3389,8.3420,8.3420,-8.3420
29.7640,8.3589,8.3617,8.3617,-8.3617
30.0613,8.3788,8.3816,8.3816,-8.3816
30.3616,8.4082,8.4016,8.4016,-8.4016
30.6649,8.4290,8.4214,8.4214,-8.4214
30.9712,8.4488,8.4408,8.4408,-8.4408
31.2806,8.4687,8.4595,8.4595,-8.4595
31.5930,8.4889,8.4775,8.4775,-8.4775
31.9086,8.5087,8.4945,8.4945,-8.4945
32.2273,8.5292,8.5103,8.5103,-8.5103
32.5492,8.5394,8.5249,8.5249,-8.5249
