frequency,raw,smoothed,error,equalization
20.0000,5.1900,5.2476,5.2476,-5.2476
20.1998,5.2100,5.2532,5.2532,-5.2532
20.4015,5.2301,5.2595,5.2595,-5.2595
20.6053,5.2398,5.2662,5.2662,-5.2662
20.8112,5.2601,5.2731,5.2731,-5.2731
21.0190,5.2700,5.2802,5.2802,-5.2802
21.2290,5.2899,5.2874,5.2874,-5.2874
21.4410,5.3000,5.2947,5.2947,-5.2947
21.6552,5.3098,5.3022,5.3022,-5.3022
21.8715,5.3200,5.3097,5.3097,-5.3097
22.0900,5.3200,5.3175,5.3175,-5.3175
22.3106,5.3300,5.3257,5.3257,-5.3257
22.5335,5.3397,5.3340,5.3340,-5.3340
22.7586,5.3499,5.3417,5.3417,-5.3417
22.9859,5.3500,5.3490,5.3490,-5.3490
23.2155,5.3598,5.3559,5.3559,-5.3559
23.4474,5.3600,5.3625,5.3625,-5.3625
23.6816,5.3697,5.3690,5.3690,-5.3690
23.9182,5.3799,5.3753,5.3753,-5.3753
24.1571,5.3800,5.3816,5.3816,-5.3816
24.3984,5.3899,5.3879,5.3879,-5.3879
24.6421,5.3900,5.3943,5.3943,-5.3943
24.8882,5.3999,5.4008,5.4008,-5.4008
25.1368,5.4000,5.4074,5.4074,-5.4074
25.3879,5.4099,5.4141,5.4141,-5.4141
25.6415,5.4197,5.4210,5.4210,-5.4210
25.8976,5.4295,5.4279,5.4279,-5.4279
26.1563,5.4300,5.4349,5.4349,-5.4349
26.4176,5.4395,5.4419,5.4419,-5.4419
26.6815,5.4497,5.4489,5.4489,-5.4489
26.9480,5.4596,5.4558,5.4558,-5.4558
27.2172,5.4695,5.4624,5.4624,-5.4624
27.4890,5.4700,5.4688,5.4688,-5.4688
27.7636,5.4798,5.4748,5.4748,-5.4748
28.0409,5.4897,5.4804,5.4804,-5.4804
28.3210,5.4900,5.4854,5.4854,-5.4854
28.6039,5.4994,5.4897,5.4897,-5.4897
28.8896,5.5000,5.4934,5.4934,-5.4934
29.1782,5.5096,5.4965,5.4965,-5.4965
29.4697,5.5100,5.4987,5.4987,-5.4987
29.7640,5.5100,5.5002,5.5002,-5.5002
30.0613,5.5100,5.5009,5.5009,-5.5009
30.3616,5.5100,5.5009,5.5009,-5.5009
30.6649,5.5100,5.5002,5.5002,-5.5002
30.9712,5.5100,5.4989,5.4989,-5.4989
31.2806,5.5006,5.4969,5.4969,-5.4969
31.5930,5.5000,5.4945,5.4945,-5.4945
31.9086,5.4907,5.4916,5.4916,-5.4916
32.2273,5.4900,5.4884,5.4884,-5.4884
32.5492,5.4900,5.4848,5.4848,-5.4848
32.8744,5.4805,5.4810,5.4810,-5.4810
33.2027,5.4800,5.4770,5.4770,-5.4770
33.5344,5.4705,5.4729,5.4729,-5.4729
33.8694,5.4700,5.4686,5.4686,-5.4686
34.2077,5.4607,5.4641,5.4641,-5.4641
34.5494,5.4600,5.4597,5.4597,-5.4597
34.8945,5.4600,5.4550,5.4550,-5.4550
35.2430,5.4508,5.4502,5.4502,-5.4502
