frequency,raw,smoothed,error,equalization
20.0000,9.1000,9.0868,9.0868,-9.0868
20.1998,9.1000,9.0840,9.0840,-9.0840
20.4015,9.0999,9.0806,9.0806,-9.0806
20.6053,9.0902,9.0764,9.0764,-9.0764
20.8112,9.0899,9.0717,9.0717,-9.0717
21.0190,9.0800,9.0663,9.0663,-9.0663
21.2290,9.0800,9.0603,9.0603,-9.0603
21.4410,9.0700,9.0536,9.0536,-9.0536
21.6552,9.0602,9.0462,9.0462,-9.0462
21.8715,9.0499,9.0382,9.0382,-9.0382
22.0900,9.0400,9.0294,9.0294,-9.0294
22.3106,9.0200,9.0198,9.0198,-9.0198
22.5335,9.0103,9.0096,9.0096,-9.0096
22.7586,8.9901,8.9993,8.9993,-8.9993
22.9859,8.9802,8.9889,8.9889,-8.9889
23.2155,8.9702,8.9786,8.9786,-8.9786
23.4474,8.9601,8.9682,8.9682,-8.9682
23.6816,8.9503,8.9578,8.9578,-8.9578
23.9182,8.9500,8.9473,8.9473,-8.9473
24.1571,8.9401,8.9365,8.9365,-8.9365
24.3984,8.9301,8.9254,8.9254,-8.9254
24.6421,8.9300,8.9139,8.9139,-8.9139
24.8882,8.9201,8.9017,8.9017,-8.9017
25.1368,8.9003,8.8889,8.8889,-8.8889
25.3879,8.8901,8.8754,8.8754,-8.8754
25.6415,8.8707,8.8612,8.8612,-8.8612
25.8976,8.8605,8.8463,8.8463,-8.8463
26.1563,8.8403,8.8306,8.8306,-8.8306
26.4176,8.8209,8.8141,8.8141,-8.8141
26.6815,8.8007,8.7971,8.7971,-8.7971
26.9480,8.7809,8.7795,8.7795,-8.7795
27.2172,8.7610,8.7615,8.7615,-8.7615
27.4890,8.7408,8.7431,8.7431,-8.7431
27.7636,8.7205,8.7245,8.7245,-8.7245
28.0409,8.7103,8.7058,8.7058,-8.7058
28.3210,8.6906,8.6868,8.6868,-8.6868
28.6039,8.6711,8.6677,8.6677,-8.6677
28.8896,8.6507,8.6484,8.6484,-8.6484
29.1782,8.6308,8.6290,8.6290,-8.6290
29.4697,8.6107,8.6095,8.6095,-8.6095
29.7640,8.5911,8.5900,8.5900,-8.5900
30.0613,8.5712,8.5704,8.5704,-8.5704
30.3616,8.5512,8.5508,8.5508,-8.5508
30.6649,8.5310,8.5312,8.5312,-8.5312
30.9712,8.5112,8.5116,8.5116,-8.5116
31.2806,8.4913,8.4920,8.4920,-8.4920
31.5930,8.4711,8.4725,8.4725,-8.4725
31.9086,8.4513,8.4531,8.4531,-8.4531
32.2273,8.4308,8.4339,8.4339,-8.4339
32.5492,8.4113,8.4148,8.4148,-8.4148
32.8744,8.3910,8.3960,8.3960,-8.3960
33.2027,8.3710,8.3774,8.3774,-8.3774
33.5344,8.3605,8.3590,8.3590,-8.3590
33.8694,8.3412,8.3406,8.3406,-8.3406
34.2077,8.3213,8.3221,8.3221,-8.3221
34.5494,8.3012,8.3035,8.3035,-8.3035
34.8945,8.2815,8.2848,8.2848,-8.2848
35.2430,8.2708,8.2659,8.2659,-8.2659
35.5951,8.2514,8.2466,8.2466,-8.2466
35.9506,8.2311,8.2268,8.2268,-8.2268
36.3097,8.2206,8.2065,8.2065,-8.2065
36.6724,8.2015,8.1854,8.1854,-8.1854
37.0387,8.1812,8.1634,8.1634,-8.1634
37.4087,8.1517,8.1405,8.1405,-8.1405
37.7824,8.1315,8.1168,8.1168,-8.1168
38.1598,8.1024,8.0922,8.0922,-8.0922
38.5409,8.0723,8.0668,8.0668,-8.0668
38.9259,8.0513,8.0407,8.0407,-8.0407
39.3147,8.0219,8.0138,8.0138,-8.0138
39.7074,7.9924,7.9862,7.9862,-7.9862
40.1041,7.9627,7.9580,7.9580,-7.9580
40.5046,7.9327,7.9292,7.9292,-7.9292
40.9092,7.9023,7.8999,7.8999,-7.8999
41.3179,7.8724,7.8703,7.8703,-7.8703
41.7306,7.8422,7.8404,7.8404,-7.8404
42.1474,7.8123,7.8103,7.8103,-7.8103
42.5684,7.7823,7.7800,7.7800,-7.7800
42.9936,7.7525,7.7496,7.7496,-7.7496
43.4231,7.7226,7.7192,7.7192,-7.7192
43.8568,7.6929,7.6888,7.6888,-7.6888
44.2949,7.6533,7.6584,7.6584,-7.6584
44.7374,7.6228,7.6283,7.6283,-7.6283
45.1842,7.5931,7.5985,7.5985,-7.5985
45.6356,7.5630,7.5691,7.5691,-7.5691
46.0914,7.5326,7.5401,7.5401,-7.5401
46.5518,7.5031,7.5114,7.5114,-7.5114
47.0168,7.4728,7.4831,7.4831,-7.4831
47.4864,7.4519,7.4551,7.4551,-7.4551
47.9608,7.4231,7.4272,7.4272,-7.4272
48.4398,7.3931,7.3994,7.3994,-7.3994
48.9237,7.3719,7.3716,7.3716,-7.3716
49.4124,7.3429,7.3435,7.3435,-7.3435
49.9059,7.3222,7.3150,7.3150,-7.3150
50.4044,7.3022,7.2859,7.2859,-7.2859
50.9079,7.2731,7.2560,7.2560,-7.2560
51.4164,7.2432,7.2252,7.2252,-7.2252
51.9300,7.2135,7.1933,7.1933,-7.1933
52.4487,7.1835,7.1603,7.1603,-7.1603
52.9726,7.1444,7.1261,7.1261,-7.1261
53.5018,7.1044,7.0907,7.0907,-7.0907
54.0362,7.0647,7.0542,7.0542,-7.0542
54.5759,7.0247,7.0167,7.0167,-7.0167
55.1211,6.9844,6.9782,6.9782,-6.9782
55.6717,6.9449,6.9389,6.9389,-6.9389
56.2278,6.9045,6.8989,6.8989,-6.8989
56.7894,6.8650,6.8583,6.8583,-6.8583
57.3567,6.8245,6.8174,6.8174,-6.8174
57.9296,6.7761,6.7762,6.7762,-6.7762
58.5082,6.7349,6.7349,6.7349,-6.7349
59.0927,6.6946,6.6936,6.6936,-6.6936
59.6829,6.6464,6.6523,6.6523,-6.6523
60.2791,6.6048,6.6111,6.6111,-6.6111
60.8812,6.5652,6.5699,6.5699,-6.5699
61.4893,6.5166,6.5287,6.5287,-6.5287
62.1035,6.4838,6.4876,6.4876,-6.4876
62.7239,6.4449,6.4465,6.4465,-6.4465
63.3504,6.4051,6.4051,6.4051,-6.4051
63.9832,6.3741,6.3637,6.3637,-6.3637
64.6223,6.3355,6.3219,6.3219,-6.3219
65.2678,6.2951,6.2799,6.2799,-6.2799
65.9198,6.2468,6.2374,6.2374,-6.2374
66.5782,6.2056,6.1948,6.1948,-6.1948
67.2433,6.1566,6.1519,6.1519,-6.1519
67.9149,6.1070,6.1088,6.1088,-6.1088
68.5933,6.0657,6.0657,6.0657,-6.0657
69.2785,6.0167,6.0226,6.0226,-6.0226
69.9705,5.9671,5.9795,5.9795,-5.9795
70.6694,5.9257,5.9367,5.9367,-5.9367
71.3753,5.8859,5.8941,5.8941,-5.8941
72.0883,5.8457,5.8517,5.8517,-5.8517
72.8083,5.8056,5.8095,5.8095,-5.8095
73.5356,5.7657,5.7675,5.7675,-5.7675
74.2701,5.7259,5.7255,5.7255,-5.7255
75.0120,5.6858,5.6835,5.6835,-5.6835
75.7613,5.6458,5.6414,5.6414,-5.6414
76.5180,5.6059,5.5990,5.5990,-5.5990
77.2824,5.5661,5.5562,5.5562,-5.5562
78.0543,5.5260,5.5128,5.5128,-5.5128
