frequency,raw,smoothed,error,equalization
20.0000,9.2000,9.1068,9.1068,-9.1068
20.1998,9.1700,9.0954,9.0954,-9.0954
20.4015,9.1499,9.0825,9.0825,-9.0825
20.6053,9.1304,9.0682,9.0682,-9.0682
20.8112,9.0998,9.0526,9.0526,-9.0526
21.0190,9.0701,9.0359,9.0359,-9.0359
21.2290,9.0401,9.0182,9.0182,-9.0182
21.4410,9.0099,8.9995,8.9995,-8.9995
21.6552,8.9807,8.9797,8.9797,-8.9797
21.8715,8.9598,8.9588,8.9588,-8.9588
22.0900,8.9300,8.9365,8.9365,-8.9365
22.3106,8.9099,8.9126,8.9126,-8.9126
22.5335,8.8808,8.8876,8.8876,-8.8876
22.7586,8.8601,8.8629,8.8629,-8.8629
22.9859,8.8305,8.8384,8.8384,-8.8384
23.2155,8.8104,8.8143,8.8143,-8.8143
23.4474,8.7902,8.7905,8.7905,-8.7905
23.6816,8.7707,8.7669,8.7669,-8.7669
23.9182,8.7402,8.7433,8.7433,-8.7433
24.1571,8.7202,8.7199,8.7199,-8.7199
24.3984,8.7001,8.6965,8.6965,-8.6965
24.6421,8.6709,8.6730,8.6730,-8.6730
24.8882,8.6501,8.6495,8.6495,-8.6495
25.1368,8.6303,8.6260,8.6260,-8.6260
25.3879,8.6002,8.6023,8.6023,-8.6023
25.6415,8.5807,8.5785,8.5785,-8.5785
25.8976,8.5610,8.5546,8.5546,-8.5546
26.1563,8.5304,8.5304,8.5304,-8.5304
26.4176,8.5109,8.5061,8.5061,-8.5061
26.6815,8.4810,8.4815,8.4815,-8.4815
26.9480,8.4609,8.4569,8.4569,-8.4569
27.2172,8.4314,8.4320,8.4320,-8.4320
27.4890,8.4108,8.4069,8.4069,-8.4069
27.7636,8.3807,8.3817,8.3817,-8.3817
28.0409,8.3606,8.3563,8.3563,-8.3563
28.3210,8.3310,8.3306,8.3306,-8.3306
28.6039,8.3111,8.3047,8.3047,-8.3047
28.8896,8.2811,8.2786,8.2786,-8.2786
29.1782,8.2512,8.2522,8.2522,-8.2522
29.4697,8.2307,8.2258,8.2258,-8.2258
29.7640,8.2016,8.1990,8.1990,-8.1990
30.0613,8.1719,8.1721,8.1721,-8.1721
30.3616,8.1512,8.1450,8.1450,-8.1450
30.6649,8.1215,8.1178,8.1178,-8.1178
30.9712,8.0918,8.0903,8.0903,-8.0903
31.2806,8.0619,8.0627,8.0627,-8.0627
31.5930,8.0316,8.0349,8.0349,-8.0349
31.9086,8.0113,8.0071,8.0071,-8.0071
32.2273,7.9812,7.9791,7.9791,-7.9791
32.5492,7.9519,7.9509,7.9509,-7.9509
32.8744,7.9215,7.9227,7.9227,-7.9227
33.2027,7.8916,7.8944,7.8944,-7.8944
