frequency,raw,smoothed,error,equalization
20.0000,6.8400,6.8400,6.8400,-6.8400
20.1998,6.8400,6.8400,6.8400,-6.8400
20.4015,6.8400,6.8400,6.8400,-6.8400
20.6053,6.8400,6.8400,6.8400,-6.8400
20.8112,6.8400,6.8400,6.8400,-6.8400
21.0190,6.8400,6.8400,6.8400,-6.8400
21.2290,6.8400,6.8400,6.8400,-6.8400
21.4410,6.8400,6.8400,6.8400,-6.8400
21.6552,6.8400,6.8400,6.8400,-6.8400
21.8715,6.8400,6.8400,6.8400,-6.8400
22.0900,6.8400,6.8400,6.8400,-6.8400
22.3106,6.8400,6.8400,6.8400,-6.8400
22.5335,6.8400,6.8400,6.8400,-6.8400
22.7586,6.8400,6.8400,6.8400,-6.8400
22.9859,6.8400,6.8400,6.8400,-6.8400
23.2155,6.8400,6.8400,6.8400,-6.8400
23.4474,6.8400,6.8400,6.8400,-6.8400
23.6816,6.8400,6.8400,6.8400,-6.8400
23.9182,6.8400,6.8400,6.8400,-6.8400
24.1571,6.8400,6.8400,6.8400,-6.8400
24.3984,6.8400,6.8400,6.8400,-6.8400
24.6421,6.8400,6.8400,6.8400,-6.8400
24.8882,6.8400,6.8400,6.8400,-6.8400
25.1368,6.8400,6.8400,6.8400,-6.8400
25.3879,6.8400,6.8400,6.8400,-6.8400
25.6415,6.8400,6.8400,6.8400,-6.8400
25.8976,6.8400,6.8400,6.8400,-6.8400
26.1563,6.8400,6.8400,6.8400,-6.8400
26.4176,6.8400,6.8400,6.8400,-6.8400
26.6815,6.8400,6.8400,6.8400,-6.8400
26.9480,6.8400,6.8400,6.8400,-6.8400
27.2172,6.8400,6.8400,6.8400,-6.8400
27.4890,6.8400,6.8400,6.8400,-6.8400
27.7636,6.8400,6.8400,6.8400,-6.8400
28.0409,6.8400,6.8400,6.8400,-6.8400
28.3210,6.8400,6.8400,6.8400,-6.8400
28.6039,6.8400,6.8400,6.8400,-6.8400
28.8896,6.8400,6.8400,6.8400,-6.8400
29.1782,6.8400,6.8400,6.8400,-6.8400
29.4697,6.8400,6.8400,6.8400,-6.8400
29.7640,6.8400,6.8398,6.8398,-6.8398
30.0613,6.8400,6.8389,6.8389,-6.8389
30.3616,6.8400,6.8367,6.8367,-6.8367
30.6649,6.8400,6.8329,6.8329,-6.8329
30.9712,6.8400,6.8274,6.8274,-6.8274
31.2806,6.8400,6.8202,6.8202,-6.8202
31.5930,6.8400,6.8114,6.8114,-6.8114
31.9086,6.8400,6.8008,6.8008,-6.8008
32.2273,6.8400,6.7885,6.7885,-6.7885
32.5492,6.8400,6.7746,6.7746,-6.7746
32.8744,6.8400,6.7589,6.7589,-6.7589
33.2027,6.7926,6.7415,6.7415,-6.7415
33.5344,6.7138,6.7231,6.7231,-6.7231
33.8694,6.6442,6.7049,6.7049,-6.7049
34.2077,6.6120,6.6879,6.6879,-6.6879
34.5494,6.6100,6.6726,6.6726,-6.6726
34.8945,6.6100,6.6590,6.6590,-6.6590
35.2430,6.6100,6.6470,6.6470,-6.6470
35.5951,6.6100,6.6368,6.6368,-6.6368
35.9506,6.6100,6.6282,6.6282,-6.6282
36.3097,6.6100,6.6214,6.6214,-6.6214
36.6724,6.6100,6.6162,6.6162,-6.6162
37.0387,6.6100,6.6125,6.6125,-6.6125
37.4087,6.6100,6.6092,6.6092,-6.6092
37.7824,6.6100,6.6056,6.6056,-6.6056
38.1598,6.6100,6.6009,6.6009,-6.6009
38.5409,6.6100,6.5947,6.5947,-6.5947
38.9259,6.6100,6.5867,6.5867,-6.5867
39.3147,6.6100,6.5771,6.5771,-6.5771
39.7074,6.6100,6.5657,6.5657,-6.5657
40.1041,6.6100,6.5527,6.5527,-6.5527
40.5046,6.6100,6.5379,6.5379,-6.5379
40.9092,6.6100,6.5215,6.5215,-6.5215
41.3179,6.5363,6.5033,6.5033,-6.5033
41.7306,6.4372,6.4846,6.4846,-6.4846
42.1474,6.3839,6.4666,6.4666,-6.4666
42.5684,6.3800,6.4498,6.4498,-6.4498
42.9936,6.3800,6.4333,6.4333,-6.4333
43.4231,6.3800,6.4169,6.4169,-6.4169
43.8568,6.3800,6.4005,6.4005,-6.4005
44.2949,6.3800,6.3841,6.3841,-6.3841
44.7374,6.3800,6.3677,6.3677,-6.3677
45.1842,6.3800,6.3512,6.3512,-6.3512
45.6356,6.3800,6.3348,6.3348,-6.3348
46.0914,6.3800,6.3184,6.3184,-6.3184
46.5518,6.3800,6.3018,6.3018,-6.3018
47.0168,6.3709,6.2839,6.2839,-6.2839
47.4864,6.2702,6.2635,6.2635,-6.2635
47.9608,6.1613,6.2414,6.2414,-6.2414
48.4398,6.1500,6.2193,6.2193,-6.2193
48.9237,6.1500,6.1972,6.1972,-6.1972
49.4124,6.1500,6.1752,6.1752,-6.1752
49.9059,6.1500,6.1533,6.1533,-6.1533
50.4044,6.1500,6.1314,6.1314,-6.1314
50.9079,6.1500,6.1096,6.1096,-6.1096
51.4164,6.1500,6.0875,6.0875,-6.0875
51.9300,6.1500,6.0643,6.0643,-6.0643
52.4487,6.0530,6.0394,6.0394,-6.0394
52.9726,5.9421,6.0143,6.0143,-6.0143
53.5018,5.9300,5.9903,5.9903,-5.9903
54.0362,5.9300,5.9669,5.9669,-5.9669
54.5759,5.9300,5.9434,5.9434,-5.9434
55.1211,5.9300,5.9198,5.9198,-5.9198
55.6717,5.9300,5.8962,5.8962,-5.8962
56.2278,5.9300,5.8725,5.8725,-5.8725
56.7894,5.9300,5.8483,5.8483,-5.8483
57.3567,5.8413,5.8228,5.8228,-5.8228
57.9296,5.7158,5.7969,5.7969,-5.7969
58.5082,5.7000,5.7724,5.7724,-5.7724
59.0927,5.7000,5.7493,5.7493,-5.7493
59.6829,5.7000,5.7268,5.7268,-5.7268
60.2791,5.7000,5.7041,5.7041,-5.7041
60.8812,5.7000,5.6810,5.6810,-5.6810
61.4893,5.7000,5.6569,5.6569,-5.6569
62.1035,5.7000,5.6312,5.6312,-5.6312
62.7239,5.7000,5.6038,5.6038,-5.6038
63.3504,5.6126,5.5747,5.5747,-5.5747
63.9832,5.4876,5.5453,5.5453,-5.5453
64.6223,5.4700,5.5170,5.5170,-5.5170
65.2678,5.4700,5.4894,5.4894,-5.4894
65.9198,5.4700,5.4612,5.4612,-5.4612
66.5782,5.4700,5.4318,5.4318,-5.4318
67.2433,5.4439,5.4006,5.4006,-5.4006
67.9149,5.3798,5.3682,5.3682,-5.3682
68.5933,5.2928,5.3353,5.3353,-5.3353
69.2785,5.2454,5.3034,5.3034,-5.3034
69.9705,5.2400,5.2726,5.2726,-5.2726
70.6694,5.2400,5.2424,5.2424,-5.2424
71.3753,5.2400,5.2121,5.2121,-5.2121
72.0883,5.2400,5.1809,5.1809,-5.1809
72.8083,5.2400,5.1482,5.1482,-5.1482
73.5356,5.1115,5.1138,5.1138,-5.1138
74.2701,5.0219,5.0798,5.0798,-5.0798
75.0120,5.0100,5.0473,5.0473,-5.0473
75.7613,5.0100,5.0159,5.0159,-5.0159
76.5180,5.0100,4.9846,4.9846,-4.9846
77.2824,4.9931,4.9525,4.9525,-4.9525
78.0543,4.9305,4.9193,4.9193,-4.9193
78.8340,4.8178,4.8856,4.8856,-4.8856
79.6214,4.7915,4.8532,4.8532,-4.8532
80.4168,4.7900,4.8218,4.8218,-4.8218
81.2200,4.7900,4.7906,4.7906,-4.7906
82.0313,4.7900,4.7595,4.7595,-4.7595
82.8507,4.7900,4.7279,4.7279,-4.7279
83.6783,4.7900,4.6950,4.6950,-4.6950
84.5141,4.6643,4.6604,4.6604,-4.6604
85.3583,4.5733,4.6256,4.6256,-4.6256
86.2109,4.5600,4.5909,4.5909,-4.5909
87.0721,4.5600,4.5563,4.5563,-4.5563
87.9418,4.5600,4.5212,4.5212,-4.5212
88.8203,4.5600,4.4852,4.4852,-4.4852
89.7075,4.4274,4.4475,4.4475,-4.4475
90.6035,4.3504,4.4098,4.4098,-4.4098
91.5085,4.3317,4.3724,4.3724,-4.3724
92.4226,4.3300,4.3350,4.3350,-4.3350
93.3458,4.3300,4.2977,4.2977,-4.2977
94.2782,4.3300,4.2603,4.2603,-4.2603
95.2199,4.2479,4.2226,4.2226,-4.2226
96.1711,4.1231,4.1846,4.1846,-4.1846
97.1317,4.1000,4.1469,4.1469,-4.1469
98.1019,4.1000,4.1094,4.1094,-4.1094
99.0818,4.1000,4.0720,4.0720,-4.0720
100.0715,4.0918,4.0346,4.0346,-4.0346
101.0711,4.0325,3.9970,3.9970,-3.9970
102.0807,3.8978,3.9584,3.9584,-3.9584
103.1004,3.8700,3.9197,3.9197,-3.9197
104.1302,3.8700,3.8810,3.8810,-3.8810
105.1703,3.8700,3.8424,3.8424,-3.8424
106.2209,3.8700,3.8039,3.8039,-3.8039
