frequency,raw,smoothed,error,equalization
20.0000,6.0100,6.0100,6.0100,-6.0100
20.1998,6.0100,6.0100,6.0100,-6.0100
20.4015,6.0100,6.0100,6.0100,-6.0100
20.6053,6.0100,6.0100,6.0100,-6.0100
20.8112,6.0100,6.0100,6.0100,-6.0100
21.0190,6.0100,6.0100,6.0100,-6.0100
21.2290,6.0100,6.0100,6.0100,-6.0100
21.4410,6.0100,6.0100,6.0100,-6.0100
21.6552,6.0100,6.0100,6.0100,-6.0100
21.8715,6.0100,6.0100,6.0100,-6.0100
22.0900,6.0100,6.0100,6.0100,-6.0100
22.3106,6.0100,6.0100,6.0100,-6.0100
22.5335,6.0100,6.0100,6.0100,-6.0100
22.7586,6.0100,6.0097,6.0097,-6.0097
22.9859,6.0100,6.0090,6.0090,-6.0090
23.2155,6.0100,6.0077,6.0077,-6.0077
23.4474,6.0100,6.0057,6.0057,-6.0057
23.6816,6.0100,6.0030,6.0030,-6.0030
23.9182,6.0100,5.9995,5.9995,-5.9995
24.1571,6.0100,5.9953,5.9953,-5.9953
24.3984,6.0100,5.9904,5.9904,-5.9904
24.6421,6.0100,5.9847,5.9847,-5.9847
24.8882,6.0100,5.9783,5.9783,-5.9783
25.1368,6.0001,5.9711,5.9711,-5.9711
25.3879,5.9702,5.9633,5.9633,-5.9633
25.6415,5.9410,5.9554,5.9554,-5.9554
25.8976,5.9210,5.9478,5.9478,-5.9478
26.1563,5.9101,5.9407,5.9407,-5.9407
26.4176,5.9100,5.9344,5.9344,-5.9344
26.6815,5.9100,5.9288,5.9288,-5.9288
26.9480,5.9100,5.9240,5.9240,-5.9240
27.2172,5.9100,5.9199,5.9199,-5.9199
27.4890,5.9100,5.9165,5.9165,-5.9165
27.7636,5.9100,5.9139,5.9139,-5.9139
28.0409,5.9100,5.9119,5.9119,-5.9119
28.3210,5.9100,5.9101,5.9101,-5.9101
28.6039,5.9100,5.9082,5.9082,-5.9082
28.8896,5.9100,5.9059,5.9059,-5.9059
29.1782,5.9100,5.9029,5.9029,-5.9029
29.4697,5.9100,5.8991,5.8991,-5.8991
29.7640,5.9100,5.8946,5.8946,-5.8946
30.0613,5.9100,5.8892,5.8892,-5.8892
30.3616,5.9100,5.8828,5.8828,-5.8828
30.6649,5.9100,5.8752,5.8752,-5.8752
30.9712,5.9100,5.8664,5.8664,-5.8664
31.2806,5.8725,5.8562,5.8562,-5.8562
31.5930,5.8416,5.8451,5.8451,-5.8451
31.9086,5.8027,5.8334,5.8334,-5.8334
32.2273,5.7904,5.8219,5.8219,-5.8219
32.5492,5.7994,5.8107,5.8107,-5.8107
