frequency,raw,smoothed,error,equalization
20.0000,4.5200,4.6725,4.6725,-4.6725
20.1998,4.5600,4.6893,4.6893,-4.6893
20.4015,4.6104,4.7086,4.7086,-4.7086
20.6053,4.6589,4.7296,4.7296,-4.7296
20.8112,4.7002,4.7519,4.7519,-4.7519
21.0190,4.7398,4.7753,4.7753,-4.7753
21.2290,4.7798,4.7998,4.7998,-4.7998
21.4410,4.8102,4.8255,4.8255,-4.8255
21.6552,4.8491,4.8524,4.8524,-4.8524
21.8715,4.8902,4.8809,4.8809,-4.8809
22.0900,4.9200,4.9109,4.9109,-4.9109
22.3106,4.9501,4.9429,4.9429,-4.9429
22.5335,4.9792,4.9760,4.9760,-4.9760
22.7586,5.0197,5.0083,5.0083,-5.0083
22.9859,5.0495,5.0398,5.0398,-5.0398
23.2155,5.0794,5.0705,5.0705,-5.0705
23.4474,5.1097,5.1005,5.1005,-5.1005
23.6816,5.1390,5.1299,5.1299,-5.1299
23.9182,5.1598,5.1587,5.1587,-5.1587
24.1571,5.1896,5.1870,5.1870,-5.1870
24.3984,5.2198,5.2148,5.2148,-5.2148
24.6421,5.2491,5.2421,5.2421,-5.2421
24.8882,5.2699,5.2689,5.2689,-5.2689
25.1368,5.2996,5.2954,5.2954,-5.2954
25.3879,5.3298,5.3213,5.3213,-5.3213
25.6415,5.3493,5.3467,5.3467,-5.3467
25.8976,5.3786,5.3717,5.3717,-5.3717
26.1563,5.3997,5.3962,5.3962,-5.3962
26.4176,5.4286,5.4202,5.4202,-5.4202
26.6815,5.4493,5.4437,5.4437,-5.4437
26.9480,5.4691,5.4667,5.4667,-5.4667
27.2172,5.4986,5.4891,5.4891,-5.4891
27.4890,5.5192,5.5109,5.5109,-5.5109
27.7636,5.5395,5.5319,5.5319,-5.5319
28.0409,5.5594,5.5523,5.5523,-5.5523
28.3210,5.5794,5.5721,5.5721,-5.5721
28.6039,5.5989,5.5911,5.5911,-5.5911
28.8896,5.6193,5.6095,5.6095,-5.6095
29.1782,5.6392,5.6271,5.6271,-5.6271
29.4697,5.6496,5.6438,5.6438,-5.6438
29.7640,5.6689,5.6598,5.6598,-5.6598
30.0613,5.6888,5.6751,5.6751,-5.6751
30.3616,5.6994,5.6894,5.6894,-5.6894
30.6649,5.7095,5.7030,5.7030,-5.7030
30.9712,5.7194,5.7159,5.7159,-5.7159
31.2806,5.7387,5.7281,5.7281,-5.7281
31.5930,5.7495,5.7395,5.7395,-5.7395
31.9086,5.7593,5.7503,5.7503,-5.7503
32.2273,5.7696,5.7604,5.7604,-5.7604
32.5492,5.7794,5.7698,5.7698,-5.7698
32.8744,5.7800,5.7787,5.7787,-5.7787
33.2027,5.7895,5.7870,5.7870,-5.7870
33.5344,5.7995,5.7950,5.7950,-5.7950
33.8694,5.8094,5.8024,5.8024,-5.8024
34.2077,5.8100,5.8094,5.8094,-5.8094
34.5494,5.8194,5.8161,5.8161,-5.8161
34.8945,5.8293,5.8223,5.8223,-5.8223
35.2430,5.8300,5.8281,5.8281,-5.8281
35.5951,5.8393,5.8336,5.8336,-5.8336
35.9506,5.8400,5.8386,5.8386,-5.8386
36.3097,5.8494,5.8432,5.8432,-5.8432
