frequency,raw,smoothed,error,equalization
20.0000,6.0500,6.1287,6.1287,-6.1287
20.1998,6.0800,6.1382,6.1382,-6.1382
20.4015,6.1001,6.1491,6.1491,-6.1491
20.6053,6.1196,6.1611,6.1611,-6.1611
20.8112,6.1401,6.1742,6.1742,-6.1742
21.0190,6.1500,6.1883,6.1883,-6.1883
21.2290,6.1699,6.2036,6.2036,-6.2036
21.4410,6.2001,6.2202,6.2202,-6.2202
21.6552,6.2196,6.2381,6.2381,-6.2381
21.8715,6.2502,6.2575,6.2575,-6.2575
22.0900,6.2800,6.2782,6.2782,-6.2782
22.3106,6.3001,6.3006,6.3006,-6.3006
22.5335,6.3292,6.3242,6.3242,-6.3242
22.7586,6.3499,6.3477,6.3477,-6.3477
22.9859,6.3795,6.3711,6.3711,-6.3711
23.2155,6.3996,6.3942,6.3942,-6.3942
23.4474,6.4198,6.4172,6.4172,-6.4172
23.6816,6.4393,6.4399,6.4399,-6.4399
23.9182,6.4698,6.4623,6.4623,-6.4623
24.1571,6.4898,6.4842,6.4842,-6.4842
24.3984,6.5099,6.5057,6.5057,-6.5057
24.6421,6.5294,6.5267,6.5267,-6.5267
24.8882,6.5598,6.5473,6.5473,-6.5473
25.1368,6.5699,6.5673,6.5673,-6.5673
25.3879,6.5898,6.5867,6.5867,-6.5867
25.6415,6.6093,6.6057,6.6057,-6.6057
25.8976,6.6290,6.6243,6.6243,-6.6243
26.1563,6.6497,6.6425,6.6425,-6.6425
26.4176,6.6691,6.6601,6.6601,-6.6601
26.6815,6.6893,6.6773,6.6773,-6.6773
26.9480,6.6996,6.6937,6.6937,-6.6937
27.2172,6.7190,6.7096,6.7096,-6.7096
27.4890,6.7296,6.7247,6.7247,-6.7247
27.7636,6.7398,6.7392,6.7392,-6.7392
28.0409,6.7497,6.7530,6.7530,-6.7530
28.3210,6.7694,6.7662,6.7662,-6.7662
28.6039,6.7889,6.7789,6.7789,-6.7789
28.8896,6.8093,6.7910,6.7910,-6.7910
29.1782,6.8196,6.8023,6.8023,-6.8023
29.4697,6.8296,6.8131,6.8131,-6.8131
29.7640,6.8395,6.8232,6.8232,-6.8232
30.0613,6.8400,6.8327,6.8327,-6.8327
30.3616,6.8400,6.8418,6.8418,-6.8418
30.6649,6.8400,6.8507,6.8507,-6.8507
30.9712,6.8494,6.8594,6.8594,-6.8594
31.2806,6.8594,6.8681,6.8681,-6.8681
31.5930,6.8695,6.8767,6.8767,-6.8767
31.9086,6.8887,6.8853,6.8853,-6.8853
32.2273,6.8996,6.8936,6.8936,-6.8936
32.5492,6.9094,6.9018,6.9018,-6.9018
32.8744,6.9195,6.9098,6.9098,-6.9098
33.2027,6.9200,6.9175,6.9175,-6.9175
33.5344,6.9295,6.9251,6.9251,-6.9251
33.8694,6.9300,6.9324,6.9324,-6.9324
34.2077,6.9393,6.9395,6.9395,-6.9395
34.5494,6.9494,6.9463,6.9463,-6.9463
34.8945,6.9593,6.9526,6.9526,-6.9526
35.2430,6.9692,6.9585,6.9585,-6.9585
35.5951,6.9700,6.9638,6.9638,-6.9638
35.9506,6.9794,6.9686,6.9686,-6.9686
36.3097,6.9800,6.9729,6.9729,-6.9729
36.6724,6.9800,6.9767,6.9767,-6.9767
37.0387,6.9800,6.9801,6.9801,-6.9801
37.4087,6.9894,6.9831,6.9831,-6.9831
37.7824,6.9900,6.9856,6.9856,-6.9856
38.1598,6.9900,6.9877,6.9877,-6.9877
38.5409,6.9900,6.9893,6.9893,-6.9893
38.9259,6.9994,6.9906,6.9906,-6.9906
39.3147,7.0000,6.9916,6.9916,-6.9916
39.7074,7.0000,6.9922,6.9922,-6.9922
40.1041,7.0000,6.9925,6.9925,-6.9925
40.5046,6.9909,6.9927,6.9927,-6.9927
40.9092,6.9900,6.9929,6.9929,-6.9929
41.3179,6.9900,6.9930,6.9930,-6.9930
41.7306,6.9900,6.9930,6.9930,-6.9930
42.1474,6.9900,6.9930,6.9930,-6.9930
42.5684,6.9900,6.9930,6.9930,-6.9930
42.9936,6.9900,6.9930,6.9930,-6.9930
43.4231,6.9900,6.9928,6.9928,-6.9928
43.8568,6.9900,6.9925,6.9925,-6.9925
44.2949,6.9992,6.9921,6.9921,-6.9921
44.7374,7.0000,6.9913,6.9913,-6.9913
45.1842,7.0000,6.9902,6.9902,-6.9902
45.6356,7.0000,6.9887,6.9887,-6.9887
46.0914,6.9909,6.9866,6.9866,-6.9866
46.5518,6.9900,6.9839,6.9839,-6.9839
47.0168,6.9900,6.9806,6.9806,-6.9806
47.4864,6.9900,6.9765,6.9765,-6.9765
47.9608,6.9810,6.9715,6.9715,-6.9715
48.4398,6.9710,6.9657,6.9657,-6.9657
48.9237,6.9610,6.9593,6.9593,-6.9593
49.4124,6.9600,6.9521,6.9521,-6.9521
49.9059,6.9600,6.9443,6.9443,-6.9443
50.4044,6.9511,6.9358,6.9358,-6.9358
50.9079,6.9410,6.9267,6.9267,-6.9267
51.4164,6.9221,6.9170,6.9170,-6.9170
51.9300,6.9112,6.9069,6.9069,-6.9069
52.4487,6.8924,6.8964,6.8964,-6.8964
