frequency,raw,smoothed,error,equalization
20.0000,9.2100,9.2339,9.2339,-9.2339
20.1998,9.2200,9.2362,9.2362,-9.2362
20.4015,9.2300,9.2387,9.2387,-9.2387
20.6053,9.2300,9.2413,9.2413,-9.2413
20.8112,9.2400,9.2441,9.2441,-9.2441
21.0190,9.2400,9.2469,9.2469,-9.2469
21.2290,9.2500,9.2498,9.2498,-9.2498
21.4410,9.2500,9.2527,9.2527,-9.2527
21.6552,9.2598,9.2557,9.2557,-9.2557
21.8715,9.2601,9.2586,9.2586,-9.2586
22.0900,9.2700,9.2616,9.2616,-9.2616
22.3106,9.2700,9.2646,9.2646,-9.2646
22.5335,9.2700,9.2674,9.2674,-9.2674
22.7586,9.2700,9.2699,9.2699,-9.2699
22.9859,9.2798,9.2722,9.2722,-9.2722
23.2155,9.2800,9.2740,9.2740,-9.2740
23.4474,9.2800,9.2754,9.2754,-9.2754
23.6816,9.2800,9.2764,9.2764,-9.2764
23.9182,9.2800,9.2770,9.2770,-9.2770
24.1571,9.2800,9.2773,9.2773,-9.2773
24.3984,9.2800,9.2773,9.2773,-9.2773
24.6421,9.2800,9.2769,9.2769,-9.2769
24.8882,9.2800,9.2761,9.2761,-9.2761
25.1368,9.2800,9.2751,9.2751,-9.2751
25.3879,9.2800,9.2737,9.2737,-9.2737
25.6415,9.2800,9.2719,9.2719,-9.2719
25.8976,9.2705,9.2698,9.2698,-9.2698
26.1563,9.2700,9.2674,9.2674,-9.2674
26.4176,9.2700,9.2648,9.2648,-9.2648
26.6815,9.2603,9.2619,9.2619,-9.2619
26.9480,9.2600,9.2587,9.2587,-9.2587
27.2172,9.2600,9.2554,9.2554,-9.2554
27.4890,9.2504,9.2516,9.2516,-9.2516
27.7636,9.2500,9.2477,9.2477,-9.2477
28.0409,9.2500,9.2435,9.2435,-9.2435
28.3210,9.2403,9.2389,9.2389,-9.2389
28.6039,9.2400,9.2341,9.2341,-9.2341
28.8896,9.2304,9.2289,9.2289,-9.2289
29.1782,9.2300,9.2235,9.2235,-9.2235
29.4697,9.2204,9.2176,9.2176,-9.2176
29.7640,9.2200,9.2113,9.2113,-9.2113
30.0613,9.2106,9.2044,9.2044,-9.2044
30.3616,9.2006,9.1971,9.1971,-9.1971
30.6649,9.1905,9.1894,9.1894,-9.1894
30.9712,9.1900,9.1812,9.1812,-9.1812
31.2806,9.1806,9.1725,9.1725,-9.1725
31.5930,9.1705,9.1632,9.1632,-9.1632
31.9086,9.1607,9.1535,9.1535,-9.1535
32.2273,9.1504,9.1432,9.1432,-9.1432
32.5492,9.1406,9.1324,9.1324,-9.1324
32.8744,9.1210,9.1212,9.1212,-9.1212
33.2027,9.1105,9.1096,9.1096,-9.1096
33.5344,9.1005,9.0977,9.0977,-9.0977
33.8694,9.0906,9.0854,9.0854,-9.0854
34.2077,9.0807,9.0728,9.0728,-9.0728
34.5494,9.0612,9.0597,9.0597,-9.0597
34.8945,9.0507,9.0464,9.0464,-9.0464
35.2430,9.0315,9.0327,9.0327,-9.0327
35.5951,9.0207,9.0188,9.0188,-9.0188
35.9506,9.0106,9.0047,9.0047,-9.0047
36.3097,8.9911,8.9903,8.9903,-8.9903
36.6724,8.9807,8.9757,8.9757,-8.9757
37.0387,8.9612,8.9608,8.9608,-8.9608
37.4087,8.9506,8.9456,8.9456,-8.9456
37.7824,8.9315,8.9301,8.9301,-8.9301
38.1598,8.9208,8.9145,8.9145,-8.9145
38.5409,8.9015,8.8985,8.8985,-8.8985
38.9259,8.8813,8.8824,8.8824,-8.8824
39.3147,8.8706,8.8660,8.8660,-8.8660
39.7074,8.8516,8.8494,8.8494,-8.8494
40.1041,8.8318,8.8325,8.8325,-8.8325
40.5046,8.8209,8.8152,8.8152,-8.8152
40.9092,8.8015,8.7977,8.7977,-8.7977
41.3179,8.7816,8.7797,8.7797,-8.7797
41.7306,8.7614,8.7615,8.7615,-8.7615
42.1474,8.7508,8.7429,8.7429,-8.7429
42.5684,8.7315,8.7239,8.7239,-8.7239
42.9936,8.7117,8.7044,8.7044,-8.7044
43.4231,8.6917,8.6844,8.6844,-8.6844
43.8568,8.6720,8.6640,8.6640,-8.6640
44.2949,8.6516,8.6431,8.6431,-8.6431
44.7374,8.6228,8.6218,8.6218,-8.6218
45.1842,8.6020,8.6000,8.6000,-8.6000
45.6356,8.5820,8.5780,8.5780,-8.5780
46.0914,8.5617,8.5556,8.5556,-8.5556
46.5518,8.5331,8.5329,8.5329,-8.5329
47.0168,8.5119,8.5098,8.5098,-8.5098
47.4864,8.4919,8.4865,8.4865,-8.4865
47.9608,8.4631,8.4630,8.4630,-8.4630
48.4398,8.4421,8.4392,8.4392,-8.4392
48.9237,8.4129,8.4153,8.4153,-8.4153
49.4124,8.3919,8.3913,8.3913,-8.3913
49.9059,8.3722,8.3671,8.3671,-8.3671
50.4044,8.3433,8.3427,8.3427,-8.3427
50.9079,8.3221,8.3181,8.3181,-8.3181
51.4164,8.2932,8.2933,8.2933,-8.2933
51.9300,8.2723,8.2682,8.2682,-8.2682
52.4487,8.2435,8.2427,8.2427,-8.2427
52.9726,8.2222,8.2169,8.2169,-8.2169
53.5018,8.1933,8.1908,8.1908,-8.1908
54.0362,8.1724,8.1643,8.1643,-8.1643
54.5759,8.1436,8.1374,8.1374,-8.1374
55.1211,8.1133,8.1102,8.1102,-8.1102
55.6717,8.0924,8.0826,8.0826,-8.0826
56.2278,8.0634,8.0546,8.0546,-8.0546
56.7894,8.0337,8.0262,8.0262,-8.0262
57.3567,8.0034,7.9975,7.9975,-7.9975
57.9296,7.9649,7.9685,7.9685,-7.9685
58.5082,7.9337,7.9393,7.9393,-7.9393
59.0927,7.9035,7.9099,7.9099,-7.9099
59.6829,7.8826,7.8804,7.8804,-7.8804
60.2791,7.8536,7.8507,7.8507,-7.8507
60.8812,7.8239,7.8206,7.8206,-7.8206
61.4893,7.7940,7.7902,7.7902,-7.7902
62.1035,7.7638,7.7594,7.7594,-7.7594
62.7239,7.7337,7.7284,7.7284,-7.7284
63.3504,7.7038,7.6970,7.6970,-7.6970
63.9832,7.6741,7.6652,7.6652,-7.6652
64.6223,7.6441,7.6330,7.6330,-7.6330
65.2678,7.6051,7.6003,7.6003,-7.6003
65.9198,7.5741,7.5672,7.5672,-7.5672
66.5782,7.5356,7.5336,7.5336,-7.5336
67.2433,7.5039,7.4996,7.4996,-7.4996
67.9149,7.4656,7.4651,7.4651,-7.4651
68.5933,7.4343,7.4304,7.4304,-7.4304
69.2785,7.3954,7.3953,7.3953,-7.3953
69.9705,7.3643,7.3599,7.3599,-7.3599
70.6694,7.3257,7.3243,7.3243,-7.3243
71.3753,7.2944,7.2883,7.2883,-7.2883
72.0883,7.2557,7.2520,7.2520,-7.2520
72.8083,7.2156,7.2154,7.2154,-7.2154
73.5356,7.1843,7.1786,7.1786,-7.1786
74.2701,7.1459,7.1415,7.1415,-7.1415
75.0120,7.1058,7.1040,7.1040,-7.1040
75.7613,7.0658,7.0664,7.0664,-7.0664
76.5180,7.0344,7.0284,7.0284,-7.0284
77.2824,6.9961,6.9902,6.9902,-6.9902
78.0543,6.9560,6.9516,6.9516,-6.9516
78.8340,6.9159,6.9128,6.9128,-6.9128
79.6214,6.8760,6.8738,6.8738,-6.8738
80.4168,6.8362,6.8345,6.8345,-6.8345
81.2200,6.7964,6.7950,6.7950,-6.7950
82.0313,6.7564,6.7553,6.7553,-6.7553
82.8507,6.7163,6.7154,6.7154,-6.7154
83.6783,6.6763,6.6753,6.6753,-6.6753
84.5141,6.6365,6.6350,6.6350,-6.6350
85.3583,6.5967,6.5944,6.5944,-6.5944
86.2109,6.5565,6.5536,6.5536,-6.5536
87.0721,6.5168,6.5126,6.5126,-6.5126
87.9418,6.4768,6.4714,6.4714,-6.4714
88.8203,6.4368,6.4299,6.4299,-6.4299
89.7075,6.3886,6.3881,6.3881,-6.3881
90.6035,6.3470,6.3461,6.3461,-6.3461
91.5085,6.3067,6.3039,6.3039,-6.3039
92.4226,6.2668,6.2614,6.2614,-6.2614
93.3458,6.2188,6.2186,6.2186,-6.2186
94.2782,6.1770,6.1756,6.1756,-6.1756
95.2199,6.1372,6.1323,6.1323,-6.1323
96.1711,6.0889,6.0887,6.0887,-6.0887
97.1317,6.0470,6.0449,6.0449,-6.0449
98.1019,6.0073,6.0008,6.0008,-6.0008
99.0818,5.9591,5.9565,5.9565,-5.9565
100.0715,5.9172,5.9119,5.9119,-5.9119
101.0711,5.8689,5.8671,5.8671,-5.8671
102.0807,5.8274,5.8221,5.8221,-5.8221
103.1004,5.7793,5.7768,5.7768,-5.7768
104.1302,5.7292,5.7314,5.7314,-5.7314
105.1703,5.6876,5.6859,5.6859,-5.6859
106.2209,5.6395,5.6402,5.6402,-5.6402
107.2819,5.5975,5.5944,5.5944,-5.5944
108.3535,5.5496,5.5484,5.5484,-5.5484
109.4358,5.4995,5.5023,5.5023,-5.5023
110.5289,5.4577,5.4562,5.4562,-5.4562
111.6330,5.4098,5.4099,5.4099,-5.4099
112.7481,5.3679,5.3635,5.3635,-5.3635
113.8743,5.3200,5.3170,5.3170,-5.3170
115.0118,5.2700,5.2703,5.2703,-5.2703
116.1606,5.2280,5.2236,5.2236,-5.2236
117.3209,5.1799,5.1767,5.1767,-5.1767
118.4928,5.1301,5.1297,5.1297,-5.1297
119.6764,5.0802,5.0826,5.0826,-5.0826
120.8718,5.0383,5.0355,5.0355,-5.0355
122.0792,4.9904,4.9882,4.9882,-4.9882
123.2986,4.9403,4.9408,4.9408,-4.9408
124.5302,4.8905,4.8933,4.8933,-4.8933
125.7741,4.8483,4.8459,4.8459,-4.8459
127.0304,4.8003,4.7983,4.7983,-4.7983
128.2993,4.7506,4.7507,4.7507,-4.7507
129.5808,4.7005,4.7030,4.7030,-4.7030
130.8752,4.6585,4.6554,4.6554,-4.6554
132.1825,4.6106,4.6077,4.6077,-4.6077
133.5028,4.5608,4.5599,4.5599,-4.5599
134.8363,4.5107,4.5120,4.5120,-4.5120
136.1832,4.4609,4.4641,4.4641,-4.4641
137.5435,4.4187,4.4162,4.4162,-4.4162
138.9174,4.3710,4.3680,4.3680,-4.3680
140.3050,4.3210,4.3197,4.3197,-4.3197
141.7065,4.2711,4.2711,4.2711,-4.2711
143.1220,4.2212,4.2224,4.2224,-4.2224
144.5516,4.1789,4.1735,4.1735,-4.1735
145.9955,4.1312,4.1244,4.1244,-4.1244
147.4538,4.0812,4.0751,4.0751,-4.0751
148.9267,4.0313,4.0257,4.0257,-4.0257
150.4143,3.9813,3.9761,3.9761,-3.9761
151.9167,3.9314,3.9263,3.9263,-3.9263
153.4342,3.8737,3.8765,3.8765,-3.8765
154.9668,3.8215,3.8267,3.8267,-3.8267
156.5147,3.7717,3.7770,3.7770,-3.7770
158.0781,3.7216,3.7275,3.7275,-3.7275
159.6571,3.6717,3.6781,3.6781,-3.6781
161.2519,3.6218,3.6289,3.6289,-3.6289
162.8626,3.5794,3.5800,3.5800,-3.5800
164.4894,3.5319,3.5312,3.5312,-3.5312
166.1324,3.4820,3.4826,3.4826,-3.4826
167.7919,3.4320,3.4341,3.4341,-3.4341
169.4679,3.3820,3.3858,3.3858,-3.3858
171.1607,3.3396,3.3376,3.3376,-3.3376
172.8704,3.2922,3.2895,3.2895,-3.2895
174.5972,3.2422,3.2413,3.2413,-3.2413
176.3412,3.1923,3.1932,3.1932,-3.1932
178.1026,3.1424,3.1452,3.1452,-3.1452
179.8816,3.0999,3.0973,3.0973,-3.0973
181.6784,3.0525,3.0494,3.0494,-3.0494
183.4932,3.0026,3.0015,3.0015,-3.0015
185.3261,2.9526,2.9538,2.9538,-2.9538
187.1772,2.9027,2.9063,2.9063,-2.9063
189.0469,2.8526,2.8590,2.8590,-2.8590
190.9352,2.8028,2.8119,2.8119,-2.8119
192.8425,2.7602,2.7652,2.7652,-2.7652
194.7687,2.7129,2.7187,2.7187,-2.7187
196.7142,2.6704,2.6725,2.6725,-2.6725
198.6792,2.6230,2.6265,2.6265,-2.6265
200.6637,2.5804,2.5808,2.5808,-2.5808
202.6681,2.5330,2.5352,2.5352,-2.5352
204.6925,2.4905,2.4897,2.4897,-2.4897
206.7371,2.4432,2.4444,2.4444,-2.4444
208.8022,2.4006,2.3991,2.3991,-2.3991
210.8879,2.3532,2.3538,2.3538,-2.3538
212.9944,2.3107,2.3085,2.3085,-2.3085
215.1219,2.2633,2.2630,2.2630,-2.2630
217.2707,2.2207,2.2175,2.2175,-2.2175
219.4410,2.1735,2.1720,2.1720,-2.1720
221.6329,2.1309,2.1264,2.1264,-2.1264
223.8468,2.0836,2.0808,2.0808,-2.0808
226.0827,2.0337,2.0353,2.0353,-2.0353
228.3410,1.9910,1.9901,1.9901,-1.9901
230.6219,1.9437,1.9451,1.9451,-1.9451
232.9255,1.8939,1.9005,1.9005,-1.9005
235.2521,1.8439,1.8564,1.8564,-1.8564
237.6020,1.8012,1.8129,1.8129,-1.8129
239.9754,1.7612,1.7699,1.7699,-1.7699
242.3724,1.7141,1.7275,1.7275,-1.7275
244.7934,1.6713,1.6856,1.6856,-1.6856
247.2386,1.6313,1.6442,1.6442,-1.6442
249.7082,1.5985,1.6032,1.6032,-1.6032
252.2025,1.5614,1.5626,1.5626,-1.5626
254.7217,1.5215,1.5222,1.5222,-1.5222
257.2661,1.4886,1.4819,1.4819,-1.4819
259.8358,1.4515,1.4417,1.4417,-1.4417
262.4313,1.4116,1.4015,1.4015,-1.4015
265.0527,1.3717,1.3613,1.3613,-1.3613
267.7002,1.3247,1.3209,1.3209,-1.3209
270.3742,1.2817,1.2807,1.2807,-1.2807
273.0749,1.2347,1.2405,1.2405,-1.2405
275.8026,1.1918,1.2007,1.2007,-1.2007
278.5575,1.1519,1.1611,1.1611,-1.1611
281.3400,1.1119,1.1220,1.1220,-1.1220
284.1502,1.0719,1.0833,1.0833,-1.0833
286.9885,1.0320,1.0450,1.0450,-1.0450
289.8552,0.9990,1.0073,1.0073,-1.0073
292.7505,0.9621,0.9700,0.9700,-0.9700
295.6747,0.9291,0.9333,0.9333,-0.9333
298.6281,0.8922,0.8969,0.8969,-0.8969
301.6111,0.8592,0.8609,0.8609,-0.8609
304.6238,0.8292,0.8253,0.8253,-0.8253
307.6666,0.7923,0.7897,0.7897,-0.7897
310.7398,0.7593,0.7543,0.7543,-0.7543
313.8437,0.7224,0.7190,0.7190,-0.7190
316.9786,0.6825,0.6838,0.6838,-0.6838
320.1449,0.6494,0.6487,0.6487,-0.6487
323.3427,0.6126,0.6138,0.6138,-0.6138
326.5725,0.5726,0.5789,0.5789,-0.5789
329.8346,0.5395,0.5443,0.5443,-0.5443
333.1292,0.5027,0.5100,0.5100,-0.5100
336.4568,0.4695,0.4759,0.4759,-0.4759
339.8176,0.4396,0.4422,0.4422,-0.4422
343.2119,0.4028,0.4087,0.4087,-0.4087
346.6402,0.3697,0.3756,0.3756,-0.3756
350.1027,0.3397,0.3429,0.3429,-0.3429
353.5998,0.3097,0.3106,0.3106,-0.3106
357.1318,0.2797,0.2785,0.2785,-0.2785
360.6991,0.2430,0.2468,0.2468,-0.2468
364.3021,0.2098,0.2153,0.2153,-0.2153
367.9410,0.1799,0.1843,0.1843,-0.1843
371.6163,0.1499,0.1536,0.1536,-0.1536
375.3283,0.1199,0.1232,0.1232,-0.1232
379.0774,0.0900,0.0932,0.0932,-0.0932
382.8639,0.0600,0.0635,0.0635,-0.0635
386.6882,0.0300,0.0342,0.0342,-0.0342
390.5508,0.0000,0.0053,0.0053,-0.0053
394.4519,-0.0299,-0.0233,-0.0233,0.0233
398.3920,-0.0599,-0.0514,-0.0514,0.0514
402.3714,-0.0832,-0.0792,-0.0792,0.0792
406.3906,-0.1098,-0.1065,-0.1065,0.1065
410.4500,-0.1398,-0.1336,-0.1336,0.1336
414.5498,-0.1632,-0.1603,-0.1603,0.1603
418.6907,-0.1897,-0.1868,-0.1868,0.1868
422.8729,-0.2131,-0.2130,-0.2130,0.2130
427.0969,-0.2396,-0.2390,-0.2390,0.2390
431.3631,-0.2631,-0.2648,-0.2648,0.2648
435.6718,-0.2896,-0.2903,-0.2903,0.2903
440.0237,-0.3195,-0.3156,-0.3156,0.3156
444.4190,-0.3430,-0.3406,-0.3406,0.3406
448.8582,-0.3695,-0.3653,-0.3653,0.3653
453.3417,-0.3930,-0.3896,-0.3896,0.3896
457.8700,-0.4194,-0.4137,-0.4137,0.4137
462.4436,-0.4429,-0.4373,-0.4373,0.4373
467.0628,-0.4694,-0.4605,-0.4605,0.4605
471.7282,-0.4929,-0.4833,-0.4833,0.4833
476.4402,-0.5129,-0.5056,-0.5056,0.5056
481.1993,-0.5328,-0.5275,-0.5275,0.5275
486.0059,-0.5528,-0.5489,-0.5489,0.5489
490.8605,-0.5728,-0.5699,-0.5699,0.5699
495.7636,-0.5928,-0.5905,-0.5905,0.5905
500.7156,-0.6127,-0.6108,-0.6108,0.6108
505.7172,-0.6327,-0.6307,-0.6307,0.6307
510.7687,-0.6527,-0.6502,-0.6502,0.6502
515.8706,-0.6727,-0.6694,-0.6694,0.6694
521.0235,-0.6926,-0.6882,-0.6882,0.6882
