frequency,raw,smoothed,error,equalization
20.0000,11.1500,11.0936,11.0936,-11.0936
20.1998,11.1400,11.0889,11.0889,-11.0889
20.4015,11.1299,11.0843,11.0843,-11.0843
20.6053,11.1104,11.0803,11.0803,-11.0803
20.8112,11.0898,11.0771,11.0771,-11.0771
21.0190,11.0601,11.0747,11.0747,-11.0747
21.2290,11.0301,11.0733,11.0733,-11.0733
21.4410,11.0100,11.0730,11.0730,-11.0730
21.6552,11.0100,11.0736,11.0736,-11.0736
21.8715,11.0101,11.0747,11.0747,-11.0747
22.0900,11.0300,11.0762,11.0762,-11.0762
22.3106,11.0601,11.0777,11.0777,-11.0777
22.5335,11.0989,11.0787,11.0787,-11.0787
22.7586,11.1298,11.0792,11.0792,-11.0792
22.9859,11.1595,11.0786,11.0786,-11.0786
23.2155,11.1600,11.0762,11.0762,-11.0762
23.4474,11.1501,11.0719,11.0719,-11.0719
23.6816,11.1307,11.0655,11.0655,-11.0655
23.9182,11.0903,11.0570,11.0570,-11.0570
24.1571,11.0505,11.0466,11.0466,-11.0466
24.3984,11.0103,11.0348,11.0348,-11.0348
24.6421,10.9906,11.0218,11.0218,-11.0218
24.8882,10.9701,11.0080,11.0080,-11.0080
25.1368,10.9700,10.9936,10.9936,-10.9936
25.3879,10.9700,10.9784,10.9784,-10.9784
25.6415,10.9700,10.9627,10.9627,-10.9627
25.8976,10.9605,10.9463,10.9463,-10.9463
26.1563,10.9501,10.9296,10.9296,-10.9296
26.4176,10.9309,10.9127,10.9127,-10.9127
26.6815,10.9203,10.8958,10.8958,-10.8958
26.9480,10.9009,10.8792,10.8792,-10.8792
27.2172,10.8810,10.8628,10.8628,-10.8628
27.4890,10.8608,10.8467,10.8467,-10.8467
27.7636,10.8307,10.8306,10.8306,-10.8306
28.0409,10.8010,10.8146,10.8146,-10.8146
28.3210,10.7613,10.7989,10.7989,-10.7989
28.6039,10.7317,10.7838,10.7838,-10.7838
28.8896,10.7107,10.7695,10.7695,-10.7695
29.1782,10.7100,10.7564,10.7564,-10.7564
29.4697,10.7196,10.7440,10.7440,-10.7440
29.7640,10.7389,10.7322,10.7322,-10.7322
30.0613,10.7588,10.7202,10.7202,-10.7202
30.3616,10.7694,10.7076,10.7076,-10.7076
30.6649,10.7510,10.6940,10.6940,-10.6940
30.9712,10.7124,10.6793,10.6793,-10.6793
31.2806,10.6819,10.6639,10.6639,-10.6639
31.5930,10.6516,10.6478,10.6478,-10.6478
31.9086,10.6220,10.6311,10.6311,-10.6311
32.2273,10.6104,10.6137,10.6137,-10.6137
32.5492,10.5913,10.5953,10.5953,-10.5953
32.8744,10.5710,10.5761,10.5761,-10.5761
33.2027,10.5510,10.5561,10.5561,-10.5561
33.5344,10.5309,10.5355,10.5355,-10.5355
33.8694,10.5112,10.5147,10.5147,-10.5147
34.2077,10.5007,10.4938,10.4938,-10.4938
34.5494,10.4812,10.4728,10.4728,-10.4728
34.8945,10.4707,10.4517,10.4517,-10.4517
35.2430,10.4423,10.4301,10.4301,-10.4301
35.5951,10.4214,10.4081,10.4081,-10.4081
35.9506,10.3917,10.3856,10.3856,-10.3856
36.3097,10.3617,10.3626,10.3626,-10.3626
36.6724,10.3415,10.3392,10.3392,-10.3392
37.0387,10.3118,10.3152,10.3152,-10.3152
37.4087,10.2912,10.2908,10.2908,-10.2908
37.7824,10.2715,10.2658,10.2658,-10.2658
38.1598,10.2424,10.2402,10.2402,-10.2402
38.5409,10.2215,10.2142,10.2142,-10.2142
38.9259,10.1919,10.1878,10.1878,-10.1878
39.3147,10.1713,10.1612,10.1612,-10.1612
39.7074,10.1516,10.1343,10.1343,-10.1343
40.1041,10.1227,10.1070,10.1070,-10.1070
40.5046,10.0835,10.0793,10.0793,-10.0793
40.9092,10.0523,10.0513,10.0513,-10.0513
41.3179,10.0131,10.0232,10.0232,-10.0232
41.7306,9.9822,9.9951,9.9951,-9.9951
42.1474,9.9523,9.9670,9.9670,-9.9670
42.5684,9.9315,9.9391,9.9391,-9.9391
42.9936,9.9117,9.9113,9.9113,-9.9113
43.4231,9.8917,9.8834,9.8834,-9.8834
43.8568,9.8629,9.8552,9.8552,-9.8552
44.2949,9.8324,9.8264,9.8264,-9.8264
44.7374,9.8028,9.7972,9.7972,-9.7972
45.1842,9.7731,9.7675,9.7675,-9.7675
45.6356,9.7430,9.7372,9.7372,-9.7372
46.0914,9.7126,9.7065,9.7065,-9.7065
46.5518,9.6831,9.6752,9.6752,-9.6752
47.0168,9.6619,9.6429,9.6429,-9.6429
47.4864,9.6328,9.6094,9.6094,-9.6094
47.9608,9.6031,9.5746,9.5746,-9.5746
48.4398,9.5642,9.5383,9.5383,-9.5383
48.9237,9.5058,9.5010,9.5010,-9.5010
49.4124,9.4549,9.4631,9.4631,-9.4631
49.9059,9.4143,9.4248,9.4248,-9.4248
50.4044,9.3922,9.3863,9.3863,-9.3863
50.9079,9.3631,9.3470,9.3470,-9.3470
51.4164,9.3332,9.3067,9.3067,-9.3067
51.9300,9.2769,9.2656,9.2656,-9.2656
52.4487,9.2259,9.2239,9.2239,-9.2239
52.9726,9.1666,9.1820,9.1820,-9.1820
53.5018,9.1155,9.1404,9.1404,-9.1404
54.0362,9.0835,9.0993,9.0993,-9.0993
54.5759,9.0624,9.0583,9.0583,-9.0583
55.1211,9.0511,9.0173,9.0173,-9.0173
55.6717,8.9973,8.9755,8.9755,-8.9755
56.2278,8.9368,8.9331,8.9331,-8.9331
56.7894,8.8687,8.8906,8.8906,-8.8906
57.3567,8.8245,8.8482,8.8482,-8.8482
57.9296,8.7936,8.8061,8.8061,-8.8061
58.5082,8.7725,8.7640,8.7640,-8.7640
