frequency,raw,smoothed,error,equalization
20.0000,6.8600,6.6946,6.6946,-6.6946
20.1998,6.7901,6.6915,6.6915,-6.6915
20.4015,6.7195,6.6889,6.6889,-6.6889
20.6053,6.6516,6.6880,6.6880,-6.6880
20.8112,6.5898,6.6896,6.6896,-6.6896
21.0190,6.5601,6.6942,6.6942,-6.6942
21.2290,6.5600,6.7021,6.7021,-6.7021
21.4410,6.5903,6.7130,6.7130,-6.7130
21.6552,6.6487,6.7266,6.7266,-6.7266
21.8715,6.7204,6.7422,6.7422,-6.7422
22.0900,6.7800,6.7590,6.7590,-6.7590
22.3106,6.8301,6.7766,6.7766,-6.7766
22.5335,6.8592,6.7950,6.7950,-6.7950
22.7586,6.8799,6.8138,6.8138,-6.8138
22.9859,6.8800,6.8325,6.8325,-6.8325
23.2155,6.8702,6.8505,6.8505,-6.8505
23.4474,6.8700,6.8675,6.8675,-6.8675
23.6816,6.8797,6.8834,6.8834,-6.8834
23.9182,6.8899,6.8977,6.8977,-6.8977
24.1571,6.9098,6.9103,6.9103,-6.9103
24.3984,6.9299,6.9212,6.9212,-6.9212
24.6421,6.9397,6.9304,6.9304,-6.9304
24.8882,6.9499,6.9383,6.9383,-6.9383
25.1368,6.9599,6.9453,6.9453,-6.9453
25.3879,6.9600,6.9518,6.9518,-6.9518
25.6415,6.9697,6.9586,6.9586,-6.9586
25.8976,6.9795,6.9661,6.9661,-6.9661
26.1563,6.9899,6.9744,6.9744,-6.9744
26.4176,6.9995,6.9836,6.9836,-6.9836
26.6815,6.9903,6.9933,6.9933,-6.9933
26.9480,6.9804,7.0035,7.0035,-7.0035
27.2172,6.9610,7.0138,7.0138,-7.0138
27.4890,6.9504,7.0244,7.0244,-7.0244
27.7636,6.9598,7.0352,7.0352,-7.0352
28.0409,6.9890,7.0460,7.0460,-7.0460
28.3210,7.0481,7.0563,7.0563,-7.0563
28.6039,7.1067,7.0653,7.0653,-7.0653
28.8896,7.1774,7.0721,7.0721,-7.0721
29.1782,7.2088,7.0757,7.0757,-7.0757
29.4697,7.2293,7.0756,7.0756,-7.0756
29.7640,7.1921,7.0714,7.0714,-7.0714
30.0613,7.1337,7.0636,7.0636,-7.0636
30.3616,7.0643,7.0530,7.0530,-7.0530
30.6649,7.0125,7.0405,7.0405,-7.0405
30.9712,6.9818,7.0268,7.0268,-7.0268
31.2806,6.9706,7.0122,7.0122,-7.0122
31.5930,6.9605,6.9971,6.9971,-6.9971
31.9086,6.9600,6.9817,6.9817,-6.9817
32.2273,6.9504,6.9666,6.9666,-6.9666
32.5492,6.9406,6.9524,6.9524,-6.9524
32.8744,6.9210,6.9397,6.9397,-6.9397
33.2027,6.9105,6.9289,6.9289,-6.9289
33.5344,6.9005,6.9202,6.9202,-6.9202
33.8694,6.9000,6.9134,6.9134,-6.9134
34.2077,6.9000,6.9079,6.9079,-6.9079
34.5494,6.9000,6.9034,6.9034,-6.9034
34.8945,6.8907,6.8995,6.8995,-6.8995
35.2430,6.8900,6.8963,6.8963,-6.8963
35.5951,6.8807,6.8937,6.8937,-6.8937
35.9506,6.8894,6.8917,6.8917,-6.8917
36.3097,6.8900,6.8901,6.8901,-6.8901
36.6724,6.8900,6.8890,6.8890,-6.8890
37.0387,6.8900,6.8880,6.8880,-6.8880
37.4087,6.8806,6.8871,6.8871,-6.8871
37.7824,6.8800,6.8862,6.8862,-6.8862
38.1598,6.8800,6.8853,6.8853,-6.8853
38.5409,6.8892,6.8842,6.8842,-6.8842
38.9259,6.8900,6.8826,6.8826,-6.8826
39.3147,6.8900,6.8807,6.8807,-6.8807
39.7074,6.8900,6.8782,6.8782,-6.8782
40.1041,6.8900,6.8752,6.8752,-6.8752
40.5046,6.8809,6.8717,6.8717,-6.8717
40.9092,6.8800,6.8679,6.8679,-6.8679
41.3179,6.8708,6.8637,6.8637,-6.8637
41.7306,6.8700,6.8593,6.8593,-6.8593
42.1474,6.8608,6.8545,6.8545,-6.8545
42.5684,6.8415,6.8493,6.8493,-6.8493
42.9936,6.8308,6.8440,6.8440,-6.8440
43.4231,6.8209,6.8387,6.8387,-6.8387
43.8568,6.8200,6.8334,6.8334,-6.8334
44.2949,6.8200,6.8281,6.8281,-6.8281
44.7374,6.8291,6.8228,6.8228,-6.8228
45.1842,6.8300,6.8170,6.8170,-6.8170
45.6356,6.8300,6.8108,6.8108,-6.8108
46.0914,6.8209,6.8039,6.8039,-6.8039
46.5518,6.8110,6.7963,6.7963,-6.7963
47.0168,6.7919,6.7881,6.7881,-6.7881
47.4864,6.7900,6.7795,6.7795,-6.7795
47.9608,6.7810,6.7702,6.7702,-6.7702
48.4398,6.7710,6.7603,6.7603,-6.7603
48.9237,6.7610,6.7497,6.7497,-6.7497
49.4124,6.7419,6.7386,6.7386,-6.7386
49.9059,6.7311,6.7274,6.7274,-6.7274
50.4044,6.7122,6.7162,6.7162,-6.7162
50.9079,6.7010,6.7054,6.7054,-6.7054
51.4164,6.6821,6.6953,6.6953,-6.6953
51.9300,6.6712,6.6864,6.6864,-6.6864
52.4487,6.6612,6.6790,6.6790,-6.6790
52.9726,6.6511,6.6732,6.6732,-6.6732
53.5018,6.6411,6.6688,6.6688,-6.6688
54.0362,6.6312,6.6656,6.6656,-6.6656
54.5759,6.6300,6.6633,6.6633,-6.6633
55.1211,6.6300,6.6614,6.6614,-6.6614
55.6717,6.6476,6.6598,6.6598,-6.6598
56.2278,6.6500,6.6576,6.6576,-6.6576
56.7894,6.6500,6.6546,6.6546,-6.6546
57.3567,6.6766,6.6504,6.6504,-6.6504
57.9296,6.7064,6.6444,6.6444,-6.6444
58.5082,6.7363,6.6359,6.6359,-6.6359
59.0927,6.7400,6.6242,6.6242,-6.6242
59.6829,6.6877,6.6092,6.6092,-6.6092
60.2791,6.6272,6.5913,6.5913,-6.5913
60.8812,6.5852,6.5713,6.5713,-6.5713
61.4893,6.5540,6.5499,6.5499,-6.5499
62.1035,6.5150,6.5272,6.5272,-6.5272
62.7239,6.4749,6.5038,6.5038,-6.5038
63.3504,6.4438,6.4803,6.4803,-6.4803
63.9832,6.4227,6.4571,6.4571,-6.4571
64.6223,6.4114,6.4345,6.4345,-6.4345
65.2678,6.3926,6.4127,6.4127,-6.4127
65.9198,6.3727,6.3922,6.3922,-6.3922
66.5782,6.3528,6.3735,6.3735,-6.3735
67.2433,6.3413,6.3564,6.3564,-6.3564
67.9149,6.3400,6.3404,6.3404,-6.3404
68.5933,6.3228,6.3250,6.3250,-6.3250
69.2785,6.3113,6.3100,6.3100,-6.3100
69.9705,6.2928,6.2952,6.2952,-6.2952
70.6694,6.2814,6.2806,6.2806,-6.2806
71.3753,6.2715,6.2658,6.2658,-6.2658
72.0883,6.2529,6.2506,6.2506,-6.2506
72.8083,6.2500,6.2350,6.2350,-6.2350
73.5356,6.2500,6.2189,6.2189,-6.2189
74.2701,6.2330,6.2019,6.2019,-6.2019
75.0120,6.1958,6.1839,6.1839,-6.1839
75.7613,6.1558,6.1653,6.1653,-6.1653
76.5180,6.1329,6.1463,6.1463,-6.1463
77.2824,6.1215,6.1272,6.1272,-6.1272
78.0543,6.1115,6.1077,6.1077,-6.1077
78.8340,6.1015,6.0879,6.0879,-6.0879
79.6214,6.0660,6.0676,6.0676,-6.0676
80.4168,6.0431,6.0469,6.0469,-6.0469
81.2200,6.0316,6.0260,6.0260,-6.0260
82.0313,6.0132,6.0047,6.0047,-6.0047
82.8507,5.9847,5.9830,5.9830,-5.9830
83.6783,5.9632,5.9613,5.9613,-5.9613
84.5141,5.9432,5.9394,5.9394,-5.9394
85.3583,5.9233,5.9171,5.9171,-5.9171
86.2109,5.8949,5.8944,5.8944,-5.8944
87.0721,5.8817,5.8714,5.8714,-5.8714
87.9418,5.8551,5.8480,5.8480,-5.8480
88.8203,5.8334,5.8245,5.8245,-5.8245
