frequency,raw,smoothed,error,equalization
20.0000,6.6500,6.7646,6.7646,-6.7646
20.1998,6.6800,6.7780,6.7780,-6.7780
20.4015,6.7103,6.7932,6.7932,-6.7932
20.6053,6.7491,6.8097,6.8097,-6.8097
20.8112,6.7802,6.8272,6.8272,-6.8272
21.0190,6.8099,6.8454,6.8454,-6.8454
21.2290,6.8498,6.8644,6.8644,-6.8644
21.4410,6.8801,6.8840,6.8840,-6.8840
21.6552,6.9093,6.9043,6.9043,-6.9043
21.8715,6.9402,6.9255,6.9255,-6.9255
22.0900,6.9700,6.9476,6.9476,-6.9476
22.3106,6.9901,6.9707,6.9707,-6.9707
22.5335,7.0094,6.9941,6.9941,-6.9941
22.7586,7.0299,7.0163,7.0163,-7.0163
22.9859,7.0496,7.0373,7.0373,-7.0373
23.2155,7.0598,7.0571,7.0571,-7.0571
23.4474,7.0798,7.0759,7.0759,-7.0759
23.6816,7.0993,7.0938,7.0938,-7.0938
23.9182,7.1198,7.1107,7.1107,-7.1107
24.1571,7.1398,7.1267,7.1267,-7.1267
24.3984,7.1599,7.1420,7.1420,-7.1420
24.6421,7.1697,7.1563,7.1563,-7.1563
24.8882,7.1799,7.1701,7.1701,-7.1701
25.1368,7.1899,7.1833,7.1833,-7.1833
25.3879,7.1999,7.1961,7.1961,-7.1961
25.6415,7.2097,7.2085,7.2085,-7.2085
25.8976,7.2195,7.2204,7.2204,-7.2204
26.1563,7.2299,7.2317,7.2317,-7.2317
26.4176,7.2395,7.2426,7.2426,-7.2426
26.6815,7.2497,7.2529,7.2529,-7.2529
26.9480,7.2691,7.2627,7.2627,-7.2627
27.2172,7.2795,7.2718,7.2718,-7.2718
27.4890,7.2896,7.2803,7.2803,-7.2803
27.7636,7.3095,7.2880,7.2880,-7.2880
28.0409,7.3197,7.2948,7.2948,-7.2948
28.3210,7.3200,7.3005,7.3005,-7.3005
28.6039,7.3200,7.3051,7.3051,-7.3051
28.8896,7.3200,7.3087,7.3087,-7.3087
