frequency,raw,smoothed,error,equalization
20.0000,9.1200,9.0753,9.0753,-9.0753
20.1998,9.1100,9.0691,9.0691,-9.0691
20.4015,9.0999,9.0618,9.0618,-9.0618
20.6053,9.0902,9.0535,9.0535,-9.0535
20.8112,9.0699,9.0443,9.0443,-9.0443
21.0190,9.0600,9.0343,9.0343,-9.0343
21.2290,9.0401,9.0233,9.0233,-9.0233
21.4410,9.0299,9.0115,9.0115,-9.0115
21.6552,9.0104,8.9985,8.9985,-8.9985
21.8715,8.9899,8.9843,8.9843,-8.9843
22.0900,8.9700,8.9688,8.9688,-8.9688
22.3106,8.9599,8.9518,8.9518,-8.9518
22.5335,8.9406,8.9336,8.9336,-8.9336
22.7586,8.9201,8.9148,8.9148,-8.9148
22.9859,8.9004,8.8956,8.8956,-8.8956
23.2155,8.8804,8.8761,8.8761,-8.8761
23.4474,8.8602,8.8563,8.8563,-8.8563
23.6816,8.8407,8.8362,8.8362,-8.8362
23.9182,8.8202,8.8159,8.8159,-8.8159
24.1571,8.8002,8.7954,8.7954,-8.7954
24.3984,8.7702,8.7748,8.7748,-8.7748
24.6421,8.7506,8.7541,8.7541,-8.7541
24.8882,8.7301,8.7333,8.7333,-8.7333
25.1368,8.7103,8.7125,8.7125,-8.7125
25.3879,8.6902,8.6917,8.6917,-8.6917
25.6415,8.6707,8.6708,8.6708,-8.6708
25.8976,8.6510,8.6498,8.6498,-8.6498
26.1563,8.6303,8.6285,8.6285,-8.6285
26.4176,8.6109,8.6071,8.6071,-8.6071
26.6815,8.5907,8.5854,8.5854,-8.5854
26.9480,8.5709,8.5634,8.5634,-8.5634
27.2172,8.5510,8.5410,8.5410,-8.5410
27.4890,8.5212,8.5183,8.5183,-8.5183
27.7636,8.5005,8.4951,8.4951,-8.4951
28.0409,8.4806,8.4715,8.4715,-8.4715
28.3210,8.4510,8.4475,8.4475,-8.4475
28.6039,8.4311,8.4230,8.4230,-8.4230
28.8896,8.4011,8.3980,8.3980,-8.3980
29.1782,8.3712,8.3727,8.3727,-8.3727
29.4697,8.3507,8.3470,8.3470,-8.3470
29.7640,8.3216,8.3208,8.3208,-8.3208
30.0613,8.3012,8.2943,8.2943,-8.2943
30.3616,8.2718,8.2674,8.2674,-8.2674
30.6649,8.2415,8.2401,8.2401,-8.2401
30.9712,8.2212,8.2123,8.2123,-8.2123
31.2806,8.1919,8.1841,8.1841,-8.1841
31.5930,8.1616,8.1554,8.1554,-8.1554
31.9086,8.1320,8.1263,8.1263,-8.1263
32.2273,8.1012,8.0968,8.0968,-8.0968
32.5492,8.0719,8.0669,8.0669,-8.0669
32.8744,8.0415,8.0366,8.0366,-8.0366
33.2027,8.0116,8.0059,8.0059,-8.0059
33.5344,7.9814,7.9749,7.9749,-7.9749
33.8694,7.9424,7.9435,7.9435,-7.9435
34.2077,7.9120,7.9119,7.9119,-7.9119
34.5494,7.8818,7.8801,7.8801,-7.8801
34.8945,7.8522,7.8481,7.8481,-7.8481
35.2430,7.8131,7.8158,7.8158,-7.8158
35.5951,7.7821,7.7835,7.7835,-7.7835
35.9506,7.7517,7.7509,7.7509,-7.7509
36.3097,7.7217,7.7180,7.7180,-7.7180
36.6724,7.6922,7.6849,7.6849,-7.6849
37.0387,7.6524,7.6513,7.6513,-7.6513
37.4087,7.6217,7.6174,7.6174,-7.6174
37.7824,7.5922,7.5831,7.5831,-7.5831
38.1598,7.5532,7.5482,7.5482,-7.5482
38.5409,7.5223,7.5129,7.5129,-7.5129
38.9259,7.4825,7.4770,7.4770,-7.4770
39.3147,7.4519,7.4408,7.4408,-7.4408
39.7074,7.4133,7.4040,7.4040,-7.4040
40.1041,7.3736,7.3667,7.3667,-7.3667
