frequency,raw,smoothed,error,equalization
20.0000,-8.9600,-8.5768,-8.5768,8.5768
20.1998,-8.8701,-8.5378,-8.5378,8.5378
20.4015,-8.7591,-8.4944,-8.4944,8.4944
20.6053,-8.6427,-8.4485,-8.4485,8.4485
20.8112,-8.5093,-8.4009,-8.4009,8.4009
21.0190,-8.3806,-8.3521,-8.3521,8.3521
21.2290,-8.2506,-8.3023,-8.3023,8.3023
21.4410,-8.1597,-8.2517,-8.2517,8.2517
21.6552,-8.1013,-8.1998,-8.1998,8.1998
21.8715,-8.0499,-8.1457,-8.1457,8.1457
22.0900,-8.0400,-8.0887,-8.0887,8.0887
22.3106,-8.0300,-8.0275,-8.0275,8.0275
22.5335,-8.0203,-7.9632,-7.9632,7.9632
22.7586,-8.0001,-7.8996,-7.8996,7.8996
22.9859,-7.9509,-7.8356,-7.8356,7.8356
23.2155,-7.8716,-7.7705,-7.7705,7.7705
23.4474,-7.7612,-7.7036,-7.7036,7.7036
23.6816,-7.6538,-7.6348,-7.6348,7.6348
23.9182,-7.5409,-7.5637,-7.5637,7.5637
24.1571,-7.4412,-7.4905,-7.4905,7.4905
24.3984,-7.3605,-7.4154,-7.4154,7.4154
24.6421,-7.3116,-7.3388,-7.3388,7.3388
24.8882,-7.2703,-7.2609,-7.2609,7.2609
25.1368,-7.2206,-7.1821,-7.1821,7.1821
25.3879,-7.1803,-7.1028,-7.1028,7.1028
25.6415,-7.0929,-7.0232,-7.0232,7.0232
25.8976,-6.9948,-6.9439,-6.9439,6.9439
26.1563,-6.8718,-6.8653,-6.8653,6.8653
26.4176,-6.7460,-6.7881,-6.7881,6.7881
26.6815,-6.6336,-6.7127,-6.7127,6.7127
26.9480,-6.5344,-6.6393,-6.6393,6.6393
27.2172,-6.4633,-6.5681,-6.5681,6.5681
27.4890,-6.4216,-6.4987,-6.4987,6.4987
27.7636,-6.3907,-6.4308,-6.4308,6.4308
28.0409,-6.3706,-6.3638,-6.3638,6.3638
28.3210,-6.3313,-6.2974,-6.2974,6.2974
28.6039,-6.2922,-6.2313,-6.2313,6.2313
