frequency,raw,smoothed,error,equalization
20.0000,5.7400,5.8122,5.8122,-5.8122
20.1998,5.7600,5.8226,5.8226,-5.8226
20.4015,5.7701,5.8345,5.8345,-5.8345
20.6053,5.7798,5.8479,5.8479,-5.8479
20.8112,5.8102,5.8629,5.8629,-5.8629
21.0190,5.8399,5.8794,5.8794,-5.8794
21.2290,5.8699,5.8972,5.8972,-5.8972
21.4410,5.9001,5.9163,5.9163,-5.9163
21.6552,5.9293,5.9368,5.9368,-5.9368
21.8715,5.9502,5.9587,5.9587,-5.9587
22.0900,5.9800,5.9823,5.9823,-5.9823
22.3106,6.0101,6.0079,6.0079,-6.0079
22.5335,6.0294,6.0347,6.0347,-6.0347
22.7586,6.0598,6.0618,6.0618,-6.0618
22.9859,6.0895,6.0888,6.0888,-6.0888
23.2155,6.1194,6.1157,6.1157,-6.1157
23.4474,6.1497,6.1423,6.1423,-6.1423
23.6816,6.1790,6.1685,6.1685,-6.1685
23.9182,6.1998,6.1943,6.1943,-6.1943
24.1571,6.2296,6.2198,6.2198,-6.2198
24.3984,6.2499,6.2449,6.2449,-6.2449
24.6421,6.2694,6.2695,6.2695,-6.2695
24.8882,6.2998,6.2938,6.2938,-6.2938
25.1368,6.3197,6.3175,6.3175,-6.3175
25.3879,6.3398,6.3408,6.3408,-6.3408
25.6415,6.3690,6.3637,6.3637,-6.3637
25.8976,6.3890,6.3861,6.3861,-6.3861
26.1563,6.4196,6.4081,6.4081,-6.4081
26.4176,6.4391,6.4295,6.4295,-6.4295
26.6815,6.4593,6.4505,6.4505,-6.4505
26.9480,6.4791,6.4710,6.4710,-6.4710
27.2172,6.4990,6.4910,6.4910,-6.4910
27.4890,6.5096,6.5107,6.5107,-6.5107
27.7636,6.5295,6.5299,6.5299,-6.5299
28.0409,6.5494,6.5488,6.5488,-6.5488
28.3210,6.5694,6.5673,6.5673,-6.5673
28.6039,6.5889,6.5852,6.5852,-6.5852
28.8896,6.6093,6.6026,6.6026,-6.6026
29.1782,6.6292,6.6193,6.6193,-6.6193
29.4697,6.6396,6.6353,6.6353,-6.6353
29.7640,6.6589,6.6508,6.6508,-6.6508
30.0613,6.6788,6.6656,6.6656,-6.6656
30.3616,6.6894,6.6798,6.6798,-6.6798
30.6649,6.7090,6.6932,6.6932,-6.6932
30.9712,6.7194,6.7060,6.7060,-6.7060
31.2806,6.7294,6.7178,6.7178,-6.7178
31.5930,6.7395,6.7289,6.7289,-6.7289
31.9086,6.7400,6.7392,6.7392,-6.7392
32.2273,6.7496,6.7488,6.7488,-6.7488
32.5492,6.7594,6.7579,6.7579,-6.7579
32.8744,6.7695,6.7665,6.7665,-6.7665
33.2027,6.7795,6.7747,6.7747,-6.7747
33.5344,6.7895,6.7824,6.7824,-6.7824
33.8694,6.7994,6.7897,6.7897,-6.7897
34.2077,6.8093,6.7965,6.7965,-6.7965
34.5494,6.8100,6.8029,6.8029,-6.8029
34.8945,6.8100,6.8089,6.8089,-6.8089
35.2430,6.8100,6.8146,6.8146,-6.8146
35.5951,6.8193,6.8200,6.8200,-6.8200
35.9506,6.8200,6.8250,6.8250,-6.8250
36.3097,6.8294,6.8297,6.8297,-6.8297
36.6724,6.8393,6.8338,6.8338,-6.8338
37.0387,6.8494,6.8374,6.8374,-6.8374
37.4087,6.8500,6.8403,6.8403,-6.8403
37.7824,6.8593,6.8424,6.8424,-6.8424
38.1598,6.8600,6.8438,6.8438,-6.8438
38.5409,6.8600,6.8444,6.8444,-6.8444
38.9259,6.8506,6.8442,6.8442,-6.8442
39.3147,6.8500,6.8432,6.8432,-6.8432
39.7074,6.8500,6.8415,6.8415,-6.8415
40.1041,6.8500,6.8390,6.8390,-6.8390
40.5046,6.8409,6.8354,6.8354,-6.8354
40.9092,6.8400,6.8309,6.8309,-6.8309
41.3179,6.8308,6.8254,6.8254,-6.8254
41.7306,6.8300,6.8190,6.8190,-6.8190
