frequency,raw,smoothed,error,equalization
20.0000,6.3100,6.3574,6.3574,-6.3574
20.1998,6.3100,6.3638,6.3638,-6.3638
20.4015,6.3104,6.3715,6.3715,-6.3715
20.6053,6.3589,6.3802,6.3802,-6.3802
20.8112,6.3601,6.3892,6.3892,-6.3892
21.0190,6.3799,6.3987,6.3987,-6.3987
21.2290,6.4099,6.4088,6.4088,-6.4088
21.4410,6.4102,6.4193,6.4193,-6.4193
21.6552,6.4491,6.4301,6.4301,-6.4301
21.8715,6.4500,6.4413,6.4413,-6.4413
22.0900,6.4500,6.4531,6.4531,-6.4531
22.3106,6.4501,6.4658,6.4658,-6.4658
22.5335,6.4986,6.4791,6.4791,-6.4791
22.7586,6.5000,6.4918,6.4918,-6.4918
22.9859,6.5000,6.5038,6.5038,-6.5038
23.2155,6.5000,6.5157,6.5157,-6.5157
23.4474,6.5494,6.5276,6.5276,-6.5276
23.6816,6.5500,6.5387,6.5387,-6.5387
23.9182,6.5500,6.5496,6.5496,-6.5496
24.1571,6.5500,6.5605,6.5605,-6.5605
24.3984,6.5897,6.5715,6.5715,-6.5715
24.6421,6.5900,6.5822,6.5822,-6.5822
24.8882,6.5900,6.5926,6.5926,-6.5926
25.1368,6.5900,6.6027,6.6027,-6.6027
25.3879,6.5900,6.6127,6.6127,-6.6127
25.6415,6.6384,6.6227,6.6227,-6.6227
25.8976,6.6400,6.6321,6.6321,-6.6321
26.1563,6.6400,6.6408,6.6408,-6.6408
26.4176,6.6400,6.6491,6.6491,-6.6491
26.6815,6.6884,6.6573,6.6573,-6.6573
26.9480,6.6900,6.6648,6.6648,-6.6648
27.2172,6.6900,6.6715,6.6715,-6.6715
27.4890,6.6900,6.6778,6.6778,-6.6778
27.7636,6.6900,6.6839,6.6839,-6.6839
28.0409,6.6900,6.6899,6.6899,-6.6899
28.3210,6.6900,6.6959,6.6959,-6.6959
28.6039,6.6900,6.7018,6.7018,-6.7018
28.8896,6.6900,6.7081,6.7081,-6.7081
29.1782,6.6900,6.7150,6.7150,-6.7150
29.4697,6.7093,6.7225,6.7225,-6.7225
29.7640,6.7289,6.7305,6.7305,-6.7305
30.0613,6.7300,6.7386,6.7386,-6.7386
30.3616,6.7300,6.7472,6.7472,-6.7472
30.6649,6.7585,6.7563,6.7563,-6.7563
30.9712,6.7788,6.7654,6.7654,-6.7654
31.2806,6.7800,6.7741,6.7741,-6.7741
31.5930,6.7800,6.7826,6.7826,-6.7826
31.9086,6.7893,6.7908,6.7908,-6.7908
32.2273,6.8284,6.7986,6.7986,-6.7986
32.5492,6.8300,6.8054,6.8054,-6.8054
32.8744,6.8300,6.8111,6.8111,-6.8111
33.2027,6.8300,6.8158,6.8158,-6.8158
33.5344,6.8300,6.8197,6.8197,-6.8197
33.8694,6.8300,6.8229,6.8229,-6.8229
34.2077,6.8300,6.8253,6.8253,-6.8253
34.5494,6.8300,6.8271,6.8271,-6.8271
34.8945,6.8300,6.8283,6.8283,-6.8283
35.2430,6.8300,6.8293,6.8293,-6.8293
35.5951,6.8300,6.8298,6.8298,-6.8298
35.9506,6.8300,6.8300,6.8300,-6.8300
36.3097,6.8300,6.8300,6.8300,-6.8300
36.6724,6.8300,6.8300,6.8300,-6.8300
37.0387,6.8300,6.8300,6.8300,-6.8300
37.4087,6.8300,6.8300,6.8300,-6.8300
37.7824,6.8300,6.8300,6.8300,-6.8300
38.1598,6.8300,6.8300,6.8300,-6.8300
38.5409,6.8300,6.8300,6.8300,-6.8300
38.9259,6.8300,6.8300,6.8300,-6.8300
39.3147,6.8300,6.8300,6.8300,-6.8300
39.7074,6.8300,6.8300,6.8300,-6.8300
40.1041,6.8300,6.8300,6.8300,-6.8300
40.5046,6.8300,6.8298,6.8298,-6.8298
40.9092,6.8300,6.8292,6.8292,-6.8292
41.3179,6.8300,6.8283,6.8283,-6.8283
41.7306,6.8300,6.8270,6.8270,-6.8270
42.1474,6.8300,6.8250,6.8250,-6.8250
42.5684,6.8300,6.8223,6.8223,-6.8223
42.9936,6.8300,6.8189,6.8189,-6.8189
43.4231,6.8300,6.8148,6.8148,-6.8148
43.8568,6.8300,6.8097,6.8097,-6.8097
44.2949,6.8300,6.8036,6.8036,-6.8036
44.7374,6.8300,6.7965,6.7965,-6.7965
45.1842,6.7851,6.7883,6.7883,-6.7883
45.6356,6.7800,6.7798,6.7798,-6.7798
46.0914,6.7800,6.7707,6.7707,-6.7707
46.5518,6.7710,6.7609,6.7609,-6.7609
47.0168,6.7338,6.7506,6.7506,-6.7506
47.4864,6.7300,6.7404,6.7404,-6.7404
47.9608,6.7300,6.7302,6.7302,-6.7302
48.4398,6.7300,6.7201,6.7201,-6.7201
48.9237,6.6939,6.7100,6.7100,-6.7100
49.4124,6.6900,6.7006,6.7006,-6.7006
49.9059,6.6900,6.6918,6.6918,-6.6918
50.4044,6.6900,6.6836,6.6836,-6.6836
50.9079,6.6810,6.6756,6.6756,-6.6756
51.4164,6.6442,6.6677,6.6677,-6.6677
51.9300,6.6400,6.6604,6.6604,-6.6604
52.4487,6.6400,6.6536,6.6536,-6.6536
52.9726,6.6400,6.6470,6.6470,-6.6470
53.5018,6.6400,6.6404,6.6404,-6.6404
54.0362,6.6400,6.6337,6.6337,-6.6337
54.5759,6.6400,6.6265,6.6265,-6.6265
55.1211,6.6400,6.6189,6.6189,-6.6189
