frequency,raw,smoothed,error,equalization
20.0000,3.7500,3.8614,3.8614,-3.8614
20.1998,3.7800,3.8741,3.8741,-3.8741
20.4015,3.8103,3.8886,3.8886,-3.8886
20.6053,3.8491,3.9047,3.9047,-3.9047
20.8112,3.8802,3.9219,3.9219,-3.9219
21.0190,3.9099,3.9404,3.9404,-3.9404
21.2290,3.9399,3.9602,3.9602,-3.9602
21.4410,3.9701,3.9814,3.9814,-3.9814
21.6552,3.9993,4.0042,4.0042,-4.0042
21.8715,4.0202,4.0287,4.0287,-4.0287
22.0900,4.0500,4.0553,4.0553,-4.0553
22.3106,4.0701,4.0842,4.0842,-4.0842
22.5335,4.0992,4.1150,4.1150,-4.1150
22.7586,4.1298,4.1461,4.1461,-4.1461
22.9859,4.1693,4.1773,4.1773,-4.1773
23.2155,4.1994,4.2085,4.2085,-4.2085
23.4474,4.2395,4.2397,4.2397,-4.2397
23.6816,4.2786,4.2706,4.2706,-4.2706
23.9182,4.3197,4.3010,4.3010,-4.3010
24.1571,4.3496,4.3308,4.3308,-4.3308
24.3984,4.3798,4.3598,4.3598,-4.3598
24.6421,4.4091,4.3881,4.3881,-4.3881
24.8882,4.4299,4.4155,4.4155,-4.4155
25.1368,4.4596,4.4421,4.4421,-4.4421
25.3879,4.4798,4.4678,4.4678,-4.4678
25.6415,4.4993,4.4926,4.4926,-4.4926
25.8976,4.5190,4.5166,4.5166,-4.5166
26.1563,4.5397,4.5400,4.5400,-4.5400
26.4176,4.5591,4.5627,4.5627,-4.5627
26.6815,4.5793,4.5850,4.5850,-4.5850
26.9480,4.6087,4.6068,4.6068,-4.6068
27.2172,4.6290,4.6281,4.6281,-4.6281
27.4890,4.6588,4.6490,4.6490,-4.6490
27.7636,4.6795,4.6693,4.6693,-4.6693
28.0409,4.6994,4.6889,4.6889,-4.6889
28.3210,4.7194,4.7079,4.7079,-4.7079
28.6039,4.7389,4.7263,4.7263,-4.7263
28.8896,4.7593,4.7440,4.7440,-4.7440
29.1782,4.7696,4.7608,4.7608,-4.7608
