frequency,raw,smoothed,error,equalization
20.0000,1.2100,1.2735,1.2735,-1.2735
20.1998,1.2200,1.2838,1.2838,-1.2838
20.4015,1.2301,1.2956,1.2956,-1.2956
20.6053,1.2398,1.3090,1.3090,-1.3090
20.8112,1.2701,1.3240,1.3240,-1.3240
21.0190,1.2899,1.3403,1.3403,-1.3403
21.2290,1.3298,1.3580,1.3580,-1.3580
21.4410,1.3601,1.3768,1.3768,-1.3768
21.6552,1.3893,1.3969,1.3969,-1.3969
21.8715,1.4202,1.4183,1.4183,-1.4183
22.0900,1.4500,1.4411,1.4411,-1.4411
22.3106,1.4701,1.4656,1.4656,-1.4656
22.5335,1.4992,1.4915,1.4915,-1.4915
22.7586,1.5199,1.5175,1.5175,-1.5175
22.9859,1.5495,1.5435,1.5435,-1.5435
23.2155,1.5696,1.5694,1.5694,-1.5694
23.4474,1.5898,1.5952,1.5952,-1.5952
23.6816,1.6190,1.6210,1.6210,-1.6210
23.9182,1.6398,1.6469,1.6469,-1.6469
24.1571,1.6696,1.6730,1.6730,-1.6730
24.3984,1.6899,1.6992,1.6992,-1.6992
24.6421,1.7191,1.7256,1.7256,-1.7256
24.8882,1.7498,1.7524,1.7524,-1.7524
25.1368,1.7796,1.7793,1.7793,-1.7793
25.3879,1.8098,1.8062,1.8062,-1.8062
25.6415,1.8293,1.8332,1.8332,-1.8332
25.8976,1.8586,1.8601,1.8601,-1.8601
26.1563,1.8896,1.8869,1.8869,-1.8869
26.4176,1.9186,1.9134,1.9134,-1.9134
26.6815,1.9490,1.9395,1.9395,-1.9395
26.9480,1.9691,1.9651,1.9651,-1.9651
27.2172,1.9986,1.9900,1.9900,-1.9900
27.4890,2.0288,2.0144,2.0144,-2.0144
27.7636,2.0495,2.0379,2.0379,-2.0379
28.0409,2.0694,2.0606,2.0606,-2.0606
28.3210,2.0990,2.0825,2.0825,-2.0825
28.6039,2.1189,2.1036,2.1036,-2.1036
28.8896,2.1296,2.1239,2.1239,-2.1239
29.1782,2.1492,2.1434,2.1434,-2.1434
29.4697,2.1693,2.1622,2.1622,-2.1622
29.7640,2.1889,2.1802,2.1802,-2.1802
30.0613,2.1994,2.1977,2.1977,-2.1977
30.3616,2.2188,2.2147,2.2147,-2.2147
30.6649,2.2390,2.2311,2.2311,-2.2311
30.9712,2.2494,2.2472,2.2472,-2.2472
31.2806,2.2687,2.2630,2.2630,-2.2630
31.5930,2.2795,2.2785,2.2785,-2.2785
31.9086,2.2987,2.2938,2.2938,-2.2938
32.2273,2.3096,2.3090,2.3090,-2.3090
32.5492,2.3194,2.3241,2.3241,-2.3241
32.8744,2.3390,2.3392,2.3392,-2.3392
33.2027,2.3495,2.3542,2.3542,-2.3542
33.5344,2.3691,2.3693,2.3693,-2.3693
33.8694,2.3794,2.3843,2.3843,-2.3843
34.2077,2.3987,2.3993,2.3993,-2.3993
34.5494,2.4188,2.4141,2.4141,-2.4141
34.8945,2.4293,2.4289,2.4289,-2.4289
35.2430,2.4485,2.4435,2.4435,-2.4435
35.5951,2.4593,2.4580,2.4580,-2.4580
35.9506,2.4789,2.4723,2.4723,-2.4723
36.3097,2.4894,2.4866,2.4866,-2.4866
36.6724,2.5085,2.5008,2.5008,-2.5008
37.0387,2.5194,2.5148,2.5148,-2.5148
37.4087,2.5294,2.5286,2.5286,-2.5286
37.7824,2.5393,2.5421,2.5421,-2.5421
38.1598,2.5492,2.5553,2.5553,-2.5553
38.5409,2.5685,2.5681,2.5681,-2.5681
38.9259,2.5794,2.5803,2.5803,-2.5803
39.3147,2.5894,2.5919,2.5919,-2.5919
39.7074,2.6084,2.6028,2.6028,-2.6028
40.1041,2.6282,2.6130,2.6130,-2.6130
40.5046,2.6482,2.6223,2.6223,-2.6223
40.9092,2.6592,2.6306,2.6306,-2.6306
41.3179,2.6692,2.6378,2.6378,-2.6378
41.7306,2.6700,2.6440,2.6440,-2.6440
42.1474,2.6608,2.6492,2.6492,-2.6492
42.5684,2.6600,2.6538,2.6538,-2.6538
42.9936,2.6508,2.6577,2.6577,-2.6577
43.4231,2.6500,2.6614,2.6614,-2.6614
43.8568,2.6590,2.6649,2.6649,-2.6649
44.2949,2.6600,2.6682,2.6682,-2.6682
44.7374,2.6600,2.6714,2.6714,-2.6714
45.1842,2.6690,2.6746,2.6746,-2.6746
45.6356,2.6790,2.6780,2.6780,-2.6780
46.0914,2.6800,2.6814,2.6814,-2.6814
46.5518,2.6890,2.6850,2.6850,-2.6850
47.0168,2.6900,2.6887,2.6887,-2.6887
47.4864,2.6991,2.6923,2.6923,-2.6923
47.9608,2.7000,2.6957,2.6957,-2.6957
48.4398,2.7000,2.6989,2.6989,-2.6989
48.9237,2.7090,2.7018,2.7018,-2.7018
49.4124,2.7100,2.7043,2.7043,-2.7043
49.9059,2.7100,2.7064,2.7064,-2.7064
50.4044,2.7100,2.7080,2.7080,-2.7080
50.9079,2.7190,2.7092,2.7092,-2.7092
51.4164,2.7200,2.7099,2.7099,-2.7099
51.9300,2.7200,2.7101,2.7101,-2.7101
52.4487,2.7112,2.7098,2.7098,-2.7098
52.9726,2.7100,2.7091,2.7091,-2.7091
53.5018,2.7100,2.7081,2.7081,-2.7081
54.0362,2.7100,2.7067,2.7067,-2.7067
54.5759,2.7100,2.7050,2.7050,-2.7050
55.1211,2.7100,2.7029,2.7029,-2.7029
55.6717,2.7012,2.7004,2.7004,-2.7004
56.2278,2.7000,2.6977,2.6977,-2.6977
56.7894,2.7000,2.6946,2.6946,-2.6946
57.3567,2.6911,2.6911,2.6911,-2.6911
57.9296,2.6900,2.6875,2.6875,-2.6875
58.5082,2.6900,2.6836,2.6836,-2.6836
59.0927,2.6812,2.6795,2.6795,-2.6795
59.6829,2.6800,2.6751,2.6751,-2.6751
60.2791,2.6712,2.6705,2.6705,-2.6705
60.8812,2.6700,2.6657,2.6657,-2.6657
61.4893,2.6613,2.6607,2.6607,-2.6607
62.1035,2.6600,2.6556,2.6556,-2.6556
62.7239,2.6512,2.6503,2.6503,-2.6503
63.3504,2.6413,2.6449,2.6449,-2.6449
63.9832,2.6400,2.6395,2.6395,-2.6395
64.6223,2.6314,2.6339,2.6339,-2.6339
65.2678,2.6300,2.6283,2.6283,-2.6283
65.9198,2.6214,2.6226,2.6226,-2.6226
66.5782,2.6200,2.6168,2.6168,-2.6168
67.2433,2.6113,2.6109,2.6109,-2.6109
67.9149,2.6100,2.6050,2.6050,-2.6050
68.5933,2.6014,2.5989,2.5989,-2.5989
69.2785,2.5913,2.5927,2.5927,-2.5927
69.9705,2.5900,2.5865,2.5865,-2.5865
70.6694,2.5814,2.5803,2.5803,-2.5803
71.3753,2.5715,2.5740,2.5740,-2.5740
72.0883,2.5700,2.5678,2.5678,-2.5678
72.8083,2.5614,2.5614,2.5614,-2.5614
73.5356,2.5514,2.5551,2.5551,-2.5551
74.2701,2.5500,2.5489,2.5489,-2.5489
75.0120,2.5415,2.5426,2.5426,-2.5426
75.7613,2.5314,2.5363,2.5363,-2.5363
76.5180,2.5300,2.5300,2.5300,-2.5300
77.2824,2.5215,2.5238,2.5238,-2.5238
78.0543,2.5200,2.5176,2.5176,-2.5176
78.8340,2.5115,2.5112,2.5112,-2.5112
79.6214,2.5100,2.5048,2.5048,-2.5048
80.4168,2.5015,2.4982,2.4982,-2.4982
81.2200,2.4916,2.4914,2.4914,-2.4914
82.0313,2.4900,2.4845,2.4845,-2.4845
82.8507,2.4816,2.4773,2.4773,-2.4773
83.6783,2.4716,2.4697,2.4697,-2.4697
84.5141,2.4616,2.4619,2.4619,-2.4619
85.3583,2.4600,2.4538,2.4538,-2.4538
86.2109,2.4516,2.4452,2.4452,-2.4452
87.0721,2.4417,2.4363,2.4363,-2.4363
87.9418,2.4317,2.4271,2.4271,-2.4271
88.8203,2.4217,2.4175,2.4175,-2.4175
89.7075,2.4117,2.4077,2.4077,-2.4077
90.6035,2.4017,2.3975,2.3975,-2.3975
91.5085,2.3917,2.3870,2.3870,-2.3870
92.4226,2.3817,2.3763,2.3763,-2.3763
93.3458,2.3635,2.3653,2.3653,-2.3653
94.2782,2.3517,2.3542,2.3542,-2.3542
95.2199,2.3418,2.3428,2.3428,-2.3428
96.1711,2.3318,2.3313,2.3313,-2.3313
97.1317,2.3218,2.3196,2.3196,-2.3196
98.1019,2.3118,2.3077,2.3077,-2.3077
99.0818,2.3018,2.2957,2.2957,-2.2957
100.0715,2.2836,2.2836,2.2836,-2.2836
101.0711,2.2718,2.2714,2.2714,-2.2714
102.0807,2.2619,2.2593,2.2593,-2.2593
103.1004,2.2519,2.2471,2.2471,-2.2471
104.1302,2.2337,2.2349,2.2349,-2.2349
105.1703,2.2219,2.2227,2.2227,-2.2227
106.2209,2.2038,2.2105,2.2105,-2.2105
107.2819,2.1919,2.1985,2.1985,-2.1985
108.3535,2.1819,2.1866,2.1866,-2.1866
109.4358,2.1719,2.1747,2.1747,-2.1747
110.5289,2.1619,2.1629,2.1629,-2.1629
111.6330,2.1520,2.1510,2.1510,-2.1510
112.7481,2.1420,2.1391,2.1391,-2.1391
113.8743,2.1320,2.1269,2.1269,-2.1269
115.0118,2.1220,2.1143,2.1143,-2.1143
116.1606,2.1040,2.1014,2.1014,-2.1014
117.3209,2.0920,2.0882,2.0882,-2.0882
118.4928,2.0820,2.0746,2.0746,-2.0746
119.6764,2.0720,2.0604,2.0604,-2.0604
120.8718,2.0541,2.0456,2.0456,-2.0456
122.0792,2.0421,2.0301,2.0301,-2.0301
123.2986,2.0241,2.0140,2.0140,-2.0140
124.5302,2.0042,1.9971,1.9971,-1.9971
125.7741,1.9841,1.9796,1.9796,-1.9796
127.0304,1.9641,1.9615,1.9615,-1.9615
128.2993,1.9442,1.9429,1.9429,-1.9429
129.5808,1.9321,1.9239,1.9239,-1.9239
130.8752,1.9142,1.9044,1.9044,-1.9044
132.1825,1.8942,1.8846,1.8846,-1.8846
133.5028,1.8665,1.8644,1.8644,-1.8644
134.8363,1.8443,1.8444,1.8444,-1.8444
136.1832,1.8244,1.8247,1.8247,-1.8247
137.5435,1.8044,1.8056,1.8056,-1.8056
138.9174,1.7766,1.7872,1.7872,-1.7872
140.3050,1.7544,1.7701,1.7701,-1.7701
141.7065,1.7344,1.7544,1.7544,-1.7544
143.1220,1.7145,1.7404,1.7404,-1.7404
144.5516,1.6945,1.7283,1.7283,-1.7283
145.9955,1.6822,1.7185,1.7185,-1.7185
147.4538,1.6722,1.7111,1.7111,-1.7111
148.9267,1.6623,1.7062,1.7062,-1.7062
150.4143,1.6677,1.7039,1.7039,-1.7039
151.9167,1.6700,1.7038,1.7038,-1.7038
153.4342,1.6777,1.7059,1.7059,-1.7059
154.9668,1.6877,1.7099,1.7099,-1.7099
156.5147,1.6977,1.7155,1.7155,-1.7155
158.0781,1.7154,1.7224,1.7224,-1.7224
159.6571,1.7277,1.7302,1.7302,-1.7302
161.2519,1.7453,1.7384,1.7384,-1.7384
162.8626,1.7577,1.7469,1.7469,-1.7469
164.4894,1.7676,1.7550,1.7550,-1.7550
166.1324,1.7776,1.7627,1.7627,-1.7627
167.7919,1.7876,1.7697,1.7697,-1.7697
169.4679,1.7900,1.7757,1.7757,-1.7757
171.1607,1.7976,1.7807,1.7807,-1.7807
172.8704,1.8000,1.7845,1.7845,-1.7845
174.5972,1.8000,1.7872,1.7872,-1.7872
176.3412,1.8000,1.7887,1.7887,-1.7887
178.1026,1.8000,1.7892,1.7892,-1.7892
179.8816,1.8000,1.7887,1.7887,-1.7887
181.6784,1.8000,1.7872,1.7872,-1.7872
183.4932,1.7925,1.7848,1.7848,-1.7848
185.3261,1.7900,1.7817,1.7817,-1.7817
187.1772,1.7825,1.7779,1.7779,-1.7779
189.0469,1.7800,1.7736,1.7736,-1.7736
190.9352,1.7726,1.7687,1.7687,-1.7687
192.8425,1.7626,1.7633,1.7633,-1.7633
194.7687,1.7600,1.7576,1.7576,-1.7576
196.7142,1.7526,1.7514,1.7514,-1.7514
198.6792,1.7500,1.7449,1.7449,-1.7449
200.6637,1.7426,1.7380,1.7380,-1.7380
202.6681,1.7326,1.7308,1.7308,-1.7308
204.6925,1.7300,1.7232,1.7232,-1.7232
206.7371,1.7226,1.7153,1.7153,-1.7153
208.8022,1.7126,1.7069,1.7069,-1.7069
210.8879,1.7026,1.6982,1.6982,-1.6982
212.9944,1.6927,1.6892,1.6892,-1.6892
215.1219,1.6827,1.6798,1.6798,-1.6798
217.2707,1.6727,1.6701,1.6701,-1.6701
219.4410,1.6627,1.6602,1.6602,-1.6602
221.6329,1.6527,1.6500,1.6500,-1.6500
223.8468,1.6427,1.6396,1.6396,-1.6396
226.0827,1.6327,1.6289,1.6289,-1.6289
228.3410,1.6227,1.6181,1.6181,-1.6181
230.6219,1.6055,1.6070,1.6070,-1.6070
232.9255,1.5928,1.5959,1.5959,-1.5959
235.2521,1.5828,1.5846,1.5846,-1.5846
237.6020,1.5728,1.5733,1.5733,-1.5733
239.9754,1.5628,1.5619,1.5619,-1.5619
242.3724,1.5528,1.5503,1.5503,-1.5503
244.7934,1.5428,1.5385,1.5385,-1.5385
247.2386,1.5328,1.5265,1.5265,-1.5265
249.7082,1.5157,1.5142,1.5142,-1.5142
252.2025,1.5029,1.5019,1.5019,-1.5019
254.7217,1.4929,1.4895,1.4895,-1.4895
257.2661,1.4829,1.4769,1.4769,-1.4769
259.8358,1.4658,1.4641,1.4641,-1.4641
262.4313,1.4529,1.4511,1.4511,-1.4511
265.0527,1.4358,1.4380,1.4380,-1.4380
267.7002,1.4229,1.4249,1.4249,-1.4249
270.3742,1.4129,1.4116,1.4116,-1.4116
273.0749,1.3959,1.3983,1.3983,-1.3983
275.8026,1.3829,1.3850,1.3850,-1.3850
278.5575,1.3730,1.3717,1.3717,-1.3717
281.3400,1.3630,1.3583,1.3583,-1.3583
284.1502,1.3460,1.3448,1.3448,-1.3448
286.9885,1.3330,1.3313,1.3313,-1.3313
289.8552,1.3160,1.3176,1.3176,-1.3176
292.7505,1.3030,1.3040,1.3040,-1.3040
295.6747,1.2930,1.2903,1.2903,-1.2903
298.6281,1.2761,1.2764,1.2764,-1.2764
301.6111,1.2631,1.2623,1.2623,-1.2623
304.6238,1.2531,1.2482,1.2482,-1.2482
307.6666,1.2362,1.2338,1.2338,-1.2338
310.7398,1.2231,1.2192,1.2192,-1.2192
313.8437,1.2062,1.2045,1.2045,-1.2045
316.9786,1.1931,1.1895,1.1895,-1.1895
320.1449,1.1763,1.1744,1.1744,-1.1744
323.3427,1.1631,1.1591,1.1591,-1.1591
326.5725,1.1463,1.1435,1.1435,-1.1435
329.8346,1.1263,1.1276,1.1276,-1.1276
333.1292,1.1132,1.1116,1.1116,-1.1116
336.4568,1.0964,1.0953,1.0953,-1.0953
339.8176,1.0832,1.0789,1.0789,-1.0789
343.2119,1.0664,1.0622,1.0622,-1.0622
346.6402,1.0464,1.0453,1.0453,-1.0453
350.1027,1.0332,1.0281,1.0281,-1.0281
353.5998,1.0165,1.0108,1.0108,-1.0108
357.1318,0.9965,0.9931,0.9931,-0.9931
