frequency,raw,smoothed,error,equalization
20.0000,11.0200,11.0362,11.0362,-11.0362
20.1998,11.0400,11.0362,11.0362,-11.0362
20.4015,11.0400,11.0357,11.0357,-11.0357
20.6053,11.0400,11.0348,11.0348,-11.0348
20.8112,11.0400,11.0337,11.0337,-11.0337
21.0190,11.0400,11.0323,11.0323,-11.0323
21.2290,11.0400,11.0306,11.0306,-11.0306
21.4410,11.0400,11.0287,11.0287,-11.0287
21.6552,11.0400,11.0265,11.0265,-11.0265
21.8715,11.0399,11.0237,11.0237,-11.0237
22.0900,11.0200,11.0202,11.0202,-11.0202
22.3106,11.0199,11.0163,11.0163,-11.0163
22.5335,11.0006,11.0119,11.0119,-11.0119
22.7586,11.0000,11.0072,11.0072,-11.0072
22.9859,11.0000,11.0024,11.0024,-11.0024
23.2155,11.0000,10.9972,10.9972,-10.9972
23.4474,11.0000,10.9915,10.9915,-10.9915
23.6816,11.0000,10.9854,10.9854,-10.9854
23.9182,11.0000,10.9787,10.9787,-10.9787
24.1571,10.9901,10.9713,10.9713,-10.9713
24.3984,10.9503,10.9632,10.9632,-10.9632
24.6421,10.9500,10.9548,10.9548,-10.9548
24.8882,10.9500,10.9461,10.9461,-10.9461
25.1368,10.9500,10.9366,10.9366,-10.9366
25.3879,10.9500,10.9263,10.9263,-10.9263
25.6415,10.9210,10.9150,10.9150,-10.9150
25.8976,10.9010,10.9029,10.9029,-10.9029
26.1563,10.9000,10.8902,10.8902,-10.8902
26.4176,10.9000,10.8767,10.8767,-10.8767
26.6815,10.8613,10.8623,10.8623,-10.8623
26.9480,10.8600,10.8473,10.8473,-10.8473
27.2172,10.8505,10.8315,10.8315,-10.8315
27.4890,10.8116,10.8148,10.8148,-10.8148
27.7636,10.8100,10.7973,10.7973,-10.7973
28.0409,10.7810,10.7790,10.7790,-10.7790
28.3210,10.7606,10.7599,10.7599,-10.7599
28.6039,10.7600,10.7402,10.7402,-10.7402
28.8896,10.7215,10.7196,10.7196,-10.7196
29.1782,10.7200,10.6983,10.6983,-10.6983
29.4697,10.6814,10.6760,10.6760,-10.6760
29.7640,10.6705,10.6530,10.6530,-10.6530
30.0613,10.6231,10.6291,10.6291,-10.6291
30.3616,10.6200,10.6048,10.6048,-10.6048
30.6649,10.5820,10.5797,10.5797,-10.5797
30.9712,10.5706,10.5540,10.5540,-10.5540
31.2806,10.5325,10.5273,10.5273,-10.5273
31.5930,10.5016,10.5001,10.5001,-10.5001
31.9086,10.4813,10.4722,10.4722,-10.4722
32.2273,10.4416,10.4436,10.4436,-10.4436
32.5492,10.4306,10.4145,10.4145,-10.4145
32.8744,10.3920,10.3845,10.3845,-10.3845
33.2027,10.3521,10.3539,10.3539,-10.3539
33.5344,10.3405,10.3226,10.3226,-10.3226
33.8694,10.3024,10.2904,10.2904,-10.2904
34.2077,10.2626,10.2572,10.2572,-10.2572
34.5494,10.2318,10.2232,10.2232,-10.2232
34.8945,10.2022,10.1883,10.1883,-10.1883
35.2430,10.1631,10.1525,10.1525,-10.1525
35.5951,10.1321,10.1157,10.1157,-10.1157
35.9506,10.0922,10.0779,10.0779,-10.0779
36.3097,10.0523,10.0390,10.0390,-10.0390
36.6724,10.0130,9.9992,9.9992,-9.9992
37.0387,9.9630,9.9585,9.9585,-9.9585
37.4087,9.9317,9.9170,9.9170,-9.9170
37.7824,9.8744,9.8745,9.8745,-9.8745
38.1598,9.8424,9.8314,9.8314,-9.8314
38.5409,9.7938,9.7876,9.7876,-9.7876
38.9259,9.7525,9.7430,9.7430,-9.7430
39.3147,9.7032,9.6977,9.6977,-9.6977
39.7074,9.6541,9.6517,9.6517,-9.6517
40.1041,9.6136,9.6052,9.6052,-9.6052
40.5046,9.5644,9.5581,9.5581,-9.5581
40.9092,9.5138,9.5106,9.5106,-9.5106
41.3179,9.4731,9.4625,9.4625,-9.4625
41.7306,9.4143,9.4138,9.4138,-9.4138
42.1474,9.3731,9.3646,9.3646,-9.3646
42.5684,9.3238,9.3148,9.3148,-9.3148
42.9936,9.2742,9.2645,9.2645,-9.2645
43.4231,9.2152,9.2135,9.2135,-9.2135
43.8568,9.1649,9.1621,9.1621,-9.1621
44.2949,9.1141,9.1102,9.1102,-9.1102
44.7374,9.0647,9.0577,9.0577,-9.0577
45.1842,9.0151,9.0046,9.0046,-9.0046
45.6356,8.9649,8.9507,8.9507,-8.9507
46.0914,8.9051,8.8961,8.8961,-8.8961
46.5518,8.8372,8.8407,8.8407,-8.8407
47.0168,8.7847,8.7848,8.7848,-8.7848
47.4864,8.7437,8.7282,8.7282,-8.7282
47.9608,8.6862,8.6708,8.6708,-8.6708
48.4398,8.6263,8.6126,8.6126,-8.6126
