frequency,raw,smoothed,error,equalization
20.0000,4.3000,4.4078,4.4078,-4.4078
20.1998,4.3100,4.4280,4.4280,-4.4280
20.4015,4.3301,4.4518,4.4518,-4.4518
20.6053,4.3496,4.4789,4.4789,-4.4789
20.8112,4.3903,4.5095,4.5095,-4.5095
21.0190,4.4398,4.5432,4.5432,-4.5432
21.2290,4.4898,4.5798,4.5798,-4.5798
21.4410,4.5503,4.6193,4.6193,-4.6193
21.6552,4.6185,4.6616,4.6616,-4.6616
21.8715,4.6905,4.7067,4.7067,-4.7067
22.0900,4.7600,4.7546,4.7546,-4.7546
22.3106,4.8402,4.8056,4.8056,-4.8056
22.5335,4.8983,4.8582,4.8582,-4.8582
22.7586,4.9596,4.9099,4.9099,-4.9099
22.9859,5.0091,4.9601,4.9601,-4.9601
23.2155,5.0492,5.0087,5.0087,-5.0087
23.4474,5.0895,5.0555,5.0555,-5.0555
23.6816,5.1190,5.1005,5.1005,-5.1005
23.9182,5.1498,5.1440,5.1440,-5.1440
24.1571,5.1895,5.1862,5.1862,-5.1862
24.3984,5.2198,5.2271,5.2271,-5.2271
24.6421,5.2587,5.2672,5.2672,-5.2672
24.8882,5.2997,5.3066,5.3066,-5.3066
25.1368,5.3395,5.3455,5.3455,-5.3455
25.3879,5.3797,5.3840,5.3840,-5.3840
25.6415,5.4284,5.4222,5.4222,-5.4222
25.8976,5.4681,5.4600,5.4600,-5.4600
26.1563,5.5094,5.4974,5.4974,-5.4974
26.4176,5.5482,5.5342,5.5342,-5.5342
26.6815,5.5790,5.5704,5.5704,-5.5704
26.9480,5.6182,5.6059,5.6059,-5.6059
27.2172,5.6581,5.6408,5.6408,-5.6408
27.4890,5.6888,5.6748,5.6748,-5.6748
27.7636,5.7193,5.7081,5.7081,-5.7081
28.0409,5.7490,5.7405,5.7405,-5.7405
28.3210,5.7790,5.7723,5.7723,-5.7723
28.6039,5.8083,5.8033,5.8033,-5.8033
28.8896,5.8389,5.8335,5.8335,-5.8335
29.1782,5.8592,5.8631,5.8631,-5.8631
29.4697,5.8889,5.8924,5.8924,-5.8924
29.7640,5.9184,5.9214,5.9214,-5.9214
30.0613,5.9575,5.9504,5.9504,-5.9504
30.3616,5.9882,5.9794,5.9794,-5.9794
30.6649,6.0185,6.0084,6.0084,-6.0084
30.9712,6.0482,6.0374,6.0374,-6.0374
31.2806,6.0687,6.0663,6.0663,-6.0663
31.5930,6.0889,6.0953,6.0953,-6.0953
31.9086,6.1087,6.1242,6.1242,-6.1242
32.2273,6.1292,6.1532,6.1532,-6.1532
32.5492,6.1581,6.1821,6.1821,-6.1821
32.8744,6.1980,6.2110,6.2110,-6.2110
33.2027,6.2474,6.2393,6.2393,-6.2393
33.5344,6.2881,6.2667,6.2667,-6.2667
33.8694,6.3276,6.2929,6.2929,-6.2929
34.2077,6.3580,6.3174,6.3174,-6.3174
34.5494,6.3788,6.3401,6.3401,-6.3401
34.8945,6.3985,6.3609,6.3609,-6.3609
35.2430,6.4092,6.3797,6.3797,-6.3797
35.5951,6.4193,6.3965,6.3965,-6.3965
35.9506,6.4294,6.4113,6.4113,-6.4113
36.3097,6.4489,6.4240,6.4240,-6.4240
36.6724,6.4593,6.4347,6.4347,-6.4347
37.0387,6.4600,6.4433,6.4433,-6.4433
37.4087,6.4694,6.4502,6.4502,-6.4502
37.7824,6.4700,6.4555,6.4555,-6.4555
38.1598,6.4700,6.4596,6.4596,-6.4596
38.5409,6.4700,6.4628,6.4628,-6.4628
38.9259,6.4700,6.4651,6.4651,-6.4651
39.3147,6.4700,6.4668,6.4668,-6.4668
39.7074,6.4700,6.4678,6.4678,-6.4678
40.1041,6.4700,6.4683,6.4683,-6.4683
40.5046,6.4700,6.4683,6.4683,-6.4683
40.9092,6.4700,6.4678,6.4678,-6.4678
41.3179,6.4700,6.4670,6.4670,-6.4670
41.7306,6.4700,6.4657,6.4657,-6.4657
42.1474,6.4700,6.4640,6.4640,-6.4640
42.5684,6.4700,6.4616,6.4616,-6.4616
42.9936,6.4700,6.4585,6.4585,-6.4585
43.4231,6.4609,6.4543,6.4543,-6.4543
43.8568,6.4600,6.4491,6.4491,-6.4491
44.2949,6.4508,6.4428,6.4428,-6.4428
44.7374,6.4500,6.4352,6.4352,-6.4352
45.1842,6.4500,6.4265,6.4265,-6.4265
45.6356,6.4410,6.4166,6.4166,-6.4166
46.0914,6.4309,6.4055,6.4055,-6.4055
46.5518,6.4210,6.3933,6.3933,-6.3933
47.0168,6.4019,6.3801,6.3801,-6.3801
47.4864,6.3819,6.3660,6.3660,-6.3660
47.9608,6.3531,6.3510,6.3510,-6.3510
48.4398,6.3231,6.3356,6.3356,-6.3356
48.9237,6.3019,6.3200,6.3200,-6.3200
49.4124,6.2819,6.3044,6.3044,-6.3044
49.9059,6.2711,6.2888,6.2888,-6.2888
50.4044,6.2700,6.2731,6.2731,-6.2731
50.9079,6.2610,6.2571,6.2571,-6.2571
51.4164,6.2511,6.2406,6.2406,-6.2406
51.9300,6.2412,6.2236,6.2236,-6.2236
52.4487,6.2224,6.2056,6.2056,-6.2056
52.9726,6.2022,6.1866,6.1866,-6.1866
53.5018,6.1822,6.1664,6.1664,-6.1664
54.0362,6.1624,6.1449,6.1449,-6.1449
54.5759,6.1512,6.1218,6.1218,-6.1218
55.1211,6.1233,6.0970,6.0970,-6.0970
55.6717,6.1024,6.0704,6.0704,-6.0704
56.2278,6.0734,6.0420,6.0420,-6.0420
56.7894,6.0350,6.0119,6.0119,-6.0119
57.3567,6.0034,5.9805,5.9805,-5.9805
57.9296,5.9649,5.9478,5.9478,-5.9478
58.5082,5.9162,5.9141,5.9141,-5.9141
59.0927,5.8746,5.8797,5.8797,-5.8797
59.6829,5.8351,5.8449,5.8449,-5.8449
60.2791,5.7948,5.8098,5.8098,-5.8098
60.8812,5.7639,5.7746,5.7746,-5.7746
61.4893,5.7340,5.7390,5.7390,-5.7390
62.1035,5.7038,5.7025,5.7025,-5.7025
62.7239,5.6737,5.6644,5.6644,-5.6644
63.3504,5.6351,5.6238,5.6238,-5.6238
63.9832,5.6041,5.5805,5.5805,-5.5805
64.6223,5.5655,5.5343,5.5343,-5.5343
65.2678,5.5339,5.4856,5.4856,-5.4856
65.9198,5.4955,5.4350,5.4350,-5.4350
66.5782,5.4642,5.3827,5.3827,-5.3827
67.2433,5.4253,5.3290,5.3290,-5.3290
67.9149,5.3770,5.2738,5.2738,-5.2738
68.5933,5.2842,5.2173,5.2173,-5.2173
69.2785,5.1575,5.1603,5.1603,-5.1603
69.9705,5.0113,5.1041,5.1041,-5.1041
70.6694,4.8787,5.0504,5.0504,-5.0504
71.3753,4.8088,5.0006,5.0006,-5.0006
72.0883,4.7914,4.9550,4.9550,-4.9550
72.8083,4.8244,4.9135,4.9135,-4.9135
73.5356,4.8643,4.8747,4.8747,-4.8747
74.2701,4.8785,4.8376,4.8376,-4.8376
75.0120,4.8629,4.8011,4.8011,-4.8011
75.7613,4.8172,4.7649,4.7649,-4.7649
76.5180,4.7759,4.7288,4.7288,-4.7288
77.2824,4.7361,4.6923,4.6923,-4.6923
78.0543,4.6875,4.6546,4.6546,-4.6546
78.8340,4.6459,4.6142,4.6142,-4.6142
79.6214,4.6060,4.5695,4.5695,-4.5695
80.4168,4.5577,4.5191,4.5191,-4.5191
81.2200,4.5164,4.4629,4.4629,-4.4629
82.0313,4.4595,4.4013,4.4013,-4.4013
82.8507,4.3995,4.3358,4.3358,-4.3358
83.6783,4.3395,4.2676,4.2676,-4.2676
84.5141,4.2881,4.1978,4.1978,-4.1978
85.3583,4.2217,4.1268,4.1268,-4.1268
86.2109,4.1347,4.0550,4.0550,-4.0550
87.0721,4.0121,3.9829,3.9829,-3.9829
87.9418,3.8490,3.9116,3.9116,-3.9116
88.8203,3.6872,3.8429,3.8429,-3.8429
89.7075,3.5440,3.7783,3.7783,-3.7783
90.6035,3.4952,3.7192,3.7192,-3.7192
91.5085,3.5150,3.6655,3.6655,-3.6655
92.4226,3.5614,3.6163,3.6163,-3.6163
93.3458,3.5865,3.5700,3.5700,-3.5700
94.2782,3.5817,3.5256,3.5256,-3.5256
95.2199,3.5554,3.4821,3.4821,-3.4821
96.1711,3.5089,3.4394,3.4394,-3.4394
97.1317,3.4588,3.3970,3.3970,-3.3970
98.1019,3.4009,3.3543,3.3543,-3.3543
99.0818,3.3409,3.3107,3.3107,-3.3107
100.0715,3.2808,3.2654,3.2654,-3.2654
101.0711,3.2207,3.2182,3.2182,-3.2182
102.0807,3.1693,3.1700,3.1700,-3.1700
103.1004,3.1112,3.1236,3.1236,-3.1236
104.1302,3.0674,3.0841,3.0841,-3.0841
105.1703,3.0195,3.0578,3.0578,-3.0578
106.2209,2.9695,3.0497,3.0497,-3.0497
107.2819,2.9193,3.0632,3.0632,-3.0632
108.3535,2.8453,3.0993,3.0993,-3.0993
109.4358,2.7732,3.1562,3.1562,-3.1562
110.5289,2.6953,3.2297,3.2297,-3.2297
111.6330,2.6398,3.3147,3.3147,-3.3147
112.7481,2.6861,3.4067,3.4067,-3.4067
113.8743,2.8360,3.5011,3.5011,-3.5011
115.0118,3.2219,3.5930,3.5930,-3.5930
116.1606,3.8864,3.6749,3.6749,-3.6749
117.3209,4.6158,3.7353,3.7353,-3.7353
118.4928,5.1115,3.7623,3.7623,-3.7623
119.6764,5.3829,3.7475,3.7475,-3.7475
120.8718,5.3507,3.6861,3.6861,-3.6861
122.0792,4.8306,3.5776,3.5776,-3.5776
123.2986,4.0490,3.4291,3.4291,-3.4291
124.5302,3.2792,3.2512,3.2512,-3.2512
125.7741,2.6914,3.0545,3.0545,-3.0545
127.0304,2.2862,2.8470,2.8470,-2.8470
128.2993,2.0365,2.6351,2.6351,-2.6351
129.5808,1.8715,2.4239,2.4239,-2.4239
130.8752,1.7296,2.2196,2.2196,-2.2196
132.1825,1.6133,2.0296,2.0296,-2.0296
133.5028,1.5351,1.8604,1.8604,-1.8604
134.8363,1.4807,1.7164,1.7164,-1.7164
136.1832,1.4387,1.5997,1.5997,-1.5997
137.5435,1.4065,1.5092,1.5092,-1.5092
138.9174,1.3610,1.4407,1.4407,-1.4407
140.3050,1.3110,1.3891,1.3891,-1.3891
141.7065,1.2533,1.3498,1.3498,-1.3498
143.1220,1.2090,1.3194,1.3194,-1.3194
144.5516,1.1922,1.2958,1.2958,-1.2958
145.9955,1.2055,1.2774,1.2774,-1.2774
147.4538,1.2333,1.2628,1.2628,-1.2628
148.9267,1.2555,1.2505,1.2505,-1.2505
150.4143,1.2755,1.2391,1.2391,-1.2391
151.9167,1.2800,1.2277,1.2277,-1.2277
153.4342,1.2723,1.2159,1.2159,-1.2159
154.9668,1.2546,1.2033,1.2033,-1.2033
156.5147,1.2347,1.1898,1.1898,-1.1898
158.0781,1.2070,1.1755,1.1755,-1.1755
159.6571,1.1694,1.1603,1.1603,-1.1603
161.2519,1.1371,1.1442,1.1442,-1.1442
162.8626,1.1070,1.1273,1.1273,-1.1273
164.4894,1.0924,1.1097,1.1097,-1.1097
166.1324,1.0748,1.0913,1.0913,-1.0913
167.7919,1.0548,1.0722,1.0722,-1.0722
169.4679,1.0348,1.0528,1.0528,-1.0528
171.1607,1.0224,1.0331,1.0331,-1.0331
172.8704,1.0124,1.0133,1.0133,-1.0133
174.5972,1.0024,0.9932,0.9932,-0.9932
176.3412,1.0075,0.9726,0.9726,-0.9726
178.1026,1.0025,0.9513,0.9513,-0.9513
179.8816,0.9849,0.9290,0.9290,-0.9290
181.6784,0.9425,0.9055,0.9055,-0.9055
183.4932,0.8926,0.8812,0.8812,-0.8812
185.3261,0.8501,0.8566,0.8566,-0.8566
187.1772,0.8102,0.8320,0.8320,-0.8320
189.0469,0.7776,0.8079,0.8079,-0.8079
190.9352,0.7551,0.7846,0.7846,-0.7846
192.8425,0.7351,0.7622,0.7622,-0.7622
194.7687,0.7152,0.7408,0.7408,-0.7408
196.7142,0.6952,0.7207,0.7207,-0.7207
198.6792,0.6826,0.7020,0.7020,-0.7020
200.6637,0.6652,0.6848,0.6848,-0.6848
202.6681,0.6526,0.6695,0.6695,-0.6695
204.6925,0.6426,0.6559,0.6559,-0.6559
206.7371,0.6326,0.6441,0.6441,-0.6441
208.8022,0.6226,0.6340,0.6340,-0.6340
210.8879,0.6126,0.6255,0.6255,-0.6255
212.9944,0.6100,0.6186,0.6186,-0.6186
215.1219,0.6027,0.6131,0.6131,-0.6131
217.2707,0.5927,0.6089,0.6089,-0.6089
219.4410,0.5827,0.6058,0.6058,-0.6058
221.6329,0.5727,0.6038,0.6038,-0.6038
223.8468,0.5700,0.6027,0.6027,-0.6027
226.0827,0.5773,0.6020,0.6020,-0.6020
228.3410,0.5873,0.6016,0.6016,-0.6016
230.6219,0.6045,0.6009,0.6009,-0.6009
232.9255,0.6244,0.5996,0.5996,-0.5996
235.2521,0.6372,0.5973,0.5973,-0.5973
237.6020,0.6400,0.5937,0.5937,-0.5937
239.9754,0.6400,0.5887,0.5887,-0.5887
242.3724,0.6328,0.5823,0.5823,-0.5823
244.7934,0.6085,0.5744,0.5744,-0.5744
247.2386,0.5856,0.5654,0.5654,-0.5654
249.7082,0.5585,0.5555,0.5555,-0.5555
252.2025,0.5286,0.5449,0.5449,-0.5449
254.7217,0.5058,0.5341,0.5341,-0.5341
257.2661,0.4929,0.5234,0.5234,-0.5234
259.8358,0.4829,0.5130,0.5130,-0.5130
262.4313,0.4800,0.5031,0.5031,-0.5031
265.0527,0.4800,0.4939,0.4939,-0.4939
267.7002,0.4800,0.4853,0.4853,-0.4853
270.3742,0.4800,0.4773,0.4773,-0.4773
273.0749,0.4729,0.4699,0.4699,-0.4699
275.8026,0.4700,0.4629,0.4629,-0.4629
278.5575,0.4630,0.4562,0.4562,-0.4562
281.3400,0.4530,0.4498,0.4498,-0.4498
284.1502,0.4500,0.4435,0.4435,-0.4435
286.9885,0.4430,0.4372,0.4372,-0.4372
289.8552,0.4330,0.4310,0.4310,-0.4310
292.7505,0.4230,0.4250,0.4250,-0.4250
295.6747,0.4130,0.4194,0.4194,-0.4194
298.6281,0.4030,0.4144,0.4144,-0.4144
301.6111,0.4000,0.4104,0.4104,-0.4104
304.6238,0.3931,0.4075,0.4075,-0.4075
307.6666,0.3831,0.4059,0.4059,-0.4059
310.7398,0.3800,0.4058,0.4058,-0.4058
313.8437,0.3800,0.4073,0.4073,-0.4073
316.9786,0.3800,0.4105,0.4105,-0.4105
320.1449,0.3869,0.4152,0.4152,-0.4152
323.3427,0.3969,0.4214,0.4214,-0.4214
326.5725,0.4069,0.4290,0.4290,-0.4290
329.8346,0.4237,0.4376,0.4376,-0.4376
333.1292,0.4437,0.4469,0.4469,-0.4469
336.4568,0.4568,0.4565,0.4565,-0.4565
339.8176,0.4736,0.4661,0.4661,-0.4661
343.2119,0.4936,0.4753,0.4753,-0.4753
346.6402,0.5068,0.4837,0.4837,-0.4837
350.1027,0.5168,0.4909,0.4909,-0.4909
353.5998,0.5200,0.4968,0.4968,-0.4968
357.1318,0.5268,0.5011,0.5011,-0.5011
360.6991,0.5300,0.5038,0.5038,-0.5038
364.3021,0.5300,0.5045,0.5045,-0.5045
367.9410,0.5300,0.5035,0.5035,-0.5035
371.6163,0.5233,0.5005,0.5005,-0.5005
375.3283,0.5133,0.4959,0.4959,-0.4959
379.0774,0.5033,0.4896,0.4896,-0.4896
382.8639,0.4933,0.4820,0.4820,-0.4820
386.6882,0.4833,0.4731,0.4731,-0.4731
390.5508,0.4733,0.4632,0.4632,-0.4632
394.4519,0.4634,0.4523,0.4523,-0.4523
398.3920,0.4468,0.4407,0.4407,-0.4407
402.3714,0.4334,0.4284,0.4284,-0.4284
406.3906,0.4168,0.4156,0.4156,-0.4156
410.4500,0.4034,0.4024,0.4024,-0.4024
414.5498,0.3868,0.3890,0.3890,-0.3890
418.6907,0.3734,0.3756,0.3756,-0.3756
422.8729,0.3634,0.3620,0.3620,-0.3620
427.0969,0.3469,0.3484,0.3484,-0.3484
431.3631,0.3335,0.3347,0.3347,-0.3347
435.6718,0.3235,0.3210,0.3210,-0.3210
440.0237,0.3070,0.3072,0.3072,-0.3072
444.4190,0.2935,0.2933,0.2933,-0.2933
448.8582,0.2770,0.2793,0.2793,-0.2793
453.3417,0.2635,0.2652,0.2652,-0.2652
457.8700,0.2535,0.2509,0.2509,-0.2509
462.4436,0.2435,0.2363,0.2363,-0.2363
467.0628,0.2271,0.2213,0.2213,-0.2213
471.7282,0.2136,0.2059,0.2059,-0.2059
476.4402,0.1971,0.1900,0.1900,-0.1900
481.1993,0.1836,0.1737,0.1737,-0.1737
486.0059,0.1672,0.1568,0.1568,-0.1568
490.8605,0.1472,0.1394,0.1394,-0.1394
495.7636,0.1272,0.1214,0.1214,-0.1214
500.7156,0.1073,0.1030,0.1030,-0.1030
505.7172,0.0873,0.0841,0.0841,-0.0841
510.7687,0.0673,0.0648,0.0648,-0.0648
515.8706,0.0473,0.0451,0.0451,-0.0451
521.0235,0.0274,0.0250,0.0250,-0.0250
526.2279,0.0074,0.0046,0.0046,-0.0046
531.4843,-0.0126,-0.0161,-0.0161,0.0161
536.7932,-0.0326,-0.0370,-0.0370,0.0370
