frequency,raw,smoothed,error,equalization
20.0000,7.0000,7.0193,7.0193,-7.0193
20.1998,7.0100,7.0210,7.0210,-7.0210
20.4015,7.0101,7.0226,7.0226,-7.0226
20.6053,7.0198,7.0243,7.0243,-7.0243
20.8112,7.0201,7.0259,7.0259,-7.0259
21.0190,7.0300,7.0274,7.0274,-7.0274
21.2290,7.0300,7.0286,7.0286,-7.0286
21.4410,7.0400,7.0296,7.0296,-7.0296
21.6552,7.0400,7.0303,7.0303,-7.0303
21.8715,7.0400,7.0307,7.0307,-7.0307
22.0900,7.0400,7.0307,7.0307,-7.0307
22.3106,7.0400,7.0304,7.0304,-7.0304
22.5335,7.0400,7.0297,7.0297,-7.0297
22.7586,7.0301,7.0284,7.0284,-7.0284
22.9859,7.0300,7.0267,7.0267,-7.0267
23.2155,7.0300,7.0246,7.0246,-7.0246
23.4474,7.0201,7.0221,7.0221,-7.0221
23.6816,7.0200,7.0194,7.0194,-7.0194
23.9182,7.0200,7.0165,7.0165,-7.0165
24.1571,7.0101,7.0136,7.0136,-7.0136
24.3984,7.0100,7.0106,7.0106,-7.0106
24.6421,7.0100,7.0077,7.0077,-7.0077
24.8882,7.0001,7.0048,7.0048,-7.0048
25.1368,7.0000,7.0020,7.0020,-7.0020
25.3879,7.0000,6.9993,6.9993,-6.9993
25.6415,6.9903,6.9967,6.9967,-6.9967
25.8976,6.9900,6.9942,6.9942,-6.9942
26.1563,6.9900,6.9918,6.9918,-6.9918
26.4176,6.9900,6.9894,6.9894,-6.9894
26.6815,6.9900,6.9871,6.9871,-6.9871
26.9480,6.9900,6.9846,6.9846,-6.9846
27.2172,6.9805,6.9819,6.9819,-6.9819
27.4890,6.9800,6.9791,6.9791,-6.9791
27.7636,6.9800,6.9761,6.9761,-6.9761
28.0409,6.9800,6.9728,6.9728,-6.9728
28.3210,6.9703,6.9691,6.9691,-6.9691
28.6039,6.9700,6.9651,6.9651,-6.9651
28.8896,6.9700,6.9606,6.9606,-6.9606
29.1782,6.9604,6.9556,6.9556,-6.9556
29.4697,6.9600,6.9501,6.9501,-6.9501
29.7640,6.9505,6.9440,6.9440,-6.9440
30.0613,6.9406,6.9374,6.9374,-6.9374
30.3616,6.9400,6.9304,6.9304,-6.9304
30.6649,6.9305,6.9229,6.9229,-6.9229
30.9712,6.9206,6.9149,6.9149,-6.9149
31.2806,6.9106,6.9065,6.9065,-6.9065
31.5930,6.9005,6.8978,6.8978,-6.8978
31.9086,6.8907,6.8887,6.8887,-6.8887
32.2273,6.8804,6.8794,6.8794,-6.8794
32.5492,6.8706,6.8699,6.8699,-6.8699
32.8744,6.8605,6.8602,6.8602,-6.8602
33.2027,6.8505,6.8506,6.8506,-6.8506
33.5344,6.8405,6.8409,6.8409,-6.8409
33.8694,6.8306,6.8312,6.8312,-6.8312
34.2077,6.8207,6.8216,6.8216,-6.8216
34.5494,6.8106,6.8120,6.8120,-6.8120
34.8945,6.8007,6.8024,6.8024,-6.8024
35.2430,6.7908,6.7929,6.7929,-6.7929
35.5951,6.7807,6.7833,6.7833,-6.7833
35.9506,6.7706,6.7738,6.7738,-6.7738
36.3097,6.7606,6.7642,6.7642,-6.7642
36.6724,6.7600,6.7545,6.7545,-6.7545
37.0387,6.7506,6.7446,6.7446,-6.7446
37.4087,6.7406,6.7344,6.7344,-6.7344
37.7824,6.7307,6.7239,6.7239,-6.7239
38.1598,6.7208,6.7131,6.7131,-6.7131
38.5409,6.7108,6.7018,6.7018,-6.7018
38.9259,6.6913,6.6901,6.6901,-6.6901
39.3147,6.6806,6.6781,6.6781,-6.6781
39.7074,6.6708,6.6657,6.6657,-6.6657
40.1041,6.6609,6.6529,6.6529,-6.6529
40.5046,6.6418,6.6396,6.6396,-6.6396
40.9092,6.6308,6.6260,6.6260,-6.6260
41.3179,6.6116,6.6121,6.6121,-6.6121
41.7306,6.6007,6.5979,6.5979,-6.5979
42.1474,6.5908,6.5835,6.5835,-6.5835
42.5684,6.5715,6.5688,6.5688,-6.5688
42.9936,6.5517,6.5539,6.5539,-6.5539
43.4231,6.5409,6.5389,6.5389,-6.5389
43.8568,6.5220,6.5237,6.5237,-6.5237
44.2949,6.5108,6.5083,6.5083,-6.5083
44.7374,6.4919,6.4928,6.4928,-6.4928
45.1842,6.4810,6.4772,6.4772,-6.4772
45.6356,6.4620,6.4615,6.4615,-6.4615
46.0914,6.4509,6.4457,6.4457,-6.4457
46.5518,6.4321,6.4297,6.4297,-6.4297
47.0168,6.4119,6.4137,6.4137,-6.4137
47.4864,6.4009,6.3977,6.3977,-6.3977
47.9608,6.3821,6.3816,6.3816,-6.3816
48.4398,6.3621,6.3656,6.3656,-6.3656
48.9237,6.3510,6.3495,6.3495,-6.3495
49.4124,6.3319,6.3335,6.3335,-6.3335
49.9059,6.3122,6.3175,6.3175,-6.3175
50.4044,6.3011,6.3015,6.3015,-6.3015
50.9079,6.2821,6.2856,6.2856,-6.2856
51.4164,6.2711,6.2697,6.2697,-6.2697
51.9300,6.2523,6.2538,6.2538,-6.2538
52.4487,6.2412,6.2379,6.2379,-6.2379
52.9726,6.2222,6.2220,6.2220,-6.2220
53.5018,6.2111,6.2060,6.2060,-6.2060
54.0362,6.1924,6.1899,6.1899,-6.1899
54.5759,6.1724,6.1737,6.1737,-6.1737
55.1211,6.1611,6.1575,6.1575,-6.1575
55.6717,6.1424,6.1412,6.1412,-6.1412
56.2278,6.1223,6.1247,6.1247,-6.1247
56.7894,6.1112,6.1081,6.1081,-6.1081
57.3567,6.0923,6.0912,6.0912,-6.0912
57.9296,6.0724,6.0742,6.0742,-6.0742
58.5082,6.0612,6.0570,6.0570,-6.0570
59.0927,6.0423,6.0396,6.0396,-6.0396
59.6829,6.0226,6.0218,6.0218,-6.0218
60.2791,6.0112,6.0038,6.0038,-6.0038
60.8812,5.9926,5.9854,5.9854,-5.9854
61.4893,5.9726,5.9666,5.9666,-5.9666
62.1035,5.9525,5.9474,5.9474,-5.9474
62.7239,5.9325,5.9278,5.9278,-5.9278
63.3504,5.9125,5.9078,5.9078,-5.9078
63.9832,5.8927,5.8874,5.8874,-5.8874
64.6223,5.8727,5.8665,5.8665,-5.8665
65.2678,5.8526,5.8453,5.8453,-5.8453
65.9198,5.8241,5.8236,5.8236,-5.8236
