frequency,raw,smoothed,error,equalization
20.0000,7.3100,7.3030,7.3030,-7.3030
20.1998,7.2800,7.3122,7.3122,-7.3122
20.4015,7.2599,7.3238,7.3238,-7.3238
20.6053,7.2502,7.3382,7.3382,-7.3382
20.8112,7.2601,7.3561,7.3561,-7.3561
21.0190,7.2799,7.3776,7.3776,-7.3776
21.2290,7.3099,7.4030,7.4030,-7.4030
21.4410,7.3502,7.4327,7.4327,-7.4327
21.6552,7.3989,7.4669,7.4669,-7.4669
21.8715,7.4603,7.5060,7.5060,-7.5060
22.0900,7.5100,7.5505,7.5505,-7.5505
22.3106,7.5602,7.6011,7.6011,-7.6011
22.5335,7.6183,7.6577,7.6577,-7.6577
22.7586,7.6697,7.7190,7.7190,-7.7190
22.9859,7.7289,7.7845,7.7845,-7.7845
23.2155,7.7986,7.8539,7.8539,-7.8539
23.4474,7.8692,7.9268,7.9268,-7.9268
23.6816,7.9569,8.0029,8.0029,-8.0029
23.9182,8.0493,8.0818,8.0818,-8.0818
24.1571,8.1389,8.1631,8.1631,-8.1631
24.3984,8.2393,8.2463,8.2463,-8.2463
24.6421,8.3368,8.3310,8.3310,-8.3310
24.8882,8.4293,8.4168,8.4168,-8.4168
25.1368,8.5090,8.5034,8.5034,-8.5034
25.3879,8.5993,8.5903,8.5903,-8.5903
25.6415,8.6774,8.6773,8.6773,-8.6773
25.8976,8.7562,8.7641,8.7641,-8.7641
26.1563,8.8487,8.8506,8.8506,-8.8506
26.4176,8.9359,8.9364,8.9364,-8.9364
26.6815,9.0367,9.0213,9.0213,-9.0213
26.9480,9.1260,9.1050,9.1050,-9.1050
27.2172,9.2062,9.1875,9.1875,-9.1875
27.4890,9.2963,9.2687,9.2687,-9.2687
27.7636,9.3781,9.3486,9.3486,-9.3486
28.0409,9.4477,9.4272,9.4272,-9.4272
28.3210,9.5178,9.5046,9.5046,-9.5046
28.6039,9.5956,9.5808,9.5808,-9.5808
28.8896,9.6674,9.6556,9.6556,-9.6556
29.1782,9.7372,9.7287,9.7287,-9.7287
29.4697,9.8075,9.7999,9.7999,-9.7999
29.7640,9.8763,9.8691,9.8691,-9.8691
30.0613,9.9456,9.9362,9.9362,-9.9362
30.3616,10.0251,10.0011,10.0011,-10.0011
30.6649,10.0965,10.0637,10.0637,-10.0637
30.9712,10.1658,10.1239,10.1239,-10.1239
31.2806,10.2356,10.1815,10.1815,-10.1815
31.5930,10.2967,10.2364,10.2364,-10.2364
31.9086,10.3467,10.2885,10.2885,-10.2885
32.2273,10.3884,10.3377,10.3377,-10.3377
32.5492,10.4087,10.3843,10.3843,-10.3843
32.8744,10.4385,10.4289,10.4289,-10.4289
33.2027,10.4684,10.4717,10.4717,-10.4717
33.5344,10.5081,10.5130,10.5130,-10.5130
33.8694,10.5476,10.5527,10.5527,-10.5527
34.2077,10.5967,10.5909,10.5909,-10.5909
34.5494,10.6376,10.6273,10.6273,-10.6273
34.8945,10.6771,10.6621,10.6621,-10.6621
35.2430,10.7077,10.6951,10.6951,-10.6951
35.5951,10.7471,10.7266,10.7266,-10.7266
