frequency,raw,smoothed,error,equalization
20.0000,11.5800,11.5800,11.5800,-11.5800
20.1998,11.5800,11.5800,11.5800,-11.5800
20.4015,11.5800,11.5799,11.5799,-11.5799
20.6053,11.5800,11.5798,11.5798,-11.5798
20.8112,11.5800,11.5796,11.5796,-11.5796
21.0190,11.5800,11.5792,11.5792,-11.5792
21.2290,11.5800,11.5787,11.5787,-11.5787
21.4410,11.5800,11.5781,11.5781,-11.5781
21.6552,11.5800,11.5774,11.5774,-11.5774
21.8715,11.5800,11.5764,11.5764,-11.5764
22.0900,11.5800,11.5751,11.5751,-11.5751
22.3106,11.5800,11.5735,11.5735,-11.5735
22.5335,11.5800,11.5715,11.5715,-11.5715
22.7586,11.5701,11.5690,11.5690,-11.5690
22.9859,11.5700,11.5662,11.5662,-11.5662
23.2155,11.5700,11.5629,11.5629,-11.5629
23.4474,11.5601,11.5592,11.5592,-11.5592
23.6816,11.5600,11.5551,11.5551,-11.5551
23.9182,11.5600,11.5506,11.5506,-11.5506
24.1571,11.5501,11.5456,11.5456,-11.5456
24.3984,11.5500,11.5404,11.5404,-11.5404
24.6421,11.5403,11.5348,11.5348,-11.5348
24.8882,11.5301,11.5290,11.5290,-11.5290
25.1368,11.5201,11.5231,11.5231,-11.5231
25.3879,11.5200,11.5173,11.5173,-11.5173
25.6415,11.5103,11.5116,11.5116,-11.5116
25.8976,11.5005,11.5062,11.5062,-11.5062
26.1563,11.4901,11.5011,11.5011,-11.5011
26.4176,11.4900,11.4965,11.4965,-11.4965
26.6815,11.4803,11.4923,11.4923,-11.4923
26.9480,11.4800,11.4885,11.4885,-11.4885
27.2172,11.4800,11.4849,11.4849,-11.4849
27.4890,11.4704,11.4814,11.4814,-11.4814
27.7636,11.4700,11.4779,11.4779,-11.4779
28.0409,11.4700,11.4742,11.4742,-11.4742
28.3210,11.4797,11.4702,11.4702,-11.4702
28.6039,11.4800,11.4654,11.4654,-11.4654
28.8896,11.4800,11.4598,11.4598,-11.4598
29.1782,11.4800,11.4533,11.4533,-11.4533
29.4697,11.4800,11.4457,11.4457,-11.4457
29.7640,11.4611,11.4369,11.4369,-11.4369
30.0613,11.4506,11.4273,11.4273,-11.4273
30.3616,11.4312,11.4167,11.4167,-11.4167
30.6649,11.4110,11.4056,11.4056,-11.4056
30.9712,11.3912,11.3939,11.3939,-11.3939
31.2806,11.3713,11.3818,11.3818,-11.3818
31.5930,11.3511,11.3697,11.3697,-11.3697
31.9086,11.3407,11.3576,11.3576,-11.3576
32.2273,11.3304,11.3458,11.3458,-11.3458
32.5492,11.3206,11.3342,11.3342,-11.3342
32.8744,11.3200,11.3229,11.3229,-11.3229
33.2027,11.3105,11.3118,11.3118,-11.3118
33.5344,11.3100,11.3010,11.3010,-11.3010
33.8694,11.3006,11.2901,11.2901,-11.2901
34.2077,11.2907,11.2791,11.2791,-11.2791
34.5494,11.2712,11.2679,11.2679,-11.2679
34.8945,11.2607,11.2566,11.2566,-11.2566
35.2430,11.2508,11.2450,11.2450,-11.2450
35.5951,11.2407,11.2331,11.2331,-11.2331
35.9506,11.2211,11.2208,11.2208,-11.2208
36.3097,11.2106,11.2082,11.2082,-11.2082
36.6724,11.2007,11.1953,11.1953,-11.1953
37.0387,11.1812,11.1821,11.1821,-11.1821
37.4087,11.1706,11.1688,11.1688,-11.1688
37.7824,11.1515,11.1553,11.1553,-11.1553
38.1598,11.1408,11.1417,11.1417,-11.1417
38.5409,11.1308,11.1282,11.1282,-11.1282
38.9259,11.1113,11.1145,11.1145,-11.1145
39.3147,11.1006,11.1006,11.1006,-11.1006
39.7074,11.0908,11.0866,11.0866,-11.0866
40.1041,11.0718,11.0725,11.0725,-11.0725
40.5046,11.0609,11.0582,11.0582,-11.0582
40.9092,11.0508,11.0436,11.0436,-11.0436
41.3179,11.0316,11.0287,11.0287,-11.0287
41.7306,11.0207,11.0135,11.0135,-11.0135
42.1474,11.0016,10.9979,10.9979,-10.9979
42.5684,10.9908,10.9819,10.9819,-10.9819
42.9936,10.9717,10.9654,10.9654,-10.9654
43.4231,10.9517,10.9484,10.9484,-10.9484
43.8568,10.9320,10.9309,10.9309,-10.9309
44.2949,10.9208,10.9130,10.9130,-10.9130
44.7374,10.9019,10.8946,10.8946,-10.8946
45.1842,10.8820,10.8755,10.8755,-10.8755
45.6356,10.8620,10.8560,10.8560,-10.8560
46.0914,10.8417,10.8358,10.8358,-10.8358
46.5518,10.8221,10.8152,10.8152,-10.8152
47.0168,10.8019,10.7940,10.7940,-10.7940
47.4864,10.7819,10.7723,10.7723,-10.7723
47.9608,10.7531,10.7500,10.7500,-10.7500
48.4398,10.7321,10.7273,10.7273,-10.7273
48.9237,10.7119,10.7041,10.7041,-10.7041
49.4124,10.6829,10.6803,10.6803,-10.6803
49.9059,10.6622,10.6561,10.6561,-10.6561
50.4044,10.6333,10.6314,10.6314,-10.6314
50.9079,10.6121,10.6063,10.6063,-10.6063
51.4164,10.5832,10.5807,10.5807,-10.5807
51.9300,10.5623,10.5546,10.5546,-10.5546
52.4487,10.5335,10.5281,10.5281,-10.5281
52.9726,10.5033,10.5012,10.5012,-10.5012
53.5018,10.4822,10.4739,10.4739,-10.4739
54.0362,10.4535,10.4461,10.4461,-10.4461
54.5759,10.4236,10.4179,10.4179,-10.4179
55.1211,10.3933,10.3892,10.3892,-10.3892
55.6717,10.3637,10.3601,10.3601,-10.3601
56.2278,10.3334,10.3305,10.3305,-10.3305
56.7894,10.3037,10.3005,10.3005,-10.3005
57.3567,10.2734,10.2701,10.2701,-10.2701
57.9296,10.2436,10.2391,10.2391,-10.2391
58.5082,10.2137,10.2077,10.2077,-10.2077
59.0927,10.1835,10.1758,10.1758,-10.1758
59.6829,10.1539,10.1433,10.1433,-10.1433
60.2791,10.1148,10.1103,10.1103,-10.1103
60.8812,10.0839,10.0767,10.0767,-10.0767
61.4893,10.0540,10.0426,10.0426,-10.0426
62.1035,10.0150,10.0078,10.0078,-10.0078
62.7239,9.9749,9.9724,9.9724,-9.9724
63.3504,9.9438,9.9363,9.9363,-9.9363
63.9832,9.9054,9.8996,9.8996,-9.8996
64.6223,9.8655,9.8620,9.8620,-9.8620
65.2678,9.8339,9.8238,9.8238,-9.8238
65.9198,9.7955,9.7846,9.7846,-9.7846
66.5782,9.7556,9.7445,9.7445,-9.7445
67.2433,9.7153,9.7035,9.7035,-9.7035
67.9149,9.6756,9.6616,9.6616,-9.6616
68.5933,9.6357,9.6187,9.6187,-9.6187
69.2785,9.5867,9.5747,9.5747,-9.5747
69.9705,9.5457,9.5297,9.5297,-9.5297
70.6694,9.4972,9.4835,9.4835,-9.4835
71.3753,9.4474,9.4362,9.4362,-9.4362
72.0883,9.3972,9.3877,9.3877,-9.3877
72.8083,9.3471,9.3380,9.3380,-9.3380
73.5356,9.2972,9.2872,9.2872,-9.2872
74.2701,9.2474,9.2352,9.2352,-9.2352
75.0120,9.1973,9.1820,9.1820,-9.1820
75.7613,9.1472,9.1276,9.1276,-9.1276
76.5180,9.0888,9.0718,9.0718,-9.0718
77.2824,9.0292,9.0147,9.0147,-9.0147
78.0543,8.9775,8.9564,8.9564,-8.9564
78.8340,8.9104,8.8966,8.8966,-8.8966
79.6214,8.8490,8.8357,8.8357,-8.8357
80.4168,8.7892,8.7734,8.7734,-8.7734
81.2200,8.7212,8.7097,8.7097,-8.7097
82.0313,8.6595,8.6448,8.6448,-8.6448
82.8507,8.5910,8.5786,8.5786,-8.5786
83.6783,8.5211,8.5112,8.5112,-8.5112
84.5141,8.4597,8.4429,8.4429,-8.4429
85.3583,8.3917,8.3738,8.3738,-8.3738
86.2109,8.3131,8.3042,8.3042,-8.3042
87.0721,8.2419,8.2346,8.2346,-8.2346
87.9418,8.1719,8.1655,8.1655,-8.1655
88.8203,8.0936,8.0974,8.0974,-8.0974
89.7075,8.0137,8.0311,8.0311,-8.0311
90.6035,7.9339,7.9672,7.9672,-7.9672
91.5085,7.8618,7.9067,7.9067,-7.9067
92.4226,7.7920,7.8502,7.8502,-7.8502
93.3458,7.7224,7.7984,7.7984,-7.7984
94.2782,7.6604,7.7518,7.7518,-7.7518
95.2199,7.6172,7.7110,7.7110,-7.7110
96.1711,7.5771,7.6762,7.6762,-7.6762
97.1317,7.5535,7.6473,7.6473,-7.6473
98.1019,7.5336,7.6240,7.6240,-7.6240
99.0818,7.5300,7.6058,7.6058,-7.6058
100.0715,7.5300,7.5920,7.5920,-7.5920
101.0711,7.5464,7.5816,7.5816,-7.5816
102.0807,7.5581,7.5735,7.5735,-7.5735
103.1004,7.5763,7.5664,7.5664,-7.5664
104.1302,7.5882,7.5591,7.5591,-7.5591
105.1703,7.5981,7.5504,7.5504,-7.5504
106.2209,7.6081,7.5391,7.5391,-7.5391
107.2819,7.6019,7.5238,7.5238,-7.5238
108.3535,7.5919,7.5039,7.5039,-7.5039
109.4358,7.5657,7.4784,7.4784,-7.4784
110.5289,7.5358,7.4469,7.4469,-7.4469
111.6330,7.4898,7.4088,7.4088,-7.4088
112.7481,7.4479,7.3642,7.3642,-7.3642
113.8743,7.3920,7.3127,7.3127,-7.3127
