frequency,raw,smoothed,error,equalization
20.0000,4.3200,4.4621,4.4621,-4.4621
20.1998,4.3600,4.4790,4.4790,-4.4790
20.4015,4.4003,4.4986,4.4986,-4.4986
20.6053,4.4391,4.5201,4.5201,-4.5201
20.8112,4.4802,4.5434,4.5434,-4.5434
21.0190,4.5198,4.5683,4.5683,-4.5683
21.2290,4.5598,4.5947,4.5947,-4.5947
21.4410,4.6002,4.6227,4.6227,-4.6227
21.6552,4.6391,4.6525,4.6525,-4.6525
21.8715,4.6803,4.6842,4.6842,-4.6842
22.0900,4.7200,4.7180,4.7180,-4.7180
22.3106,4.7601,4.7543,4.7543,-4.7543
22.5335,4.7989,4.7923,4.7923,-4.7923
22.7586,4.8397,4.8297,4.8297,-4.8297
22.9859,4.8793,4.8666,4.8666,-4.8666
23.2155,4.9094,4.9030,4.9030,-4.9030
23.4474,4.9495,4.9388,4.9388,-4.9388
23.6816,4.9790,4.9741,4.9741,-4.9741
23.9182,5.0098,5.0089,5.0089,-5.0089
24.1571,5.0495,5.0432,5.0432,-5.0432
24.3984,5.0798,5.0769,5.0769,-5.0769
24.6421,5.1091,5.1100,5.1100,-5.1100
24.8882,5.1497,5.1427,5.1427,-5.1427
25.1368,5.1796,5.1748,5.1748,-5.1748
25.3879,5.2098,5.2064,5.2064,-5.2064
25.6415,5.2487,5.2375,5.2375,-5.2375
25.8976,5.2786,5.2680,5.2680,-5.2680
26.1563,5.3096,5.2979,5.2979,-5.2979
26.4176,5.3386,5.3272,5.3272,-5.3272
26.6815,5.3593,5.3558,5.3558,-5.3558
26.9480,5.3887,5.3839,5.3839,-5.3839
27.2172,5.4186,5.4115,5.4115,-5.4115
27.4890,5.4392,5.4386,5.4386,-5.4386
27.7636,5.4693,5.4651,5.4651,-5.4651
28.0409,5.4990,5.4912,5.4912,-5.4912
28.3210,5.5194,5.5166,5.5166,-5.5166
28.6039,5.5483,5.5416,5.5416,-5.5416
28.8896,5.5693,5.5660,5.5660,-5.5660
29.1782,5.5988,5.5899,5.5899,-5.5899
29.4697,5.6193,5.6132,5.6132,-5.6132
29.7640,5.6389,5.6360,5.6360,-5.6360
30.0613,5.6681,5.6583,5.6583,-5.6583
30.3616,5.6888,5.6800,5.6800,-5.6800
30.6649,5.7090,5.7010,5.7010,-5.7010
30.9712,5.7288,5.7215,5.7215,-5.7215
31.2806,5.7487,5.7414,5.7414,-5.7414
31.5930,5.7689,5.7607,5.7607,-5.7607
31.9086,5.7887,5.7794,5.7794,-5.7794
32.2273,5.7996,5.7976,5.7976,-5.7976
32.5492,5.8187,5.8153,5.8153,-5.8153
32.8744,5.8390,5.8325,5.8325,-5.8325
33.2027,5.8495,5.8492,5.8492,-5.8492
33.5344,5.8691,5.8655,5.8655,-5.8655
33.8694,5.8888,5.8814,5.8814,-5.8814
34.2077,5.8993,5.8968,5.8968,-5.8968
34.5494,5.9188,5.9117,5.9117,-5.9117
34.8945,5.9293,5.9262,5.9262,-5.9262
35.2430,5.9485,5.9403,5.9403,-5.9403
35.5951,5.9593,5.9538,5.9538,-5.9538
35.9506,5.9694,5.9670,5.9670,-5.9670
36.3097,5.9889,5.9797,5.9797,-5.9797
36.6724,5.9993,5.9919,5.9919,-5.9919
37.0387,6.0094,6.0036,6.0036,-6.0036
37.4087,6.0194,6.0148,6.0148,-6.0148
37.7824,6.0293,6.0255,6.0255,-6.0255
38.1598,6.0392,6.0357,6.0357,-6.0357
38.5409,6.0492,6.0455,6.0455,-6.0455
38.9259,6.0594,6.0548,6.0548,-6.0548
39.3147,6.0694,6.0637,6.0637,-6.0637
39.7074,6.0792,6.0720,6.0720,-6.0720
40.1041,6.0891,6.0798,6.0798,-6.0798
40.5046,6.0900,6.0871,6.0871,-6.0871
40.9092,6.0992,6.0938,6.0938,-6.0938
41.3179,6.1092,6.1001,6.1001,-6.1001
41.7306,6.1100,6.1059,6.1059,-6.1059
42.1474,6.1192,6.1111,6.1111,-6.1111
42.5684,6.1200,6.1158,6.1158,-6.1158
42.9936,6.1292,6.1200,6.1200,-6.1200
43.4231,6.1300,6.1236,6.1236,-6.1236
43.8568,6.1300,6.1268,6.1268,-6.1268
44.2949,6.1300,6.1295,6.1295,-6.1295
44.7374,6.1391,6.1318,6.1318,-6.1318
45.1842,6.1400,6.1337,6.1337,-6.1337
45.6356,6.1400,6.1351,6.1351,-6.1351
46.0914,6.1400,6.1360,6.1360,-6.1360
46.5518,6.1400,6.1365,6.1365,-6.1365
47.0168,6.1400,6.1367,6.1367,-6.1367
47.4864,6.1400,6.1363,6.1363,-6.1363
47.9608,6.1400,6.1355,6.1355,-6.1355
48.4398,6.1400,6.1343,6.1343,-6.1343
48.9237,6.1400,6.1326,6.1326,-6.1326
49.4124,6.1400,6.1303,6.1303,-6.1303
49.9059,6.1311,6.1275,6.1275,-6.1275
50.4044,6.1300,6.1243,6.1243,-6.1243
50.9079,6.1300,6.1205,6.1205,-6.1205
51.4164,6.1211,6.1162,6.1162,-6.1162
51.9300,6.1200,6.1114,6.1114,-6.1114
52.4487,6.1112,6.1060,6.1060,-6.1060
52.9726,6.1011,6.1002,6.1002,-6.1002
53.5018,6.1000,6.0939,6.0939,-6.0939
