frequency,raw,smoothed,error,equalization
20.0000,12.0600,12.0347,12.0347,-12.0347
20.1998,12.0600,12.0274,12.0274,-12.0274
20.4015,12.0600,12.0192,12.0192,-12.0192
20.6053,12.0600,12.0101,12.0101,-12.0101
20.8112,12.0600,12.0000,12.0000,-12.0000
21.0190,12.0600,11.9890,11.9890,-11.9890
21.2290,12.0202,11.9768,11.9768,-11.9768
21.4410,11.9798,11.9641,11.9641,-11.9641
21.6552,11.9409,11.9511,11.9511,-11.9511
21.8715,11.8999,11.9381,11.9381,-11.9381
22.0900,11.8800,11.9256,11.9256,-11.9256
22.3106,11.8700,11.9135,11.9135,-11.9135
22.5335,11.8700,11.9021,11.9021,-11.9021
22.7586,11.8601,11.8922,11.8922,-11.8922
22.9859,11.8600,11.8840,11.8840,-11.8840
23.2155,11.8600,11.8776,11.8776,-11.8776
23.4474,11.8600,11.8729,11.8729,-11.8729
23.6816,11.8600,11.8698,11.8698,-11.8698
23.9182,11.8600,11.8678,11.8678,-11.8678
24.1571,11.8600,11.8664,11.8664,-11.8664
24.3984,11.8600,11.8650,11.8650,-11.8650
24.6421,11.8600,11.8633,11.8633,-11.8633
24.8882,11.8600,11.8612,11.8612,-11.8612
25.1368,11.8699,11.8584,11.8584,-11.8584
25.3879,11.8799,11.8544,11.8544,-11.8544
25.6415,11.8993,11.8487,11.8487,-11.8487
25.8976,11.9095,11.8406,11.8406,-11.8406
26.1563,11.8903,11.8296,11.8296,-11.8296
26.4176,11.8518,11.8159,11.8159,-11.8159
26.6815,11.8113,11.8001,11.8001,-11.8001
26.9480,11.7718,11.7828,11.7828,-11.7828
27.2172,11.7605,11.7647,11.7647,-11.7647
27.4890,11.7600,11.7460,11.7460,-11.7460
27.7636,11.7600,11.7269,11.7269,-11.7269
28.0409,11.7503,11.7071,11.7071,-11.7071
28.3210,11.6919,11.6866,11.6866,-11.6866
28.6039,11.6428,11.6659,11.6659,-11.6659
28.8896,11.5822,11.6456,11.6456,-11.6456
29.1782,11.5608,11.6263,11.6263,-11.6263
29.4697,11.5600,11.6081,11.6081,-11.6081
29.7640,11.5600,11.5907,11.5907,-11.5907
30.0613,11.5600,11.5736,11.5736,-11.5736
30.3616,11.5788,11.5566,11.5566,-11.5566
30.6649,11.5895,11.5390,11.5390,-11.5390
30.9712,11.5994,11.5205,11.5205,-11.5205
31.2806,11.5625,11.5008,11.5008,-11.5008
31.5930,11.5127,11.4800,11.4800,-11.4800
31.9086,11.4727,11.4584,11.4584,-11.4584
32.2273,11.4316,11.4357,11.4357,-11.4357
32.5492,11.3925,11.4117,11.4117,-11.4117
32.8744,11.3520,11.3868,11.3868,-11.3868
33.2027,11.3405,11.3613,11.3613,-11.3613
33.5344,11.3305,11.3353,11.3353,-11.3353
33.8694,11.3206,11.3090,11.3090,-11.3090
34.2077,11.3107,11.2826,11.2826,-11.2826
34.5494,11.2912,11.2561,11.2561,-11.2561
34.8945,11.2622,11.2298,11.2298,-11.2298
35.2430,11.2139,11.2036,11.2036,-11.2036
35.5951,11.1543,11.1775,11.1775,-11.1775
35.9506,11.0933,11.1518,11.1518,-11.1518
36.3097,11.0806,11.1268,11.1268,-11.1268
36.6724,11.0707,11.1019,11.1019,-11.1019
37.0387,11.0606,11.0771,11.0771,-11.0771
37.4087,11.0600,11.0521,11.0521,-11.0521
37.7824,11.0600,11.0268,11.0268,-11.0268
38.1598,11.0508,11.0008,11.0008,-11.0008
38.5409,11.0223,10.9740,10.9740,-10.9740
38.9259,10.9919,10.9463,10.9463,-10.9463
39.3147,10.9432,10.9177,10.9177,-10.9177
39.7074,10.8849,10.8884,10.8884,-10.8884
40.1041,10.8345,10.8587,10.8587,-10.8587
40.5046,10.8027,10.8287,10.8287,-10.8287
40.9092,10.7631,10.7981,10.7981,-10.7981
41.3179,10.7600,10.7669,10.7669,-10.7669
41.7306,10.7507,10.7350,10.7350,-10.7350
42.1474,10.7316,10.7024,10.7024,-10.7024
42.5684,10.6930,10.6693,10.6693,-10.6693
42.9936,10.6534,10.6360,10.6360,-10.6360
43.4231,10.6043,10.6026,10.6026,-10.6026
43.8568,10.5639,10.5691,10.5691,-10.5691
44.2949,10.5416,10.5355,10.5355,-10.5355
44.7374,10.5219,10.5016,10.5016,-10.5016
45.1842,10.4751,10.4670,10.4670,-10.4670
45.6356,10.4069,10.4319,10.4319,-10.4319
46.0914,10.3543,10.3969,10.3969,-10.3969
46.5518,10.3500,10.3622,10.3622,-10.3622
47.0168,10.3500,10.3276,10.3276,-10.3276
47.4864,10.3228,10.2924,10.2924,-10.2924
47.9608,10.2931,10.2567,10.2567,-10.2567
48.4398,10.2273,10.2204,10.2204,-10.2204
48.9237,10.1568,10.1842,10.1842,-10.1842
49.4124,10.1319,10.1485,10.1485,-10.1485
49.9059,10.1032,10.1128,10.1128,-10.1128
50.4044,10.0822,10.0771,10.0771,-10.0771
50.9079,10.0531,10.0413,10.0413,-10.0413
51.4164,10.0232,10.0051,10.0051,-10.0051
51.9300,9.9846,9.9680,9.9680,-9.9680
52.4487,9.9182,9.9298,9.9298,-9.9298
52.9726,9.8566,9.8911,9.8911,-9.8911
53.5018,9.8500,9.8524,9.8524,-9.8524
54.0362,9.8412,9.8135,9.8135,-9.8135
54.5759,9.8136,9.7741,9.7741,-9.7741
55.1211,9.7655,9.7339,9.7339,-9.7339
55.6717,9.6898,9.6928,9.6928,-9.6928
56.2278,9.6534,9.6512,9.6512,-9.6512
56.7894,9.6500,9.6090,9.6090,-9.6090
57.3567,9.5879,9.5657,9.5657,-9.5657
57.9296,9.4921,9.5219,9.5219,-9.5219
58.5082,9.4449,9.4781,9.4781,-9.4781
59.0927,9.4046,9.4346,9.4346,-9.4346
59.6829,9.3651,9.3911,9.3911,-9.3911
60.2791,9.3512,9.3477,9.3477,-9.3477
60.8812,9.3500,9.3038,9.3038,-9.3038
61.4893,9.2979,9.2590,9.2590,-9.2590
62.1035,9.2288,9.2137,9.2137,-9.2137
62.7239,9.1674,9.1680,9.1680,-9.1680
63.3504,9.1163,9.1220,9.1220,-9.1220
63.9832,9.0754,9.0757,9.0757,-9.0757
64.6223,9.0269,9.0293,9.0293,-9.0293
65.2678,8.9764,8.9825,8.9825,-8.9825
65.9198,8.9441,8.9351,8.9351,-8.9351
66.5782,8.9142,8.8869,8.8869,-8.8869
67.2433,8.8579,8.8373,8.8373,-8.8373
67.9149,8.7554,8.7866,8.7866,-8.7866
68.5933,8.7400,8.7358,8.7358,-8.7358
69.2785,8.7140,8.6849,8.6849,-8.6849
69.9705,8.6585,8.6338,8.6338,-8.6338
70.6694,8.5815,8.5824,8.5824,-8.5824
71.3753,8.5274,8.5310,8.5310,-8.5310
72.0883,8.4857,8.4795,8.4795,-8.4795
72.8083,8.4371,8.4277,8.4277,-8.4277
73.5356,8.3786,8.3757,8.3757,-8.3757
74.2701,8.3104,8.3234,8.3234,-8.3234
75.0120,8.2402,8.2716,8.2716,-8.2716
75.7613,8.1616,8.2208,8.2208,-8.2208
76.5180,8.1415,8.1712,8.1712,-8.1712
77.2824,8.1400,8.1219,8.1219,-8.1219
78.0543,8.1230,8.0723,8.0723,-8.0723
78.8340,8.0519,8.0220,8.0220,-8.0220
79.6214,7.9805,7.9710,7.9710,-7.9710
80.4168,7.9108,7.9196,7.9196,-7.9196
81.2200,7.8580,7.8681,7.8681,-7.8681
82.0313,7.8079,7.8164,7.8164,-7.8164
82.8507,7.7495,7.7644,7.7644,-7.7644
83.6783,7.7400,7.7121,7.7121,-7.7121
84.5141,7.7149,7.6585,7.6585,-7.6585
85.3583,7.6350,7.6031,7.6031,-7.6031
86.2109,7.5447,7.5462,7.5462,-7.5462
87.0721,7.4885,7.4885,7.4885,-7.4885
87.9418,7.4302,7.4301,7.4301,-7.4301
88.8203,7.3536,7.3714,7.3714,-7.3714
89.7075,7.3400,7.3126,7.3126,-7.3126
90.6035,7.2739,7.2530,7.2530,-7.2530
91.5085,7.1851,7.1923,7.1923,-7.1923
92.4226,7.1451,7.1308,7.1308,-7.1308
93.3458,7.0824,7.0683,7.0683,-7.0683
94.2782,6.9957,7.0047,7.0047,-7.0047
95.2199,6.9472,6.9405,6.9405,-6.9405
96.1711,6.8989,6.8759,6.8759,-6.8759
97.1317,6.7993,6.8105,6.8105,-6.8105
98.1019,6.7309,6.7444,6.7444,-6.7444
99.0818,6.7036,6.6777,6.6777,-6.6777
100.0715,6.6672,6.6097,6.6097,-6.6097
101.0711,6.5697,6.5399,6.5399,-6.5399
102.0807,6.4686,6.4691,6.4691,-6.4691
103.1004,6.4093,6.3976,6.3976,-6.3976
104.1302,6.3347,6.3252,6.3252,-6.3252
105.1703,6.2228,6.2520,6.2520,-6.2520
106.2209,6.1757,6.1786,6.1786,-6.1786
107.2819,6.1293,6.1045,6.1045,-6.1045
108.3535,6.0553,6.0299,6.0299,-6.0299
109.4358,5.9589,5.9549,5.9549,-5.9549
110.5289,5.8753,5.8803,5.8803,-5.8803
111.6330,5.7956,5.8069,5.8069,-5.8069
112.7481,5.7239,5.7352,5.7352,-5.7352
113.8743,5.6540,5.6656,5.6656,-5.6656
115.0118,5.5760,5.5978,5.5978,-5.5978
116.1606,5.4960,5.5320,5.5320,-5.5320
117.3209,5.4078,5.4685,5.4685,-5.4685
118.4928,5.3341,5.4076,5.4076,-5.4076
119.6764,5.2723,5.3492,5.3492,-5.3492
120.8718,5.2283,5.2935,5.2935,-5.2935
122.0792,5.1962,5.2404,5.2404,-5.2404
