frequency,raw,smoothed,error,equalization
20.0000,7.6800,7.6919,7.6919,-7.6919
20.1998,7.6900,7.6880,7.6880,-7.6880
20.4015,7.7001,7.6837,7.6837,-7.6837
20.6053,7.7196,7.6789,7.6789,-7.6789
20.8112,7.7301,7.6730,7.6730,-7.6730
21.0190,7.7400,7.6656,7.6656,-7.6656
21.2290,7.7002,7.6566,7.6566,-7.6566
21.4410,7.6698,7.6462,7.6462,-7.6462
21.6552,7.6309,7.6348,7.6348,-7.6348
21.8715,7.5999,7.6233,7.6233,-7.6233
22.0900,7.5800,7.6122,7.6122,-7.6122
22.3106,7.5800,7.6019,7.6019,-7.6019
22.5335,7.5800,7.5927,7.5927,-7.5927
22.7586,7.5800,7.5848,7.5848,-7.5848
22.9859,7.5800,7.5780,7.5780,-7.5780
23.2155,7.5506,7.5723,7.5723,-7.5723
23.4474,7.5302,7.5682,7.5682,-7.5682
23.6816,7.5010,7.5659,7.5659,-7.5659
23.9182,7.4702,7.5658,7.5658,-7.5658
24.1571,7.4996,7.5682,7.5682,-7.5682
24.3984,7.5497,7.5723,7.5723,-7.5723
24.6421,7.5984,7.5771,7.5771,-7.5771
24.8882,7.6596,7.5818,7.5818,-7.5818
25.1368,7.6699,7.5853,7.5853,-7.5853
25.3879,7.6402,7.5875,7.5875,-7.5875
25.6415,7.6110,7.5888,7.5888,-7.5888
25.8976,7.5910,7.5896,7.5896,-7.5896
26.1563,7.5801,7.5901,7.5901,-7.5901
26.4176,7.5800,7.5904,7.5904,-7.5904
26.6815,7.5800,7.5903,7.5903,-7.5903
26.9480,7.5800,7.5895,7.5895,-7.5895
27.2172,7.5800,7.5879,7.5879,-7.5879
27.4890,7.5800,7.5859,7.5859,-7.5859
27.7636,7.5800,7.5838,7.5838,-7.5838
28.0409,7.5800,7.5820,7.5820,-7.5820
28.3210,7.5800,7.5809,7.5809,-7.5809
28.6039,7.5800,7.5803,7.5803,-7.5803
28.8896,7.5800,7.5800,7.5800,-7.5800
29.1782,7.5800,7.5798,7.5798,-7.5798
29.4697,7.5800,7.5794,7.5794,-7.5794
29.7640,7.5800,7.5788,7.5788,-7.5788
30.0613,7.5800,7.5777,7.5777,-7.5777
30.3616,7.5800,7.5760,7.5760,-7.5760
30.6649,7.5800,7.5735,7.5735,-7.5735
30.9712,7.5800,7.5704,7.5704,-7.5704
31.2806,7.5800,7.5665,7.5665,-7.5665
31.5930,7.5800,7.5619,7.5619,-7.5619
31.9086,7.5800,7.5565,7.5565,-7.5565
32.2273,7.5704,7.5504,7.5504,-7.5504
32.5492,7.5606,7.5437,7.5437,-7.5437
32.8744,7.5505,7.5365,7.5365,-7.5365
33.2027,7.5310,7.5291,7.5291,-7.5291
33.5344,7.5109,7.5216,7.5216,-7.5216
33.8694,7.4912,7.5144,7.5144,-7.5144
34.2077,7.4807,7.5078,7.5078,-7.5078
34.5494,7.4800,7.5019,7.5019,-7.5019
34.8945,7.4800,7.4967,7.4967,-7.4967
35.2430,7.4800,7.4923,7.4923,-7.4923
35.5951,7.4800,7.4886,7.4886,-7.4886
35.9506,7.4800,7.4857,7.4857,-7.4857
36.3097,7.4800,7.4834,7.4834,-7.4834
36.6724,7.4800,7.4819,7.4819,-7.4819
37.0387,7.4800,7.4810,7.4810,-7.4810
37.4087,7.4800,7.4811,7.4811,-7.4811
37.7824,7.4800,7.4822,7.4822,-7.4822
38.1598,7.4800,7.4836,7.4836,-7.4836
38.5409,7.4800,7.4847,7.4847,-7.4847
38.9259,7.4800,7.4850,7.4850,-7.4850
39.3147,7.4800,7.4846,7.4846,-7.4846
39.7074,7.4800,7.4835,7.4835,-7.4835
40.1041,7.4800,7.4816,7.4816,-7.4816
40.5046,7.4800,7.4790,7.4790,-7.4790
40.9092,7.4800,7.4756,7.4756,-7.4756
41.3179,7.5169,7.4715,7.4715,-7.4715
41.7306,7.5664,7.4662,7.4662,-7.4662
42.1474,7.5608,7.4588,7.4588,-7.4588
42.5684,7.4768,7.4494,7.4494,-7.4494
42.9936,7.3876,7.4394,7.4394,-7.4394
43.4231,7.3800,7.4300,7.4300,-7.4300
43.8568,7.3800,7.4214,7.4214,-7.4214
44.2949,7.3800,7.4135,7.4135,-7.4135
44.7374,7.3800,7.4063,7.4063,-7.4063
45.1842,7.3800,7.3999,7.3999,-7.3999
45.6356,7.3800,7.3942,7.3942,-7.3942
46.0914,7.3800,7.3892,7.3892,-7.3892
46.5518,7.3800,7.3851,7.3851,-7.3851
47.0168,7.3800,7.3821,7.3821,-7.3821
47.4864,7.3800,7.3805,7.3805,-7.3805
47.9608,7.3800,7.3801,7.3801,-7.3801
48.4398,7.3800,7.3803,7.3803,-7.3803
48.9237,7.3800,7.3807,7.3807,-7.3807
49.4124,7.3800,7.3810,7.3810,-7.3810
49.9059,7.3800,7.3808,7.3808,-7.3808
50.4044,7.3800,7.3800,7.3800,-7.3800
50.9079,7.3800,7.3784,7.3784,-7.3784
51.4164,7.3800,7.3757,7.3757,-7.3757
51.9300,7.3800,7.3713,7.3713,-7.3713
52.4487,7.3800,7.3647,7.3647,-7.3647
