frequency,raw,smoothed,error,equalization
20.0000,6.9300,6.9074,6.9074,-6.9074
20.1998,6.9200,6.9044,6.9044,-6.9044
20.4015,6.9200,6.9012,6.9012,-6.9012
20.6053,6.9200,6.8979,6.8979,-6.8979
20.8112,6.9099,6.8942,6.8942,-6.8942
21.0190,6.9000,6.8905,6.8905,-6.8905
21.2290,6.8900,6.8869,6.8869,-6.8869
21.4410,6.8800,6.8834,6.8834,-6.8834
21.6552,6.8702,6.8799,6.8799,-6.8799
21.8715,6.8600,6.8767,6.8767,-6.8767
22.0900,6.8600,6.8737,6.8737,-6.8737
22.3106,6.8500,6.8707,6.8707,-6.8707
22.5335,6.8597,6.8682,6.8682,-6.8682
22.7586,6.8600,6.8659,6.8659,-6.8659
22.9859,6.8600,6.8640,6.8640,-6.8640
23.2155,6.8600,6.8624,6.8624,-6.8624
23.4474,6.8699,6.8608,6.8608,-6.8608
23.6816,6.8700,6.8592,6.8592,-6.8592
23.9182,6.8700,6.8572,6.8572,-6.8572
24.1571,6.8601,6.8548,6.8548,-6.8548
24.3984,6.8600,6.8520,6.8520,-6.8520
24.6421,6.8600,6.8486,6.8486,-6.8486
24.8882,6.8501,6.8446,6.8446,-6.8446
25.1368,6.8500,6.8400,6.8400,-6.8400
25.3879,6.8401,6.8349,6.8349,-6.8349
25.6415,6.8400,6.8292,6.8292,-6.8292
25.8976,6.8305,6.8230,6.8230,-6.8230
26.1563,6.8201,6.8163,6.8163,-6.8163
26.4176,6.8105,6.8090,6.8090,-6.8090
26.6815,6.8003,6.8014,6.8014,-6.8014
26.9480,6.7904,6.7935,6.7935,-6.7935
27.2172,6.7805,6.7853,6.7853,-6.7853
27.4890,6.7800,6.7767,6.7767,-6.7767
27.7636,6.7702,6.7679,6.7679,-6.7679
28.0409,6.7700,6.7588,6.7588,-6.7588
28.3210,6.7603,6.7494,6.7494,-6.7494
28.6039,6.7506,6.7396,6.7396,-6.7396
28.8896,6.7404,6.7296,6.7296,-6.7296
29.1782,6.7208,6.7192,6.7192,-6.7192
29.4697,6.7104,6.7087,6.7087,-6.7087
29.7640,6.6911,6.6980,6.6980,-6.6980
30.0613,6.6806,6.6873,6.6873,-6.6873
30.3616,6.6706,6.6764,6.6764,-6.6764
30.6649,6.6605,6.6653,6.6653,-6.6653
30.9712,6.6506,6.6541,6.6541,-6.6541
31.2806,6.6500,6.6427,6.6427,-6.6427
31.5930,6.6405,6.6310,6.6310,-6.6310
31.9086,6.6307,6.6190,6.6190,-6.6190
32.2273,6.6108,6.6065,6.6065,-6.6065
32.5492,6.6006,6.5937,6.5937,-6.5937
32.8744,6.5905,6.5806,6.5806,-6.5806
33.2027,6.5710,6.5671,6.5671,-6.5671
33.5344,6.5605,6.5532,6.5532,-6.5532
33.8694,6.5412,6.5390,6.5390,-6.5390
34.2077,6.5307,6.5244,6.5244,-6.5244
34.5494,6.5112,6.5095,6.5095,-6.5095
34.8945,6.4915,6.4942,6.4942,-6.4942
35.2430,6.4808,6.4789,6.4789,-6.4789
35.5951,6.4614,6.4634,6.4634,-6.4634
35.9506,6.4411,6.4480,6.4480,-6.4480
36.3097,6.4306,6.4326,6.4326,-6.4326
36.6724,6.4207,6.4173,6.4173,-6.4173
37.0387,6.4012,6.4019,6.4019,-6.4019
37.4087,6.3906,6.3866,6.3866,-6.3866
37.7824,6.3715,6.3712,6.3712,-6.3712
38.1598,6.3516,6.3558,6.3558,-6.3558
38.5409,6.3408,6.3404,6.3404,-6.3404
38.9259,6.3213,6.3249,6.3249,-6.3249
