frequency,raw,smoothed,error,equalization
20.0000,12.5100,12.5227,12.5227,-12.5227
20.1998,12.5200,12.5219,12.5219,-12.5219
20.4015,12.5201,12.5205,12.5205,-12.5205
20.6053,12.5298,12.5183,12.5183,-12.5183
20.8112,12.5301,12.5153,12.5153,-12.5153
21.0190,12.5400,12.5114,12.5114,-12.5114
21.2290,12.5300,12.5067,12.5067,-12.5067
21.4410,12.5300,12.5012,12.5012,-12.5012
21.6552,12.5202,12.4949,12.4949,-12.4949
21.8715,12.5099,12.4879,12.4879,-12.4879
22.0900,12.5000,12.4803,12.4803,-12.4803
22.3106,12.4799,12.4719,12.4719,-12.4719
22.5335,12.4606,12.4631,12.4631,-12.4631
22.7586,12.4302,12.4543,12.4543,-12.4543
22.9859,12.4104,12.4460,12.4460,-12.4460
23.2155,12.4100,12.4386,12.4386,-12.4386
23.4474,12.4100,12.4321,12.4321,-12.4321
23.6816,12.4100,12.4264,12.4264,-12.4264
23.9182,12.4100,12.4217,12.4217,-12.4217
24.1571,12.4100,12.4179,12.4179,-12.4179
24.3984,12.4100,12.4150,12.4150,-12.4150
24.6421,12.4100,12.4128,12.4128,-12.4128
24.8882,12.4100,12.4113,12.4113,-12.4113
25.1368,12.4100,12.4104,12.4104,-12.4104
25.3879,12.4100,12.4098,12.4098,-12.4098
25.6415,12.4100,12.4092,12.4092,-12.4092
25.8976,12.4100,12.4081,12.4081,-12.4081
26.1563,12.4100,12.4062,12.4062,-12.4062
26.4176,12.4100,12.4037,12.4037,-12.4037
26.6815,12.4100,12.4003,12.4003,-12.4003
26.9480,12.4100,12.3963,12.3963,-12.3963
27.2172,12.4100,12.3915,12.3915,-12.3915
27.4890,12.4100,12.3860,12.3860,-12.3860
27.7636,12.4100,12.3797,12.3797,-12.3797
28.0409,12.4003,12.3726,12.3726,-12.3726
28.3210,12.3806,12.3647,12.3647,-12.3647
28.6039,12.3517,12.3561,12.3561,-12.3561
28.8896,12.3211,12.3471,12.3471,-12.3471
29.1782,12.3104,12.3380,12.3380,-12.3380
29.4697,12.3100,12.3290,12.3290,-12.3290
29.7640,12.3100,12.3196,12.3196,-12.3196
30.0613,12.3100,12.3091,12.3091,-12.3091
30.3616,12.3100,12.2968,12.2968,-12.2968
30.6649,12.3100,12.2824,12.2824,-12.2824
30.9712,12.3100,12.2662,12.2662,-12.2662
31.2806,12.2913,12.2489,12.2489,-12.2489
31.5930,12.2711,12.2311,12.2311,-12.2311
31.9086,12.2513,12.2129,12.2129,-12.2129
32.2273,12.2308,12.1946,12.1946,-12.1946
32.5492,12.2206,12.1762,12.1762,-12.1762
32.8744,12.2105,12.1576,12.1576,-12.1576
33.2027,12.1342,12.1391,12.1391,-12.1391
33.5344,12.0252,12.1217,12.1217,-12.1217
33.8694,11.9167,12.1070,12.1070,-12.1070
34.2077,11.9287,12.0969,12.0969,-12.0969
34.5494,12.0051,12.0916,12.0916,-12.0916
34.8945,12.0842,12.0908,12.0908,-12.0908
35.2430,12.1085,12.0926,12.0926,-12.0926
35.5951,12.1100,12.0949,12.0949,-12.0949
35.9506,12.1100,12.0961,12.0961,-12.0961
36.3097,12.1100,12.0961,12.0961,-12.0961
36.6724,12.1100,12.0951,12.0951,-12.0951
