frequency,raw,smoothed,error,equalization
20.0000,14.7100,14.8134,14.8134,-14.8134
20.1998,14.7400,14.8259,14.8259,-14.8259
20.4015,14.7702,14.8405,14.8405,-14.8405
20.6053,14.7993,14.8566,14.8566,-14.8566
20.8112,14.8301,14.8741,14.8741,-14.8741
21.0190,14.8499,14.8930,14.8930,-14.8930
21.2290,14.8799,14.9133,14.9133,-14.9133
21.4410,14.9101,14.9351,14.9351,-14.9351
21.6552,14.9393,14.9586,14.9586,-14.9586
21.8715,14.9703,14.9839,14.9839,-14.9839
22.0900,15.0100,15.0112,15.0112,-15.0112
22.3106,15.0401,15.0407,15.0407,-15.0407
22.5335,15.0692,15.0718,15.0718,-15.0718
22.7586,15.1097,15.1030,15.1030,-15.1030
22.9859,15.1395,15.1341,15.1341,-15.1341
23.2155,15.1694,15.1652,15.1652,-15.1652
23.4474,15.1997,15.1961,15.1961,-15.1961
23.6816,15.2290,15.2269,15.2269,-15.2269
23.9182,15.2598,15.2574,15.2574,-15.2574
24.1571,15.2896,15.2877,15.2877,-15.2877
24.3984,15.3198,15.3176,15.3176,-15.3176
24.6421,15.3491,15.3473,15.3473,-15.3473
24.8882,15.3798,15.3765,15.3765,-15.3765
25.1368,15.4096,15.4054,15.4054,-15.4054
25.3879,15.4398,15.4338,15.4338,-15.4338
25.6415,15.4690,15.4618,15.4618,-15.4618
25.8976,15.4986,15.4893,15.4893,-15.4893
26.1563,15.5197,15.5162,15.5162,-15.5162
26.4176,15.5486,15.5425,15.5425,-15.5425
26.6815,15.5790,15.5682,15.5682,-15.5682
26.9480,15.5991,15.5930,15.5930,-15.5930
27.2172,15.6286,15.6171,15.6171,-15.6171
27.4890,15.6492,15.6401,15.6401,-15.6401
27.7636,15.6695,15.6620,15.6620,-15.6620
28.0409,15.6990,15.6829,15.6829,-15.6829
28.3210,15.7194,15.7026,15.7026,-15.7026
28.6039,15.7389,15.7209,15.7209,-15.7209
28.8896,15.7593,15.7379,15.7379,-15.7379
29.1782,15.7696,15.7534,15.7534,-15.7534
29.4697,15.7893,15.7675,15.7675,-15.7675
29.7640,15.7995,15.7800,15.7800,-15.7800
30.0613,15.8094,15.7911,15.7911,-15.7911
30.3616,15.8194,15.8006,15.8006,-15.8006
30.6649,15.8200,15.8085,15.8085,-15.8085
30.9712,15.8294,15.8149,15.8149,-15.8149
31.2806,15.8394,15.8198,15.8198,-15.8198
31.5930,15.8400,15.8231,15.8231,-15.8231
31.9086,15.8400,15.8248,15.8248,-15.8248
32.2273,15.8400,15.8249,15.8249,-15.8249
32.5492,15.8400,15.8235,15.8235,-15.8235
32.8744,15.8400,15.8204,15.8204,-15.8204
33.2027,15.8400,15.8156,15.8156,-15.8156
33.5344,15.8305,15.8090,15.8090,-15.8090
33.8694,15.8206,15.8007,15.8007,-15.8007
34.2077,15.8107,15.7906,15.7906,-15.7906
34.5494,15.8006,15.7786,15.7786,-15.7786
34.8945,15.7907,15.7648,15.7648,-15.7648
35.2430,15.7715,15.7490,15.7490,-15.7490
35.5951,15.7514,15.7314,15.7314,-15.7314
35.9506,15.7311,15.7119,15.7119,-15.7119
36.3097,15.7111,15.6905,15.6905,-15.6905
36.6724,15.6915,15.6671,15.6671,-15.6671
37.0387,15.6618,15.6419,15.6419,-15.6419
37.4087,15.6317,15.6147,15.6147,-15.6147
37.7824,15.6115,15.5858,15.5858,-15.5858
38.1598,15.5732,15.5551,15.5551,-15.5551
38.5409,15.5423,15.5226,15.5226,-15.5226
38.9259,15.5119,15.4883,15.4883,-15.4883
39.3147,15.4726,15.4522,15.4522,-15.4522
39.7074,15.4333,15.4144,15.4144,-15.4144
40.1041,15.3936,15.3750,15.3750,-15.3750
40.5046,15.3535,15.3339,15.3339,-15.3339
40.9092,15.3038,15.2913,15.2913,-15.2913
41.3179,15.2631,15.2472,15.2472,-15.2472
41.7306,15.2136,15.2018,15.2018,-15.2018
42.1474,15.1731,15.1550,15.1550,-15.1550
42.5684,15.1238,15.1069,15.1069,-15.1069
42.9936,15.0742,15.0575,15.0575,-15.0575
43.4231,15.0152,15.0069,15.0069,-15.0069
43.8568,14.9649,14.9552,14.9552,-14.9552
44.2949,14.9141,14.9025,14.9025,-14.9025
44.7374,14.8557,14.8489,14.8489,-14.8489
45.1842,14.8051,14.7943,14.7943,-14.7943
45.6356,14.7459,14.7388,14.7388,-14.7388
46.0914,14.6943,14.6824,14.6824,-14.6824
46.5518,14.6362,14.6252,14.6252,-14.6252
47.0168,14.5756,14.5672,14.5672,-14.5672
47.4864,14.5156,14.5084,14.5084,-14.5084
47.9608,14.4562,14.4490,14.4490,-14.4490
48.4398,14.3963,14.3890,14.3890,-14.3890
48.9237,14.3358,14.3284,14.3284,-14.3284
49.4124,14.2758,14.2672,14.2672,-14.2672
49.9059,14.2076,14.2054,14.2054,-14.2054
50.4044,14.1467,14.1431,14.1431,-14.1431
50.9079,14.0862,14.0804,14.0804,-14.0804
51.4164,14.0174,14.0171,14.0171,-14.0171
