frequency,raw,smoothed,error,equalization
20.0000,4.1100,4.2660,4.2660,-4.2660
20.1998,4.1599,4.2836,4.2836,-4.2836
20.4015,4.2004,4.3035,4.3035,-4.3035
20.6053,4.2489,4.3253,4.3253,-4.3253
20.8112,4.2902,4.3485,4.3485,-4.3485
21.0190,4.3298,4.3730,4.3730,-4.3730
21.2290,4.3698,4.3988,4.3988,-4.3988
21.4410,4.4102,4.4259,4.4259,-4.4259
21.6552,4.4491,4.4546,4.4546,-4.4546
21.8715,4.4903,4.4848,4.4848,-4.4848
22.0900,4.5300,4.5169,4.5169,-4.5169
22.3106,4.5601,4.5510,4.5510,-4.5510
22.5335,4.5989,4.5864,4.5864,-4.5864
22.7586,4.6298,4.6210,4.6210,-4.6210
22.9859,4.6595,4.6549,4.6549,-4.6549
23.2155,4.6894,4.6882,4.6882,-4.6882
23.4474,4.7295,4.7209,4.7209,-4.7209
23.6816,4.7590,4.7531,4.7531,-4.7531
23.9182,4.7898,4.7847,4.7847,-4.7847
24.1571,4.8196,4.8158,4.8158,-4.8158
24.3984,4.8498,4.8464,4.8464,-4.8464
24.6421,4.8791,4.8765,4.8765,-4.8765
24.8882,4.9098,4.9063,4.9063,-4.9063
25.1368,4.9396,4.9357,4.9357,-4.9357
25.3879,4.9698,4.9646,4.9646,-4.9646
25.6415,4.9990,4.9931,4.9931,-4.9931
25.8976,5.0286,5.0212,5.0212,-5.0212
26.1563,5.0596,5.0486,5.0486,-5.0486
26.4176,5.0791,5.0755,5.0755,-5.0755
26.6815,5.1090,5.1019,5.1019,-5.1019
26.9480,5.1291,5.1279,5.1279,-5.1279
27.2172,5.1586,5.1534,5.1534,-5.1534
27.4890,5.1888,5.1784,5.1784,-5.1784
27.7636,5.2095,5.2029,5.2029,-5.2029
28.0409,5.2294,5.2269,5.2269,-5.2269
28.3210,5.2590,5.2503,5.2503,-5.2503
28.6039,5.2789,5.2732,5.2732,-5.2732
28.8896,5.2993,5.2956,5.2956,-5.2956
29.1782,5.3192,5.3176,5.3176,-5.3176
29.4697,5.3393,5.3391,5.3391,-5.3391
29.7640,5.3684,5.3602,5.3602,-5.3602
30.0613,5.3888,5.3808,5.3808,-5.3808
30.3616,5.4088,5.4008,5.4008,-5.4008
30.6649,5.4290,5.4202,5.4202,-5.4202
30.9712,5.4488,5.4391,5.4391,-5.4391
31.2806,5.4594,5.4575,5.4575,-5.4575
31.5930,5.4789,5.4754,5.4754,-5.4754
31.9086,5.4987,5.4927,5.4927,-5.4927
32.2273,5.5192,5.5096,5.5096,-5.5096
32.5492,5.5294,5.5259,5.5259,-5.5259
32.8744,5.5490,5.5418,5.5418,-5.5418
33.2027,5.5595,5.5571,5.5571,-5.5571
33.5344,5.5791,5.5719,5.5719,-5.5719
33.8694,5.5894,5.5861,5.5861,-5.5861
34.2077,5.6087,5.5999,5.5999,-5.5999
34.5494,5.6194,5.6131,5.6131,-5.6131
34.8945,5.6293,5.6257,5.6257,-5.6257
35.2430,5.6392,5.6378,5.6378,-5.6378
35.5951,5.6586,5.6492,5.6492,-5.6492
35.9506,5.6694,5.6599,5.6599,-5.6599
36.3097,5.6794,5.6699,5.6699,-5.6699
36.6724,5.6893,5.6792,5.6792,-5.6792
37.0387,5.6994,5.6877,5.6877,-5.6877
37.4087,5.7094,5.6955,5.6955,-5.6955
37.7824,5.7100,5.7026,5.7026,-5.7026
38.1598,5.7192,5.7090,5.7090,-5.7090
38.5409,5.7200,5.7148,5.7148,-5.7148
38.9259,5.7294,5.7202,5.7202,-5.7202
39.3147,5.7300,5.7250,5.7250,-5.7250
39.7074,5.7300,5.7294,5.7294,-5.7294
40.1041,5.7300,5.7334,5.7334,-5.7334
40.5046,5.7391,5.7373,5.7373,-5.7373
40.9092,5.7400,5.7409,5.7409,-5.7409
41.3179,5.7400,5.7443,5.7443,-5.7443
41.7306,5.7493,5.7474,5.7474,-5.7474
42.1474,5.7500,5.7504,5.7504,-5.7504
42.5684,5.7592,5.7530,5.7530,-5.7530
42.9936,5.7600,5.7553,5.7553,-5.7553
43.4231,5.7600,5.7573,5.7573,-5.7573
43.8568,5.7690,5.7588,5.7588,-5.7588
44.2949,5.7700,5.7599,5.7599,-5.7599
44.7374,5.7700,5.7604,5.7604,-5.7604
45.1842,5.7700,5.7603,5.7603,-5.7603
45.6356,5.7700,5.7596,5.7596,-5.7596
46.0914,5.7609,5.7583,5.7583,-5.7583
46.5518,5.7600,5.7564,5.7564,-5.7564
47.0168,5.7600,5.7540,5.7540,-5.7540
47.4864,5.7600,5.7511,5.7511,-5.7511
47.9608,5.7510,5.7475,5.7475,-5.7475
48.4398,5.7500,5.7434,5.7434,-5.7434
48.9237,5.7410,5.7387,5.7387,-5.7387
49.4124,5.7400,5.7334,5.7334,-5.7334
49.9059,5.7311,5.7276,5.7276,-5.7276
50.4044,5.7300,5.7212,5.7212,-5.7212
50.9079,5.7210,5.7142,5.7142,-5.7142
51.4164,5.7111,5.7066,5.7066,-5.7066
51.9300,5.7100,5.6985,5.6985,-5.6985
52.4487,5.7012,5.6896,5.6896,-5.6896
52.9726,5.6911,5.6800,5.6800,-5.6800
53.5018,5.6811,5.6698,5.6698,-5.6698
54.0362,5.6624,5.6589,5.6589,-5.6589
54.5759,5.6512,5.6475,5.6475,-5.6475
55.1211,5.6411,5.6356,5.6356,-5.6356
55.6717,5.6312,5.6232,5.6232,-5.6232
56.2278,5.6123,5.6102,5.6102,-5.6102
56.7894,5.6012,5.5967,5.5967,-5.5967
57.3567,5.5823,5.5827,5.5827,-5.5827
57.9296,5.5712,5.5683,5.5683,-5.5683
58.5082,5.5612,5.5535,5.5535,-5.5535
59.0927,5.5423,5.5382,5.5382,-5.5382
59.6829,5.5313,5.5224,5.5224,-5.5224
60.2791,5.5124,5.5062,5.5062,-5.5062
60.8812,5.4926,5.4895,5.4895,-5.4895
61.4893,5.4813,5.4724,5.4724,-5.4724
62.1035,5.4625,5.4548,5.4548,-5.4548
62.7239,5.4425,5.4368,5.4368,-5.4368
63.3504,5.4225,5.4183,5.4183,-5.4183
63.9832,5.4027,5.3994,5.3994,-5.3994
64.6223,5.3827,5.3801,5.3801,-5.3801
65.2678,5.3626,5.3604,5.3604,-5.3604
65.9198,5.3427,5.3403,5.3403,-5.3403
66.5782,5.3228,5.3198,5.3198,-5.3198
67.2433,5.3026,5.2989,5.2989,-5.2989
67.9149,5.2828,5.2776,5.2776,-5.2776
68.5933,5.2628,5.2560,5.2560,-5.2560
69.2785,5.2427,5.2339,5.2339,-5.2339
69.9705,5.2143,5.2113,5.2113,-5.2113
70.6694,5.1929,5.1883,5.1883,-5.1883
71.3753,5.1729,5.1648,5.1648,-5.1648
72.0883,5.1443,5.1409,5.1409,-5.1409
72.8083,5.1228,5.1165,5.1165,-5.1165
73.5356,5.0943,5.0916,5.0916,-5.0916
74.2701,5.0730,5.0664,5.0664,-5.0664
75.0120,5.0444,5.0406,5.0406,-5.0406
75.7613,5.0229,5.0144,5.0144,-5.0144
76.5180,4.9944,4.9878,4.9878,-4.9878
77.2824,4.9646,4.9607,4.9607,-4.9607
78.0543,4.9345,4.9333,4.9333,-4.9333
78.8340,4.9045,4.9055,4.9055,-4.9055
79.6214,4.8830,4.8774,4.8774,-4.8774
80.4168,4.8546,4.8489,4.8489,-4.8489
81.2200,4.8248,4.8201,4.8201,-4.8201
82.0313,4.7948,4.7908,4.7908,-4.7908
82.8507,4.7647,4.7613,4.7613,-4.7613
83.6783,4.7348,4.7314,4.7314,-4.7314
84.5141,4.7049,4.7011,4.7011,-4.7011
85.3583,4.6750,4.6705,4.6705,-4.6705
86.2109,4.6449,4.6396,4.6396,-4.6396
87.0721,4.6151,4.6083,4.6083,-4.6083
87.9418,4.5768,4.5765,4.5765,-4.5765
88.8203,4.5451,4.5444,4.5444,-4.5444
89.7075,4.5151,4.5119,4.5119,-4.5119
90.6035,4.4852,4.4791,4.4791,-4.4791
91.5085,4.4550,4.4459,4.4459,-4.4459
92.4226,4.4168,4.4122,4.4122,-4.4122
93.3458,4.3853,4.3781,4.3781,-4.3781
94.2782,4.3470,4.3436,4.3436,-4.3436
95.2199,4.3154,4.3086,4.3086,-4.3086
96.1711,4.2771,4.2732,4.2732,-4.2732
97.1317,4.2370,4.2374,4.2374,-4.2374
98.1019,4.2055,4.2013,4.2013,-4.2013
99.0818,4.1673,4.1649,4.1649,-4.1649
100.0715,4.1354,4.1282,4.1282,-4.1282
101.0711,4.0972,4.0912,4.0912,-4.0912
102.0807,4.0574,4.0540,4.0540,-4.0540
103.1004,4.0174,4.0167,4.0167,-4.0167
104.1302,3.9855,3.9794,3.9794,-3.9794
105.1703,3.9395,3.9420,3.9420,-3.9420
106.2209,3.8976,3.9045,3.9045,-3.9045
107.2819,3.8575,3.8670,3.8670,-3.8670
108.3535,3.8257,3.8295,3.8295,-3.8295
109.4358,3.7876,3.7918,3.7918,-3.7918
110.5289,3.7558,3.7539,3.7539,-3.7539
111.6330,3.7178,3.7158,3.7158,-3.7158
112.7481,3.6859,3.6773,3.6773,-3.6773
113.8743,3.6480,3.6385,3.6385,-3.6385
115.0118,3.6160,3.5993,3.5993,-3.5993
116.1606,3.5780,3.5597,3.5597,-3.5597
117.3209,3.5299,3.5194,3.5194,-3.5194
118.4928,3.4880,3.4787,3.4787,-3.4787
119.6764,3.4402,3.4376,3.4376,-3.4376
120.8718,3.3903,3.3961,3.3961,-3.3961
122.0792,3.3483,3.3545,3.3545,-3.3545
123.2986,3.3082,3.3127,3.3127,-3.3127
124.5302,3.2684,3.2708,3.2708,-3.2708
125.7741,3.2283,3.2287,3.2287,-3.2287
127.0304,3.1882,3.1866,3.1866,-3.1866
128.2993,3.1485,3.1443,3.1443,-3.1443
129.5808,3.1005,3.1020,3.1020,-3.1020
130.8752,3.0585,3.0597,3.0597,-3.0597
132.1825,3.0185,3.0175,3.0175,-3.0175
133.5028,2.9786,2.9751,2.9751,-2.9751
134.8363,2.9385,2.9327,2.9327,-2.9327
136.1832,2.8909,2.8901,2.8901,-2.8901
137.5435,2.8487,2.8473,2.8473,-2.8473
138.9174,2.8088,2.8044,2.8044,-2.8044
140.3050,2.7610,2.7612,2.7612,-2.7612
141.7065,2.7189,2.7180,2.7180,-2.7180
143.1220,2.6790,2.6747,2.6747,-2.6747
144.5516,2.6311,2.6312,2.6312,-2.6312
145.9955,2.5890,2.5877,2.5877,-2.5877
147.4538,2.5412,2.5441,2.5441,-2.5441
148.9267,2.4990,2.5005,2.5005,-2.5005
150.4143,2.4590,2.4570,2.4570,-2.4570
151.9167,2.4114,2.4134,2.4134,-2.4134
153.4342,2.3691,2.3698,2.3698,-2.3698
154.9668,2.3292,2.3262,2.3262,-2.3262
156.5147,2.2817,2.2826,2.2826,-2.2826
158.0781,2.2393,2.2390,2.2390,-2.2390
159.6571,2.1917,2.1954,2.1954,-2.1954
161.2519,2.1495,2.1518,2.1518,-2.1518
162.8626,2.1094,2.1082,2.1082,-2.1082
164.4894,2.0695,2.0646,2.0646,-2.0646
166.1324,2.0220,2.0208,2.0208,-2.0208
167.7919,1.9796,1.9769,1.9769,-1.9769
169.4679,1.9320,1.9329,1.9329,-1.9329
171.1607,1.8896,1.8889,1.8889,-1.8889
172.8704,1.8498,1.8449,1.8449,-1.8449
174.5972,1.8022,1.8008,1.8008,-1.8008
176.3412,1.7598,1.7567,1.7567,-1.7567
178.1026,1.7124,1.7125,1.7125,-1.7125
179.8816,1.6623,1.6684,1.6684,-1.6684
181.6784,1.6200,1.6245,1.6245,-1.6245
183.4932,1.5800,1.5806,1.5806,-1.5806
185.3261,1.5326,1.5368,1.5368,-1.5368
187.1772,1.4902,1.4932,1.4932,-1.4932
189.0469,1.4501,1.4497,1.4497,-1.4497
190.9352,1.4028,1.4064,1.4064,-1.4064
192.8425,1.3602,1.3631,1.3631,-1.3631
194.7687,1.3203,1.3200,1.3200,-1.3200
196.7142,1.2804,1.2771,1.2771,-1.2771
198.6792,1.2330,1.2342,1.2342,-1.2342
200.6637,1.1904,1.1915,1.1915,-1.1915
202.6681,1.1504,1.1489,1.1489,-1.1489
204.6925,1.1032,1.1064,1.1064,-1.1064
206.7371,1.0606,1.0641,1.0641,-1.0641
208.8022,1.0206,1.0220,1.0220,-1.0220
210.8879,0.9806,0.9800,0.9800,-0.9800
212.9944,0.9333,0.9382,0.9382,-0.9382
215.1219,0.8907,0.8967,0.8967,-0.8967
217.2707,0.8507,0.8554,0.8554,-0.8554
219.4410,0.8108,0.8145,0.8145,-0.8145
221.6329,0.7709,0.7739,0.7739,-0.7739
223.8468,0.7309,0.7335,0.7335,-0.7335
226.0827,0.6910,0.6934,0.6934,-0.6934
228.3410,0.6510,0.6534,0.6534,-0.6534
230.6219,0.6110,0.6137,0.6137,-0.6137
232.9255,0.5711,0.5742,0.5742,-0.5742
235.2521,0.5311,0.5349,0.5349,-0.5349
237.6020,0.4912,0.4958,0.4958,-0.4958
239.9754,0.4584,0.4569,0.4569,-0.4569
242.3724,0.4212,0.4181,0.4181,-0.4181
244.7934,0.3813,0.3793,0.3793,-0.3793
247.2386,0.3413,0.3405,0.3405,-0.3405
249.7082,0.3013,0.3017,0.3017,-0.3017
252.2025,0.2614,0.2631,0.2631,-0.2631
254.7217,0.2215,0.2246,0.2246,-0.2246
257.2661,0.1815,0.1863,0.1863,-0.1863
259.8358,0.1487,0.1482,0.1482,-0.1482
262.4313,0.1116,0.1103,0.1103,-0.1103
265.0527,0.0717,0.0724,0.0724,-0.0724
267.7002,0.0317,0.0347,0.0347,-0.0347
270.3742,-0.0083,-0.0029,-0.0029,0.0029
273.0749,-0.0483,-0.0401,-0.0401,0.0401
275.8026,-0.0812,-0.0771,-0.0771,0.0771
278.5575,-0.1181,-0.1137,-0.1137,0.1137
281.3400,-0.1511,-0.1501,-0.1501,0.1501
284.1502,-0.1881,-0.1862,-0.1862,0.1862
286.9885,-0.2210,-0.2221,-0.2221,0.2221
289.8552,-0.2580,-0.2577,-0.2577,0.2577
292.7505,-0.2979,-0.2931,-0.2931,0.2931
295.6747,-0.3309,-0.3282,-0.3282,0.3282
298.6281,-0.3678,-0.3628,-0.3628,0.3628
301.6111,-0.4008,-0.3971,-0.3971,0.3971
304.6238,-0.4377,-0.4310,-0.4310,0.4310
307.6666,-0.4708,-0.4645,-0.4645,0.4645
310.7398,-0.5007,-0.4977,-0.4977,0.4977
313.8437,-0.5376,-0.5304,-0.5304,0.5304
316.9786,-0.5707,-0.5628,-0.5628,0.5628
320.1449,-0.6006,-0.5947,-0.5947,0.5947
323.3427,-0.6306,-0.6262,-0.6262,0.6262
326.5725,-0.6606,-0.6572,-0.6572,0.6572
329.8346,-0.6905,-0.6879,-0.6879,0.6879
333.1292,-0.7205,-0.7182,-0.7182,0.7182
336.4568,-0.7505,-0.7481,-0.7481,0.7481
339.8176,-0.7804,-0.7777,-0.7777,0.7777
343.2119,-0.8104,-0.8069,-0.8069,0.8069
346.6402,-0.8403,-0.8359,-0.8359,0.8359
350.1027,-0.8703,-0.8645,-0.8645,0.8645
353.5998,-0.9003,-0.8927,-0.8927,0.8927
357.1318,-0.9235,-0.9205,-0.9205,0.9205
360.6991,-0.9502,-0.9480,-0.9480,0.9480
364.3021,-0.9802,-0.9752,-0.9752,0.9752
367.9410,-1.0034,-1.0020,-1.0020,1.0020
