frequency,raw,smoothed,error,equalization
20.0000,6.0300,6.0907,6.0907,-6.0907
20.1998,6.0500,6.0974,6.0974,-6.0974
20.4015,6.0601,6.1048,6.1048,-6.1048
20.6053,6.0796,6.1128,6.1128,-6.1128
20.8112,6.1001,6.1213,6.1213,-6.1213
21.0190,6.1199,6.1301,6.1301,-6.1301
21.2290,6.1399,6.1389,6.1389,-6.1389
21.4410,6.1500,6.1477,6.1477,-6.1477
21.6552,6.1598,6.1566,6.1566,-6.1566
21.8715,6.1801,6.1656,6.1656,-6.1656
22.0900,6.1900,6.1747,6.1747,-6.1747
22.3106,6.2000,6.1839,6.1839,-6.1839
22.5335,6.2000,6.1928,6.1928,-6.1928
22.7586,6.2099,6.2009,6.2009,-6.2009
22.9859,6.2198,6.2081,6.2081,-6.2081
23.2155,6.2298,6.2146,6.2146,-6.2146
23.4474,6.2300,6.2204,6.2204,-6.2204
23.6816,6.2300,6.2255,6.2255,-6.2255
23.9182,6.2300,6.2303,6.2303,-6.2303
24.1571,6.2300,6.2350,6.2350,-6.2350
24.3984,6.2399,6.2395,6.2395,-6.2395
24.6421,6.2400,6.2440,6.2440,-6.2440
24.8882,6.2400,6.2485,6.2485,-6.2485
25.1368,6.2499,6.2532,6.2532,-6.2532
25.3879,6.2500,6.2578,6.2578,-6.2578
25.6415,6.2597,6.2625,6.2625,-6.2625
25.8976,6.2695,6.2671,6.2671,-6.2671
26.1563,6.2700,6.2715,6.2715,-6.2715
26.4176,6.2795,6.2758,6.2758,-6.2758
26.6815,6.2897,6.2798,6.2798,-6.2798
26.9480,6.2900,6.2833,6.2833,-6.2833
27.2172,6.2995,6.2863,6.2863,-6.2863
27.4890,6.3000,6.2886,6.2886,-6.2886
27.7636,6.3098,6.2902,6.2902,-6.2902
28.0409,6.3003,6.2910,6.2910,-6.2910
28.3210,6.3000,6.2911,6.2911,-6.2911
28.6039,6.3000,6.2905,6.2905,-6.2905
28.8896,6.2904,6.2893,6.2893,-6.2893
29.1782,6.2900,6.2876,6.2876,-6.2876
29.4697,6.2900,6.2854,6.2854,-6.2854
29.7640,6.2900,6.2827,6.2827,-6.2827
30.0613,6.2806,6.2794,6.2794,-6.2794
30.3616,6.2800,6.2758,6.2758,-6.2758
30.6649,6.2705,6.2718,6.2718,-6.2718
30.9712,6.2700,6.2675,6.2675,-6.2675
31.2806,6.2606,6.2629,6.2629,-6.2629
31.5930,6.2600,6.2581,6.2581,-6.2581
31.9086,6.2600,6.2529,6.2529,-6.2529
32.2273,6.2600,6.2472,6.2472,-6.2472
32.5492,6.2506,6.2408,6.2408,-6.2408
32.8744,6.2405,6.2337,6.2337,-6.2337
33.2027,6.2305,6.2262,6.2262,-6.2262
33.5344,6.2205,6.2181,6.2181,-6.2181
33.8694,6.2200,6.2095,6.2095,-6.2095
34.2077,6.2107,6.2005,6.2005,-6.2005
34.5494,6.2006,6.1909,6.1909,-6.1909
34.8945,6.1907,6.1808,6.1808,-6.1808
35.2430,6.1808,6.1702,6.1702,-6.1702
35.5951,6.1614,6.1592,6.1592,-6.1592
35.9506,6.1411,6.1477,6.1477,-6.1477
36.3097,6.1306,6.1359,6.1359,-6.1359
36.6724,6.1207,6.1236,6.1236,-6.1236
37.0387,6.1106,6.1110,6.1110,-6.1110
37.4087,6.1006,6.0978,6.0978,-6.0978
37.7824,6.0907,6.0843,6.0843,-6.0843
38.1598,6.0808,6.0704,6.0704,-6.0704
38.5409,6.0708,6.0563,6.0563,-6.0563
38.9259,6.0606,6.0417,6.0417,-6.0417
39.3147,6.0506,6.0268,6.0268,-6.0268
39.7074,6.0224,6.0114,6.0114,-6.0114
40.1041,5.9927,5.9955,5.9955,-5.9955
40.5046,5.9627,5.9793,5.9793,-5.9793
40.9092,5.9415,5.9629,5.9629,-5.9629
41.3179,5.9308,5.9463,5.9463,-5.9463
41.7306,5.9207,5.9297,5.9297,-5.9297
42.1474,5.9200,5.9128,5.9128,-5.9128
42.5684,5.9108,5.8956,5.8956,-5.8956
42.9936,5.9008,5.8780,5.8780,-5.8780
43.4231,5.8817,5.8599,5.8599,-5.8599
43.8568,5.8620,5.8412,5.8412,-5.8412
44.2949,5.8324,5.8221,5.8221,-5.8221
44.7374,5.8028,5.8028,5.8028,-5.8028
45.1842,5.7731,5.7834,5.7834,-5.7834
45.6356,5.7520,5.7638,5.7638,-5.7638
46.0914,5.7317,5.7439,5.7439,-5.7439
46.5518,5.7210,5.7238,5.7238,-5.7238
47.0168,5.7109,5.7033,5.7033,-5.7033
47.4864,5.6919,5.6823,5.6823,-5.6823
47.9608,5.6631,5.6609,5.6609,-5.6609
48.4398,5.6421,5.6392,5.6392,-5.6392
48.9237,5.6219,5.6174,5.6174,-5.6174
49.4124,5.6019,5.5955,5.5955,-5.5955
49.9059,5.5911,5.5735,5.5735,-5.5735
50.4044,5.5633,5.5511,5.5511,-5.5511
50.9079,5.5331,5.5283,5.5283,-5.5283
51.4164,5.5032,5.5052,5.5052,-5.5052
51.9300,5.4823,5.4818,5.4818,-5.4818
52.4487,5.4535,5.4581,5.4581,-5.4581
52.9726,5.4233,5.4342,5.4342,-5.4342
53.5018,5.4022,5.4101,5.4101,-5.4101
54.0362,5.3824,5.3859,5.3859,-5.3859
54.5759,5.3624,5.3614,5.3614,-5.3614
55.1211,5.3511,5.3367,5.3367,-5.3367
55.6717,5.3237,5.3116,5.3116,-5.3116
