frequency,raw,smoothed,error,equalization
20.0000,7.1300,7.1750,7.1750,-7.1750
20.1998,7.1400,7.1801,7.1801,-7.1801
20.4015,7.1601,7.1859,7.1859,-7.1859
20.6053,7.1698,7.1920,7.1920,-7.1920
20.8112,7.1801,7.1984,7.1984,-7.1984
21.0190,7.1900,7.2051,7.2051,-7.2051
21.2290,7.2099,7.2120,7.2120,-7.2120
21.4410,7.2200,7.2192,7.2192,-7.2192
21.6552,7.2298,7.2267,7.2267,-7.2267
21.8715,7.2401,7.2347,7.2347,-7.2347
22.0900,7.2500,7.2431,7.2431,-7.2431
22.3106,7.2600,7.2521,7.2521,-7.2521
22.5335,7.2697,7.2615,7.2615,-7.2615
22.7586,7.2700,7.2704,7.2704,-7.2704
22.9859,7.2700,7.2792,7.2792,-7.2792
23.2155,7.2798,7.2880,7.2880,-7.2880
23.4474,7.2899,7.2967,7.2967,-7.2967
23.6816,7.2997,7.3053,7.3053,-7.3053
23.9182,7.3099,7.3138,7.3138,-7.3138
24.1571,7.3298,7.3224,7.3224,-7.3224
24.3984,7.3399,7.3308,7.3308,-7.3308
24.6421,7.3497,7.3390,7.3390,-7.3390
24.8882,7.3599,7.3470,7.3470,-7.3470
25.1368,7.3600,7.3547,7.3547,-7.3547
25.3879,7.3600,7.3622,7.3622,-7.3622
25.6415,7.3697,7.3696,7.3696,-7.3696
25.8976,7.3700,7.3768,7.3768,-7.3768
26.1563,7.3799,7.3839,7.3839,-7.3839
26.4176,7.3895,7.3906,7.3906,-7.3906
26.6815,7.3997,7.3970,7.3970,-7.3970
26.9480,7.4096,7.4030,7.4030,-7.4030
27.2172,7.4195,7.4086,7.4086,-7.4086
27.4890,7.4200,7.4138,7.4138,-7.4138
27.7636,7.4298,7.4186,7.4186,-7.4186
28.0409,7.4300,7.4230,7.4230,-7.4230
28.3210,7.4300,7.4272,7.4272,-7.4272
28.6039,7.4394,7.4313,7.4313,-7.4313
28.8896,7.4400,7.4350,7.4350,-7.4350
29.1782,7.4400,7.4386,7.4386,-7.4386
29.4697,7.4400,7.4421,7.4421,-7.4421
29.7640,7.4400,7.4455,7.4455,-7.4455
30.0613,7.4400,7.4489,7.4489,-7.4489
30.3616,7.4494,7.4524,7.4524,-7.4524
30.6649,7.4500,7.4561,7.4561,-7.4561
30.9712,7.4500,7.4598,7.4598,-7.4598
31.2806,7.4594,7.4637,7.4637,-7.4637
31.5930,7.4695,7.4677,7.4677,-7.4677
31.9086,7.4793,7.4717,7.4717,-7.4717
32.2273,7.4800,7.4755,7.4755,-7.4755
32.5492,7.4894,7.4791,7.4791,-7.4791
32.8744,7.4900,7.4824,7.4824,-7.4824
33.2027,7.4900,7.4854,7.4854,-7.4854
33.5344,7.4900,7.4881,7.4881,-7.4881
33.8694,7.4900,7.4906,7.4906,-7.4906
34.2077,7.4993,7.4927,7.4927,-7.4927
34.5494,7.5000,7.4944,7.4944,-7.4944
34.8945,7.5000,7.4958,7.4958,-7.4958
35.2430,7.5000,7.4968,7.4968,-7.4968
35.5951,7.5000,7.4976,7.4976,-7.4976
35.9506,7.5000,7.4981,7.4981,-7.4981
36.3097,7.5000,7.4985,7.4985,-7.4985
36.6724,7.5000,7.4986,7.4986,-7.4986
37.0387,7.5000,7.4987,7.4987,-7.4987
37.4087,7.5000,7.4985,7.4985,-7.4985
37.7824,7.5000,7.4982,7.4982,-7.4982
38.1598,7.4908,7.4978,7.4978,-7.4978
38.5409,7.4992,7.4975,7.4975,-7.4975
38.9259,7.5000,7.4972,7.4972,-7.4972
39.3147,7.5000,7.4968,7.4968,-7.4968
39.7074,7.5000,7.4963,7.4963,-7.4963
40.1041,7.5000,7.4957,7.4957,-7.4957
40.5046,7.4909,7.4948,7.4948,-7.4948
40.9092,7.4900,7.4937,7.4937,-7.4937
41.3179,7.4900,7.4925,7.4925,-7.4925
41.7306,7.4900,7.4912,7.4912,-7.4912
42.1474,7.4900,7.4898,7.4898,-7.4898
42.5684,7.4992,7.4884,7.4884,-7.4884
42.9936,7.5000,7.4867,7.4867,-7.4867
43.4231,7.4909,7.4847,7.4847,-7.4847
43.8568,7.4900,7.4826,7.4826,-7.4826
44.2949,7.4900,7.4803,7.4803,-7.4803
44.7374,7.4719,7.4778,7.4778,-7.4778
45.1842,7.4610,7.4753,7.4753,-7.4753
45.6356,7.4600,7.4729,7.4729,-7.4729
46.0914,7.4600,7.4706,7.4706,-7.4706
46.5518,7.4690,7.4682,7.4682,-7.4682
47.0168,7.4700,7.4656,7.4656,-7.4656
47.4864,7.4700,7.4628,7.4628,-7.4628
47.9608,7.4700,7.4597,7.4597,-7.4597
48.4398,7.4700,7.4563,7.4563,-7.4563
48.9237,7.4610,7.4527,7.4527,-7.4527
49.4124,7.4510,7.4488,7.4488,-7.4488
49.9059,7.4500,7.4448,7.4448,-7.4448
50.4044,7.4411,7.4406,7.4406,-7.4406
50.9079,7.4400,7.4362,7.4362,-7.4362
51.4164,7.4311,7.4316,7.4316,-7.4316
51.9300,7.4212,7.4267,7.4267,-7.4267
52.4487,7.4200,7.4218,7.4218,-7.4218
52.9726,7.4111,7.4169,7.4169,-7.4169
53.5018,7.4100,7.4120,7.4120,-7.4120
54.0362,7.4100,7.4070,7.4070,-7.4070
54.5759,7.4012,7.4020,7.4020,-7.4020
55.1211,7.4000,7.3968,7.3968,-7.3968
55.6717,7.3912,7.3915,7.3915,-7.3915
56.2278,7.3900,7.3860,7.3860,-7.3860
56.7894,7.3812,7.3803,7.3803,-7.3803
57.3567,7.3800,7.3744,7.3744,-7.3744
57.9296,7.3800,7.3683,7.3683,-7.3683
58.5082,7.3712,7.3619,7.3619,-7.3619
59.0927,7.3612,7.3551,7.3551,-7.3551
59.6829,7.3513,7.3480,7.3480,-7.3480
60.2791,7.3412,7.3407,7.3407,-7.3407
60.8812,7.3313,7.3332,7.3332,-7.3332
61.4893,7.3213,7.3254,7.3254,-7.3254
62.1035,7.3113,7.3176,7.3176,-7.3176
