frequency,raw,smoothed,error,equalization
20.0000,-4.3900,-4.2203,-4.2203,4.2203
20.1998,-4.3301,-4.2022,-4.2022,4.2022
20.4015,-4.2796,-4.1815,-4.1815,4.1815
20.6053,-4.2311,-4.1585,-4.1585,4.1585
20.8112,-4.1898,-4.1336,-4.1336,4.1336
21.0190,-4.1502,-4.1065,-4.1065,4.1065
21.2290,-4.1102,-4.0768,-4.0768,4.0768
21.4410,-4.0798,-4.0442,-4.0442,4.0442
21.6552,-4.0409,-4.0081,-4.0081,4.0081
21.8715,-3.9997,-3.9676,-3.9676,3.9676
22.0900,-3.9600,-3.9223,-3.9223,3.9223
22.3106,-3.9199,-3.8714,-3.8714,3.8714
22.5335,-3.8714,-3.8155,-3.8155,3.8155
22.7586,-3.8203,-3.7572,-3.7572,3.7572
22.9859,-3.7512,-3.6964,-3.6964,3.6964
23.2155,-3.6814,-3.6337,-3.6337,3.6337
23.4474,-3.6108,-3.5694,-3.5694,3.5694
23.6816,-3.5231,-3.5041,-3.5041,3.5041
23.9182,-3.4307,-3.4384,-3.4384,3.4384
24.1571,-3.3411,-3.3727,-3.3727,3.3727
24.3984,-3.2506,-3.3077,-3.3077,3.3077
24.6421,-3.1725,-3.2438,-3.2438,3.2438
24.8882,-3.1104,-3.1813,-3.1813,3.1813
25.1368,-3.0606,-3.1203,-3.1203,3.1203
25.3879,-3.0203,-3.0609,-3.0609,3.0609
25.6415,-2.9910,-3.0031,-3.0031,3.0031
25.8976,-2.9614,-2.9467,-2.9467,2.9467
26.1563,-2.9304,-2.8916,-2.8916,2.8916
26.4176,-2.8918,-2.8376,-2.8376,2.8376
26.6815,-2.8223,-2.7847,-2.7847,2.7847
26.9480,-2.7531,-2.7331,-2.7331,2.7331
27.2172,-2.6738,-2.6831,-2.6831,2.6831
27.4890,-2.5932,-2.6350,-2.6350,2.6350
27.7636,-2.5217,-2.5891,-2.5891,2.5891
28.0409,-2.4619,-2.5456,-2.5456,2.5456
28.3210,-2.4213,-2.5048,-2.5048,2.5048
28.6039,-2.3917,-2.4664,-2.4664,2.4664
28.8896,-2.3707,-2.4303,-2.4303,2.4303
29.1782,-2.3604,-2.3962,-2.3962,2.3962
29.4697,-2.3600,-2.3637,-2.3637,2.3637
29.7640,-2.3505,-2.3323,-2.3323,2.3323
30.0613,-2.3312,-2.3015,-2.3015,2.3015
30.3616,-2.3112,-2.2708,-2.2708,2.2708
30.6649,-2.2910,-2.2398,-2.2398,2.2398
30.9712,-2.2524,-2.2079,-2.2079,2.2079
31.2806,-2.2125,-2.1749,-2.1749,2.1749
31.5930,-2.1627,-2.1406,-2.1406,2.1406
31.9086,-2.1133,-2.1050,-2.1050,2.1050
32.2273,-2.0620,-2.0682,-2.0682,2.0682
32.5492,-2.0131,-2.0303,-2.0303,2.0303
32.8744,-1.9720,-1.9915,-1.9915,1.9915
33.2027,-1.9416,-1.9519,-1.9519,1.9519
33.5344,-1.9019,-1.9115,-1.9115,1.9115
33.8694,-1.8718,-1.8704,-1.8704,1.8704
34.2077,-1.8420,-1.8285,-1.8285,1.8285
34.5494,-1.8118,-1.7858,-1.7858,1.7858
34.8945,-1.7729,-1.7423,-1.7423,1.7423
35.2430,-1.7331,-1.6983,-1.6983,1.6983
35.5951,-1.6836,-1.6539,-1.6539,1.6539
35.9506,-1.6328,-1.6093,-1.6093,1.6093
36.3097,-1.5734,-1.5649,-1.5649,1.5649
36.6724,-1.5145,-1.5210,-1.5210,1.5210
37.0387,-1.4535,-1.4779,-1.4779,1.4779
37.4087,-1.3935,-1.4360,-1.4360,1.4360
37.7824,-1.3436,-1.3957,-1.3957,1.3957
38.1598,-1.2940,-1.3570,-1.3570,1.3570
38.5409,-1.2623,-1.3203,-1.3203,1.3203
38.9259,-1.2413,-1.2854,-1.2854,1.2854
39.3147,-1.2213,-1.2524,-1.2524,1.2524
39.7074,-1.2108,-1.2210,-1.2210,1.2210
40.1041,-1.2009,-1.1910,-1.1910,1.1910
40.5046,-1.1909,-1.1620,-1.1620,1.1620
40.9092,-1.1623,-1.1338,-1.1338,1.1338
41.3179,-1.1324,-1.1061,-1.1061,1.1061
41.7306,-1.0929,-1.0788,-1.0788,1.0788
42.1474,-1.0531,-1.0520,-1.0520,1.0520
42.5684,-1.0038,-1.0258,-1.0258,1.0258
42.9936,-0.9725,-1.0002,-1.0002,1.0002
43.4231,-0.9426,-0.9754,-0.9754,0.9754
43.8568,-0.9220,-0.9516,-0.9516,0.9516
44.2949,-0.9016,-0.9288,-0.9288,0.9288
44.7374,-0.8909,-0.9073,-0.9073,0.9073
45.1842,-0.8720,-0.8869,-0.8869,0.8869
45.6356,-0.8610,-0.8678,-0.8678,0.8678
46.0914,-0.8417,-0.8499,-0.8499,0.8499
46.5518,-0.8310,-0.8327,-0.8327,0.8327
47.0168,-0.8119,-0.8161,-0.8161,0.8161
47.4864,-0.7919,-0.7996,-0.7996,0.7996
47.9608,-0.7721,-0.7829,-0.7829,0.7829
48.4398,-0.7610,-0.7658,-0.7658,0.7658
48.9237,-0.7600,-0.7478,-0.7478,0.7478
49.4124,-0.7510,-0.7287,-0.7287,0.7287
49.9059,-0.7500,-0.7082,-0.7082,0.7082
50.4044,-0.7322,-0.6861,-0.6861,0.6861
50.9079,-0.7121,-0.6624,-0.6624,0.6624
51.4164,-0.6742,-0.6372,-0.6372,0.6372
51.9300,-0.6346,-0.6109,-0.6109,0.6109
52.4487,-0.5947,-0.5839,-0.5839,0.5839
52.9726,-0.5455,-0.5566,-0.5566,0.5566
53.5018,-0.5133,-0.5294,-0.5294,0.5294
54.0362,-0.4747,-0.5024,-0.5024,0.5024
54.5759,-0.4436,-0.4760,-0.4760,0.4760
55.1211,-0.4133,-0.4502,-0.4502,0.4502
55.6717,-0.3924,-0.4254,-0.4254,0.4254
56.2278,-0.3723,-0.4016,-0.4016,0.4016
56.7894,-0.3612,-0.3786,-0.3786,0.3786
57.3567,-0.3511,-0.3564,-0.3564,0.3564
57.9296,-0.3500,-0.3346,-0.3346,0.3346
58.5082,-0.3325,-0.3128,-0.3128,0.3128
59.0927,-0.3123,-0.2910,-0.2910,0.2910
59.6829,-0.2926,-0.2690,-0.2690,0.2690
60.2791,-0.2636,-0.2469,-0.2469,0.2469
60.8812,-0.2426,-0.2248,-0.2248,0.2248
61.4893,-0.2140,-0.2029,-0.2029,0.2029
62.1035,-0.1838,-0.1812,-0.1812,0.1812
62.7239,-0.1449,-0.1600,-0.1600,0.1600
63.3504,-0.1138,-0.1395,-0.1395,0.1395
63.9832,-0.0841,-0.1198,-0.1198,0.1198
64.6223,-0.0541,-0.1012,-0.1012,0.1012
65.2678,-0.0413,-0.0838,-0.0838,0.0838
65.9198,-0.0314,-0.0677,-0.0677,0.0677
66.5782,-0.0300,-0.0528,-0.0528,0.0528
67.2433,-0.0300,-0.0386,-0.0386,0.0386
67.9149,-0.0386,-0.0249,-0.0249,0.0249
68.5933,-0.0400,-0.0112,-0.0112,0.0112
69.2785,-0.0313,0.0028,0.0028,-0.0028
69.9705,-0.0128,0.0174,0.0174,-0.0174
70.6694,0.0071,0.0326,0.0326,-0.0326
71.3753,0.0356,0.0483,0.0483,-0.0483
72.0883,0.0571,0.0643,0.0643,-0.0643
72.8083,0.0772,0.0807,0.0807,-0.0807
73.5356,0.0971,0.0973,0.0973,-0.0973
74.2701,0.1170,0.1137,0.1137,-0.1137
75.0120,0.1456,0.1298,0.1298,-0.1298
75.7613,0.1671,0.1450,0.1450,-0.1450
76.5180,0.1871,0.1590,0.1590,-0.1590
77.2824,0.2069,0.1714,0.1714,-0.1714
78.0543,0.2185,0.1819,0.1819,-0.1819
78.8340,0.2200,0.1905,0.1905,-0.1905
79.6214,0.2200,0.1973,0.1973,-0.1973
80.4168,0.2285,0.2025,0.2025,-0.2025
81.2200,0.2300,0.2061,0.2061,-0.2061
82.0313,0.2216,0.2083,0.2083,-0.2083
82.8507,0.2200,0.2093,0.2093,-0.2093
83.6783,0.2116,0.2095,0.2095,-0.2095
84.5141,0.2016,0.2092,0.2092,-0.2092
85.3583,0.2000,0.2088,0.2088,-0.2088
86.2109,0.1916,0.2086,0.2086,-0.2086
87.0721,0.1983,0.2085,0.2085,-0.2085
87.9418,0.2000,0.2086,0.2086,-0.2086
88.8203,0.2083,0.2088,0.2088,-0.2088
89.7075,0.2017,0.2088,0.2088,-0.2088
90.6035,0.2000,0.2088,0.2088,-0.2088
91.5085,0.2000,0.2087,0.2087,-0.2087
92.4226,0.2083,0.2085,0.2085,-0.2085
93.3458,0.2265,0.2079,0.2079,-0.2079
94.2782,0.2383,0.2064,0.2064,-0.2064
95.2199,0.2400,0.2035,0.2035,-0.2035
