frequency,raw,smoothed,error,equalization
20.0000,4.4200,4.5009,4.5009,-4.5009
20.1998,4.4400,4.5103,4.5103,-4.5103
20.4015,4.4702,4.5212,4.5212,-4.5212
20.6053,4.4993,4.5332,4.5332,-4.5332
20.8112,4.5201,4.5460,4.5460,-4.5460
21.0190,4.5300,4.5596,4.5596,-4.5596
21.2290,4.5499,4.5742,4.5742,-4.5742
21.4410,4.5701,4.5899,4.5899,-4.5899
21.6552,4.5896,4.6068,4.6068,-4.6068
21.8715,4.6201,4.6250,4.6250,-4.6250
22.0900,4.6400,4.6446,4.6446,-4.6446
22.3106,4.6701,4.6657,4.6657,-4.6657
22.5335,4.6894,4.6877,4.6877,-4.6877
22.7586,4.7099,4.7095,4.7095,-4.7095
22.9859,4.7395,4.7311,4.7311,-4.7311
23.2155,4.7596,4.7523,4.7523,-4.7523
23.4474,4.7798,4.7731,4.7731,-4.7731
23.6816,4.7993,4.7934,4.7934,-4.7934
23.9182,4.8198,4.8132,4.8132,-4.8132
24.1571,4.8398,4.8327,4.8327,-4.8327
24.3984,4.8599,4.8520,4.8520,-4.8520
24.6421,4.8794,4.8714,4.8714,-4.8714
24.8882,4.8999,4.8909,4.8909,-4.8909
25.1368,4.9099,4.9107,4.9107,-4.9107
25.3879,4.9298,4.9308,4.9308,-4.9308
25.6415,4.9397,4.9512,4.9512,-4.9512
25.8976,4.9495,4.9717,4.9717,-4.9717
26.1563,4.9599,4.9925,4.9925,-4.9925
26.4176,4.9791,5.0134,5.0134,-5.0134
26.6815,5.0090,5.0344,5.0344,-5.0344
26.9480,5.0482,5.0554,5.0554,-5.0554
27.2172,5.0976,5.0759,5.0759,-5.0759
27.4890,5.1384,5.0953,5.0953,-5.0953
27.7636,5.1693,5.1134,5.1134,-5.1134
28.0409,5.1894,5.1299,5.1299,-5.1299
28.3210,5.1900,5.1445,5.1445,-5.1445
28.6039,5.1900,5.1576,5.1576,-5.1576
28.8896,5.1804,5.1694,5.1694,-5.1694
29.1782,5.1800,5.1802,5.1802,-5.1802
29.4697,5.1800,5.1903,5.1903,-5.1903
29.7640,5.1895,5.1997,5.1997,-5.1997
30.0613,5.1994,5.2086,5.2086,-5.2086
