frequency,raw,smoothed,error,equalization
20.0000,6.3100,6.4932,6.4932,-6.4932
20.1998,6.3599,6.5149,6.5149,-6.5149
20.4015,6.4104,6.5398,6.5398,-6.5398
20.6053,6.4687,6.5673,6.5673,-6.5673
20.8112,6.5203,6.5970,6.5970,-6.5970
21.0190,6.5698,6.6286,6.6286,-6.6286
21.2290,6.6198,6.6623,6.6623,-6.6623
21.4410,6.6702,6.6982,6.6982,-6.6982
21.6552,6.7189,6.7364,6.7364,-6.7364
21.8715,6.7703,6.7773,6.7773,-6.7773
22.0900,6.8200,6.8212,6.8212,-6.8212
22.3106,6.8701,6.8686,6.8686,-6.8686
22.5335,6.9186,6.9183,6.9183,-6.9183
22.7586,6.9697,6.9678,6.9678,-6.9678
22.9859,7.0191,7.0171,7.0171,-7.0171
23.2155,7.0690,7.0661,7.0661,-7.0661
23.4474,7.1194,7.1149,7.1149,-7.1149
23.6816,7.1683,7.1633,7.1633,-7.1633
23.9182,7.2196,7.2113,7.2113,-7.2113
24.1571,7.2595,7.2589,7.2589,-7.2589
24.3984,7.3097,7.3062,7.3062,-7.3062
24.6421,7.3584,7.3530,7.3530,-7.3530
24.8882,7.4096,7.3994,7.3994,-7.3994
25.1368,7.4495,7.4452,7.4452,-7.4452
25.3879,7.4996,7.4905,7.4905,-7.4905
25.6415,7.5387,7.5352,7.5352,-7.5352
25.8976,7.5876,7.5794,7.5794,-7.5794
26.1563,7.6294,7.6231,7.6231,-7.6231
26.4176,7.6682,7.6662,7.6662,-7.6662
26.6815,7.7184,7.7089,7.7089,-7.7089
26.9480,7.7582,7.7510,7.7510,-7.7510
27.2172,7.7981,7.7925,7.7925,-7.7925
27.4890,7.8384,7.8335,7.8335,-7.8335
27.7636,7.8791,7.8740,7.8740,-7.8740
28.0409,7.9187,7.9140,7.9140,-7.9140
28.3210,7.9587,7.9534,7.9534,-7.9534
28.6039,7.9978,7.9924,7.9924,-7.9924
