frequency,raw,smoothed,error,equalization
20.0000,4.2100,4.2921,4.2921,-4.2921
20.1998,4.2400,4.2994,4.2994,-4.2994
20.4015,4.2701,4.3076,4.3076,-4.3076
20.6053,4.2896,4.3163,4.3163,-4.3163
20.8112,4.3101,4.3254,4.3254,-4.3254
21.0190,4.3299,4.3350,4.3350,-4.3350
21.2290,4.3499,4.3449,4.3449,-4.3449
21.4410,4.3600,4.3553,4.3553,-4.3553
21.6552,4.3698,4.3661,4.3661,-4.3661
21.8715,4.3800,4.3777,4.3777,-4.3777
22.0900,4.3800,4.3902,4.3902,-4.3902
22.3106,4.3901,4.4038,4.4038,-4.4038
22.5335,4.4094,4.4182,4.4182,-4.4182
22.7586,4.4199,4.4325,4.4325,-4.4325
22.9859,4.4396,4.4468,4.4468,-4.4468
23.2155,4.4596,4.4611,4.4611,-4.4611
23.4474,4.4798,4.4754,4.4754,-4.4754
23.6816,4.4993,4.4897,4.4897,-4.4897
23.9182,4.5099,4.5039,4.5039,-4.5039
24.1571,4.5298,4.5181,4.5181,-4.5181
24.3984,4.5399,4.5322,4.5322,-4.5322
24.6421,4.5497,4.5461,4.5461,-4.5461
24.8882,4.5599,4.5598,4.5598,-4.5598
25.1368,4.5699,4.5733,4.5733,-4.5733
25.3879,4.5799,4.5866,4.5866,-4.5866
25.6415,4.5993,4.5998,4.5998,-4.5998
25.8976,4.6095,4.6128,4.6128,-4.6128
26.1563,4.6297,4.6257,4.6257,-4.6257
26.4176,4.6395,4.6384,4.6384,-4.6384
26.6815,4.6593,4.6510,4.6510,-4.6510
26.9480,4.6696,4.6634,4.6634,-4.6634
27.2172,4.6795,4.6755,4.6755,-4.6755
27.4890,4.6896,4.6874,4.6874,-4.6874
27.7636,4.6998,4.6991,4.6991,-4.6991
28.0409,4.7097,4.7105,4.7105,-4.7105
28.3210,4.7197,4.7218,4.7218,-4.7218
28.6039,4.7389,4.7328,4.7328,-4.7328
28.8896,4.7496,4.7435,4.7435,-4.7435
29.1782,4.7596,4.7539,4.7539,-4.7539
29.4697,4.7696,4.7640,4.7640,-4.7640
29.7640,4.7795,4.7739,4.7739,-4.7739
30.0613,4.7894,4.7836,4.7836,-4.7836
30.3616,4.7900,4.7931,4.7931,-4.7931
30.6649,4.7995,4.8027,4.8027,-4.8027
30.9712,4.8094,4.8122,4.8122,-4.8122
31.2806,4.8194,4.8216,4.8216,-4.8216
31.5930,4.8295,4.8309,4.8309,-4.8309
31.9086,4.8393,4.8401,4.8401,-4.8401
32.2273,4.8496,4.8491,4.8491,-4.8491
32.5492,4.8594,4.8579,4.8579,-4.8579
32.8744,4.8695,4.8667,4.8667,-4.8667
33.2027,4.8795,4.8752,4.8752,-4.8752
33.5344,4.8895,4.8836,4.8836,-4.8836
33.8694,4.8994,4.8919,4.8919,-4.8919
34.2077,4.9093,4.8998,4.8998,-4.8998
34.5494,4.9100,4.9075,4.9075,-4.9075
34.8945,4.9193,4.9150,4.9150,-4.9150
35.2430,4.9200,4.9223,4.9223,-4.9223
35.5951,4.9293,4.9294,4.9294,-4.9294
35.9506,4.9300,4.9364,4.9364,-4.9364
