frequency,raw,smoothed,error,equalization
20.0000,16.5400,16.4816,16.4816,-16.4816
20.1998,16.5300,16.4731,16.4731,-16.4731
20.4015,16.5099,16.4631,16.4631,-16.4631
20.6053,16.5002,16.4520,16.4520,-16.4520
20.8112,16.4799,16.4395,16.4395,-16.4395
21.0190,16.4601,16.4257,16.4257,-16.4257
21.2290,16.4401,16.4106,16.4106,-16.4106
21.4410,16.4199,16.3940,16.3940,-16.3940
21.6552,16.3907,16.3760,16.3760,-16.3760
21.8715,16.3698,16.3563,16.3563,-16.3563
22.0900,16.3400,16.3348,16.3348,-16.3348
22.3106,16.3199,16.3114,16.3114,-16.3114
22.5335,16.2908,16.2863,16.2863,-16.2863
22.7586,16.2701,16.2608,16.2608,-16.2608
22.9859,16.2405,16.2349,16.2349,-16.2349
23.2155,16.2106,16.2087,16.2087,-16.2087
23.4474,16.1803,16.1825,16.1825,-16.1825
23.6816,16.1510,16.1563,16.1563,-16.1563
23.9182,16.1202,16.1303,16.1303,-16.1303
24.1571,16.1002,16.1048,16.1048,-16.1048
24.3984,16.0702,16.0795,16.0795,-16.0795
24.6421,16.0506,16.0546,16.0546,-16.0546
24.8882,16.0202,16.0300,16.0300,-16.0300
25.1368,16.0003,16.0058,16.0058,-16.0058
25.3879,15.9802,15.9820,15.9820,-15.9820
25.6415,15.9510,15.9584,15.9584,-15.9584
25.8976,15.9310,15.9352,15.9352,-15.9352
26.1563,15.9103,15.9122,15.9122,-15.9122
26.4176,15.8909,15.8892,15.8892,-15.8892
26.6815,15.8707,15.8662,15.8662,-15.8662
26.9480,15.8509,15.8430,15.8430,-15.8430
27.2172,15.8214,15.8195,15.8195,-15.8195
27.4890,15.8008,15.7956,15.7956,-15.7956
27.7636,15.7805,15.7713,15.7713,-15.7713
28.0409,15.7510,15.7465,15.7465,-15.7465
28.3210,15.7306,15.7212,15.7212,-15.7212
28.6039,15.7017,15.6953,15.6953,-15.6953
28.8896,15.6807,15.6688,15.6688,-15.6688
29.1782,15.6512,15.6415,15.6415,-15.6415
29.4697,15.6211,15.6134,15.6134,-15.6134
29.7640,15.5916,15.5847,15.5847,-15.5847
30.0613,15.5619,15.5553,15.5553,-15.5553
30.3616,15.5318,15.5253,15.5253,-15.5253
30.6649,15.5015,15.4948,15.4948,-15.4948
30.9712,15.4718,15.4638,15.4638,-15.4638
31.2806,15.4419,15.4324,15.4324,-15.4324
31.5930,15.4022,15.4007,15.4007,-15.4007
31.9086,15.3720,15.3687,15.3687,-15.3687
32.2273,15.3412,15.3365,15.3365,-15.3365
32.5492,15.3025,15.3041,15.3041,-15.3041
32.8744,15.2620,15.2717,15.2717,-15.2717
33.2027,15.2316,15.2395,15.2395,-15.2395
33.5344,15.2014,15.2074,15.2074,-15.2074
33.8694,15.1718,15.1754,15.1754,-15.1754
34.2077,15.1420,15.1435,15.1435,-15.1435
34.5494,15.1118,15.1117,15.1117,-15.1117
34.8945,15.0822,15.0799,15.0799,-15.0799
35.2430,15.0523,15.0481,15.0481,-15.0481
35.5951,15.0221,15.0162,15.0162,-15.0162
35.9506,14.9822,14.9842,14.9842,-14.9842
36.3097,14.9517,14.9521,14.9521,-14.9521
36.6724,14.9222,14.9199,14.9199,-14.9199
37.0387,14.8918,14.8875,14.8875,-14.8875
37.4087,14.8617,14.8547,14.8547,-14.8547
37.7824,14.8229,14.8215,14.8215,-14.8215
38.1598,14.7924,14.7880,14.7880,-14.7880
38.5409,14.7623,14.7542,14.7542,-14.7542
38.9259,14.7225,14.7200,14.7200,-14.7200
39.3147,14.6919,14.6855,14.6855,-14.6855
39.7074,14.6533,14.6508,14.6508,-14.6508
40.1041,14.6227,14.6158,14.6158,-14.6158
40.5046,14.5835,14.5806,14.5806,-14.5806
40.9092,14.5431,14.5452,14.5452,-14.5452
41.3179,14.5124,14.5097,14.5097,-14.5097
41.7306,14.4729,14.4740,14.4740,-14.4740
42.1474,14.4331,14.4383,14.4383,-14.4383
42.5684,14.4023,14.4026,14.4026,-14.4026
42.9936,14.3634,14.3668,14.3668,-14.3668
43.4231,14.3326,14.3309,14.3309,-14.3309
43.8568,14.2939,14.2949,14.2949,-14.2949
44.2949,14.2624,14.2587,14.2587,-14.2587
44.7374,14.2238,14.2224,14.2224,-14.2224
45.1842,14.1931,14.1858,14.1858,-14.1858
45.6356,14.1540,14.1491,14.1491,-14.1491
46.0914,14.1134,14.1122,14.1122,-14.1122
46.5518,14.0831,14.0750,14.0750,-14.0750
47.0168,14.0438,14.0376,14.0376,-14.0376
47.4864,14.0037,13.9999,13.9999,-13.9999
47.9608,13.9641,13.9619,13.9619,-13.9619
48.4398,13.9242,13.9236,13.9236,-13.9236
48.9237,13.8839,13.8852,13.8852,-13.8852
49.4124,13.8439,13.8465,13.8465,-13.8465
49.9059,13.8043,13.8076,13.8076,-13.8076
50.4044,13.7733,13.7684,13.7684,-13.7684
50.9079,13.7342,13.7289,13.7289,-13.7289
51.4164,13.6942,13.6890,13.6890,-13.6890
51.9300,13.6546,13.6486,13.6486,-13.6486
52.4487,13.6147,13.6077,13.6077,-13.6077
52.9726,13.5744,13.5663,13.5663,-13.5663
53.5018,13.5344,13.5244,13.5244,-13.5244
54.0362,13.4947,13.4818,13.4818,-13.4818
54.5759,13.4459,13.4385,13.4385,-13.4385
55.1211,13.4044,13.3946,13.3946,-13.3946
55.6717,13.3561,13.3500,13.3500,-13.3500
56.2278,13.3145,13.3047,13.3047,-13.3047
56.7894,13.2662,13.2588,13.2588,-13.2588
57.3567,13.2157,13.2123,13.2123,-13.2123
57.9296,13.1661,13.1652,13.1652,-13.1652
58.5082,13.1249,13.1177,13.1177,-13.1177
59.0927,13.0758,13.0695,13.0695,-13.0695
59.6829,13.0264,13.0210,13.0210,-13.0210
60.2791,12.9760,12.9719,12.9719,-12.9719
60.8812,12.9265,12.9224,12.9224,-12.9224
61.4893,12.8766,12.8726,12.8726,-12.8726
62.1035,12.8263,12.8223,12.8223,-12.8223
62.7239,12.7761,12.7717,12.7717,-12.7717
63.3504,12.7263,12.7207,12.7207,-12.7207
63.9832,12.6768,12.6694,12.6694,-12.6694
64.6223,12.6182,12.6176,12.6176,-12.6176
65.2678,12.5664,12.5655,12.5655,-12.5655
65.9198,12.5168,12.5130,12.5130,-12.5130
66.5782,12.4670,12.4602,12.4602,-12.4602
67.2433,12.4079,12.4070,12.4070,-12.4070
67.9149,12.3570,12.3535,12.3535,-12.3535
68.5933,12.3071,12.2996,12.2996,-12.2996
69.2785,12.2481,12.2453,12.2453,-12.2453
69.9705,12.1971,12.1907,12.1907,-12.1907
70.6694,12.1386,12.1357,12.1357,-12.1357
71.3753,12.0874,12.0803,12.0803,-12.0803
72.0883,12.0286,12.0246,12.0246,-12.0246
72.8083,11.9685,11.9685,11.9685,-11.9685
73.5356,11.9172,11.9122,11.9122,-11.9122
74.2701,11.8589,11.8555,11.8555,-11.8555
75.0120,11.7988,11.7986,11.7986,-11.7986
75.7613,11.7472,11.7414,11.7414,-11.7414
76.5180,11.6888,11.6839,11.6839,-11.6839
77.2824,11.6292,11.6259,11.6259,-11.6259
78.0543,11.5690,11.5677,11.5677,-11.5677
78.8340,11.5089,11.5092,11.5092,-11.5092
79.6214,11.4490,11.4505,11.4505,-11.4505
80.4168,11.3977,11.3916,11.3916,-11.3916
81.2200,11.3396,11.3324,11.3324,-11.3324
82.0313,11.2795,11.2729,11.2729,-11.2729
82.8507,11.2195,11.2130,11.2130,-11.2130
83.6783,11.1595,11.1529,11.1529,-11.1529
84.5141,11.0913,11.0924,11.0924,-11.0924
85.3583,11.0300,11.0316,11.0316,-11.0316
86.2109,10.9698,10.9707,10.9707,-10.9707
87.0721,10.9102,10.9096,10.9096,-10.9096
87.9418,10.8502,10.8482,10.8482,-10.8482
88.8203,10.7902,10.7865,10.7865,-10.7865
89.7075,10.7303,10.7245,10.7245,-10.7245
90.6035,10.6704,10.6621,10.6621,-10.6621
91.5085,10.6018,10.5993,10.5993,-10.5993
92.4226,10.5403,10.5362,10.5362,-10.5362
93.3458,10.4806,10.4727,10.4727,-10.4727
94.2782,10.4122,10.4088,10.4088,-10.4088
95.2199,10.3507,10.3446,10.3446,-10.3446
96.1711,10.2824,10.2799,10.2799,-10.2799
97.1317,10.2205,10.2147,10.2147,-10.2147
98.1019,10.1527,10.1492,10.1492,-10.1492
99.0818,10.0909,10.0832,10.0832,-10.0832
100.0715,10.0226,10.0169,10.0169,-10.0169
101.0711,9.9525,9.9502,9.9502,-9.9502
102.0807,9.8830,9.8832,9.8832,-9.8832
103.1004,9.8212,9.8160,9.8160,-9.8160
104.1302,9.7529,9.7485,9.7485,-9.7485
105.1703,9.6833,9.6807,9.6807,-9.6807
106.2209,9.6133,9.6127,9.6127,-9.6127
107.2819,9.5431,9.5445,9.5445,-9.5445
108.3535,9.4734,9.4761,9.4761,-9.4761
109.4358,9.4113,9.4076,9.4076,-9.4076
110.5289,9.3434,9.3389,9.3389,-9.3389
111.6330,9.2737,9.2700,9.2700,-9.2700
112.7481,9.2039,9.2008,9.2008,-9.2008
113.8743,9.1340,9.1314,9.1314,-9.1314
115.0118,9.0640,9.0618,9.0618,-9.0618
116.1606,8.9940,8.9919,8.9919,-8.9919
117.3209,8.9238,8.9217,8.9217,-8.9217
118.4928,8.8541,8.8512,8.8512,-8.8512
119.6764,8.7843,8.7805,8.7805,-8.7805
120.8718,8.7145,8.7094,8.7094,-8.7094
122.0792,8.6445,8.6379,8.6379,-8.6379
123.2986,8.5744,8.5661,8.5661,-8.5661
124.5302,8.4968,8.4938,8.4938,-8.4938
125.7741,8.4244,8.4213,8.4213,-8.4213
127.0304,8.3544,8.3485,8.3485,-8.3485
128.2993,8.2769,8.2753,8.2753,-8.2753
129.5808,8.2047,8.2018,8.2018,-8.2018
130.8752,8.1269,8.1280,8.1280,-8.1280
132.1825,8.0548,8.0539,8.0539,-8.0539
133.5028,7.9851,7.9796,7.9796,-7.9796
134.8363,7.9071,7.9050,7.9050,-7.9050
136.1832,7.8353,7.8300,7.8300,-7.8300
137.5435,7.7574,7.7548,7.7548,-7.7548
138.9174,7.6853,7.6794,7.6794,-7.6794
140.3050,7.6076,7.6037,7.6037,-7.6037
141.7065,7.5278,7.5277,7.5277,-7.5277
143.1220,7.4557,7.4516,7.4516,-7.4516
144.5516,7.3778,7.3751,7.3751,-7.3751
145.9955,7.2979,7.2984,7.2984,-7.2984
147.4538,7.2256,7.2214,7.2214,-7.2214
148.9267,7.1480,7.1441,7.1441,-7.1441
150.4143,7.0680,7.0666,7.0666,-7.0666
151.9167,6.9882,6.9888,6.9888,-6.9888
153.4342,6.9159,6.9108,6.9108,-6.9108
154.9668,6.8383,6.8325,6.8325,-6.8325
156.5147,6.7587,6.7539,6.7539,-6.7539
158.0781,6.6786,6.6749,6.6749,-6.6749
159.6571,6.5988,6.5957,6.5957,-6.5957
161.2519,6.5189,6.5162,6.5162,-6.5162
162.8626,6.4388,6.4363,6.4363,-6.4363
164.4894,6.3591,6.3562,6.3562,-6.3562
166.1324,6.2793,6.2758,6.2758,-6.2758
167.7919,6.1992,6.1951,6.1951,-6.1951
169.4679,6.1191,6.1142,6.1142,-6.1142
171.1607,6.0393,6.0329,6.0329,-6.0329
172.8704,5.9520,5.9513,5.9513,-5.9513
174.5972,5.8696,5.8696,5.8696,-5.8696
176.3412,5.7896,5.7877,5.7877,-5.7877
178.1026,5.7098,5.7056,5.7056,-5.7056
179.8816,5.6222,5.6234,5.6234,-5.6234
181.6784,5.5400,5.5411,5.5411,-5.5411
183.4932,5.4601,5.4587,5.4587,-5.4587
185.3261,5.3802,5.3762,5.3762,-5.3762
187.1772,5.2929,5.2935,5.2935,-5.2935
189.0469,5.2102,5.2107,5.2107,-5.2107
190.9352,5.1304,5.1279,5.1279,-5.1279
192.8425,5.0430,5.0450,5.0450,-5.0450
194.7687,4.9607,4.9622,4.9622,-4.9622
196.7142,4.8808,4.8793,4.8793,-4.8793
198.6792,4.8007,4.7965,4.7965,-4.7965
200.6637,4.7133,4.7135,4.7135,-4.7135
202.6681,4.6308,4.6306,4.6306,-4.6306
204.6925,4.5511,4.5477,4.5477,-4.5477
206.7371,4.4638,4.4649,4.4649,-4.4649
208.8022,4.3738,4.3822,4.3822,-4.3822
210.8879,4.2985,4.2999,4.2999,-4.2999
212.9944,4.2140,4.2178,4.2178,-4.2178
215.1219,4.1313,4.1360,4.1360,-4.1360
217.2707,4.0515,4.0546,4.0546,-4.0546
219.4410,3.9716,3.9736,3.9736,-3.9736
221.6329,3.8844,3.8931,3.8931,-3.8931
223.8468,3.8017,3.8131,3.8131,-3.8131
226.0827,3.7219,3.7338,3.7338,-3.7338
228.3410,3.6492,3.6551,3.6551,-3.6551
230.6219,3.5719,3.5768,3.5768,-3.5768
232.9255,3.4922,3.4990,3.4990,-3.4990
235.2521,3.4122,3.4217,3.4217,-3.4217
237.6020,3.3395,3.3447,3.3447,-3.3447
239.9754,3.2623,3.2681,3.2681,-3.2681
242.3724,3.1897,3.1916,3.1916,-3.1916
244.7934,3.1198,3.1154,3.1154,-3.1154
247.2386,3.0426,3.0391,3.0391,-3.0391
249.7082,2.9698,2.9629,2.9629,-2.9629
252.2025,2.8929,2.8866,2.8866,-2.8866
254.7217,2.8130,2.8101,2.8101,-2.8101
