frequency,raw,smoothed,error,equalization
20.0000,18.4800,18.4800,18.4800,-18.4800
20.1998,18.4800,18.4800,18.4800,-18.4800
20.4015,18.4800,18.4800,18.4800,-18.4800
20.6053,18.4800,18.4800,18.4800,-18.4800
20.8112,18.4800,18.4800,18.4800,-18.4800
21.0190,18.4800,18.4800,18.4800,-18.4800
21.2290,18.4800,18.4800,18.4800,-18.4800
21.4410,18.4800,18.4802,18.4802,-18.4802
21.6552,18.4800,18.4803,18.4803,-18.4803
21.8715,18.4800,18.4804,18.4804,-18.4804
22.0900,18.4800,18.4804,18.4804,-18.4804
22.3106,18.4800,18.4802,18.4802,-18.4802
22.5335,18.4800,18.4797,18.4797,-18.4797
22.7586,18.4800,18.4791,18.4791,-18.4791
22.9859,18.4800,18.4784,18.4784,-18.4784
23.2155,18.4800,18.4777,18.4777,-18.4777
23.4474,18.4800,18.4769,18.4769,-18.4769
23.6816,18.4897,18.4762,18.4762,-18.4762
23.9182,18.4900,18.4753,18.4753,-18.4753
24.1571,18.4801,18.4743,18.4743,-18.4743
24.3984,18.4701,18.4732,18.4732,-18.4732
24.6421,18.4603,18.4724,18.4724,-18.4724
24.8882,18.4501,18.4718,18.4718,-18.4718
25.1368,18.4500,18.4716,18.4716,-18.4716
25.3879,18.4599,18.4719,18.4719,-18.4719
25.6415,18.4697,18.4725,18.4725,-18.4725
25.8976,18.4795,18.4732,18.4732,-18.4732
26.1563,18.4800,18.4739,18.4739,-18.4739
26.4176,18.4800,18.4747,18.4747,-18.4747
26.6815,18.4800,18.4755,18.4755,-18.4755
26.9480,18.4800,18.4763,18.4763,-18.4763
27.2172,18.4800,18.4773,18.4773,-18.4773
27.4890,18.4800,18.4784,18.4784,-18.4784
27.7636,18.4800,18.4797,18.4797,-18.4797
28.0409,18.4800,18.4810,18.4810,-18.4810
28.3210,18.4800,18.4818,18.4818,-18.4818
28.6039,18.4800,18.4819,18.4819,-18.4819
28.8896,18.4800,18.4811,18.4811,-18.4811
29.1782,18.4800,18.4796,18.4796,-18.4796
29.4697,18.4800,18.4773,18.4773,-18.4773
29.7640,18.4800,18.4743,18.4743,-18.4743
30.0613,18.4800,18.4706,18.4706,-18.4706
30.3616,18.4988,18.4661,18.4661,-18.4661
30.6649,18.5095,18.4606,18.4606,-18.4606
30.9712,18.5194,18.4540,18.4540,-18.4540
31.2806,18.4825,18.4460,18.4460,-18.4460
31.5930,18.4327,18.4372,18.4372,-18.4372
31.9086,18.3927,18.4284,18.4284,-18.4284
32.2273,18.3804,18.4203,18.4203,-18.4203
32.5492,18.3800,18.4128,18.4128,-18.4128
32.8744,18.3800,18.4056,18.4056,-18.4056
33.2027,18.3800,18.3985,18.3985,-18.3985
33.5344,18.3800,18.3912,18.3912,-18.3912
33.8694,18.3800,18.3833,18.3833,-18.3833
34.2077,18.3800,18.3746,18.3746,-18.3746
34.5494,18.3800,18.3652,18.3652,-18.3652
34.8945,18.3800,18.3554,18.3554,-18.3554
35.2430,18.3800,18.3449,18.3449,-18.3449
35.5951,18.3893,18.3336,18.3336,-18.3336
35.9506,18.3900,18.3210,18.3210,-18.3210
36.3097,18.3523,18.3069,18.3069,-18.3069
36.6724,18.3130,18.2918,18.2918,-18.2918
37.0387,18.2724,18.2762,18.2762,-18.2762
37.4087,18.2323,18.2603,18.2603,-18.2603
37.7824,18.1836,18.2445,18.2445,-18.2445
38.1598,18.1616,18.2294,18.2294,-18.2294
38.5409,18.1692,18.2154,18.2154,-18.2154
38.9259,18.1794,18.2020,18.2020,-18.2020
39.3147,18.1800,18.1888,18.1888,-18.1888
39.7074,18.1800,18.1755,18.1755,-18.1755
40.1041,18.1800,18.1620,18.1620,-18.1620
40.5046,18.1891,18.1482,18.1482,-18.1482
40.9092,18.1992,18.1337,18.1337,-18.1337
41.3179,18.1631,18.1180,18.1180,-18.1180
41.7306,18.1136,18.1012,18.1012,-18.1012
42.1474,18.0823,18.0837,18.0837,-18.0837
42.5684,18.0800,18.0657,18.0657,-18.0657
42.9936,18.0800,18.0469,18.0469,-18.0469
43.4231,18.0343,18.0272,18.0272,-18.0272
43.8568,17.9849,18.0075,18.0075,-18.0075
44.2949,17.9616,17.9880,17.9880,-17.9880
44.7374,17.9419,17.9685,17.9685,-17.9685
45.1842,17.9220,17.9489,17.9489,-17.9489
45.6356,17.9020,17.9294,17.9294,-17.9294
46.0914,17.8817,17.9104,17.9104,-17.9104
46.5518,17.8800,17.8922,17.8922,-17.8922
47.0168,17.8800,17.8744,17.8744,-17.8744
47.4864,17.8800,17.8565,17.8565,-17.8565
47.9608,17.8800,17.8383,17.8383,-17.8383
48.4398,17.8800,17.8195,17.8195,-17.8195
48.9237,17.8800,17.7997,17.7997,-17.7997
49.4124,17.7987,17.7784,17.7784,-17.7784
49.9059,17.7008,17.7562,17.7562,-17.7562
50.4044,17.6811,17.7343,17.7343,-17.7343
50.9079,17.6800,17.7123,17.7123,-17.7123
51.4164,17.6800,17.6899,17.6899,-17.6899
51.9300,17.6800,17.6669,17.6669,-17.6669
52.4487,17.6624,17.6431,17.6431,-17.6431
52.9726,17.6511,17.6186,17.6186,-17.6186
53.5018,17.6144,17.5934,17.5934,-17.5934
54.0362,17.5835,17.5676,17.5676,-17.5676
54.5759,17.5536,17.5410,17.5410,-17.5410
55.1211,17.5322,17.5141,17.5141,-17.5141
55.6717,17.5037,17.4869,17.4869,-17.4869
56.2278,17.4557,17.4591,17.4591,-17.4591
56.7894,17.3974,17.4307,17.4307,-17.4307
57.3567,17.3811,17.4022,17.4022,-17.4022
57.9296,17.3800,17.3732,17.3732,-17.3732
58.5082,17.3712,17.3435,17.3435,-17.3435
59.0927,17.3523,17.3131,17.3131,-17.3131
