frequency,raw,smoothed,error,equalization
20.0000,9.4900,9.4973,9.4973,-9.4973
20.1998,9.4900,9.4979,9.4979,-9.4979
20.4015,9.5000,9.4987,9.4987,-9.4987
20.6053,9.5000,9.4995,9.4995,-9.4995
20.8112,9.5000,9.5002,9.5002,-9.5002
21.0190,9.5000,9.5010,9.5010,-9.5010
21.2290,9.5000,9.5017,9.5017,-9.5017
21.4410,9.5000,9.5025,9.5025,-9.5025
21.6552,9.5000,9.5033,9.5033,-9.5033
21.8715,9.5001,9.5042,9.5042,-9.5042
22.0900,9.5100,9.5051,9.5051,-9.5051
22.3106,9.5100,9.5061,9.5061,-9.5061
22.5335,9.5100,9.5068,9.5068,-9.5068
22.7586,9.5100,9.5074,9.5074,-9.5074
22.9859,9.5100,9.5078,9.5078,-9.5078
23.2155,9.5100,9.5080,9.5080,-9.5080
23.4474,9.5100,9.5079,9.5079,-9.5079
23.6816,9.5100,9.5076,9.5076,-9.5076
23.9182,9.5100,9.5071,9.5071,-9.5071
24.1571,9.5100,9.5063,9.5063,-9.5063
24.3984,9.5100,9.5052,9.5052,-9.5052
24.6421,9.5100,9.5037,9.5037,-9.5037
24.8882,9.5100,9.5019,9.5019,-9.5019
25.1368,9.5001,9.4998,9.4998,-9.4998
25.3879,9.5000,9.4974,9.4974,-9.4974
25.6415,9.5000,9.4948,9.4948,-9.4948
25.8976,9.4905,9.4918,9.4918,-9.4918
26.1563,9.4900,9.4886,9.4886,-9.4886
26.4176,9.4900,9.4852,9.4852,-9.4852
26.6815,9.4803,9.4814,9.4814,-9.4814
26.9480,9.4800,9.4773,9.4773,-9.4773
27.2172,9.4800,9.4730,9.4730,-9.4730
27.4890,9.4704,9.4684,9.4684,-9.4684
27.7636,9.4700,9.4636,9.4636,-9.4636
28.0409,9.4603,9.4585,9.4585,-9.4585
28.3210,9.4600,9.4531,9.4531,-9.4531
28.6039,9.4506,9.4474,9.4474,-9.4474
28.8896,9.4404,9.4415,9.4415,-9.4415
29.1782,9.4400,9.4353,9.4353,-9.4353
29.4697,9.4304,9.4288,9.4288,-9.4288
29.7640,9.4205,9.4220,9.4220,-9.4220
30.0613,9.4200,9.4150,9.4150,-9.4150
30.3616,9.4106,9.4077,9.4077,-9.4077
30.6649,9.4005,9.4001,9.4001,-9.4001
30.9712,9.4000,9.3923,9.3923,-9.3923
31.2806,9.3906,9.3841,9.3841,-9.3841
31.5930,9.3805,9.3755,9.3755,-9.3755
31.9086,9.3707,9.3665,9.3665,-9.3665
32.2273,9.3604,9.3572,9.3572,-9.3572
32.5492,9.3506,9.3475,9.3475,-9.3475
32.8744,9.3405,9.3374,9.3374,-9.3374
33.2027,9.3305,9.3269,9.3269,-9.3269
33.5344,9.3205,9.3161,9.3161,-9.3161
33.8694,9.3106,9.3049,9.3049,-9.3049
34.2077,9.3007,9.2933,9.2933,-9.2933
34.5494,9.2906,9.2813,9.2813,-9.2813
34.8945,9.2715,9.2689,9.2689,-9.2689
35.2430,9.2608,9.2562,9.2562,-9.2562
35.5951,9.2414,9.2432,9.2432,-9.2432
35.9506,9.2306,9.2299,9.2299,-9.2299
36.3097,9.2206,9.2163,9.2163,-9.2163
36.6724,9.2015,9.2024,9.2024,-9.2024
37.0387,9.1906,9.1882,9.1882,-9.1882
37.4087,9.1806,9.1737,9.1737,-9.1737
37.7824,9.1615,9.1588,9.1588,-9.1588
38.1598,9.1508,9.1436,9.1436,-9.1436
38.5409,9.1315,9.1281,9.1281,-9.1281
38.9259,9.1206,9.1123,9.1123,-9.1123
39.3147,9.1013,9.0962,9.0962,-9.0962
39.7074,9.0816,9.0796,9.0796,-9.0796
40.1041,9.0618,9.0627,9.0627,-9.0627
40.5046,9.0509,9.0455,9.0455,-9.0455
40.9092,9.0315,9.0278,9.0278,-9.0278
41.3179,9.0116,9.0098,9.0098,-9.0098
41.7306,8.9914,8.9913,8.9913,-8.9913
42.1474,8.9808,8.9725,8.9725,-8.9725
42.5684,8.9615,8.9532,8.9532,-8.9532
42.9936,8.9417,8.9334,8.9334,-8.9334
43.4231,8.9217,8.9130,8.9130,-8.9130
43.8568,8.9020,8.8921,8.8921,-8.8921
44.2949,8.8724,8.8707,8.8707,-8.8707
44.7374,8.8519,8.8490,8.8490,-8.8490
45.1842,8.8320,8.8268,8.8268,-8.8268
45.6356,8.8120,8.8042,8.8042,-8.8042
46.0914,8.7826,8.7812,8.7812,-8.7812
46.5518,8.7621,8.7578,8.7578,-8.7578
47.0168,8.7419,8.7340,8.7340,-8.7340
47.4864,8.7128,8.7098,8.7098,-8.7098
47.9608,8.6831,8.6852,8.6852,-8.6852
48.4398,8.6621,8.6604,8.6604,-8.6604
