frequency,raw,smoothed,error,equalization
20.0000,4.7100,4.8799,4.8799,-4.8799
20.1998,4.7599,4.8975,4.8975,-4.8975
20.4015,4.8104,4.9174,4.9174,-4.9174
20.6053,4.8687,4.9389,4.9389,-4.9389
20.8112,4.9103,4.9616,4.9616,-4.9616
21.0190,4.9598,4.9854,4.9854,-4.9854
21.2290,4.9998,5.0103,5.0103,-5.0103
21.4410,5.0401,5.0364,5.0364,-5.0364
21.6552,5.0693,5.0639,5.0639,-5.0639
21.8715,5.1002,5.0932,5.0932,-5.0932
22.0900,5.1300,5.1248,5.1248,-5.1248
22.3106,5.1501,5.1590,5.1590,-5.1590
22.5335,5.1792,5.1951,5.1951,-5.1951
22.7586,5.2098,5.2311,5.2311,-5.2311
22.9859,5.2493,5.2671,5.2671,-5.2671
23.2155,5.2892,5.3029,5.3029,-5.3029
23.4474,5.3295,5.3385,5.3385,-5.3385
23.6816,5.3686,5.3737,5.3737,-5.3737
23.9182,5.4196,5.4083,5.4083,-5.4083
24.1571,5.4595,5.4419,5.4419,-5.4419
24.3984,5.5097,5.4742,5.4742,-5.4742
24.6421,5.5391,5.5048,5.5048,-5.5048
24.8882,5.5797,5.5336,5.5336,-5.5336
25.1368,5.5997,5.5602,5.5602,-5.5602
25.3879,5.6198,5.5846,5.5846,-5.5846
25.6415,5.6393,5.6071,5.6071,-5.6071
25.8976,5.6590,5.6276,5.6276,-5.6276
26.1563,5.6699,5.6463,5.6463,-5.6463
26.4176,5.6795,5.6635,5.6635,-5.6635
26.6815,5.6800,5.6795,5.6795,-5.6795
26.9480,5.6896,5.6947,5.6947,-5.6947
27.2172,5.6995,5.7095,5.7095,-5.7095
27.4890,5.7096,5.7242,5.7242,-5.7242
27.7636,5.7198,5.7390,5.7390,-5.7390
28.0409,5.7394,5.7541,5.7541,-5.7541
28.3210,5.7594,5.7697,5.7697,-5.7697
28.6039,5.7789,5.7856,5.7856,-5.7856
28.8896,5.7993,5.8018,5.8018,-5.8018
29.1782,5.8192,5.8183,5.8183,-5.8183
29.4697,5.8393,5.8349,5.8349,-5.8349
29.7640,5.8589,5.8516,5.8516,-5.8516
30.0613,5.8788,5.8680,5.8680,-5.8680
30.3616,5.8894,5.8840,5.8840,-5.8840
30.6649,5.9090,5.8996,5.8996,-5.8996
30.9712,5.9194,5.9145,5.9145,-5.9145
31.2806,5.9387,5.9288,5.9288,-5.9288
31.5930,5.9495,5.9423,5.9423,-5.9423
31.9086,5.9687,5.9549,5.9549,-5.9549
32.2273,5.9796,5.9667,5.9667,-5.9667
32.5492,5.9894,5.9776,5.9776,-5.9776
32.8744,5.9995,5.9875,5.9875,-5.9875
33.2027,6.0095,5.9965,5.9965,-5.9965
33.5344,6.0100,6.0044,6.0044,-6.0044
33.8694,6.0194,6.0114,6.0114,-6.0114
34.2077,6.0293,6.0175,6.0175,-6.0175
34.5494,6.0300,6.0226,6.0226,-6.0226
34.8945,6.0393,6.0269,6.0269,-6.0269
35.2430,6.0400,6.0302,6.0302,-6.0302
35.5951,6.0493,6.0328,6.0328,-6.0328
35.9506,6.0500,6.0345,6.0345,-6.0345
36.3097,6.0500,6.0355,6.0355,-6.0355
36.6724,6.0407,6.0356,6.0356,-6.0356
37.0387,6.0400,6.0349,6.0349,-6.0349
37.4087,6.0306,6.0335,6.0335,-6.0335
37.7824,6.0300,6.0315,6.0315,-6.0315
38.1598,6.0300,6.0286,6.0286,-6.0286
38.5409,6.0300,6.0250,6.0250,-6.0250
38.9259,6.0300,6.0206,6.0206,-6.0206
39.3147,6.0300,6.0151,6.0151,-6.0151
39.7074,6.0300,6.0087,6.0087,-6.0087
40.1041,6.0300,6.0011,6.0011,-6.0011
40.5046,6.0118,5.9923,5.9923,-5.9923
40.9092,6.0008,5.9825,5.9825,-5.9825
41.3179,5.9816,5.9716,5.9716,-5.9716
41.7306,5.9707,5.9599,5.9599,-5.9599
42.1474,5.9516,5.9471,5.9471,-5.9471
42.5684,5.9408,5.9336,5.9336,-5.9336
42.9936,5.9217,5.9192,5.9192,-5.9192
43.4231,5.9109,5.9042,5.9042,-5.9042
43.8568,5.8920,5.8884,5.8884,-5.8884
44.2949,5.8716,5.8721,5.8721,-5.8721
44.7374,5.8609,5.8554,5.8554,-5.8554
45.1842,5.8420,5.8383,5.8383,-5.8383
45.6356,5.8220,5.8210,5.8210,-5.8210
46.0914,5.8109,5.8033,5.8033,-5.8033
46.5518,5.7921,5.7853,5.7853,-5.7853
47.0168,5.7719,5.7668,5.7668,-5.7668
47.4864,5.7519,5.7479,5.7479,-5.7479
47.9608,5.7321,5.7286,5.7286,-5.7286
48.4398,5.7121,5.7089,5.7089,-5.7089
48.9237,5.6919,5.6887,5.6887,-5.6887
49.4124,5.6719,5.6681,5.6681,-5.6681
49.9059,5.6522,5.6470,5.6470,-5.6470
50.4044,5.6322,5.6254,5.6254,-5.6254
50.9079,5.6121,5.6032,5.6032,-5.6032
51.4164,5.5921,5.5804,5.5804,-5.5804
51.9300,5.5635,5.5569,5.5569,-5.5569
52.4487,5.5424,5.5329,5.5329,-5.5329
52.9726,5.5133,5.5082,5.5082,-5.5082
53.5018,5.4922,5.4829,5.4829,-5.4829
54.0362,5.4635,5.4570,5.4570,-5.4570
54.5759,5.4336,5.4305,5.4305,-5.4305
55.1211,5.4122,5.4035,5.4035,-5.4035
55.6717,5.3837,5.3759,5.3759,-5.3759
56.2278,5.3534,5.3477,5.3477,-5.3477
56.7894,5.3237,5.3190,5.3190,-5.3190
57.3567,5.2934,5.2897,5.2897,-5.2897
57.9296,5.2636,5.2600,5.2600,-5.2600
58.5082,5.2337,5.2299,5.2299,-5.2299
59.0927,5.2035,5.1993,5.1993,-5.1993
59.6829,5.1739,5.1682,5.1682,-5.1682
60.2791,5.1436,5.1366,5.1366,-5.1366
60.8812,5.1139,5.1046,5.1046,-5.1046
61.4893,5.0753,5.0720,5.0720,-5.0720
62.1035,5.0438,5.0389,5.0389,-5.0389
62.7239,5.0137,5.0053,5.0053,-5.0053
63.3504,4.9751,4.9712,4.9712,-4.9712
63.9832,4.9441,4.9366,4.9366,-4.9366
64.6223,4.9055,4.9013,4.9013,-4.9013
65.2678,4.8739,4.8654,4.8654,-4.8654
65.9198,4.8355,4.8290,4.8290,-4.8290
66.5782,4.7956,4.7919,4.7919,-4.7919
67.2433,4.7639,4.7542,4.7542,-4.7542
67.9149,4.7256,4.7160,4.7160,-4.7160
68.5933,4.6857,4.6772,4.6772,-4.6772
69.2785,4.6454,4.6380,4.6380,-4.6380
69.9705,4.6057,4.5984,4.5984,-4.5984
70.6694,4.5657,4.5584,4.5584,-4.5584
71.3753,4.5174,4.5181,4.5181,-4.5181
72.0883,4.4757,4.4777,4.4777,-4.4777
72.8083,4.4356,4.4372,4.4372,-4.4372
73.5356,4.3957,4.3966,4.3966,-4.3966
74.2701,4.3474,4.3560,4.3560,-4.3560
75.0120,4.3058,4.3153,4.3153,-4.3153
75.7613,4.2743,4.2747,4.2747,-4.2747
76.5180,4.2359,4.2340,4.2340,-4.2340
77.2824,4.1961,4.1931,4.1931,-4.1931
78.0543,4.1560,4.1521,4.1521,-4.1521
78.8340,4.1159,4.1109,4.1109,-4.1109
79.6214,4.0760,4.0695,4.0695,-4.0695
80.4168,4.0362,4.0278,4.0278,-4.0278
81.2200,3.9964,3.9856,3.9856,-3.9856
82.0313,3.9479,3.9430,3.9430,-3.9430
82.8507,3.9063,3.8999,3.8999,-3.8999
83.6783,3.8579,3.8564,3.8564,-3.8564
84.5141,3.8165,3.8124,3.8124,-3.8124
85.3583,3.7683,3.7679,3.7679,-3.7679
86.2109,3.7265,3.7232,3.7232,-3.7232
87.0721,3.6868,3.6780,3.6780,-3.6780
87.9418,3.6385,3.6325,3.6325,-3.6325
88.8203,3.5885,3.5867,3.5867,-3.5867
89.7075,3.5469,3.5406,3.5406,-3.5406
90.6035,3.4987,3.4943,3.4943,-3.4943
91.5085,3.4484,3.4478,3.4478,-3.4478
92.4226,3.3986,3.4011,3.4011,-3.4011
93.3458,3.3488,3.3543,3.3543,-3.3543
94.2782,3.3070,3.3074,3.3074,-3.3074
95.2199,3.2590,3.2604,3.2604,-3.2604
96.1711,3.2171,3.2132,3.2132,-3.2132
97.1317,3.1688,3.1657,3.1657,-3.1657
98.1019,3.1191,3.1180,3.1180,-3.1180
99.0818,3.0773,3.0702,3.0702,-3.0702
100.0715,3.0290,3.0221,3.0221,-3.0221
101.0711,2.9789,2.9738,2.9738,-2.9738
102.0807,2.9293,2.9252,2.9252,-2.9252
103.1004,2.8793,2.8764,2.8764,-2.8764
