frequency,raw,smoothed,error,equalization
20.0000,10.3000,10.3671,10.3671,-10.3671
20.1998,10.3200,10.3735,10.3735,-10.3735
20.4015,10.3501,10.3809,10.3809,-10.3809
20.6053,10.3696,10.3888,10.3888,-10.3888
20.8112,10.3801,10.3972,10.3972,-10.3972
21.0190,10.3999,10.4060,10.4060,-10.4060
21.2290,10.4100,10.4151,10.4151,-10.4151
21.4410,10.4200,10.4248,10.4248,-10.4248
21.6552,10.4298,10.4350,10.4350,-10.4350
21.8715,10.4401,10.4461,10.4461,-10.4461
22.0900,10.4500,10.4581,10.4581,-10.4581
22.3106,10.4700,10.4713,10.4713,-10.4713
22.5335,10.4797,10.4853,10.4853,-10.4853
22.7586,10.4999,10.4992,10.4992,-10.4992
22.9859,10.5098,10.5131,10.5131,-10.5131
23.2155,10.5296,10.5270,10.5270,-10.5270
23.4474,10.5399,10.5407,10.5407,-10.5407
23.6816,10.5497,10.5542,10.5542,-10.5542
23.9182,10.5698,10.5675,10.5675,-10.5675
24.1571,10.5799,10.5805,10.5805,-10.5805
24.3984,10.5999,10.5930,10.5930,-10.5930
24.6421,10.6194,10.6050,10.6050,-10.6050
24.8882,10.6299,10.6163,10.6163,-10.6163
25.1368,10.6497,10.6268,10.6268,-10.6268
25.3879,10.6599,10.6364,10.6364,-10.6364
25.6415,10.6600,10.6449,10.6449,-10.6449
25.8976,10.6600,10.6525,10.6525,-10.6525
26.1563,10.6600,10.6592,10.6592,-10.6592
26.4176,10.6695,10.6654,10.6654,-10.6654
26.6815,10.6700,10.6710,10.6710,-10.6710
26.9480,10.6796,10.6762,10.6762,-10.6762
27.2172,10.6895,10.6809,10.6809,-10.6809
27.4890,10.6900,10.6852,10.6852,-10.6852
27.7636,10.6998,10.6889,10.6889,-10.6889
28.0409,10.7000,10.6921,10.6921,-10.6921
28.3210,10.6903,10.6947,10.6947,-10.6947
28.6039,10.6900,10.6969,10.6969,-10.6969
28.8896,10.6900,10.6988,10.6988,-10.6988
29.1782,10.6996,10.7003,10.7003,-10.7003
29.4697,10.7096,10.7014,10.7014,-10.7014
29.7640,10.7195,10.7019,10.7019,-10.7019
30.0613,10.7294,10.7017,10.7017,-10.7017
30.3616,10.7300,10.7006,10.7006,-10.7006
30.6649,10.7205,10.6987,10.6987,-10.6987
30.9712,10.7012,10.6961,10.6961,-10.6961
31.2806,10.6906,10.6930,10.6930,-10.6930
31.5930,10.6805,10.6898,10.6898,-10.6898
31.9086,10.6707,10.6864,10.6864,-10.6864
32.2273,10.6700,10.6829,10.6829,-10.6829
32.5492,10.6794,10.6792,10.6792,-10.6792
32.8744,10.6800,10.6751,10.6751,-10.6751
33.2027,10.6800,10.6706,10.6706,-10.6706
33.5344,10.6705,10.6657,10.6657,-10.6657
33.8694,10.6606,10.6605,10.6605,-10.6605
34.2077,10.6600,10.6550,10.6550,-10.6550
34.5494,10.6600,10.6493,10.6493,-10.6493
34.8945,10.6507,10.6432,10.6432,-10.6432
35.2430,10.6500,10.6364,10.6364,-10.6364
35.5951,10.6407,10.6290,10.6290,-10.6290
35.9506,10.6306,10.6207,10.6207,-10.6207
36.3097,10.6206,10.6117,10.6117,-10.6117
36.6724,10.6107,10.6020,10.6020,-10.6020
37.0387,10.6006,10.5916,10.5916,-10.5916
37.4087,10.5812,10.5806,10.5806,-10.5806
37.7824,10.5707,10.5691,10.5691,-10.5691
38.1598,10.5608,10.5570,10.5570,-10.5570
38.5409,10.5508,10.5444,10.5444,-10.5444
38.9259,10.5406,10.5313,10.5313,-10.5313
39.3147,10.5213,10.5176,10.5176,-10.5176
39.7074,10.5108,10.5034,10.5034,-10.5034
40.1041,10.4918,10.4887,10.4887,-10.4887
40.5046,10.4809,10.4735,10.4735,-10.4735
40.9092,10.4615,10.4577,10.4577,-10.4577
41.3179,10.4508,10.4415,10.4415,-10.4415
41.7306,10.4314,10.4247,10.4247,-10.4247
42.1474,10.4116,10.4075,10.4075,-10.4075
42.5684,10.3915,10.3897,10.3897,-10.3897
42.9936,10.3808,10.3715,10.3715,-10.3715
43.4231,10.3617,10.3528,10.3528,-10.3528
43.8568,10.3420,10.3335,10.3335,-10.3335
44.2949,10.3216,10.3137,10.3137,-10.3137
44.7374,10.2928,10.2933,10.2933,-10.2933
45.1842,10.2720,10.2725,10.2725,-10.2725
45.6356,10.2520,10.2512,10.2512,-10.2512
46.0914,10.2317,10.2293,10.2293,-10.2293
46.5518,10.2210,10.2068,10.2068,-10.2068
47.0168,10.1928,10.1835,10.1835,-10.1835
47.4864,10.1719,10.1596,10.1596,-10.1596
47.9608,10.1431,10.1348,10.1348,-10.1348
48.4398,10.1221,10.1094,10.1094,-10.1094
48.9237,10.0929,10.0834,10.0834,-10.0834
49.4124,10.0719,10.0567,10.0567,-10.0567
49.9059,10.0432,10.0293,10.0293,-10.0293
50.4044,10.0044,10.0011,10.0011,-10.0011
50.9079,9.9731,9.9723,9.9723,-9.9723
51.4164,9.9432,9.9428,9.9428,-9.9428
51.9300,9.9135,9.9126,9.9126,-9.9126
52.4487,9.8835,9.8820,9.8820,-9.8820
52.9726,9.8533,9.8508,9.8508,-9.8508
53.5018,9.8233,9.8191,9.8191,-9.8191
54.0362,9.8024,9.7869,9.7869,-9.7869
54.5759,9.7736,9.7539,9.7539,-9.7539
55.1211,9.7344,9.7201,9.7201,-9.7201
55.6717,9.6949,9.6857,9.6857,-9.6857
56.2278,9.6545,9.6506,9.6506,-9.6506
56.7894,9.6150,9.6151,9.6151,-9.6151
57.3567,9.5834,9.5790,9.5790,-9.5790
57.9296,9.5449,9.5424,9.5424,-9.5424
58.5082,9.5137,9.5052,9.5052,-9.5052
59.0927,9.4746,9.4673,9.4673,-9.4673
59.6829,9.4351,9.4288,9.4288,-9.4288
60.2791,9.3948,9.3897,9.3897,-9.3897
60.8812,9.3552,9.3500,9.3500,-9.3500
61.4893,9.3153,9.3097,9.3097,-9.3097
62.1035,9.2750,9.2690,9.2690,-9.2690
62.7239,9.2349,9.2278,9.2278,-9.2278
63.3504,9.1951,9.1859,9.1859,-9.1859
63.9832,9.1554,9.1433,9.1433,-9.1433
64.6223,9.1069,9.0999,9.0999,-9.0999
65.2678,9.0651,9.0557,9.0557,-9.0557
65.9198,9.0168,9.0108,9.0108,-9.0108
66.5782,8.9756,8.9653,8.9653,-8.9653
67.2433,8.9266,8.9190,8.9190,-8.9190
67.9149,8.8770,8.8720,8.8720,-8.8720
68.5933,8.8357,8.8244,8.8244,-8.8244
69.2785,8.7867,8.7761,8.7761,-8.7761
69.9705,8.7371,8.7269,8.7269,-8.7269
70.6694,8.6872,8.6770,8.6770,-8.6770
71.3753,8.6288,8.6263,8.6263,-8.6263
72.0883,8.5772,8.5750,8.5750,-8.5750
72.8083,8.5271,8.5232,8.5232,-8.5232
73.5356,8.4772,8.4708,8.4708,-8.4708
74.2701,8.4274,8.4179,8.4179,-8.4179
75.0120,8.3773,8.3643,8.3643,-8.3643
75.7613,8.3187,8.3101,8.3101,-8.3101
76.5180,8.2674,8.2552,8.2552,-8.2552
77.2824,8.2007,8.1996,8.1996,-8.1996
78.0543,8.1475,8.1435,8.1435,-8.1435
