frequency,raw,smoothed,error,equalization
20.0000,10.2500,10.2742,10.2742,-10.2742
20.1998,10.2500,10.2771,10.2771,-10.2771
20.4015,10.2601,10.2804,10.2804,-10.2804
20.6053,10.2698,10.2840,10.2840,-10.2840
20.8112,10.2801,10.2875,10.2875,-10.2875
21.0190,10.2900,10.2911,10.2911,-10.2911
21.2290,10.2900,10.2946,10.2946,-10.2946
21.4410,10.3000,10.2982,10.2982,-10.2982
21.6552,10.3098,10.3018,10.3018,-10.3018
21.8715,10.3200,10.3054,10.3054,-10.3054
22.0900,10.3200,10.3089,10.3089,-10.3089
22.3106,10.3200,10.3125,10.3125,-10.3125
22.5335,10.3200,10.3160,10.3160,-10.3160
22.7586,10.3200,10.3192,10.3192,-10.3192
22.9859,10.3200,10.3220,10.3220,-10.3220
23.2155,10.3200,10.3245,10.3245,-10.3245
23.4474,10.3200,10.3267,10.3267,-10.3267
23.6816,10.3297,10.3287,10.3287,-10.3287
23.9182,10.3300,10.3305,10.3305,-10.3305
24.1571,10.3399,10.3319,10.3319,-10.3319
24.3984,10.3400,10.3329,10.3329,-10.3329
24.6421,10.3400,10.3336,10.3336,-10.3336
24.8882,10.3499,10.3338,10.3338,-10.3338
25.1368,10.3401,10.3334,10.3334,-10.3334
25.3879,10.3400,10.3324,10.3324,-10.3324
25.6415,10.3400,10.3309,10.3309,-10.3309
25.8976,10.3305,10.3288,10.3288,-10.3288
26.1563,10.3300,10.3261,10.3261,-10.3261
26.4176,10.3300,10.3228,10.3228,-10.3228
26.6815,10.3300,10.3189,10.3189,-10.3189
26.9480,10.3204,10.3144,10.3144,-10.3144
27.2172,10.3200,10.3094,10.3094,-10.3094
27.4890,10.3104,10.3039,10.3039,-10.3039
27.7636,10.3002,10.2979,10.2979,-10.2979
28.0409,10.2903,10.2917,10.2917,-10.2917
28.3210,10.2900,10.2852,10.2852,-10.2852
28.6039,10.2806,10.2784,10.2784,-10.2784
28.8896,10.2704,10.2713,10.2713,-10.2713
29.1782,10.2604,10.2639,10.2639,-10.2639
29.4697,10.2600,10.2562,10.2562,-10.2562
29.7640,10.2505,10.2481,10.2481,-10.2481
30.0613,10.2406,10.2396,10.2396,-10.2396
30.3616,10.2400,10.2308,10.2308,-10.2308
30.6649,10.2305,10.2216,10.2216,-10.2216
30.9712,10.2206,10.2119,10.2119,-10.2119
31.2806,10.2106,10.2017,10.2017,-10.2017
31.5930,10.2005,10.1910,10.1910,-10.1910
31.9086,10.1907,10.1797,10.1797,-10.1797
32.2273,10.1708,10.1678,10.1678,-10.1678
32.5492,10.1606,10.1554,10.1554,-10.1554
32.8744,10.1410,10.1425,10.1425,-10.1425
33.2027,10.1305,10.1291,10.1291,-10.1291
33.5344,10.1205,10.1154,10.1154,-10.1154
33.8694,10.1106,10.1012,10.1012,-10.1012
34.2077,10.0913,10.0864,10.0864,-10.0864
34.5494,10.0806,10.0713,10.0713,-10.0713
34.8945,10.0615,10.0556,10.0556,-10.0556
35.2430,10.0415,10.0396,10.0396,-10.0396
35.5951,10.0214,10.0231,10.0231,-10.0231
35.9506,10.0106,10.0064,10.0064,-10.0064
36.3097,9.9911,9.9893,9.9893,-9.9893
36.6724,9.9807,9.9718,9.9718,-9.9718
37.0387,9.9612,9.9538,9.9538,-9.9538
37.4087,9.9412,9.9353,9.9353,-9.9353
37.7824,9.9215,9.9162,9.9162,-9.9162
38.1598,9.9016,9.8968,9.8968,-9.8968
38.5409,9.8815,9.8769,9.8769,-9.8769
38.9259,9.8613,9.8566,9.8566,-9.8566
39.3147,9.8413,9.8358,9.8358,-9.8358
39.7074,9.8216,9.8145,9.8145,-9.8145
40.1041,9.8018,9.7928,9.7928,-9.7928
40.5046,9.7727,9.7704,9.7704,-9.7704
40.9092,9.7515,9.7478,9.7478,-9.7478
41.3179,9.7316,9.7247,9.7247,-9.7247
41.7306,9.7022,9.7012,9.7012,-9.7012
42.1474,9.6816,9.6774,9.6774,-9.6774
42.5684,9.6615,9.6531,9.6531,-9.6531
42.9936,9.6325,9.6283,9.6283,-9.6283
43.4231,9.6026,9.6031,9.6031,-9.6031
43.8568,9.5820,9.5776,9.5776,-9.5776
44.2949,9.5524,9.5518,9.5518,-9.5518
44.7374,9.5319,9.5257,9.5257,-9.5257
45.1842,9.5031,9.4992,9.4992,-9.4992
45.6356,9.4820,9.4723,9.4723,-9.4723
46.0914,9.4526,9.4449,9.4449,-9.4449
46.5518,9.4231,9.4169,9.4169,-9.4169
47.0168,9.3928,9.3887,9.3887,-9.3887
47.4864,9.3537,9.3602,9.3602,-9.3602
47.9608,9.3321,9.3315,9.3315,-9.3315
48.4398,9.3031,9.3025,9.3025,-9.3025
48.9237,9.2819,9.2731,9.2731,-9.2731
49.4124,9.2619,9.2431,9.2431,-9.2431
49.9059,9.2243,9.2125,9.2125,-9.2125
50.4044,9.1756,9.1814,9.1814,-9.1814
50.9079,9.1431,9.1501,9.1501,-9.1501
51.4164,9.1132,9.1187,9.1187,-9.1187
51.9300,9.0923,9.0870,9.0870,-9.0870
52.4487,9.0724,9.0550,9.0550,-9.0550
52.9726,9.0433,9.0223,9.0223,-9.0223
53.5018,8.9955,8.9890,8.9890,-8.9890
54.0362,8.9547,8.9552,8.9552,-8.9552
54.5759,8.9147,8.9211,8.9211,-8.9211
55.1211,8.8833,8.8869,8.8869,-8.8869
55.6717,8.8537,8.8524,8.8524,-8.8524
56.2278,8.8234,8.8177,8.8177,-8.8177
56.7894,8.7937,8.7825,8.7825,-8.7825
57.3567,8.7545,8.7468,8.7468,-8.7468
57.9296,8.7149,8.7107,8.7107,-8.7107
58.5082,8.6749,8.6742,8.6742,-8.6742
59.0927,8.6346,8.6374,8.6374,-8.6374
59.6829,8.6039,8.6004,8.6004,-8.6004
60.2791,8.5736,8.5630,8.5630,-8.5630
60.8812,8.5352,8.5252,8.5252,-8.5252
61.4893,8.4953,8.4869,8.4869,-8.4869
62.1035,8.4463,8.4480,8.4480,-8.4480
62.7239,8.4049,8.4088,8.4088,-8.4088
63.3504,8.3738,8.3693,8.3693,-8.3693
63.9832,8.3441,8.3294,8.3294,-8.3294
64.6223,8.2969,8.2890,8.2890,-8.2890
65.2678,8.2551,8.2483,8.2483,-8.2483
65.9198,8.2068,8.2071,8.2071,-8.2071
66.5782,8.1656,8.1657,8.1657,-8.1657
67.2433,8.1253,8.1240,8.1240,-8.1240
67.9149,8.0856,8.0821,8.0821,-8.0821
68.5933,8.0457,8.0400,8.0400,-8.0400
69.2785,7.9967,7.9975,7.9975,-7.9975
69.9705,7.9557,7.9549,7.9549,-7.9549
70.6694,7.9157,7.9120,7.9120,-7.9120
71.3753,7.8674,7.8688,7.8688,-7.8688
72.0883,7.8257,7.8255,7.8255,-7.8255
72.8083,7.7856,7.7820,7.7820,-7.7820
73.5356,7.7457,7.7383,7.7383,-7.7383
74.2701,7.6974,7.6944,7.6944,-7.6944
75.0120,7.6558,7.6502,7.6502,-7.6502
75.7613,7.6072,7.6056,7.6056,-7.6056
76.5180,7.5659,7.5608,7.5608,-7.5608
77.2824,7.5176,7.5156,7.5156,-7.5156
78.0543,7.4675,7.4702,7.4702,-7.4702
78.8340,7.4259,7.4246,7.4246,-7.4246
79.6214,7.3860,7.3787,7.3787,-7.3787
80.4168,7.3377,7.3325,7.3325,-7.3325
81.2200,7.2880,7.2860,7.2860,-7.2860
82.0313,7.2464,7.2391,7.2391,-7.2391
82.8507,7.1979,7.1920,7.1920,-7.1920
83.6783,7.1479,7.1445,7.1445,-7.1445
84.5141,7.0981,7.0968,7.0968,-7.0968
85.3583,7.0483,7.0489,7.0489,-7.0489
86.2109,6.9982,7.0010,7.0010,-7.0010
87.0721,6.9568,6.9529,6.9529,-6.9529
87.9418,6.9085,6.9046,6.9046,-6.9046
88.8203,6.8585,6.8561,6.8561,-6.8561
89.7075,6.8086,6.8074,6.8074,-6.8074
90.6035,6.7587,6.7585,6.7585,-6.7585
91.5085,6.7084,6.7095,6.7095,-6.7095
92.4226,6.6586,6.6604,6.6604,-6.6604
93.3458,6.6088,6.6112,6.6112,-6.6112
94.2782,6.5670,6.5618,6.5618,-6.5618
95.2199,6.5190,6.5122,6.5122,-6.5122
96.1711,6.4689,6.4623,6.4623,-6.4623
97.1317,6.4188,6.4121,6.4121,-6.4121
98.1019,6.3691,6.3617,6.3617,-6.3617
99.0818,6.3109,6.3110,6.3110,-6.3110
100.0715,6.2590,6.2602,6.2602,-6.2602
101.0711,6.2089,6.2093,6.2093,-6.2093
102.0807,6.1593,6.1582,6.1582,-6.1582
103.1004,6.1093,6.1071,6.1071,-6.1071
104.1302,6.0592,6.0557,6.0557,-6.0557
105.1703,6.0014,6.0041,6.0041,-6.0041
106.2209,5.9495,5.9524,5.9524,-5.9524
107.2819,5.8993,5.9008,5.9008,-5.9008
108.3535,5.8496,5.8492,5.8492,-5.8492
109.4358,5.7995,5.7977,5.7977,-5.7977
110.5289,5.7496,5.7460,5.7460,-5.7460
111.6330,5.6998,5.6943,5.6943,-5.6943
112.7481,5.6419,5.6424,5.6424,-5.6424
113.8743,5.5900,5.5905,5.5905,-5.5905
115.0118,5.5400,5.5385,5.5385,-5.5385
116.1606,5.4820,5.4864,5.4864,-5.4864
117.3209,5.4299,5.4344,5.4344,-5.4344
118.4928,5.3801,5.3824,5.3824,-5.3824
119.6764,5.3382,5.3304,5.3304,-5.3304
120.8718,5.2903,5.2782,5.2782,-5.2782
122.0792,5.2245,5.2258,5.2258,-5.2258
123.2986,5.1703,5.1734,5.1734,-5.1734
124.5302,5.1205,5.1210,5.1210,-5.1210
125.7741,5.0703,5.0688,5.0688,-5.0688
127.0304,5.0124,5.0165,5.0165,-5.0165
128.2993,4.9606,4.9643,4.9643,-4.9643
129.5808,4.9105,4.9122,4.9122,-4.9122
130.8752,4.8606,4.8602,4.8602,-4.8602
132.1825,4.8106,4.8081,4.8081,-4.8081
133.5028,4.7530,4.7559,4.7559,-4.7559
134.8363,4.7007,4.7038,4.7038,-4.7038
136.1832,4.6509,4.6519,4.6519,-4.6519
137.5435,4.6009,4.6000,4.6000,-4.6000
138.9174,4.5510,4.5480,4.5480,-4.5480
140.3050,4.5010,4.4960,4.4960,-4.4960
141.7065,4.4433,4.4438,4.4438,-4.4438
143.1220,4.3912,4.3916,4.3916,-4.3916
144.5516,4.3411,4.3394,4.3394,-4.3394
145.9955,4.2912,4.2870,4.2870,-4.2870
147.4538,4.2334,4.2343,4.2343,-4.2343
148.9267,4.1813,4.1816,4.1816,-4.1816
150.4143,4.1313,4.1289,4.1289,-4.1289
151.9167,4.0814,4.0761,4.0761,-4.0761
153.4342,4.0237,4.0232,4.0232,-4.0232
154.9668,3.9638,3.9703,3.9703,-3.9703
156.5147,3.9194,3.9177,3.9177,-3.9177
158.0781,3.8716,3.8651,3.8651,-3.8651
159.6571,3.8141,3.8125,3.8125,-3.8125
161.2519,3.7542,3.7601,3.7601,-3.7601
162.8626,3.7017,3.7080,3.7080,-3.7080
164.4894,3.6367,3.6564,3.6564,-3.6564
166.1324,3.5972,3.6053,3.6053,-3.6053
167.7919,3.5520,3.5546,3.5546,-3.5546
169.4679,3.5020,3.5043,3.5043,-3.5043
171.1607,3.4520,3.4543,3.4543,-3.4543
172.8704,3.4022,3.4047,3.4047,-3.4047
174.5972,3.3522,3.3555,3.3555,-3.3555
176.3412,3.2947,3.3067,3.3067,-3.3067
178.1026,3.2499,3.2584,3.2584,-3.2584
179.8816,3.2099,3.2106,3.2106,-3.2106
181.6784,3.1700,3.1631,3.1631,-3.1631
183.4932,3.1151,3.1158,3.1158,-3.1158
185.3261,3.0626,3.0687,3.0687,-3.0687
187.1772,3.0127,3.0219,3.0219,-3.0219
189.0469,2.9701,2.9756,2.9756,-2.9756
190.9352,2.9302,2.9297,2.9297,-2.9297
192.8425,2.8828,2.8842,2.8842,-2.8842
194.7687,2.8329,2.8390,2.8390,-2.8390
196.7142,2.7904,2.7943,2.7943,-2.7943
198.6792,2.7430,2.7501,2.7501,-2.7501
200.6637,2.7004,2.7062,2.7062,-2.7062
202.6681,2.6530,2.6628,2.6628,-2.6628
204.6925,2.6105,2.6200,2.6200,-2.6200
206.7371,2.5706,2.5777,2.5777,-2.5777
208.8022,2.5306,2.5357,2.5357,-2.5357
210.8879,2.4906,2.4940,2.4940,-2.4940
212.9944,2.4507,2.4525,2.4525,-2.4525
215.1219,2.4107,2.4111,2.4111,-2.4111
217.2707,2.3707,2.3697,2.3697,-2.3697
219.4410,2.3308,2.3283,2.3283,-2.3283
221.6329,2.2909,2.2867,2.2867,-2.2867
223.8468,2.2509,2.2449,2.2449,-2.2449
226.0827,2.2110,2.2028,2.2028,-2.2028
228.3410,2.1710,2.1604,2.1604,-2.1604
230.6219,2.1237,2.1175,2.1175,-2.1175
232.9255,2.0811,2.0744,2.0744,-2.0744
235.2521,2.0339,2.0309,2.0309,-2.0309
237.6020,1.9912,1.9871,1.9871,-1.9871
239.9754,1.9440,1.9431,1.9431,-1.9431
242.3724,1.8941,1.8990,1.8990,-1.8990
244.7934,1.8513,1.8549,1.8549,-1.8549
247.2386,1.8113,1.8110,1.8110,-1.8110
249.7082,1.7641,1.7670,1.7670,-1.7670
252.2025,1.7214,1.7233,1.7233,-1.7233
254.7217,1.6744,1.6798,1.6798,-1.6798
257.2661,1.6315,1.6366,1.6366,-1.6366
259.8358,1.5915,1.5938,1.5938,-1.5938
262.4313,1.5445,1.5512,1.5512,-1.5512
265.0527,1.5017,1.5091,1.5091,-1.5091
267.7002,1.4617,1.4673,1.4673,-1.4673
270.3742,1.4217,1.4259,1.4259,-1.4259
273.0749,1.3817,1.3848,1.3848,-1.3848
275.8026,1.3418,1.3440,1.3440,-1.3440
278.5575,1.3019,1.3035,1.3035,-1.3035
281.3400,1.2619,1.2633,1.2633,-1.2633
284.1502,1.2219,1.2234,1.2234,-1.2234
286.9885,1.1820,1.1838,1.1838,-1.1838
289.8552,1.1420,1.1445,1.1445,-1.1445
292.7505,1.1021,1.1056,1.1056,-1.1056
295.6747,1.0622,1.0670,1.0670,-1.0670
298.6281,1.0222,1.0288,1.0288,-1.0288
301.6111,0.9823,0.9909,0.9909,-0.9909
304.6238,0.9492,0.9536,0.9536,-0.9536
307.6666,0.9123,0.9167,0.9167,-0.9167
310.7398,0.8723,0.8801,0.8801,-0.8801
313.8437,0.8393,0.8440,0.8440,-0.8440
316.9786,0.8025,0.8084,0.8084,-0.8084
320.1449,0.7694,0.7731,0.7731,-0.7731
323.3427,0.7326,0.7382,0.7382,-0.7382
326.5725,0.6994,0.7037,0.7037,-0.7037
329.8346,0.6695,0.6694,0.6694,-0.6694
333.1292,0.6327,0.6354,0.6354,-0.6354
336.4568,0.5995,0.6017,0.6017,-0.6017
339.8176,0.5696,0.5683,0.5683,-0.5683
343.2119,0.5328,0.5351,0.5351,-0.5351
346.6402,0.4997,0.5021,0.5021,-0.5021
350.1027,0.4697,0.4695,0.4695,-0.4695
353.5998,0.4330,0.4371,0.4371,-0.4371
357.1318,0.3997,0.4050,0.4050,-0.4050
360.6991,0.3698,0.3732,0.3732,-0.3732
364.3021,0.3331,0.3417,0.3417,-0.3417
367.9410,0.2999,0.3106,0.3106,-0.3106
371.6163,0.2766,0.2800,0.2800,-0.2800
375.3283,0.2499,0.2498,0.2498,-0.2498
379.0774,0.2133,0.2199,0.2199,-0.2199
382.8639,0.1867,0.1904,0.1904,-0.1904
386.6882,0.1600,0.1614,0.1614,-0.1614
390.5508,0.1300,0.1328,0.1328,-0.1328
394.4519,0.1001,0.1046,0.1046,-0.1046
398.3920,0.0701,0.0768,0.0768,-0.0768
402.3714,0.0401,0.0494,0.0494,-0.0494
