frequency,raw,smoothed,error,equalization
20.0000,3.9500,4.0392,4.0392,-4.0392
20.1998,3.9700,4.0559,4.0559,-4.0559
20.4015,3.9901,4.0755,4.0755,-4.0755
20.6053,3.9998,4.0979,4.0979,-4.0979
20.8112,4.0202,4.1230,4.1230,-4.1230
21.0190,4.0499,4.1505,4.1505,-4.1505
21.2290,4.0898,4.1805,4.1805,-4.1805
21.4410,4.1403,4.2124,4.2124,-4.2124
21.6552,4.1987,4.2463,4.2463,-4.2463
21.8715,4.2705,4.2818,4.2818,-4.2818
22.0900,4.3400,4.3189,4.3189,-4.3189
22.3106,4.4102,4.3578,4.3578,-4.3578
22.5335,4.4683,4.3975,4.3975,-4.3975
22.7586,4.5197,4.4363,4.4363,-4.4363
22.9859,4.5495,4.4742,4.4742,-4.4742
23.2155,4.5696,4.5113,4.5113,-4.5113
23.4474,4.5700,4.5478,4.5478,-4.5478
23.6816,4.5700,4.5840,4.5840,-4.5840
23.9182,4.5700,4.6202,4.6202,-4.6202
24.1571,4.5700,4.6567,4.6567,-4.6567
24.3984,4.5998,4.6940,4.6940,-4.6940
24.6421,4.6387,4.7325,4.7325,-4.7325
24.8882,4.7095,4.7723,4.7723,-4.7723
25.1368,4.7890,4.8134,4.8134,-4.8134
25.3879,4.8892,4.8555,4.8555,-4.8555
25.6415,4.9674,4.8978,4.8978,-4.8978
25.8976,5.0271,4.9397,4.9397,-4.9397
26.1563,5.0596,4.9806,4.9806,-4.9806
26.4176,5.0695,5.0203,5.0203,-5.0203
26.6815,5.0700,5.0590,5.0590,-5.0590
26.9480,5.0796,5.0970,5.0970,-5.0970
27.2172,5.0990,5.1347,5.1347,-5.1347
27.4890,5.1384,5.1720,5.1720,-5.1720
27.7636,5.1888,5.2089,5.2089,-5.2089
28.0409,5.2481,5.2448,5.2448,-5.2448
28.3210,5.2984,5.2796,5.2796,-5.2796
28.6039,5.3283,5.3134,5.3134,-5.3134
28.8896,5.3493,5.3470,5.3470,-5.3470
29.1782,5.3788,5.3814,5.3814,-5.3814
29.4697,5.3993,5.4171,5.4171,-5.4171
