frequency,raw,smoothed,error,equalization
20.0000,-8.3800,-8.1778,-8.1778,8.1778
20.1998,-8.3400,-8.1443,-8.1443,8.1443
20.4015,-8.2997,-8.1068,-8.1068,8.1068
20.6053,-8.2609,-8.0660,-8.0660,8.0660
20.8112,-8.2197,-8.0214,-8.0214,8.0214
21.0190,-8.1702,-7.9725,-7.9725,7.9725
21.2290,-8.0406,-7.9184,-7.9184,7.9184
21.4410,-7.9094,-7.8598,-7.8598,7.8598
21.6552,-7.7828,-7.7971,-7.7971,7.7971
21.8715,-7.6494,-7.7304,-7.7304,7.7304
22.0900,-7.5600,-7.6601,-7.6601,7.6601
22.3106,-7.5299,-7.5854,-7.5854,7.5854
22.5335,-7.5008,-7.5072,-7.5072,7.5072
22.7586,-7.4801,-7.4286,-7.4286,7.4286
22.9859,-7.4505,-7.3492,-7.3492,7.3492
23.2155,-7.3421,-7.2686,-7.2686,7.2686
23.4474,-7.2214,-7.1877,-7.1877,7.1877
23.6816,-7.1042,-7.1074,-7.1074,7.1074
23.9182,-6.9909,-7.0286,-7.0286,7.0286
24.1571,-6.9011,-6.9513,-6.9513,6.9513
24.3984,-6.8305,-6.8756,-6.8756,6.8756
24.6421,-6.7622,-6.8012,-6.8012,6.8012
24.8882,-6.6905,-6.7282,-6.7282,6.7282
25.1368,-6.6209,-6.6566,-6.6566,6.6566
25.3879,-6.5605,-6.5869,-6.5869,6.5869
25.6415,-6.5020,-6.5194,-6.5194,6.5194
25.8976,-6.4333,-6.4542,-6.4542,6.4542
26.1563,-6.3709,-6.3913,-6.3913,6.3913
26.4176,-6.3128,-6.3302,-6.3302,6.3302
26.6815,-6.2423,-6.2702,-6.2702,6.2702
26.9480,-6.1827,-6.2110,-6.2110,6.2110
27.2172,-6.1419,-6.1520,-6.1520,6.1520
27.4890,-6.1016,-6.0929,-6.0929,6.0929
27.7636,-6.0609,-6.0332,-6.0332,6.0332
28.0409,-6.0213,-5.9727,-5.9727,5.9727
28.3210,-5.9522,-5.9108,-5.9108,5.9108
28.6039,-5.8933,-5.8477,-5.8477,5.8477
28.8896,-5.8226,-5.7832,-5.7832,5.7832
29.1782,-5.7433,-5.7176,-5.7176,5.7176
29.4697,-5.6532,-5.6509,-5.6509,5.6509
29.7640,-5.5743,-5.5838,-5.5838,5.5838
30.0613,-5.4856,-5.5164,-5.5164,5.5164
30.3616,-5.4237,-5.4493,-5.4493,5.4493
30.6649,-5.3630,-5.3825,-5.3825,5.3825
30.9712,-5.3036,-5.3163,-5.3163,5.3163
31.2806,-5.2438,-5.2509,-5.2509,5.2509
31.5930,-5.1738,-5.1862,-5.1862,5.1862
31.9086,-5.1140,-5.1221,-5.1221,5.1221
32.2273,-5.0429,-5.0581,-5.0581,5.0581
32.5492,-4.9838,-4.9944,-4.9944,4.9944
32.8744,-4.9229,-4.9311,-4.9311,4.9311
33.2027,-4.8631,-4.8682,-4.8682,4.8682
33.5344,-4.8124,-4.8053,-4.8053,4.8053
33.8694,-4.7630,-4.7421,-4.7421,4.7421
34.2077,-4.7133,-4.6781,-4.6781,4.6781
34.5494,-4.6536,-4.6127,-4.6127,4.6127
34.8945,-4.6036,-4.5458,-4.5458,4.5458
35.2430,-4.5077,-4.4771,-4.4771,4.4771
35.5951,-4.3886,-4.4071,-4.4071,4.4071
35.9506,-4.2761,-4.3367,-4.3367,4.3367
36.3097,-4.2417,-4.2668,-4.2668,4.2668
36.6724,-4.2122,-4.1975,-4.1975,4.1975
37.0387,-4.1724,-4.1282,-4.1282,4.1282
37.4087,-4.0852,-4.0577,-4.0577,4.0577
37.7824,-4.0058,-3.9859,-3.9859,3.9859
38.1598,-3.9080,-3.9134,-3.9134,3.9134
38.5409,-3.8169,-3.8410,-3.8410,3.8410
38.9259,-3.7257,-3.7693,-3.7693,3.7693
39.3147,-3.6545,-3.6986,-3.6986,3.6986
39.7074,-3.5949,-3.6292,-3.6292,3.6292
40.1041,-3.5536,-3.5614,-3.5614,3.5614
40.5046,-3.5409,-3.4949,-3.4949,3.4949
40.9092,-3.5400,-3.4286,-3.4286,3.4286
41.3179,-3.4018,-3.3616,-3.3616,3.3616
41.7306,-3.2229,-3.2955,-3.2955,3.2955
42.1474,-3.1178,-3.2325,-3.2325,3.2325
42.5684,-3.1008,-3.1725,-3.1725,3.1725
42.9936,-3.0908,-3.1139,-3.1139,3.1139
43.4231,-3.0077,-3.0557,-3.0557,3.0557
43.8568,-2.9098,-2.9997,-2.9997,2.9997
44.2949,-2.9184,-2.9464,-2.9464,2.9464
44.7374,-2.9653,-2.8940,-2.8940,2.8940
45.1842,-2.9251,-2.8408,-2.8408,2.8408
45.6356,-2.8028,-2.7865,-2.7865,2.7865
46.0914,-2.7169,-2.7325,-2.7325,2.7325
46.5518,-2.7279,-2.6795,-2.6795,2.6795
47.0168,-2.7209,-2.6255,-2.6255,2.6255
47.4864,-2.5295,-2.5689,-2.5689,2.5689
47.9608,-2.3215,-2.5120,-2.5120,2.5120
48.4398,-2.4254,-2.4580,-2.4580,2.4580
48.9237,-2.5665,-2.4048,-2.4048,2.4048
49.4124,-2.4446,-2.3486,-2.3486,2.3486
49.9059,-2.2695,-2.2899,-2.2899,2.2899
50.4044,-2.1967,-2.2310,-2.2310,2.2310
50.9079,-2.1452,-2.1735,-2.1735,2.1735
51.4164,-2.0953,-2.1179,-2.1179,2.1179
51.9300,-2.0458,-2.0633,-2.0633,2.0633
52.4487,-1.9606,-2.0095,-2.0095,2.0095
52.9726,-1.8788,-1.9571,-1.9571,1.9571
53.5018,-1.9234,-1.9061,-1.9061,1.9061
54.0362,-1.9565,-1.8539,-1.8539,1.8539
54.5759,-1.8454,-1.7991,-1.7991,1.7991
55.1211,-1.7142,-1.7447,-1.7447,1.7447
55.6717,-1.5859,-1.6928,-1.6928,1.6928
56.2278,-1.5700,-1.6431,-1.6431,1.6431
56.7894,-1.6839,-1.5943,-1.5943,1.5943
57.3567,-1.6379,-1.5447,-1.5447,1.5447
57.9296,-1.5158,-1.4946,-1.4946,1.4946
58.5082,-1.4474,-1.4446,-1.4446,1.4446
59.0927,-1.3693,-1.3944,-1.3944,1.3944
59.6829,-1.2467,-1.3443,-1.3443,1.3443
60.2791,-1.2036,-1.2950,-1.2950,1.2950
60.8812,-1.2261,-1.2464,-1.2464,1.2464
61.4893,-1.2734,-1.1984,-1.1984,1.1984
62.1035,-1.2363,-1.1498,-1.1498,1.1498
62.7239,-1.0107,-1.0999,-1.0999,1.0999
63.3504,-1.0149,-1.0501,-1.0501,1.0501
63.9832,-1.1410,-1.0004,-1.0004,1.0004
64.6223,-1.0306,-0.9495,-0.9495,0.9495
65.2678,-0.9141,-0.8992,-0.8992,0.8992
65.9198,-0.8482,-0.8499,-0.8499,0.8499
66.5782,-0.7797,-0.8012,-0.8012,0.8012
67.2433,-0.6745,-0.7528,-0.7528,0.7528
67.9149,-0.5138,-0.7056,-0.7056,0.7056
68.5933,-0.6616,-0.6617,-0.6617,0.6617
69.2785,-0.6987,-0.6183,-0.6183,0.6183
69.9705,-0.5627,-0.5743,-0.5743,0.5743
70.6694,-0.4116,-0.5302,-0.5302,0.5302
71.3753,-0.4156,-0.4870,-0.4870,0.4870
72.0883,-0.5057,-0.4449,-0.4449,0.4449
72.8083,-0.5544,-0.4027,-0.4027,0.4027
73.5356,-0.4400,-0.3584,-0.3584,0.3584
74.2701,-0.3093,-0.3125,-0.3125,0.3125
75.0120,-0.2473,-0.2661,-0.2661,0.2661
75.7613,-0.3170,-0.2193,-0.2193,0.2193
76.5180,-0.2192,-0.1697,-0.1697,0.1697
77.2824,-0.0983,-0.1182,-0.1182,0.1182
78.0543,-0.0205,-0.0671,-0.0671,0.0671
78.8340,0.0581,-0.0169,-0.0169,0.0169
79.6214,0.0700,0.0326,0.0326,-0.0326
80.4168,0.0869,0.0822,0.0822,-0.0822
81.2200,0.1236,0.1318,0.1318,-0.1318
82.0313,0.1805,0.1805,0.1805,-0.1805
82.8507,0.2574,0.2280,0.2280,-0.2280
83.6783,0.2700,0.2742,0.2742,-0.2742
84.5141,0.3287,0.3203,0.3203,-0.3203
85.3583,0.3650,0.3658,0.3658,-0.3658
86.2109,0.4035,0.4104,0.4104,-0.4104
87.0721,0.4598,0.4544,0.4544,-0.4544
87.9418,0.4783,0.4981,0.4981,-0.4981
88.8203,0.5547,0.5420,0.5420,-0.5420
89.7075,0.5783,0.5857,0.5857,-0.5857
90.6035,0.6461,0.6290,0.6290,-0.6290
91.5085,0.6766,0.6712,0.6712,-0.6712
92.4226,0.7049,0.7125,0.7125,-0.7125
93.3458,0.7594,0.7533,0.7533,-0.7533
94.2782,0.8278,0.7930,0.7930,-0.7930
95.2199,0.8728,0.8307,0.8307,-0.8307
96.1711,0.8882,0.8665,0.8665,-0.8665
97.1317,0.9147,0.9016,0.9016,-0.9016
98.1019,0.9609,0.9359,0.9359,-0.9359
99.0818,0.9945,0.9683,0.9683,-0.9683
100.0715,1.0246,0.9994,0.9994,-0.9994
101.0711,1.0300,1.0306,1.0306,-1.0306
102.0807,1.0544,1.0617,1.0617,-1.0617
103.1004,1.1088,1.0921,1.0921,-1.0921
104.1302,1.1445,1.1214,1.1214,-1.1214
105.1703,1.0933,1.1502,1.1502,-1.1502
106.2209,1.0638,1.1808,1.1808,-1.1808
107.2819,1.2226,1.2140,1.2140,-1.2140
108.3535,1.3490,1.2480,1.2480,-1.2480
109.4358,1.2484,1.2817,1.2817,-1.2817
110.5289,1.1715,1.3170,1.3170,-1.3170
