frequency,raw,smoothed,error,equalization
20.0000,1.7500,2.6342,2.6342,-2.6342
20.1998,1.9797,2.7422,2.7422,-2.7422
20.4015,2.2218,2.8660,2.8660,-2.8660
20.6053,2.4547,3.0020,3.0020,-3.0020
20.8112,2.7315,3.1488,3.1488,-3.1488
21.0190,2.9988,3.3052,3.3052,-3.3052
21.2290,3.2687,3.4713,3.4713,-3.4713
21.4410,3.5412,3.6473,3.6473,-3.6473
21.6552,3.7943,3.8342,3.8342,-3.8342
21.8715,4.0617,4.0334,4.0334,-4.0334
22.0900,4.3000,4.2466,4.2466,-4.2466
22.3106,4.5206,4.4763,4.4763,-4.4763
22.5335,4.7338,4.7179,4.7179,-4.7179
22.7586,4.9586,4.9591,4.9591,-4.9591
22.9859,5.1663,5.2001,5.2001,-5.2001
23.2155,5.3857,5.4414,5.4414,-5.4414
23.4474,5.6273,5.6832,5.6832,-5.6832
23.6816,5.8713,5.9257,5.9257,-5.9257
23.9182,6.1379,6.1689,6.1689,-6.1689
24.1571,6.3968,6.4125,6.4125,-6.4125
24.3984,6.6582,6.6562,6.6562,-6.6562
24.6421,6.9118,6.8998,6.8998,-6.8998
24.8882,7.1781,7.1430,7.1430,-7.1430
25.1368,7.4268,7.3854,7.3854,-7.3854
25.3879,7.6779,7.6265,7.6265,-7.6265
25.6415,7.9122,7.8656,7.8656,-7.8656
25.8976,8.1391,8.1025,8.1025,-8.1025
26.1563,8.3766,8.3365,8.3365,-8.3365
26.4176,8.5994,8.5670,8.5670,-8.5670
26.6815,8.8228,8.7934,8.7934,-8.7934
26.9480,9.0307,9.0153,9.0153,-9.0153
27.2172,9.2591,9.2325,9.2325,-9.2325
27.4890,9.4907,9.4443,9.4443,-9.4443
27.7636,9.7148,9.6501,9.6501,-9.6501
28.0409,9.9426,9.8492,9.8492,-9.8492
28.3210,10.1533,10.0412,10.0412,-10.0412
28.6039,10.3584,10.2253,10.2253,-10.2253
28.8896,10.5433,10.4012,10.4012,-10.4012
29.1782,10.7035,10.5684,10.5684,-10.5684
29.4697,10.8547,10.7268,10.7268,-10.7268
29.7640,10.9831,10.8763,10.8763,-10.8763
30.0613,11.1119,11.0169,11.0169,-11.0169
30.3616,11.2233,11.1486,11.1486,-11.1486
30.6649,11.3440,11.2716,11.2716,-11.2716
30.9712,11.4533,11.3861,11.3861,-11.3861
31.2806,11.5631,11.4922,11.4922,-11.4922
31.5930,11.6740,11.5900,11.5900,-11.5900
31.9086,11.7733,11.6795,11.6795,-11.6795
32.2273,11.8663,11.7610,11.7610,-11.7610
32.5492,11.9450,11.8345,11.8345,-11.8345
32.8744,12.0071,11.9003,11.9003,-11.9003
33.2027,12.0574,11.9587,11.9587,-11.9587
33.5344,12.0981,12.0102,12.0102,-12.0102
33.8694,12.1376,12.0551,12.0551,-12.0551
34.2077,12.1680,12.0935,12.0935,-12.0935
34.5494,12.1888,12.1256,12.1256,-12.1256
34.8945,12.1993,12.1516,12.1516,-12.1516
35.2430,12.2092,12.1714,12.1714,-12.1714
35.5951,12.2100,12.1851,12.1851,-12.1851
35.9506,12.2194,12.1927,12.1927,-12.1927
36.3097,12.2389,12.1943,12.1943,-12.1943
36.6724,12.2493,12.1896,12.1896,-12.1896
37.0387,12.2688,12.1786,12.1786,-12.1786
37.4087,12.2700,12.1611,12.1611,-12.1611
37.7824,12.2607,12.1372,12.1372,-12.1372
38.1598,12.2416,12.1074,12.1074,-12.1074
38.5409,12.2031,12.0721,12.0721,-12.0721
38.9259,12.1251,12.0319,12.0319,-12.0319
39.3147,12.0452,11.9876,11.9876,-11.9876
39.7074,11.9481,11.9403,11.9403,-11.9403
40.1041,11.8581,11.8909,11.8909,-11.8909
40.5046,11.7771,11.8401,11.8401,-11.8401
40.9092,11.7054,11.7888,11.7888,-11.7888
41.3179,11.6539,11.7376,11.7376,-11.7376
41.7306,11.6222,11.6869,11.6869,-11.6869
42.1474,11.6108,11.6370,11.6370,-11.6370
42.5684,11.5915,11.5877,11.5877,-11.5877
42.9936,11.5808,11.5391,11.5391,-11.5391
43.4231,11.5526,11.4906,11.4906,-11.4906
43.8568,11.5049,11.4420,11.4420,-11.4420
44.2949,11.4449,11.3928,11.3928,-11.3928
44.7374,11.3676,11.3427,11.3427,-11.3427
45.1842,11.2971,11.2917,11.2917,-11.2917
45.6356,11.2269,11.2398,11.2398,-11.2398
46.0914,11.1560,11.1871,11.1871,-11.1871
46.5518,11.1051,11.1339,11.1339,-11.1339
