frequency,raw,smoothed,error,equalization
20.0000,3.6000,3.7301,3.7301,-3.7301
20.1998,3.6400,3.7449,3.7449,-3.7449
20.4015,3.6802,3.7617,3.7617,-3.7617
20.6053,3.7093,3.7800,3.7800,-3.7800
20.8112,3.7502,3.7997,3.7997,-3.7997
21.0190,3.7799,3.8204,3.8204,-3.8204
21.2290,3.8198,3.8424,3.8424,-3.8424
21.4410,3.8502,3.8654,3.8654,-3.8654
21.6552,3.8891,3.8899,3.8899,-3.8899
21.8715,3.9202,3.9156,3.9156,-3.9156
22.0900,3.9500,3.9430,3.9430,-3.9430
22.3106,3.9801,3.9723,3.9723,-3.9723
22.5335,4.0092,4.0027,4.0027,-4.0027
22.7586,4.0398,4.0326,4.0326,-4.0326
22.9859,4.0695,4.0619,4.0619,-4.0619
23.2155,4.0896,4.0907,4.0907,-4.0907
23.4474,4.1197,4.1192,4.1192,-4.1192
23.6816,4.1490,4.1472,4.1472,-4.1472
23.9182,4.1798,4.1747,4.1747,-4.1747
24.1571,4.2096,4.2018,4.2018,-4.2018
24.3984,4.2299,4.2283,4.2283,-4.2283
24.6421,4.2591,4.2543,4.2543,-4.2543
24.8882,4.2898,4.2797,4.2797,-4.2797
25.1368,4.3097,4.3044,4.3044,-4.3044
25.3879,4.3398,4.3284,4.3284,-4.3284
25.6415,4.3593,4.3515,4.3515,-4.3515
25.8976,4.3886,4.3739,4.3739,-4.3739
26.1563,4.4097,4.3952,4.3952,-4.3952
26.4176,4.4291,4.4155,4.4155,-4.4155
26.6815,4.4493,4.4348,4.4348,-4.4348
26.9480,4.4691,4.4530,4.4530,-4.4530
27.2172,4.4795,4.4701,4.4701,-4.4701
27.4890,4.4992,4.4863,4.4863,-4.4863
27.7636,4.5098,4.5015,4.5015,-4.5015
28.0409,4.5294,4.5158,4.5158,-4.5158
28.3210,4.5397,4.5292,4.5292,-4.5292
28.6039,4.5494,4.5416,4.5416,-4.5416
28.8896,4.5596,4.5533,4.5533,-4.5533
29.1782,4.5696,4.5643,4.5643,-4.5643
29.4697,4.5796,4.5746,4.5746,-4.5746
29.7640,4.5895,4.5842,4.5842,-4.5842
30.0613,4.5994,4.5933,4.5933,-4.5933
30.3616,4.6094,4.6017,4.6017,-4.6017
30.6649,4.6195,4.6095,4.6095,-4.6095
30.9712,4.6200,4.6167,4.6167,-4.6167
31.2806,4.6294,4.6234,4.6234,-4.6234
31.5930,4.6395,4.6296,4.6296,-4.6296
31.9086,4.6400,4.6354,4.6354,-4.6354
32.2273,4.6496,4.6409,4.6409,-4.6409
32.5492,4.6500,4.6460,4.6460,-4.6460
32.8744,4.6500,4.6507,4.6507,-4.6507
33.2027,4.6595,4.6551,4.6551,-4.6551
33.5344,4.6600,4.6590,4.6590,-4.6590
33.8694,4.6600,4.6626,4.6626,-4.6626
34.2077,4.6600,4.6659,4.6659,-4.6659
34.5494,4.6694,4.6688,4.6688,-4.6688
34.8945,4.6793,4.6713,4.6713,-4.6713
35.2430,4.6800,4.6732,4.6732,-4.6732
35.5951,4.6893,4.6745,4.6745,-4.6745
35.9506,4.6900,4.6750,4.6750,-4.6750
36.3097,4.6900,4.6748,4.6748,-4.6748
36.6724,4.6900,4.6737,4.6737,-4.6737
37.0387,4.6806,4.6718,4.6718,-4.6718
37.4087,4.6800,4.6692,4.6692,-4.6692
37.7824,4.6707,4.6657,4.6657,-4.6657
38.1598,4.6700,4.6616,4.6616,-4.6616
38.5409,4.6608,4.6566,4.6566,-4.6566
38.9259,4.6600,4.6510,4.6510,-4.6510
39.3147,4.6506,4.6447,4.6447,-4.6447
39.7074,4.6408,4.6377,4.6377,-4.6377
40.1041,4.6309,4.6301,4.6301,-4.6301
40.5046,4.6300,4.6222,4.6222,-4.6222
40.9092,4.6208,4.6137,4.6137,-4.6137
41.3179,4.6108,4.6048,4.6048,-4.6048
41.7306,4.6007,4.5955,4.5955,-4.5955
42.1474,4.5908,4.5857,4.5857,-4.5857
42.5684,4.5808,4.5756,4.5756,-4.5756
42.9936,4.5708,4.5650,4.5650,-4.5650
43.4231,4.5609,4.5540,4.5540,-4.5540
43.8568,4.5420,4.5426,4.5426,-4.5426
44.2949,4.5308,4.5309,4.5309,-4.5309
44.7374,4.5209,4.5188,4.5188,-4.5188
45.1842,4.5110,4.5064,4.5064,-4.5064
45.6356,4.5010,4.4937,4.4937,-4.4937
46.0914,4.4817,4.4805,4.4805,-4.4805
46.5518,4.4710,4.4670,4.4670,-4.4670
47.0168,4.4609,4.4531,4.4531,-4.4531
47.4864,4.4419,4.4389,4.4389,-4.4389
47.9608,4.4310,4.4243,4.4243,-4.4243
48.4398,4.4121,4.4092,4.4092,-4.4092
48.9237,4.4010,4.3938,4.3938,-4.3938
49.4124,4.3819,4.3778,4.3778,-4.3778
49.9059,4.3622,4.3613,4.3613,-4.3613
50.4044,4.3511,4.3443,4.3443,-4.3443
50.9079,4.3321,4.3267,4.3267,-4.3267
51.4164,4.3121,4.3086,4.3086,-4.3086
51.9300,4.3012,4.2899,4.2899,-4.2899
52.4487,4.2824,4.2705,4.2705,-4.2705
52.9726,4.2622,4.2504,4.2504,-4.2504
53.5018,4.2422,4.2296,4.2296,-4.2296
54.0362,4.2135,4.2082,4.2082,-4.2082
54.5759,4.1924,4.1862,4.1862,-4.1862
55.1211,4.1722,4.1635,4.1635,-4.1635
55.6717,4.1437,4.1403,4.1403,-4.1403
56.2278,4.1223,4.1166,4.1166,-4.1166
56.7894,4.0937,4.0924,4.0924,-4.0924
57.3567,4.0723,4.0677,4.0677,-4.0677
57.9296,4.0436,4.0425,4.0425,-4.0425
58.5082,4.0225,4.0170,4.0170,-4.0170
59.0927,3.9935,3.9910,3.9910,-3.9910
59.6829,3.9726,3.9647,3.9647,-3.9647
60.2791,3.9436,3.9380,3.9380,-3.9380
60.8812,3.9139,3.9109,3.9109,-3.9109
61.4893,3.8840,3.8834,3.8834,-3.8834
62.1035,3.8625,3.8556,3.8556,-3.8556
62.7239,3.8337,3.8273,3.8273,-3.8273
63.3504,3.8038,3.7987,3.7987,-3.7987
63.9832,3.7741,3.7696,3.7696,-3.7696
64.6223,3.7441,3.7401,3.7401,-3.7401
65.2678,3.7139,3.7102,3.7102,-3.7102
65.9198,3.6841,3.6799,3.6799,-3.6799
66.5782,3.6542,3.6491,3.6491,-3.6491
67.2433,3.6239,3.6180,3.6180,-3.6180
67.9149,3.5942,3.5864,3.5864,-3.5864
68.5933,3.5557,3.5545,3.5545,-3.5545
69.2785,3.5240,3.5223,3.5223,-3.5223
69.9705,3.4943,3.4899,3.4899,-3.4899
70.6694,3.4643,3.4572,3.4572,-3.4572
71.3753,3.4259,3.4242,3.4242,-3.4242
72.0883,3.3943,3.3910,3.3910,-3.3910
72.8083,3.3556,3.3576,3.3576,-3.3576
73.5356,3.3243,3.3241,3.3241,-3.3241
74.2701,3.2859,3.2906,3.2906,-3.2906
75.0120,3.2544,3.2570,3.2570,-3.2570
75.7613,3.2243,3.2234,3.2234,-3.2234
76.5180,3.1944,3.1897,3.1897,-3.1897
