frequency,raw,smoothed,error,equalization
20.0000,9.5500,9.5271,9.5271,-9.5271
20.1998,9.5500,9.5233,9.5233,-9.5233
20.4015,9.5399,9.5189,9.5189,-9.5189
20.6053,9.5302,9.5138,9.5138,-9.5138
20.8112,9.5299,9.5082,9.5082,-9.5082
21.0190,9.5200,9.5017,9.5017,-9.5017
21.2290,9.5100,9.4944,9.4944,-9.4944
21.4410,9.5000,9.4862,9.4862,-9.4862
21.6552,9.4902,9.4769,9.4769,-9.4769
21.8715,9.4799,9.4664,9.4664,-9.4664
22.0900,9.4600,9.4546,9.4546,-9.4546
22.3106,9.4500,9.4414,9.4414,-9.4414
22.5335,9.4403,9.4269,9.4269,-9.4269
22.7586,9.4301,9.4117,9.4117,-9.4117
22.9859,9.4104,9.3957,9.3957,-9.3957
23.2155,9.3904,9.3791,9.3791,-9.3791
23.4474,9.3702,9.3622,9.3622,-9.3622
23.6816,9.3507,9.3449,9.3449,-9.3449
23.9182,9.3202,9.3274,9.3274,-9.3274
24.1571,9.3002,9.3100,9.3100,-9.3100
24.3984,9.2801,9.2927,9.2927,-9.2927
24.6421,9.2606,9.2755,9.2755,-9.2755
24.8882,9.2501,9.2586,9.2586,-9.2586
25.1368,9.2303,9.2416,9.2416,-9.2416
25.3879,9.2201,9.2246,9.2246,-9.2246
25.6415,9.2103,9.2076,9.2076,-9.2076
25.8976,9.2005,9.1903,9.1903,-9.1903
26.1563,9.1901,9.1726,9.1726,-9.1726
26.4176,9.1709,9.1543,9.1543,-9.1543
26.6815,9.1507,9.1353,9.1353,-9.1353
26.9480,9.1309,9.1158,9.1158,-9.1158
27.2172,9.1110,9.0956,9.0956,-9.0956
27.4890,9.0908,9.0745,9.0745,-9.0745
27.7636,9.0607,9.0527,9.0527,-9.0527
28.0409,9.0310,9.0300,9.0300,-9.0300
28.3210,9.0106,9.0066,9.0066,-9.0066
28.6039,8.9817,8.9824,8.9824,-8.9824
28.8896,8.9511,8.9577,8.9577,-8.9577
29.1782,8.9308,8.9327,8.9327,-8.9327
29.4697,8.9107,8.9074,8.9074,-8.9074
29.7640,8.8911,8.8819,8.8819,-8.8819
30.0613,8.8712,8.8563,8.8563,-8.8563
30.3616,8.8418,8.8304,8.8304,-8.8304
30.6649,8.8115,8.8043,8.8043,-8.8043
30.9712,8.7818,8.7779,8.7779,-8.7779
31.2806,8.7425,8.7514,8.7514,-8.7514
31.5930,8.7116,8.7248,8.7248,-8.7248
31.9086,8.6820,8.6981,8.6981,-8.6981
32.2273,8.6608,8.6714,8.6714,-8.6714
32.5492,8.6413,8.6446,8.6446,-8.6446
32.8744,8.6305,8.6175,8.6175,-8.6175
33.2027,8.6110,8.5899,8.5899,-8.5899
33.5344,8.5814,8.5617,8.5617,-8.5617
33.8694,8.5518,8.5329,8.5329,-8.5329
34.2077,8.5126,8.5036,8.5036,-8.5036
34.5494,8.4818,8.4739,8.4739,-8.4739
34.8945,8.4429,8.4439,8.4439,-8.4439
35.2430,8.4123,8.4136,8.4136,-8.4136
35.5951,8.3821,8.3829,8.3829,-8.3829
35.9506,8.3517,8.3520,8.3520,-8.3520
36.3097,8.3217,8.3207,8.3207,-8.3207
36.6724,8.2922,8.2891,8.2891,-8.2891
37.0387,8.2524,8.2572,8.2572,-8.2572
37.4087,8.2217,8.2251,8.2251,-8.2251
37.7824,8.1922,8.1928,8.1928,-8.1928
38.1598,8.1624,8.1602,8.1602,-8.1602
38.5409,8.1323,8.1272,8.1272,-8.1272
38.9259,8.1019,8.0937,8.0937,-8.0937
39.3147,8.0719,8.0598,8.0598,-8.0598
39.7074,8.0424,8.0254,8.0254,-8.0254
40.1041,8.0036,7.9903,7.9903,-7.9903
40.5046,7.9727,7.9545,7.9545,-7.9545
40.9092,7.9331,7.9181,7.9181,-7.9181
41.3179,7.8839,7.8810,7.8810,-7.8810
