frequency,raw,smoothed,error,equalization
20.0000,4.7900,4.8370,4.8370,-4.8370
20.1998,4.8000,4.8421,4.8421,-4.8421
20.4015,4.8201,4.8479,4.8479,-4.8479
20.6053,4.8298,4.8542,4.8542,-4.8542
20.8112,4.8501,4.8609,4.8609,-4.8609
21.0190,4.8600,4.8677,4.8677,-4.8677
21.2290,4.8700,4.8748,4.8748,-4.8748
21.4410,4.8800,4.8821,4.8821,-4.8821
21.6552,4.8898,4.8898,4.8898,-4.8898
21.8715,4.9001,4.8979,4.8979,-4.8979
22.0900,4.9100,4.9063,4.9063,-4.9063
22.3106,4.9200,4.9153,4.9153,-4.9153
22.5335,4.9297,4.9244,4.9244,-4.9244
22.7586,4.9399,4.9330,4.9330,-4.9330
22.9859,4.9400,4.9412,4.9412,-4.9412
23.2155,4.9498,4.9490,4.9490,-4.9490
23.4474,4.9599,4.9565,4.9565,-4.9565
23.6816,4.9697,4.9637,4.9637,-4.9637
23.9182,4.9799,4.9705,4.9705,-4.9705
24.1571,4.9800,4.9767,4.9767,-4.9767
24.3984,4.9899,4.9826,4.9826,-4.9826
24.6421,4.9900,4.9879,4.9879,-4.9879
24.8882,4.9999,4.9929,4.9929,-4.9929
25.1368,5.0000,4.9973,4.9973,-4.9973
25.3879,5.0099,5.0013,5.0013,-5.0013
25.6415,5.0100,5.0047,5.0047,-5.0047
25.8976,5.0100,5.0075,5.0075,-5.0075
26.1563,5.0199,5.0097,5.0097,-5.0097
26.4176,5.0200,5.0112,5.0112,-5.0112
26.6815,5.0200,5.0118,5.0118,-5.0118
26.9480,5.0200,5.0118,5.0118,-5.0118
27.2172,5.0200,5.0111,5.0111,-5.0111
27.4890,5.0200,5.0096,5.0096,-5.0096
27.7636,5.0200,5.0075,5.0075,-5.0075
28.0409,5.0200,5.0047,5.0047,-5.0047
28.3210,5.0103,5.0013,5.0013,-5.0013
28.6039,5.0006,4.9973,4.9973,-4.9973
28.8896,5.0000,4.9929,4.9929,-4.9929
29.1782,4.9904,4.9880,4.9880,-4.9880
29.4697,4.9804,4.9827,4.9827,-4.9827
29.7640,4.9705,4.9771,4.9771,-4.9771
30.0613,4.9700,4.9714,4.9714,-4.9714
30.3616,4.9606,4.9653,4.9653,-4.9653
30.6649,4.9600,4.9590,4.9590,-4.9590
30.9712,4.9600,4.9523,4.9523,-4.9523
31.2806,4.9506,4.9452,4.9452,-4.9452
31.5930,4.9500,4.9379,4.9379,-4.9379
31.9086,4.9407,4.9301,4.9301,-4.9301
32.2273,4.9304,4.9219,4.9219,-4.9219
32.5492,4.9206,4.9134,4.9134,-4.9134
32.8744,4.9105,4.9044,4.9044,-4.9044
33.2027,4.9005,4.8949,4.8949,-4.8949
33.5344,4.8905,4.8849,4.8849,-4.8849
33.8694,4.8712,4.8742,4.8742,-4.8742
34.2077,4.8607,4.8631,4.8631,-4.8631
34.5494,4.8506,4.8515,4.8515,-4.8515
34.8945,4.8407,4.8394,4.8394,-4.8394
35.2430,4.8400,4.8268,4.8268,-4.8268
35.5951,4.8307,4.8136,4.8136,-4.8136
35.9506,4.8111,4.7996,4.7996,-4.7996
36.3097,4.8006,4.7850,4.7850,-4.7850
36.6724,4.7815,4.7697,4.7697,-4.7697
37.0387,4.7612,4.7538,4.7538,-4.7538
37.4087,4.7412,4.7373,4.7373,-4.7373
37.7824,4.7215,4.7203,4.7203,-4.7203
38.1598,4.7016,4.7027,4.7027,-4.7027
38.5409,4.6908,4.6847,4.6847,-4.6847
38.9259,4.6713,4.6660,4.6660,-4.6660
39.3147,4.6513,4.6468,4.6468,-4.6468
39.7074,4.6316,4.6271,4.6271,-4.6271
40.1041,4.6118,4.6069,4.6069,-4.6069
40.5046,4.5918,4.5863,4.5863,-4.5863
40.9092,4.5715,4.5652,4.5652,-4.5652
