frequency,raw,smoothed,error,equalization
20.0000,7.2700,7.2193,7.2193,-7.2193
20.1998,7.2600,7.2134,7.2134,-7.2134
20.4015,7.2399,7.2065,7.2065,-7.2065
20.6053,7.2302,7.1990,7.1990,-7.1990
20.8112,7.2099,7.1908,7.1908,-7.1908
21.0190,7.2000,7.1821,7.1821,-7.1821
21.2290,7.1801,7.1728,7.1728,-7.1728
21.4410,7.1699,7.1630,7.1630,-7.1630
21.6552,7.1504,7.1525,7.1525,-7.1525
21.8715,7.1399,7.1414,7.1414,-7.1414
22.0900,7.1300,7.1294,7.1294,-7.1294
22.3106,7.1200,7.1165,7.1165,-7.1165
22.5335,7.1103,7.1028,7.1028,-7.1028
22.7586,7.0901,7.0889,7.0889,-7.0889
22.9859,7.0802,7.0750,7.0750,-7.0750
23.2155,7.0604,7.0610,7.0610,-7.0610
23.4474,7.0501,7.0470,7.0470,-7.0470
23.6816,7.0307,7.0328,7.0328,-7.0328
23.9182,7.0201,7.0185,7.0185,-7.0185
24.1571,7.0002,7.0040,7.0040,-7.0040
24.3984,6.9901,6.9894,6.9894,-6.9894
24.6421,6.9803,6.9745,6.9745,-6.9745
24.8882,6.9601,6.9593,6.9593,-6.9593
25.1368,6.9501,6.9437,6.9437,-6.9437
25.3879,6.9302,6.9278,6.9278,-6.9278
25.6415,6.9203,6.9115,6.9115,-6.9115
25.8976,6.9010,6.8946,6.8946,-6.8946
26.1563,6.8803,6.8772,6.8772,-6.8772
26.4176,6.8705,6.8593,6.8593,-6.8593
26.6815,6.8507,6.8408,6.8408,-6.8408
26.9480,6.8309,6.8216,6.8216,-6.8216
27.2172,6.8110,6.8018,6.8018,-6.8018
27.4890,6.7908,6.7813,6.7813,-6.7813
27.7636,6.7705,6.7602,6.7602,-6.7602
28.0409,6.7410,6.7385,6.7385,-6.7385
28.3210,6.7206,6.7163,6.7163,-6.7163
28.6039,6.7011,6.6936,6.6936,-6.6936
28.8896,6.6711,6.6704,6.6704,-6.6704
29.1782,6.6508,6.6468,6.6468,-6.6468
29.4697,6.6211,6.6227,6.6227,-6.6227
29.7640,6.6011,6.5983,6.5983,-6.5983
30.0613,6.5812,6.5736,6.5736,-6.5736
30.3616,6.5518,6.5486,6.5486,-6.5486
30.6649,6.5310,6.5233,6.5233,-6.5233
30.9712,6.5018,6.4978,6.4978,-6.4978
31.2806,6.4719,6.4720,6.4720,-6.4720
31.5930,6.4511,6.4461,6.4461,-6.4461
31.9086,6.4220,6.4200,6.4200,-6.4200
32.2273,6.3912,6.3936,6.3936,-6.3936
32.5492,6.3619,6.3671,6.3671,-6.3671
32.8744,6.3410,6.3405,6.3405,-6.3405
33.2027,6.3116,6.3137,6.3137,-6.3137
33.5344,6.2909,6.2867,6.2867,-6.2867
33.8694,6.2618,6.2595,6.2595,-6.2595
34.2077,6.2413,6.2322,6.2322,-6.2322
34.5494,6.2118,6.2046,6.2046,-6.2046
34.8945,6.1822,6.1768,6.1768,-6.1768
35.2430,6.1523,6.1487,6.1487,-6.1487
35.5951,6.1221,6.1205,6.1205,-6.1205
35.9506,6.0917,6.0921,6.0921,-6.0921
36.3097,6.0617,6.0634,6.0634,-6.0634
36.6724,6.0322,6.0346,6.0346,-6.0346
37.0387,6.0018,6.0055,6.0055,-6.0055
37.4087,5.9812,5.9763,5.9763,-5.9763
37.7824,5.9522,5.9469,5.9469,-5.9469
38.1598,5.9224,5.9171,5.9171,-5.9171
38.5409,5.8923,5.8872,5.8872,-5.8872
38.9259,5.8619,5.8571,5.8571,-5.8571
39.3147,5.8319,5.8268,5.8268,-5.8268
39.7074,5.8024,5.7964,5.7964,-5.7964
40.1041,5.7636,5.7659,5.7659,-5.7659
40.5046,5.7327,5.7353,5.7353,-5.7353
40.9092,5.7023,5.7048,5.7048,-5.7048
41.3179,5.6724,5.6742,5.6742,-5.6742
41.7306,5.6422,5.6436,5.6436,-5.6436
42.1474,5.6123,5.6131,5.6131,-5.6131
42.5684,5.5730,5.5825,5.5825,-5.5825
42.9936,5.5517,5.5520,5.5520,-5.5520
43.4231,5.5226,5.5215,5.5215,-5.5215
43.8568,5.4929,5.4907,5.4907,-5.4907
44.2949,5.4624,5.4596,5.4596,-5.4596
44.7374,5.4328,5.4282,5.4282,-5.4282
45.1842,5.4031,5.3967,5.3967,-5.3967
45.6356,5.3730,5.3649,5.3649,-5.3649
46.0914,5.3426,5.3330,5.3330,-5.3330
46.5518,5.3131,5.3008,5.3008,-5.3008
47.0168,5.2738,5.2683,5.2683,-5.2683
47.4864,5.2428,5.2353,5.2353,-5.2353
47.9608,5.2041,5.2020,5.2020,-5.2020
48.4398,5.1642,5.1684,5.1684,-5.1684
48.9237,5.1148,5.1346,5.1346,-5.1346
49.4124,5.0829,5.1009,5.1009,-5.1009
49.9059,5.0622,5.0673,5.0673,-5.0673
50.4044,5.0422,5.0336,5.0336,-5.0336
50.9079,5.0221,4.9996,4.9996,-4.9996
51.4164,4.9842,4.9651,4.9651,-4.9651
51.9300,4.9446,4.9302,4.9302,-4.9302
52.4487,4.8959,4.8950,4.8950,-4.8950
52.9726,4.8544,4.8595,4.8595,-4.8595
53.5018,4.8233,4.8240,4.8240,-4.8240
54.0362,4.7847,4.7884,4.7884,-4.7884
54.5759,4.7536,4.7525,4.7525,-4.7525
55.1211,4.7144,4.7163,4.7163,-4.7163
55.6717,4.6837,4.6797,4.6797,-4.6797
56.2278,4.6445,4.6426,4.6426,-4.6426
56.7894,4.6137,4.6053,4.6053,-4.6053
57.3567,4.5745,4.5677,4.5677,-4.5677
57.9296,4.5349,4.5299,4.5299,-4.5299
58.5082,4.4949,4.4921,4.4921,-4.4921
59.0927,4.4546,4.4542,4.4542,-4.4542
59.6829,4.4239,4.4161,4.4161,-4.4161
60.2791,4.3848,4.3777,4.3777,-4.3777
