frequency,raw,smoothed,error,equalization
20.0000,8.0900,8.1215,8.1215,-8.1215
20.1998,8.1000,8.1245,8.1245,-8.1245
20.4015,8.1101,8.1279,8.1279,-8.1279
20.6053,8.1198,8.1315,8.1315,-8.1315
20.8112,8.1301,8.1353,8.1353,-8.1353
21.0190,8.1400,8.1390,8.1390,-8.1390
21.2290,8.1400,8.1427,8.1427,-8.1427
21.4410,8.1500,8.1465,8.1465,-8.1465
21.6552,8.1500,8.1503,8.1503,-8.1503
21.8715,8.1600,8.1542,8.1542,-8.1542
22.0900,8.1600,8.1582,8.1582,-8.1582
22.3106,8.1700,8.1625,8.1625,-8.1625
22.5335,8.1700,8.1669,8.1669,-8.1669
22.7586,8.1700,8.1710,8.1710,-8.1710
22.9859,8.1798,8.1750,8.1750,-8.1750
23.2155,8.1800,8.1789,8.1789,-8.1789
23.4474,8.1800,8.1827,8.1827,-8.1827
23.6816,8.1800,8.1866,8.1866,-8.1866
23.9182,8.1899,8.1906,8.1906,-8.1906
24.1571,8.1900,8.1944,8.1944,-8.1944
24.3984,8.1900,8.1982,8.1982,-8.1982
24.6421,8.1997,8.2020,8.2020,-8.2020
24.8882,8.2099,8.2056,8.2056,-8.2056
25.1368,8.2100,8.2089,8.2089,-8.2089
25.3879,8.2199,8.2121,8.2121,-8.2121
25.6415,8.2297,8.2150,8.2150,-8.2150
25.8976,8.2300,8.2174,8.2174,-8.2174
26.1563,8.2300,8.2195,8.2195,-8.2195
26.4176,8.2300,8.2212,8.2212,-8.2212
26.6815,8.2300,8.2225,8.2225,-8.2225
26.9480,8.2204,8.2234,8.2234,-8.2234
27.2172,8.2200,8.2240,8.2240,-8.2240
27.4890,8.2200,8.2243,8.2243,-8.2243
27.7636,8.2200,8.2242,8.2242,-8.2242
28.0409,8.2200,8.2239,8.2239,-8.2239
28.3210,8.2297,8.2232,8.2232,-8.2232
28.6039,8.2300,8.2221,8.2221,-8.2221
28.8896,8.2300,8.2207,8.2207,-8.2207
29.1782,8.2300,8.2190,8.2190,-8.2190
29.4697,8.2300,8.2170,8.2170,-8.2170
29.7640,8.2205,8.2146,8.2146,-8.2146
30.0613,8.2200,8.2122,8.2122,-8.2122
30.3616,8.2106,8.2097,8.2097,-8.2097
30.6649,8.2005,8.2072,8.2072,-8.2072
30.9712,8.2000,8.2049,8.2049,-8.2049
31.2806,8.1906,8.2029,8.2029,-8.2029
31.5930,8.1900,8.2011,8.2011,-8.2011
31.9086,8.1900,8.1997,8.1997,-8.1997
32.2273,8.1900,8.1986,8.1986,-8.1986
32.5492,8.1900,8.1978,8.1978,-8.1978
32.8744,8.1900,8.1971,8.1971,-8.1971
33.2027,8.1900,8.1966,8.1966,-8.1966
33.5344,8.1995,8.1961,8.1961,-8.1961
33.8694,8.2000,8.1953,8.1953,-8.1953
34.2077,8.2093,8.1941,8.1941,-8.1941
34.5494,8.2100,8.1923,8.1923,-8.1923
34.8945,8.2100,8.1897,8.1897,-8.1897
35.2430,8.2008,8.1863,8.1863,-8.1863
35.5951,8.2000,8.1821,8.1821,-8.1821
35.9506,8.1906,8.1770,8.1770,-8.1770
36.3097,8.1806,8.1712,8.1712,-8.1712
36.6724,8.1707,8.1645,8.1645,-8.1645
37.0387,8.1606,8.1571,8.1571,-8.1571
37.4087,8.1506,8.1489,8.1489,-8.1489
37.7824,8.1407,8.1400,8.1400,-8.1400
38.1598,8.1308,8.1305,8.1305,-8.1305
38.5409,8.1208,8.1205,8.1205,-8.1205
38.9259,8.1106,8.1100,8.1100,-8.1100
39.3147,8.1100,8.0991,8.0991,-8.0991
39.7074,8.1008,8.0876,8.0876,-8.0876
40.1041,8.0909,8.0756,8.0756,-8.0756
40.5046,8.0718,8.0629,8.0629,-8.0629
40.9092,8.0608,8.0498,8.0498,-8.0498
41.3179,8.0416,8.0360,8.0360,-8.0360
41.7306,8.0214,8.0218,8.0218,-8.0218
42.1474,8.0108,8.0073,8.0073,-8.0073
42.5684,7.9915,7.9923,7.9923,-7.9923
42.9936,7.9808,7.9769,7.9769,-7.9769
43.4231,7.9617,7.9612,7.9612,-7.9612
43.8568,7.9510,7.9451,7.9451,-7.9451
44.2949,7.9316,7.9287,7.9287,-7.9287
44.7374,7.9119,7.9120,7.9120,-7.9120
45.1842,7.9010,7.8953,7.8953,-7.8953
45.6356,7.8820,7.8783,7.8783,-7.8783
46.0914,7.8617,7.8611,7.8611,-7.8611
46.5518,7.8421,7.8438,7.8438,-7.8438
47.0168,7.8309,7.8263,7.8263,-7.8263
47.4864,7.8119,7.8086,7.8086,-7.8086
47.9608,7.7921,7.7906,7.7906,-7.7906
48.4398,7.7721,7.7724,7.7724,-7.7724
48.9237,7.7519,7.7538,7.7538,-7.7538
49.4124,7.7410,7.7350,7.7350,-7.7350
49.9059,7.7222,7.7159,7.7159,-7.7159
50.4044,7.7022,7.6962,7.6962,-7.6962
50.9079,7.6821,7.6761,7.6761,-7.6761
51.4164,7.6621,7.6556,7.6556,-7.6556
51.9300,7.6423,7.6345,7.6345,-7.6345
52.4487,7.6224,7.6128,7.6128,-7.6128
52.9726,7.6022,7.5906,7.5906,-7.5906
53.5018,7.5733,7.5677,7.5677,-7.5677
54.0362,7.5524,7.5442,7.5442,-7.5442
54.5759,7.5236,7.5201,7.5201,-7.5201
55.1211,7.5022,7.4955,7.4955,-7.4955
55.6717,7.4737,7.4702,7.4702,-7.4702
56.2278,7.4523,7.4444,7.4444,-7.4444
56.7894,7.4237,7.4181,7.4181,-7.4181
57.3567,7.3934,7.3913,7.3913,-7.3913
57.9296,7.3724,7.3640,7.3640,-7.3640
58.5082,7.3437,7.3362,7.3362,-7.3362
59.0927,7.3135,7.3078,7.3078,-7.3078
59.6829,7.2839,7.2790,7.2790,-7.2790
60.2791,7.2536,7.2496,7.2496,-7.2496
60.8812,7.2239,7.2198,7.2198,-7.2198
61.4893,7.1940,7.1894,7.1894,-7.1894
62.1035,7.1638,7.1585,7.1585,-7.1585
62.7239,7.1337,7.1270,7.1270,-7.1270
63.3504,7.1038,7.0949,7.0949,-7.0949
63.9832,7.0741,7.0622,7.0622,-7.0622
64.6223,7.0355,7.0288,7.0288,-7.0288
65.2678,7.0039,6.9947,6.9947,-6.9947
65.9198,6.9655,6.9601,6.9601,-6.9601
66.5782,6.9342,6.9248,6.9248,-6.9248
67.2433,6.8953,6.8889,6.8889,-6.8889
67.9149,6.8556,6.8524,6.8524,-6.8524
68.5933,6.8243,6.8152,6.8152,-6.8152
69.2785,6.7854,6.7774,6.7774,-6.7774
69.9705,6.7457,6.7390,6.7390,-6.7390
70.6694,6.7057,6.7000,6.7000,-6.7000
71.3753,6.6659,6.6603,6.6603,-6.6603
72.0883,6.6257,6.6200,6.6200,-6.6200
72.8083,6.5856,6.5791,6.5791,-6.5791
73.5356,6.5457,6.5376,6.5376,-6.5376
74.2701,6.5059,6.4953,6.4953,-6.4953
75.0120,6.4573,6.4523,6.4523,-6.4523
75.7613,6.4158,6.4086,6.4086,-6.4086
76.5180,6.3759,6.3642,6.3642,-6.3642
77.2824,6.3276,6.3191,6.3191,-6.3191
78.0543,6.2860,6.2733,6.2733,-6.2733
78.8340,6.2374,6.2267,6.2267,-6.2267
79.6214,6.1875,6.1794,6.1794,-6.1794
80.4168,6.1377,6.1313,6.1313,-6.1313
81.2200,6.0880,6.0826,6.0826,-6.0826
82.0313,6.0379,6.0332,6.0332,-6.0332
82.8507,5.9879,5.9831,5.9831,-5.9831
83.6783,5.9379,5.9324,5.9324,-5.9324
84.5141,5.8881,5.8809,5.8809,-5.8809
85.3583,5.8383,5.8288,5.8288,-5.8288
86.2109,5.7882,5.7762,5.7762,-5.7762
87.0721,5.7302,5.7230,5.7230,-5.7230
87.9418,5.6785,5.6695,5.6695,-5.6695
88.8203,5.6202,5.6157,5.6157,-5.6157
89.7075,5.5686,5.5619,5.5619,-5.5619
