frequency,raw,smoothed,error,equalization
20.0000,3.6200,3.8166,3.8166,-3.8166
20.1998,3.6699,3.8399,3.8399,-3.8399
20.4015,3.7304,3.8668,3.8668,-3.8668
20.6053,3.7887,3.8962,3.8962,-3.8962
20.8112,3.8403,3.9279,3.9279,-3.9279
21.0190,3.8997,3.9618,3.9618,-3.9618
21.2290,3.9498,3.9978,3.9978,-3.9978
21.4410,4.0103,4.0361,4.0361,-4.0361
21.6552,4.0687,4.0768,4.0768,-4.0768
21.8715,4.1203,4.1200,4.1200,-4.1200
22.0900,4.1700,4.1661,4.1661,-4.1661
22.3106,4.2201,4.2158,4.2158,-4.2158
22.5335,4.2686,4.2678,4.2678,-4.2678
22.7586,4.3197,4.3195,4.3195,-4.3195
22.9859,4.3691,4.3708,4.3708,-4.3708
23.2155,4.4288,4.4218,4.4218,-4.4218
23.4474,4.4794,4.4722,4.4722,-4.4722
23.6816,4.5283,4.5219,4.5219,-4.5219
23.9182,4.5796,4.5706,4.5706,-4.5706
24.1571,4.6294,4.6181,4.6181,-4.6181
24.3984,4.6697,4.6641,4.6641,-4.6641
24.6421,4.7184,4.7087,4.7087,-4.7087
24.8882,4.7696,4.7517,4.7517,-4.7517
25.1368,4.8194,4.7932,4.7932,-4.7932
25.3879,4.8696,4.8332,4.8332,-4.8332
25.6415,4.9184,4.8716,4.8716,-4.8716
25.8976,4.9581,4.9087,4.9087,-4.9087
26.1563,4.9797,4.9444,4.9444,-4.9444
26.4176,4.9991,4.9791,4.9791,-4.9791
26.6815,5.0193,5.0130,5.0130,-5.0130
26.9480,5.0200,5.0462,5.0462,-5.0462
27.2172,5.0295,5.0792,5.0792,-5.0792
27.4890,5.0684,5.1125,5.1125,-5.1125
27.7636,5.1091,5.1459,5.1459,-5.1459
28.0409,5.1584,5.1795,5.1795,-5.1795
28.3210,5.2181,5.2132,5.2132,-5.2132
28.6039,5.2672,5.2465,5.2465,-5.2465
28.8896,5.3278,5.2791,5.2791,-5.2791
29.1782,5.3588,5.3104,5.3104,-5.3104
29.4697,5.3793,5.3402,5.3402,-5.3402
29.7640,5.3895,5.3681,5.3681,-5.3681
30.0613,5.4088,5.3940,5.3940,-5.3940
30.3616,5.4288,5.4177,5.4177,-5.4177
30.6649,5.4490,5.4392,5.4392,-5.4392
30.9712,5.4876,5.4583,5.4583,-5.4583
31.2806,5.5181,5.4749,5.4749,-5.4749
31.5930,5.5484,5.4891,5.4891,-5.4891
31.9086,5.5500,5.5011,5.5011,-5.5011
32.2273,5.5500,5.5114,5.5114,-5.5114
32.5492,5.5500,5.5205,5.5205,-5.5205
32.8744,5.5310,5.5290,5.5290,-5.5290
33.2027,5.5110,5.5375,5.5375,-5.5375
33.5344,5.5005,5.5463,5.5463,-5.5463
33.8694,5.5094,5.5559,5.5559,-5.5559
34.2077,5.5287,5.5664,5.5664,-5.5664
34.5494,5.5394,5.5776,5.5776,-5.5776
34.8945,5.5678,5.5896,5.5896,-5.5896
35.2430,5.5977,5.6021,5.6021,-5.6021
35.5951,5.6186,5.6149,5.6149,-5.6149
35.9506,5.6389,5.6274,5.6274,-5.6274
36.3097,5.6683,5.6395,5.6395,-5.6395
36.6724,5.6793,5.6506,5.6506,-5.6506
37.0387,5.6894,5.6605,5.6605,-5.6605
37.4087,5.6994,5.6691,5.6691,-5.6691
37.7824,5.7093,5.6762,5.6762,-5.6762
38.1598,5.7192,5.6818,5.6818,-5.6818
38.5409,5.7292,5.6858,5.6858,-5.6858
38.9259,5.7206,5.6884,5.6884,-5.6884
39.3147,5.7013,5.6898,5.6898,-5.6898
39.7074,5.6816,5.6905,5.6905,-5.6905
40.1041,5.6618,5.6909,5.6909,-5.6909
40.5046,5.6600,5.6914,5.6914,-5.6914
40.9092,5.6508,5.6922,5.6922,-5.6922
41.3179,5.6592,5.6935,5.6935,-5.6935
41.7306,5.6786,5.6953,5.6953,-5.6953
42.1474,5.6984,5.6974,5.6974,-5.6974
42.5684,5.7185,5.6995,5.6995,-5.6995
42.9936,5.7200,5.7013,5.7013,-5.7013
43.4231,5.7291,5.7030,5.7030,-5.7030
43.8568,5.7300,5.7044,5.7044,-5.7044
44.2949,5.7208,5.7052,5.7052,-5.7052
44.7374,5.7200,5.7057,5.7057,-5.7057
45.1842,5.7110,5.7055,5.7055,-5.7055
45.6356,5.7010,5.7048,5.7048,-5.7048
46.0914,5.7000,5.7036,5.7036,-5.7036
46.5518,5.7000,5.7018,5.7018,-5.7018
47.0168,5.7000,5.6993,5.6993,-5.6993
47.4864,5.7000,5.6963,5.6963,-5.6963
47.9608,5.6910,5.6926,5.6926,-5.6926
48.4398,5.6900,5.6883,5.6883,-5.6883
48.9237,5.6810,5.6831,5.6831,-5.6831
49.4124,5.6890,5.6773,5.6773,-5.6773
49.9059,5.6900,5.6705,5.6705,-5.6705
50.4044,5.6811,5.6626,5.6626,-5.6626
50.9079,5.6800,5.6535,5.6535,-5.6535
51.4164,5.6800,5.6431,5.6431,-5.6431
51.9300,5.6623,5.6311,5.6311,-5.6311
52.4487,5.6424,5.6177,5.6177,-5.6177
52.9726,5.6222,5.6029,5.6029,-5.6029
53.5018,5.5933,5.5871,5.5871,-5.5871
54.0362,5.5635,5.5704,5.5704,-5.5704
54.5759,5.5424,5.5532,5.5532,-5.5532
55.1211,5.5311,5.5357,5.5357,-5.5357
55.6717,5.5212,5.5179,5.5179,-5.5179
56.2278,5.5023,5.4999,5.4999,-5.4999
56.7894,5.4825,5.4818,5.4818,-5.4818
57.3567,5.4623,5.4638,5.4638,-5.4638
57.9296,5.4336,5.4458,5.4458,-5.4458
58.5082,5.4212,5.4282,5.4282,-5.4282
59.0927,5.4023,5.4108,5.4108,-5.4108
59.6829,5.3913,5.3935,5.3935,-5.3935
60.2791,5.3724,5.3761,5.3761,-5.3761
60.8812,5.3613,5.3585,5.3585,-5.3585
61.4893,5.3513,5.3403,5.3403,-5.3403
