frequency,raw,smoothed,error,equalization
20.0000,8.7600,8.9650,8.9650,-8.9650
20.1998,8.8199,8.9866,8.9866,-8.9866
20.4015,8.8804,9.0105,9.0105,-9.0105
20.6053,8.9387,9.0359,9.0359,-9.0359
20.8112,9.0003,9.0621,9.0621,-9.0621
21.0190,9.0597,9.0891,9.0891,-9.0891
21.2290,9.1098,9.1168,9.1168,-9.1168
21.4410,9.1602,9.1454,9.1454,-9.1454
21.6552,9.2089,9.1749,9.1749,-9.1749
21.8715,9.2502,9.2053,9.2053,-9.2053
22.0900,9.2800,9.2366,9.2366,-9.2366
22.3106,9.3000,9.2692,9.2692,-9.2692
22.5335,9.3097,9.3021,9.3021,-9.3021
22.7586,9.3199,9.3334,9.3334,-9.3334
22.9859,9.3298,9.3636,9.3636,-9.3636
23.2155,9.3692,9.3934,9.3934,-9.3934
23.4474,9.4194,9.4227,9.4227,-9.4227
23.6816,9.4683,9.4516,9.4516,-9.4516
23.9182,9.5097,9.4799,9.4799,-9.4799
24.1571,9.5396,9.5075,9.5075,-9.5075
24.3984,9.5499,9.5346,9.5346,-9.5346
24.6421,9.5597,9.5616,9.5616,-9.5616
24.8882,9.5699,9.5891,9.5891,-9.5891
25.1368,9.5897,9.6173,9.6173,-9.6173
25.3879,9.6297,9.6463,9.6463,-9.6463
25.6415,9.6687,9.6756,9.6756,-9.6756
25.8976,9.7081,9.7047,9.7047,-9.7047
26.1563,9.7396,9.7333,9.7333,-9.7333
26.4176,9.7591,9.7614,9.7614,-9.7614
26.6815,9.7793,9.7893,9.7893,-9.7893
26.9480,9.8087,9.8170,9.8170,-9.8170
27.2172,9.8481,9.8443,9.8443,-9.8443
27.4890,9.8884,9.8708,9.8708,-9.8708
27.7636,9.9291,9.8956,9.8956,-9.8956
28.0409,9.9687,9.9184,9.9184,-9.9184
28.3210,9.9797,9.9391,9.9391,-9.9391
28.6039,9.9894,9.9579,9.9579,-9.9579
28.8896,9.9996,9.9752,9.9752,-9.9752
29.1782,10.0096,9.9914,9.9914,-9.9914
29.4697,10.0293,10.0067,10.0067,-10.0067
29.7640,10.0489,10.0212,10.0212,-10.0212
30.0613,10.0594,10.0348,10.0348,-10.0348
