frequency,raw,smoothed,error,equalization
20.0000,1.7000,1.8557,1.8557,-1.8557
20.1998,1.7400,1.8747,1.8747,-1.8747
20.4015,1.7903,1.8967,1.8967,-1.8967
20.6053,1.8291,1.9208,1.9208,-1.9208
20.8112,1.8703,1.9468,1.9468,-1.9468
21.0190,1.9198,1.9748,1.9748,-1.9748
21.2290,1.9598,2.0047,2.0047,-2.0047
21.4410,2.0102,2.0365,2.0365,-2.0365
21.6552,2.0589,2.0704,2.0704,-2.0704
21.8715,2.1003,2.1066,2.1066,-2.1066
22.0900,2.1500,2.1454,2.1454,-2.1454
22.3106,2.1901,2.1872,2.1872,-2.1872
22.5335,2.2386,2.2310,2.2310,-2.2310
22.7586,2.2797,2.2746,2.2746,-2.2746
22.9859,2.3193,2.3178,2.3178,-2.3178
23.2155,2.3592,2.3607,2.3607,-2.3607
23.4474,2.4094,2.4032,2.4032,-2.4032
23.6816,2.4486,2.4453,2.4453,-2.4453
23.9182,2.4897,2.4869,2.4869,-2.4869
24.1571,2.5295,2.5280,2.5280,-2.5280
24.3984,2.5797,2.5686,2.5686,-2.5686
24.6421,2.6187,2.6086,2.6086,-2.6086
24.8882,2.6597,2.6479,2.6479,-2.6479
25.1368,2.6995,2.6865,2.6865,-2.6865
25.3879,2.7298,2.7245,2.7245,-2.7245
25.6415,2.7687,2.7618,2.7618,-2.7618
25.8976,2.8081,2.7986,2.7986,-2.7986
26.1563,2.8396,2.8346,2.8346,-2.8346
26.4176,2.8782,2.8701,2.8701,-2.8701
26.6815,2.9090,2.9049,2.9049,-2.9049
26.9480,2.9482,2.9391,2.9391,-2.9391
27.2172,2.9786,2.9727,2.9727,-2.9727
27.4890,3.0088,3.0058,3.0058,-3.0058
27.7636,3.0393,3.0384,3.0384,-3.0384
28.0409,3.0787,3.0706,3.0706,-3.0706
28.3210,3.1090,3.1023,3.1023,-3.1023
28.6039,3.1383,3.1334,3.1334,-3.1334
28.8896,3.1689,3.1641,3.1641,-3.1641
29.1782,3.1988,3.1942,3.1942,-3.1942
29.4697,3.2289,3.2238,3.2238,-3.2238
29.7640,3.2584,3.2530,3.2530,-3.2530
30.0613,3.2881,3.2816,3.2816,-3.2816
30.3616,3.3182,3.3098,3.3098,-3.3098
30.6649,3.3485,3.3373,3.3373,-3.3373
30.9712,3.3688,3.3643,3.3643,-3.3643
31.2806,3.3981,3.3907,3.3907,-3.3907
31.5930,3.4189,3.4164,3.4164,-3.4164
31.9086,3.4480,3.4417,3.4417,-3.4417
32.2273,3.4692,3.4665,3.4665,-3.4665
32.5492,3.4981,3.4907,3.4907,-3.4907
32.8744,3.5190,3.5144,3.5144,-3.5144
33.2027,3.5484,3.5375,3.5375,-3.5375
33.5344,3.5691,3.5601,3.5601,-3.5601
33.8694,3.5888,3.5820,3.5820,-3.5820
34.2077,3.6087,3.6035,3.6035,-3.6035
34.5494,3.6288,3.6244,3.6244,-3.6244
34.8945,3.6485,3.6450,3.6450,-3.6450
35.2430,3.6685,3.6651,3.6651,-3.6651
35.5951,3.6886,3.6848,3.6848,-3.6848
35.9506,3.7089,3.7041,3.7041,-3.7041
36.3097,3.7289,3.7230,3.7230,-3.7230
36.6724,3.7485,3.7415,3.7415,-3.7415
37.0387,3.7594,3.7595,3.7595,-3.7595
37.4087,3.7788,3.7773,3.7773,-3.7773
37.7824,3.7985,3.7948,3.7948,-3.7948
38.1598,3.8184,3.8120,3.8120,-3.8120
38.5409,3.8292,3.8288,3.8288,-3.8288
38.9259,3.8487,3.8452,3.8452,-3.8452
39.3147,3.8687,3.8613,3.8613,-3.8613
39.7074,3.8792,3.8771,3.8771,-3.8771
40.1041,3.8982,3.8924,3.8924,-3.8924
40.5046,3.9091,3.9074,3.9074,-3.9074
40.9092,3.9285,3.9219,3.9219,-3.9219
41.3179,3.9392,3.9360,3.9360,-3.9360
41.7306,3.9586,3.9497,3.9497,-3.9497
42.1474,3.9692,3.9628,3.9628,-3.9628
42.5684,3.9792,3.9753,3.9753,-3.9753
42.9936,3.9892,3.9875,3.9875,-3.9875
43.4231,4.0083,3.9993,3.9993,-3.9993
43.8568,4.0190,4.0106,4.0106,-4.0106
44.2949,4.0292,4.0214,4.0214,-4.0214
44.7374,4.0391,4.0317,4.0317,-4.0317
45.1842,4.0490,4.0415,4.0415,-4.0415
45.6356,4.0500,4.0508,4.0508,-4.0508
46.0914,4.0591,4.0598,4.0598,-4.0598
46.5518,4.0690,4.0684,4.0684,-4.0684
47.0168,4.0791,4.0767,4.0767,-4.0767
47.4864,4.0891,4.0846,4.0846,-4.0846
47.9608,4.0990,4.0922,4.0922,-4.0922
48.4398,4.1090,4.0993,4.0993,-4.0993
48.9237,4.1100,4.1059,4.1059,-4.1059
49.4124,4.1190,4.1122,4.1122,-4.1122
49.9059,4.1200,4.1182,4.1182,-4.1182
50.4044,4.1289,4.1239,4.1239,-4.1239
50.9079,4.1300,4.1293,4.1293,-4.1293
51.4164,4.1389,4.1344,4.1344,-4.1344
51.9300,4.1400,4.1389,4.1389,-4.1389
52.4487,4.1488,4.1431,4.1431,-4.1431
52.9726,4.1500,4.1467,4.1467,-4.1467
53.5018,4.1500,4.1498,4.1498,-4.1498
54.0362,4.1588,4.1524,4.1524,-4.1524
54.5759,4.1600,4.1544,4.1544,-4.1544
55.1211,4.1689,4.1558,4.1558,-4.1558
55.6717,4.1700,4.1566,4.1566,-4.1566
56.2278,4.1700,4.1566,4.1566,-4.1566
56.7894,4.1700,4.1560,4.1560,-4.1560
57.3567,4.1611,4.1548,4.1548,-4.1548
57.9296,4.1600,4.1531,4.1531,-4.1531
58.5082,4.1600,4.1509,4.1509,-4.1509
59.0927,4.1512,4.1482,4.1482,-4.1482
59.6829,4.1413,4.1452,4.1452,-4.1452
60.2791,4.1400,4.1420,4.1420,-4.1420
60.8812,4.1313,4.1384,4.1384,-4.1384
61.4893,4.1300,4.1348,4.1348,-4.1348
62.1035,4.1300,4.1309,4.1309,-4.1309
62.7239,4.1300,4.1269,4.1269,-4.1269
63.3504,4.1300,4.1226,4.1226,-4.1226
63.9832,4.1214,4.1180,4.1180,-4.1180
64.6223,4.1200,4.1131,4.1131,-4.1131
65.2678,4.1200,4.1078,4.1078,-4.1078
65.9198,4.1114,4.1020,4.1020,-4.1020
66.5782,4.1014,4.0958,4.0958,-4.0958
67.2433,4.0913,4.0891,4.0891,-4.0891
67.9149,4.0900,4.0820,4.0820,-4.0820
68.5933,4.0814,4.0743,4.0743,-4.0743
69.2785,4.0713,4.0661,4.0661,-4.0661
69.9705,4.0614,4.0574,4.0574,-4.0574
70.6694,4.0514,4.0482,4.0482,-4.0482
71.3753,4.0415,4.0386,4.0386,-4.0386
72.0883,4.0314,4.0285,4.0285,-4.0285
72.8083,4.0214,4.0180,4.0180,-4.0180
73.5356,4.0114,4.0070,4.0070,-4.0070
74.2701,4.0015,3.9956,3.9956,-3.9956
75.0120,3.9915,3.9836,3.9836,-3.9836
75.7613,3.9814,3.9712,3.9712,-3.9712
76.5180,3.9629,3.9581,3.9581,-3.9581
77.2824,3.9515,3.9445,3.9445,-3.9445
78.0543,3.9415,3.9304,3.9304,-3.9304
78.8340,3.9230,3.9157,3.9157,-3.9157
79.6214,3.9030,3.9003,3.9003,-3.9003
80.4168,3.8915,3.8844,3.8844,-3.8844
81.2200,3.8732,3.8678,3.8678,-3.8678
82.0313,3.8532,3.8506,3.8506,-3.8506
82.8507,3.8416,3.8329,3.8329,-3.8329
83.6783,3.8232,3.8145,3.8145,-3.8145
84.5141,3.8032,3.7955,3.7955,-3.7955
85.3583,3.7833,3.7758,3.7758,-3.7758
86.2109,3.7633,3.7555,3.7555,-3.7555
87.0721,3.7434,3.7346,3.7346,-3.7346
87.9418,3.7234,3.7131,3.7131,-3.7131
88.8203,3.6951,3.6909,3.6909,-3.6909
89.7075,3.6734,3.6682,3.6682,-3.6682
90.6035,3.6535,3.6448,3.6448,-3.6448
91.5085,3.6250,3.6209,3.6209,-3.6209
92.4226,3.6034,3.5963,3.5963,-3.5963
93.3458,3.5753,3.5711,3.5711,-3.5711
94.2782,3.5535,3.5454,3.5454,-3.5454
95.2199,3.5254,3.5190,3.5190,-3.5190
96.1711,3.4953,3.4920,3.4920,-3.4920
97.1317,3.4735,3.4644,3.4644,-3.4644
98.1019,3.4455,3.4362,3.4362,-3.4362
99.0818,3.4155,3.4073,3.4073,-3.4073
100.0715,3.3854,3.3778,3.3778,-3.3778
101.0711,3.3554,3.3476,3.3476,-3.3476
102.0807,3.3256,3.3167,3.3167,-3.3167
103.1004,3.2956,3.2852,3.2852,-3.2852
104.1302,3.2574,3.2528,3.2528,-3.2528
105.1703,3.2257,3.2199,3.2199,-3.2199
106.2209,3.1957,3.1862,3.1862,-3.1862
107.2819,3.1575,3.1517,3.1517,-3.1517
108.3535,3.1257,3.1166,3.1166,-3.1166
109.4358,3.0876,3.0806,3.0806,-3.0806
110.5289,3.0558,3.0439,3.0439,-3.0439
111.6330,3.0178,3.0064,3.0064,-3.0064
112.7481,2.9779,2.9681,2.9681,-2.9681
113.8743,2.9380,2.9290,2.9290,-2.9290
115.0118,2.8980,2.8890,2.8890,-2.8890
116.1606,2.8580,2.8482,2.8482,-2.8482
117.3209,2.8179,2.8065,2.8065,-2.8065
118.4928,2.7701,2.7639,2.7639,-2.7639
119.6764,2.7282,2.7206,2.7206,-2.7206
120.8718,2.6883,2.6765,2.6765,-2.6765
122.0792,2.6404,2.6315,2.6315,-2.6315
123.2986,2.5982,2.5857,2.5857,-2.5857
124.5302,2.5505,2.5390,2.5390,-2.5390
125.7741,2.5003,2.4914,2.4914,-2.4914
127.0304,2.4503,2.4430,2.4430,-2.4430
128.2993,2.4006,2.3938,2.3938,-2.3938
129.5808,2.3505,2.3438,2.3438,-2.3438
130.8752,2.3006,2.2929,2.2929,-2.2929
132.1825,2.2506,2.2412,2.2412,-2.2412
133.5028,2.2008,2.1885,2.1885,-2.1885
