frequency,raw,smoothed,error,equalization
20.0000,10.8700,10.8768,10.8768,-10.8768
20.1998,10.8700,10.8776,10.8776,-10.8776
20.4015,10.8701,10.8786,10.8786,-10.8786
20.6053,10.8798,10.8796,10.8796,-10.8796
20.8112,10.8800,10.8806,10.8806,-10.8806
21.0190,10.8800,10.8816,10.8816,-10.8816
21.2290,10.8800,10.8825,10.8825,-10.8825
21.4410,10.8800,10.8835,10.8835,-10.8835
21.6552,10.8898,10.8845,10.8845,-10.8845
21.8715,10.8900,10.8855,10.8855,-10.8855
22.0900,10.8900,10.8864,10.8864,-10.8864
22.3106,10.8900,10.8871,10.8871,-10.8871
22.5335,10.8900,10.8878,10.8878,-10.8878
22.7586,10.8900,10.8882,10.8882,-10.8882
22.9859,10.8900,10.8884,10.8884,-10.8884
23.2155,10.8900,10.8884,10.8884,-10.8884
23.4474,10.8900,10.8882,10.8882,-10.8882
23.6816,10.8900,10.8878,10.8878,-10.8878
23.9182,10.8900,10.8871,10.8871,-10.8871
24.1571,10.8900,10.8861,10.8861,-10.8861
24.3984,10.8900,10.8849,10.8849,-10.8849
24.6421,10.8900,10.8834,10.8834,-10.8834
24.8882,10.8801,10.8816,10.8816,-10.8816
25.1368,10.8800,10.8796,10.8796,-10.8796
25.3879,10.8800,10.8774,10.8774,-10.8774
25.6415,10.8800,10.8749,10.8749,-10.8749
25.8976,10.8800,10.8721,10.8721,-10.8721
26.1563,10.8701,10.8690,10.8690,-10.8690
26.4176,10.8700,10.8657,10.8657,-10.8657
26.6815,10.8603,10.8621,10.8621,-10.8621
26.9480,10.8600,10.8583,10.8583,-10.8583
27.2172,10.8600,10.8544,10.8544,-10.8544
27.4890,10.8504,10.8502,10.8502,-10.8502
27.7636,10.8500,10.8458,10.8458,-10.8458
28.0409,10.8403,10.8412,10.8412,-10.8412
28.3210,10.8400,10.8364,10.8364,-10.8364
28.6039,10.8306,10.8314,10.8314,-10.8314
28.8896,10.8300,10.8262,10.8262,-10.8262
29.1782,10.8204,10.8207,10.8207,-10.8207
29.4697,10.8200,10.8150,10.8150,-10.8150
29.7640,10.8105,10.8090,10.8090,-10.8090
30.0613,10.8100,10.8029,10.8029,-10.8029
30.3616,10.8006,10.7964,10.7964,-10.7964
30.6649,10.7905,10.7896,10.7896,-10.7896
30.9712,10.7900,10.7826,10.7826,-10.7826
31.2806,10.7806,10.7752,10.7752,-10.7752
31.5930,10.7705,10.7676,10.7676,-10.7676
31.9086,10.7607,10.7597,10.7597,-10.7597
32.2273,10.7504,10.7515,10.7515,-10.7515
32.5492,10.7406,10.7431,10.7431,-10.7431
32.8744,10.7400,10.7344,10.7344,-10.7344
33.2027,10.7305,10.7254,10.7254,-10.7254
33.5344,10.7205,10.7162,10.7162,-10.7162
33.8694,10.7106,10.7065,10.7065,-10.7065
34.2077,10.7007,10.6967,10.6967,-10.6967
34.5494,10.6906,10.6865,10.6865,-10.6865
34.8945,10.6807,10.6760,10.6760,-10.6760
35.2430,10.6708,10.6653,10.6653,-10.6653
35.5951,10.6607,10.6542,10.6542,-10.6542
35.9506,10.6411,10.6429,10.6429,-10.6429
36.3097,10.6306,10.6313,10.6313,-10.6313
36.6724,10.6207,10.6195,10.6195,-10.6195
37.0387,10.6106,10.6074,10.6074,-10.6074
37.4087,10.6006,10.5951,10.5951,-10.5951
37.7824,10.5815,10.5825,10.5825,-10.5825
38.1598,10.5708,10.5697,10.5697,-10.5697
38.5409,10.5608,10.5566,10.5566,-10.5566
38.9259,10.5506,10.5433,10.5433,-10.5433
39.3147,10.5313,10.5296,10.5296,-10.5296
39.7074,10.5208,10.5156,10.5156,-10.5156
40.1041,10.5018,10.5013,10.5013,-10.5013
40.5046,10.4909,10.4867,10.4867,-10.4867
40.9092,10.4808,10.4718,10.4718,-10.4718
