frequency,raw,smoothed,error,equalization
20.0000,10.9200,10.8790,10.8790,-10.8790
20.1998,10.9100,10.8728,10.8728,-10.8728
20.4015,10.8999,10.8655,10.8655,-10.8655
20.6053,10.8902,10.8572,10.8572,-10.8572
20.8112,10.8799,10.8478,10.8478,-10.8478
21.0190,10.8700,10.8375,10.8375,-10.8375
21.2290,10.8501,10.8259,10.8259,-10.8259
21.4410,10.8300,10.8132,10.8132,-10.8132
21.6552,10.8202,10.7993,10.7993,-10.7993
21.8715,10.7999,10.7840,10.7840,-10.7840
22.0900,10.7800,10.7672,10.7672,-10.7672
22.3106,10.7499,10.7486,10.7486,-10.7486
22.5335,10.7306,10.7287,10.7287,-10.7287
22.7586,10.7101,10.7082,10.7082,-10.7082
22.9859,10.6904,10.6873,10.6873,-10.6873
23.2155,10.6704,10.6660,10.6660,-10.6660
23.4474,10.6502,10.6443,10.6443,-10.6443
23.6816,10.6210,10.6223,10.6223,-10.6223
23.9182,10.6002,10.6003,10.6003,-10.6003
24.1571,10.5802,10.5781,10.5781,-10.5781
24.3984,10.5601,10.5559,10.5559,-10.5559
24.6421,10.5309,10.5335,10.5335,-10.5335
24.8882,10.5101,10.5112,10.5112,-10.5112
25.1368,10.4903,10.4889,10.4889,-10.4889
25.3879,10.4602,10.4664,10.4664,-10.4664
25.6415,10.4407,10.4439,10.4439,-10.4439
25.8976,10.4210,10.4214,10.4214,-10.4214
26.1563,10.4003,10.3988,10.3988,-10.3988
26.4176,10.3809,10.3760,10.3760,-10.3760
26.6815,10.3607,10.3529,10.3529,-10.3529
26.9480,10.3313,10.3294,10.3294,-10.3294
27.2172,10.3110,10.3054,10.3054,-10.3054
27.4890,10.2908,10.2809,10.2809,-10.2809
27.7636,10.2607,10.2557,10.2557,-10.2557
28.0409,10.2406,10.2299,10.2299,-10.2299
28.3210,10.2110,10.2034,10.2034,-10.2034
28.6039,10.1911,10.1761,10.1761,-10.1761
28.8896,10.1611,10.1479,10.1479,-10.1479
29.1782,10.1312,10.1189,10.1189,-10.1189
29.4697,10.1011,10.0890,10.0890,-10.0890
29.7640,10.0716,10.0583,10.0583,-10.0583
