frequency,raw,smoothed,error,equalization
20.0000,3.9400,3.9394,3.9394,-3.9394
20.1998,3.9400,3.9393,3.9393,-3.9393
20.4015,3.9400,3.9393,3.9393,-3.9393
20.6053,3.9400,3.9392,3.9392,-3.9392
20.8112,3.9400,3.9393,3.9393,-3.9393
21.0190,3.9400,3.9394,3.9394,-3.9394
21.2290,3.9400,3.9395,3.9395,-3.9395
21.4410,3.9300,3.9397,3.9397,-3.9397
21.6552,3.9398,3.9401,3.9401,-3.9401
21.8715,3.9400,3.9405,3.9405,-3.9405
22.0900,3.9400,3.9409,3.9409,-3.9409
22.3106,3.9400,3.9412,3.9412,-3.9412
22.5335,3.9400,3.9416,3.9416,-3.9416
22.7586,3.9400,3.9420,3.9420,-3.9420
22.9859,3.9400,3.9423,3.9423,-3.9423
23.2155,3.9498,3.9427,3.9427,-3.9427
23.4474,3.9500,3.9428,3.9428,-3.9428
23.6816,3.9500,3.9427,3.9427,-3.9427
23.9182,3.9500,3.9423,3.9423,-3.9423
24.1571,3.9401,3.9417,3.9417,-3.9417
24.3984,3.9400,3.9410,3.9410,-3.9410
24.6421,3.9400,3.9403,3.9403,-3.9403
24.8882,3.9400,3.9394,3.9394,-3.9394
25.1368,3.9400,3.9385,3.9385,-3.9385
25.3879,3.9400,3.9374,3.9374,-3.9374
25.6415,3.9400,3.9362,3.9362,-3.9362
25.8976,3.9305,3.9348,3.9348,-3.9348
26.1563,3.9300,3.9334,3.9334,-3.9334
26.4176,3.9300,3.9320,3.9320,-3.9320
26.6815,3.9300,3.9305,3.9305,-3.9305
26.9480,3.9300,3.9289,3.9289,-3.9289
27.2172,3.9300,3.9272,3.9272,-3.9272
27.4890,3.9300,3.9253,3.9253,-3.9253
27.7636,3.9300,3.9232,3.9232,-3.9232
28.0409,3.9300,3.9208,3.9208,-3.9208
28.3210,3.9203,3.9181,3.9181,-3.9181
28.6039,3.9200,3.9152,3.9152,-3.9152
28.8896,3.9104,3.9120,3.9120,-3.9120
29.1782,3.9100,3.9088,3.9088,-3.9088
29.4697,3.9100,3.9053,3.9053,-3.9053
29.7640,3.9005,3.9016,3.9016,-3.9016
30.0613,3.9000,3.8977,3.8977,-3.8977
30.3616,3.8906,3.8936,3.8936,-3.8936
30.6649,3.8900,3.8894,3.8894,-3.8894
30.9712,3.8900,3.8851,3.8851,-3.8851
31.2806,3.8806,3.8807,3.8807,-3.8807
31.5930,3.8800,3.8762,3.8762,-3.8762
31.9086,3.8707,3.8716,3.8716,-3.8716
32.2273,3.8700,3.8669,3.8669,-3.8669
32.5492,3.8606,3.8622,3.8622,-3.8622
32.8744,3.8600,3.8573,3.8573,-3.8573
33.2027,3.8505,3.8523,3.8523,-3.8523
33.5344,3.8500,3.8473,3.8473,-3.8473
33.8694,3.8406,3.8422,3.8422,-3.8422
34.2077,3.8400,3.8371,3.8371,-3.8371
34.5494,3.8306,3.8319,3.8319,-3.8319
34.8945,3.8300,3.8267,3.8267,-3.8267
35.2430,3.8208,3.8215,3.8215,-3.8215
35.5951,3.8200,3.8161,3.8161,-3.8161
35.9506,3.8106,3.8107,3.8107,-3.8107
36.3097,3.8006,3.8051,3.8051,-3.8051
36.6724,3.8000,3.7996,3.7996,-3.7996
37.0387,3.7906,3.7939,3.7939,-3.7939
37.4087,3.7900,3.7882,3.7882,-3.7882
37.7824,3.7900,3.7823,3.7823,-3.7823
38.1598,3.7808,3.7761,3.7761,-3.7761
38.5409,3.7708,3.7696,3.7696,-3.7696
38.9259,3.7700,3.7629,3.7629,-3.7629
39.3147,3.7606,3.7559,3.7559,-3.7559
39.7074,3.7508,3.7486,3.7486,-3.7486
40.1041,3.7409,3.7410,3.7410,-3.7410
40.5046,3.7400,3.7331,3.7331,-3.7331
40.9092,3.7308,3.7250,3.7250,-3.7250
41.3179,3.7208,3.7164,3.7164,-3.7164
41.7306,3.7107,3.7076,3.7076,-3.7076
42.1474,3.7008,3.6985,3.6985,-3.6985
42.5684,3.6908,3.6892,3.6892,-3.6892
42.9936,3.6808,3.6798,3.6798,-3.6798
43.4231,3.6709,3.6702,3.6702,-3.6702
43.8568,3.6610,3.6605,3.6605,-3.6605
44.2949,3.6508,3.6507,3.6507,-3.6507
44.7374,3.6409,3.6409,3.6409,-3.6409
45.1842,3.6310,3.6309,3.6309,-3.6309
45.6356,3.6210,3.6209,3.6209,-3.6209
46.0914,3.6109,3.6109,3.6109,-3.6109
46.5518,3.6010,3.6010,3.6010,-3.6010
47.0168,3.5909,3.5910,3.5910,-3.5910
47.4864,3.5809,3.5810,3.5810,-3.5810
47.9608,3.5710,3.5712,3.5712,-3.5712
48.4398,3.5610,3.5613,3.5613,-3.5613
48.9237,3.5510,3.5516,3.5516,-3.5516
49.4124,3.5410,3.5420,3.5420,-3.5420
49.9059,3.5311,3.5324,3.5324,-3.5324
50.4044,3.5211,3.5229,3.5229,-3.5229
50.9079,3.5110,3.5134,3.5134,-3.5134
51.4164,3.5011,3.5041,3.5041,-3.5041
51.9300,3.4912,3.4948,3.4948,-3.4948
52.4487,3.4812,3.4856,3.4856,-3.4856
52.9726,3.4800,3.4765,3.4765,-3.4765
53.5018,3.4711,3.4673,3.4673,-3.4673
54.0362,3.4612,3.4580,3.4580,-3.4580
54.5759,3.4512,3.4486,3.4486,-3.4486
55.1211,3.4411,3.4392,3.4392,-3.4392
55.6717,3.4312,3.4297,3.4297,-3.4297
56.2278,3.4211,3.4202,3.4202,-3.4202
56.7894,3.4112,3.4105,3.4105,-3.4105
57.3567,3.4011,3.4008,3.4008,-3.4008
57.9296,3.3912,3.3909,3.3909,-3.3909
58.5082,3.3812,3.3808,3.3808,-3.3808
59.0927,3.3712,3.3705,3.3705,-3.3705
59.6829,3.3613,3.3599,3.3599,-3.3599
60.2791,3.3512,3.3492,3.3492,-3.3492
60.8812,3.3413,3.3382,3.3382,-3.3382
61.4893,3.3313,3.3269,3.3269,-3.3269
62.1035,3.3213,3.3154,3.3154,-3.3154
62.7239,3.3112,3.3035,3.3035,-3.3035
63.3504,3.3013,3.2913,3.2913,-3.2913
63.9832,3.2827,3.2787,3.2787,-3.2787
64.6223,3.2714,3.2657,3.2657,-3.2657
65.2678,3.2526,3.2524,3.2524,-3.2524
65.9198,3.2414,3.2388,3.2388,-3.2388
66.5782,3.2228,3.2250,3.2250,-3.2250
67.2433,3.2113,3.2109,3.2109,-3.2109
67.9149,3.2014,3.1966,3.1966,-3.1966
68.5933,3.1828,3.1821,3.1821,-3.1821
69.2785,3.1713,3.1673,3.1673,-3.1673
69.9705,3.1528,3.1524,3.1524,-3.1524
70.6694,3.1414,3.1372,3.1372,-3.1372
71.3753,3.1229,3.1220,3.1220,-3.1220
72.0883,3.1114,3.1066,3.1066,-3.1066
72.8083,3.0928,3.0910,3.0910,-3.0910
73.5356,3.0729,3.0752,3.0752,-3.0752
74.2701,3.0615,3.0594,3.0594,-3.0594
75.0120,3.0429,3.0435,3.0435,-3.0435
75.7613,3.0314,3.0274,3.0274,-3.0274
76.5180,3.0129,3.0113,3.0113,-3.0113
77.2824,2.9931,2.9950,2.9950,-2.9950
78.0543,2.9815,2.9788,2.9788,-2.9788
78.8340,2.9630,2.9624,2.9624,-2.9624
79.6214,2.9430,2.9460,2.9460,-2.9460
80.4168,2.9315,2.9295,2.9295,-2.9295
81.2200,2.9132,2.9130,2.9130,-2.9130
82.0313,2.8932,2.8965,2.8965,-2.8965
82.8507,2.8816,2.8800,2.8800,-2.8800
83.6783,2.8632,2.8634,2.8634,-2.8634
84.5141,2.8516,2.8468,2.8468,-2.8468
85.3583,2.8333,2.8300,2.8300,-2.8300
86.2109,2.8133,2.8132,2.8132,-2.8132
87.0721,2.7934,2.7963,2.7963,-2.7963
87.9418,2.7817,2.7793,2.7793,-2.7793
88.8203,2.7634,2.7622,2.7622,-2.7622
89.7075,2.7434,2.7450,2.7450,-2.7450
90.6035,2.7317,2.7276,2.7276,-2.7276
91.5085,2.7134,2.7100,2.7100,-2.7100
92.4226,2.6934,2.6923,2.6923,-2.6923
93.3458,2.6735,2.6743,2.6743,-2.6743
94.2782,2.6617,2.6561,2.6561,-2.6561
95.2199,2.6436,2.6377,2.6377,-2.6377
96.1711,2.6236,2.6191,2.6191,-2.6191
97.1317,2.6035,2.6003,2.6003,-2.6003
98.1019,2.5836,2.5812,2.5812,-2.5812
99.0818,2.5636,2.5619,2.5619,-2.5619
100.0715,2.5436,2.5424,2.5424,-2.5424
101.0711,2.5236,2.5227,2.5227,-2.5227
102.0807,2.5037,2.5029,2.5029,-2.5029
103.1004,2.4837,2.4829,2.4829,-2.4829
104.1302,2.4637,2.4627,2.4627,-2.4627
105.1703,2.4438,2.4424,2.4424,-2.4424
106.2209,2.4238,2.4219,2.4219,-2.4219
107.2819,2.4037,2.4013,2.4013,-2.4013
108.3535,2.3838,2.3804,2.3804,-2.3804
109.4358,2.3638,2.3594,2.3594,-2.3594
110.5289,2.3358,2.3382,2.3382,-2.3382
111.6330,2.3220,2.3168,2.3168,-2.3168
112.7481,2.2959,2.2951,2.2951,-2.2951
113.8743,2.2740,2.2733,2.2733,-2.2733
115.0118,2.2540,2.2513,2.2513,-2.2513
116.1606,2.2340,2.2290,2.2290,-2.2290
117.3209,2.2140,2.2066,2.2066,-2.2066
118.4928,2.1860,2.1837,2.1837,-2.1837
119.6764,2.1641,2.1607,2.1607,-2.1607
120.8718,2.1362,2.1373,2.1373,-2.1373
122.0792,2.1141,2.1137,2.1137,-2.1137
123.2986,2.0941,2.0899,2.0899,-2.0899
124.5302,2.0663,2.0658,2.0658,-2.0658
125.7741,2.0441,2.0414,2.0414,-2.0414
127.0304,2.0241,2.0168,2.0168,-2.0168
128.2993,1.9963,1.9919,1.9919,-1.9919
129.5808,1.9742,1.9667,1.9667,-1.9667
130.8752,1.9463,1.9412,1.9412,-1.9412
132.1825,1.9164,1.9154,1.9154,-1.9154
133.5028,1.8865,1.8894,1.8894,-1.8894
134.8363,1.8643,1.8632,1.8632,-1.8632
136.1832,1.8365,1.8369,1.8369,-1.8369
137.5435,1.8144,1.8104,1.8104,-1.8104
138.9174,1.7866,1.7836,1.7836,-1.7836
140.3050,1.7566,1.7566,1.7566,-1.7566
141.7065,1.7344,1.7295,1.7295,-1.7295
143.1220,1.7067,1.7022,1.7022,-1.7022
144.5516,1.6767,1.6747,1.6747,-1.6747
145.9955,1.6467,1.6472,1.6472,-1.6472
147.4538,1.6167,1.6197,1.6197,-1.6197
148.9267,1.5945,1.5921,1.5921,-1.5921
150.4143,1.5668,1.5645,1.5645,-1.5645
151.9167,1.5368,1.5368,1.5368,-1.5368
153.4342,1.5068,1.5091,1.5091,-1.5091
154.9668,1.4769,1.4815,1.4815,-1.4815
156.5147,1.4547,1.4541,1.4541,-1.4541
158.0781,1.4270,1.4267,1.4267,-1.4267
159.6571,1.3970,1.3995,1.3995,-1.3995
161.2519,1.3671,1.3723,1.3723,-1.3723
162.8626,1.3447,1.3453,1.3453,-1.3453
164.4894,1.3171,1.3184,1.3184,-1.3184
166.1324,1.2872,1.2916,1.2916,-1.2916
167.7919,1.2648,1.2648,1.2648,-1.2648
169.4679,1.2372,1.2381,1.2381,-1.2381
171.1607,1.2148,1.2115,1.2115,-1.2115
172.8704,1.1873,1.1848,1.1848,-1.1848
174.5972,1.1573,1.1580,1.1580,-1.1580
176.3412,1.1349,1.1312,1.1312,-1.1312
178.1026,1.1074,1.1044,1.1044,-1.1044
179.8816,1.0774,1.0774,1.0774,-1.0774
181.6784,1.0475,1.0503,1.0503,-1.0503
183.4932,1.0250,1.0231,1.0231,-1.0231
185.3261,0.9976,0.9957,0.9957,-0.9957
187.1772,0.9676,0.9681,0.9681,-0.9681
189.0469,0.9451,0.9403,0.9403,-0.9403
190.9352,0.9177,0.9122,0.9122,-0.9122
192.8425,0.8877,0.8839,0.8839,-0.8839
194.7687,0.8578,0.8552,0.8552,-0.8552
196.7142,0.8278,0.8263,0.8263,-0.8263
198.6792,0.8052,0.7971,0.7971,-0.7971
200.6637,0.7778,0.7676,0.7676,-0.7676
202.6681,0.7404,0.7377,0.7377,-0.7377
204.6925,0.7079,0.7074,0.7074,-0.7074
206.7371,0.6779,0.6769,0.6769,-0.6769
208.8022,0.6479,0.6461,0.6461,-0.6461
210.8879,0.6179,0.6151,0.6151,-0.6151
212.9944,0.5880,0.5839,0.5839,-0.5839
215.1219,0.5580,0.5525,0.5525,-0.5525
217.2707,0.5207,0.5209,0.5209,-0.5209
