frequency,raw,smoothed,error,equalization
20.0000,7.9300,8.0979,8.0979,-8.0979
20.1998,7.9700,8.1171,8.1171,-8.1171
20.4015,8.0103,8.1379,8.1379,-8.1379
20.6053,8.0491,8.1594,8.1594,-8.1594
20.8112,8.1103,8.1811,8.1811,-8.1811
21.0190,8.1697,8.2023,8.2023,-8.2023
21.2290,8.2397,8.2226,8.2226,-8.2226
21.4410,8.3002,8.2416,8.2416,-8.2416
21.6552,8.3391,8.2592,8.2592,-8.2592
21.8715,8.3801,8.2754,8.2754,-8.2754
22.0900,8.3900,8.2905,8.2905,-8.2905
22.3106,8.3900,8.3047,8.3047,-8.3047
22.5335,8.3803,8.3176,8.3176,-8.3176
22.7586,8.3502,8.3279,8.3279,-8.3279
22.9859,8.3205,8.3362,8.3362,-8.3362
23.2155,8.3004,8.3434,8.3434,-8.3434
23.4474,8.2901,8.3501,8.3501,-8.3501
23.6816,8.2900,8.3567,8.3567,-8.3567
23.9182,8.3098,8.3637,8.3637,-8.3637
24.1571,8.3298,8.3712,8.3712,-8.3712
24.3984,8.3697,8.3793,8.3793,-8.3793
24.6421,8.3991,8.3877,8.3877,-8.3877
24.8882,8.4298,8.3961,8.3961,-8.3961
25.1368,8.4497,8.4042,8.4042,-8.4042
25.3879,8.4599,8.4115,8.4115,-8.4115
25.6415,8.4600,8.4179,8.4179,-8.4179
25.8976,8.4600,8.4232,8.4232,-8.4232
26.1563,8.4501,8.4271,8.4271,-8.4271
26.4176,8.4405,8.4298,8.4298,-8.4298
26.6815,8.4303,8.4314,8.4314,-8.4314
26.9480,8.4300,8.4321,8.4321,-8.4321
27.2172,8.4205,8.4320,8.4320,-8.4320
27.4890,8.4200,8.4315,8.4315,-8.4315
27.7636,8.4200,8.4309,8.4309,-8.4309
28.0409,8.4200,8.4301,8.4301,-8.4301
28.3210,8.4200,8.4294,8.4294,-8.4294
28.6039,8.4200,8.4287,8.4287,-8.4287
28.8896,8.4296,8.4280,8.4280,-8.4280
29.1782,8.4300,8.4272,8.4272,-8.4272
29.4697,8.4396,8.4261,8.4261,-8.4261
29.7640,8.4400,8.4247,8.4247,-8.4247
30.0613,8.4400,8.4230,8.4230,-8.4230
30.3616,8.4400,8.4210,8.4210,-8.4210
30.6649,8.4400,8.4187,8.4187,-8.4187
30.9712,8.4306,8.4163,8.4163,-8.4163
31.2806,8.4113,8.4139,8.4139,-8.4139
31.5930,8.4005,8.4117,8.4117,-8.4117
31.9086,8.3907,8.4098,8.4098,-8.4098
32.2273,8.3804,8.4082,8.4082,-8.4082
32.5492,8.3706,8.4069,8.4069,-8.4069
32.8744,8.3795,8.4061,8.4061,-8.4061
33.2027,8.3895,8.4055,8.4055,-8.4055
33.5344,8.3995,8.4051,8.4051,-8.4051
33.8694,8.4188,8.4046,8.4046,-8.4046
34.2077,8.4293,8.4038,8.4038,-8.4038
34.5494,8.4394,8.4023,8.4023,-8.4023
34.8945,8.4400,8.4001,8.4001,-8.4001
35.2430,8.4308,8.3968,8.3968,-8.3968
35.5951,8.4114,8.3924,8.3924,-8.3924
35.9506,8.3911,8.3868,8.3868,-8.3868
36.3097,8.3806,8.3803,8.3803,-8.3803
36.6724,8.3707,8.3725,8.3725,-8.3725
37.0387,8.3606,8.3635,8.3635,-8.3635
37.4087,8.3506,8.3532,8.3532,-8.3532
