frequency,raw,smoothed,error,equalization
20.0000,-1.9800,-1.9800,-1.9800,1.9800
20.1998,-1.9800,-1.9800,-1.9800,1.9800
20.4015,-1.9800,-1.9800,-1.9800,1.9800
20.6053,-1.9800,-1.9800,-1.9800,1.9800
20.8112,-1.9800,-1.9801,-1.9801,1.9801
21.0190,-1.9800,-1.9805,-1.9805,1.9805
21.2290,-1.9800,-1.9814,-1.9814,1.9814
21.4410,-1.9800,-1.9829,-1.9829,1.9829
21.6552,-1.9800,-1.9851,-1.9851,1.9851
21.8715,-1.9800,-1.9879,-1.9879,1.9879
22.0900,-1.9800,-1.9914,-1.9914,1.9914
22.3106,-1.9800,-1.9958,-1.9958,1.9958
22.5335,-1.9800,-2.0009,-2.0009,2.0009
22.7586,-1.9800,-2.0069,-2.0069,2.0069
22.9859,-1.9800,-2.0138,-2.0138,2.0138
23.2155,-1.9996,-2.0218,-2.0218,2.0218
23.4474,-2.0297,-2.0305,-2.0305,2.0305
23.6816,-2.0493,-2.0397,-2.0397,2.0397
23.9182,-2.0698,-2.0492,-2.0492,2.0492
24.1571,-2.0799,-2.0587,-2.0587,2.0587
24.3984,-2.0800,-2.0683,-2.0683,2.0683
24.6421,-2.0800,-2.0778,-2.0778,2.0778
24.8882,-2.0800,-2.0874,-2.0874,2.0874
25.1368,-2.0899,-2.0970,-2.0970,2.0970
25.3879,-2.0999,-2.1064,-2.1064,2.1064
25.6415,-2.1097,-2.1155,-2.1155,2.1155
25.8976,-2.1195,-2.1241,-2.1241,2.1241
26.1563,-2.1299,-2.1323,-2.1323,2.1323
26.4176,-2.1491,-2.1399,-2.1399,2.1399
26.6815,-2.1597,-2.1470,-2.1470,2.1470
26.9480,-2.1791,-2.1534,-2.1534,2.1534
27.2172,-2.1800,-2.1594,-2.1594,2.1594
27.4890,-2.1800,-2.1654,-2.1654,2.1654
27.7636,-2.1800,-2.1717,-2.1717,2.1717
28.0409,-2.1800,-2.1785,-2.1785,2.1785
28.3210,-2.1800,-2.1861,-2.1861,2.1861
28.6039,-2.1800,-2.1944,-2.1944,2.1944
28.8896,-2.1800,-2.2036,-2.2036,2.2036
29.1782,-2.1800,-2.2138,-2.2138,2.2138
29.4697,-2.1800,-2.2251,-2.2251,2.2251
29.7640,-2.1800,-2.2375,-2.2375,2.2375
30.0613,-2.1894,-2.2513,-2.2513,2.2513
30.3616,-2.2369,-2.2664,-2.2664,2.2664
30.6649,-2.2970,-2.2823,-2.2823,2.2823
30.9712,-2.3470,-2.2982,-2.2982,2.2982
31.2806,-2.3594,-2.3138,-2.3138,2.3138
31.5930,-2.3695,-2.3290,-2.3290,2.3290
31.9086,-2.3793,-2.3439,-2.3439,2.3439
32.2273,-2.3800,-2.3588,-2.3588,2.3588
32.5492,-2.3800,-2.3736,-2.3736,2.3736
32.8744,-2.3800,-2.3884,-2.3884,2.3884
33.2027,-2.3800,-2.4033,-2.4033,2.4033
33.5344,-2.3895,-2.4184,-2.4184,2.4184
33.8694,-2.3900,-2.4340,-2.4340,2.4340
34.2077,-2.4087,-2.4505,-2.4505,2.4505
34.5494,-2.4382,-2.4679,-2.4679,2.4679
34.8945,-2.4678,-2.4863,-2.4863,2.4863
35.2430,-2.5069,-2.5054,-2.5054,2.5054
35.5951,-2.5379,-2.5247,-2.5247,2.5247
35.9506,-2.5778,-2.5439,-2.5439,2.5439
36.3097,-2.5800,-2.5626,-2.5626,2.5626
36.6724,-2.5800,-2.5811,-2.5811,2.5811
37.0387,-2.5894,-2.5997,-2.5997,2.5997
37.4087,-2.6277,-2.6186,-2.6186,2.6186
37.7824,-2.6764,-2.6376,-2.6376,2.6376
38.1598,-2.6984,-2.6560,-2.6560,2.6560
38.5409,-2.6908,-2.6735,-2.6735,2.6735
38.9259,-2.6806,-2.6906,-2.6906,2.6906
39.3147,-2.6800,-2.7078,-2.7078,2.7078
39.7074,-2.6800,-2.7258,-2.7258,2.7258
40.1041,-2.6891,-2.7452,-2.7452,2.7452
40.5046,-2.7265,-2.7663,-2.7663,2.7663
40.9092,-2.7669,-2.7889,-2.7889,2.7889
41.3179,-2.8161,-2.8126,-2.8126,2.8126
41.7306,-2.8571,-2.8368,-2.8368,2.8368
42.1474,-2.8877,-2.8617,-2.8617,2.8617
42.5684,-2.8808,-2.8872,-2.8872,2.8872
42.9936,-2.8800,-2.9138,-2.9138,2.9138
43.4231,-2.9166,-2.9420,-2.9420,2.9420
43.8568,-2.9471,-2.9717,-2.9717,2.9717
44.2949,-2.9959,-3.0029,-3.0029,3.0029
44.7374,-3.0453,-3.0348,-3.0348,3.0348
45.1842,-3.0769,-3.0668,-3.0668,3.0668
45.6356,-3.0800,-3.0989,-3.0989,3.0989
46.0914,-3.0983,-3.1320,-3.1320,3.1320
46.5518,-3.1538,-3.1662,-3.1662,3.1662
47.0168,-3.2144,-3.2012,-3.2012,3.2012
47.4864,-3.2200,-3.2364,-3.2364,3.2364
47.9608,-3.2200,-3.2723,-3.2723,3.2723
48.4398,-3.3095,-3.3093,-3.3093,3.3093
48.9237,-3.4013,-3.3462,-3.3462,3.3462
49.4124,-3.4100,-3.3819,-3.3819,3.3819
49.9059,-3.3922,-3.4163,-3.4163,3.4163
50.4044,-3.4433,-3.4502,-3.4502,3.4502
50.9079,-3.5038,-3.4830,-3.4830,3.4830
51.4164,-3.5458,-3.5141,-3.5141,3.5141
51.9300,-3.5854,-3.5428,-3.5428,3.5428
52.4487,-3.5900,-3.5689,-3.5689,3.5689
52.9726,-3.5900,-3.5926,-3.5926,3.5926
53.5018,-3.6701,-3.6144,-3.6144,3.6144
54.0362,-3.7329,-3.6329,-3.6329,3.6329
54.5759,-3.7136,-3.6476,-3.6476,3.6476
55.1211,-3.6922,-3.6594,-3.6594,3.6594
55.6717,-3.6900,-3.6690,-3.6690,3.6690
56.2278,-3.6900,-3.6766,-3.6766,3.6766
56.7894,-3.6900,-3.6820,-3.6820,3.6820
57.3567,-3.6900,-3.6858,-3.6858,3.6858
57.9296,-3.6900,-3.6886,-3.6886,3.6886
58.5082,-3.6900,-3.6904,-3.6904,3.6904
59.0927,-3.6900,-3.6912,-3.6912,3.6912
59.6829,-3.6900,-3.6905,-3.6905,3.6905
60.2791,-3.6900,-3.6885,-3.6885,3.6885
60.8812,-3.6900,-3.6858,-3.6858,3.6858
61.4893,-3.6900,-3.6826,-3.6826,3.6826
